Time,PrimTSet,ActPow,HwActive,PrimT,HwTSet,ChActive,HwTOutlet
2018-01-03T00:54:47.008Z,,,,,54,,28.7
2018-01-03T00:54:56.342Z,,,,,54,,28.5
2018-01-03T00:55:06.340Z,,,,40.7,,,
2018-01-03T00:55:16.343Z,,,,,54,,28
2018-01-03T00:55:26.343Z,,,,40.8,54,,27.8
2018-01-03T00:55:46.339Z,,,,40.9,54,,27.4
2018-01-03T00:56:06.343Z,,,,,54,,27.2
2018-01-03T00:56:16.344Z,,,,41,54,,27.1
2018-01-03T00:56:26.345Z,,,,,54,,26.8
2018-01-03T00:56:36.344Z,,,,,54,,26.6
2018-01-03T00:56:46.341Z,,,,41.1,,,
2018-01-03T00:56:56.341Z,,,,,54,,26.5
2018-01-03T00:57:06.355Z,,,,,54,,26.2
2018-01-03T00:57:16.343Z,,,,,54,,26.1
2018-01-03T00:57:26.352Z,,,,41.2,,,
2018-01-03T00:57:36.357Z,,,,,54,,26
2018-01-03T00:57:46.346Z,,,,,54,,25.7
2018-01-03T00:57:56.350Z,,,,,54,,25.6
2018-01-03T00:58:16.352Z,,,,,54,,25.5
2018-01-03T00:58:26.399Z,,,,,54,,25.4
2018-01-03T00:58:46.348Z,,,,,54,,25.1
2018-01-03T00:58:56.357Z,,,,,54,,25
2018-01-03T00:59:06.347Z,,42,0,42.9,,2,
2018-01-03T00:59:16.358Z,,29,,46.1,54,,25
2018-01-03T00:59:26.348Z,,,,44.3,54,,24.9
2018-01-03T00:59:36.343Z,,,,45.2,54,,25
2018-01-03T00:59:46.347Z,,,,45.6,54,,25.3
2018-01-03T00:59:56.358Z,,,,45.4,54,,25.9
2018-01-03T01:00:16.352Z,,,,45.4,54,,26.2
2018-01-03T01:00:26.354Z,,,,,54,,26.7
2018-01-03T01:00:36.349Z,,,,,54,,27.2
2018-01-03T01:00:46.346Z,,,,45.5,54,,27.4
2018-01-03T01:00:56.350Z,,,,,54,,27.7
2018-01-03T01:01:06.351Z,,,,45.6,54,,28.1
2018-01-03T01:01:26.350Z,,,,45.7,54,,28.4
2018-01-03T01:01:36.344Z,,,,45.8,,,
2018-01-03T01:01:46.349Z,,,,45.9,54,,28.6
2018-01-03T01:01:56.348Z,,,,,54,,28.7
2018-01-03T01:02:06.351Z,,29,,46,,,
2018-01-03T01:02:16.346Z,,,,,54,,29
2018-01-03T01:02:26.350Z,,,,,54,,29.1
2018-01-03T01:02:36.343Z,,29,,46.1,,,
2018-01-03T01:02:46.350Z,,,,,54,,29.3
2018-01-03T01:03:06.348Z,,,,46.2,54,,29.3
2018-01-03T01:03:16.346Z,,30,,46.3,54,,29.6
2018-01-03T01:03:26.348Z,,29,,46.5,,,
2018-01-03T01:03:36.347Z,,,,,54,,29.7
2018-01-03T01:03:56.348Z,,,,46.6,54,,29.8
2018-01-03T01:04:06.348Z,,,,46.8,54,,30.1
2018-01-03T01:04:26.350Z,,,,,54,,30.3
2018-01-03T01:04:36.351Z,,29,,47,,,
2018-01-03T01:04:46.346Z,,,,47.1,54,,30.6
2018-01-03T01:04:56.353Z,,,,,54,,30.7
2018-01-03T01:05:06.349Z,,,,47.3,,,
2018-01-03T01:05:16.346Z,,,,,54,,30.8
2018-01-03T01:05:26.354Z,,30,,47.4,,,
2018-01-03T01:05:36.349Z,,29,,47.6,54,,30.9
2018-01-03T01:05:46.346Z,,29,,47.8,54,,31
2018-01-03T01:05:56.347Z,,,,,54,,31.2
2018-01-03T01:06:06.344Z,,,,48,,,
2018-01-03T01:06:16.351Z,,,,,54,,31.3
2018-01-03T01:06:26.349Z,,,,48.1,54,,31.4
2018-01-03T01:06:36.350Z,,,,,54,,31.5
2018-01-03T01:06:46.352Z,,,,48.2,,,
2018-01-03T01:06:56.346Z,,,,48.3,54,,31.5
2018-01-03T01:07:06.349Z,,,,48.4,54,,31.6
2018-01-03T01:07:16.349Z,,,,48.5,54,,31.6
2018-01-03T01:07:26.353Z,,,,48.6,54,,31.8
2018-01-03T01:07:36.346Z,,,,,54,,31.8
2018-01-03T01:07:46.348Z,,,,48.7,54,,31.9
2018-01-03T01:07:56.346Z,,,,48.9,54,,32
2018-01-03T01:08:06.348Z,,,,49,54,,32
2018-01-03T01:08:16.351Z,,,,,54,,32.1
2018-01-03T01:08:26.347Z,,,,,54,,32.1
2018-01-03T01:08:36.350Z,,,,49.2,54,,32.2
2018-01-03T01:08:46.347Z,,0,0,48.1,54,2,32.2
2018-01-03T01:08:56.350Z,,,,46.8,54,,32.2
2018-01-03T01:09:06.348Z,,,,45.9,54,,32.3
2018-01-03T01:09:16.353Z,,,,44.7,54,,32.3
2018-01-03T01:09:26.349Z,,,,44.6,54,,32.3
2018-01-03T01:09:36.356Z,,,,43.4,54,,32.2
2018-01-03T01:09:46.353Z,,,,,54,,32.2
2018-01-03T01:09:56.359Z,,,,42.6,54,,32.1
2018-01-03T01:10:06.349Z,,,,42.1,54,,32
2018-01-03T01:10:16.348Z,,,,41.9,54,,32
2018-01-03T01:10:26.356Z,,,,41.8,54,,31.9
2018-01-03T01:10:36.350Z,,,,41.5,54,,31.8
2018-01-03T01:10:46.354Z,,,,41.2,54,,31.8
2018-01-03T01:10:56.350Z,,,,40.9,54,,31.6
2018-01-03T01:11:06.349Z,,,,40.8,54,,31.4
2018-01-03T01:11:16.349Z,,,,40.6,,,
2018-01-03T01:11:26.354Z,,,,40.4,54,,31.4
2018-01-03T01:11:36.360Z,,,,40.1,54,,31.3
2018-01-03T01:11:46.351Z,,,,40.1,54,,31.2
2018-01-03T01:11:56.350Z,,,,,54,,31
2018-01-03T01:12:06.359Z,,,,40,,,
2018-01-03T01:12:16.356Z,,,,,54,,30.9
2018-01-03T01:12:26.352Z,,,,,54,,30.9
2018-01-03T01:12:36.351Z,,,,,54,,31
2018-01-03T01:12:46.350Z,,,,,54,,30.9
2018-01-03T01:12:56.356Z,,,,,54,,30.8
2018-01-03T01:13:06.361Z,,,,,54,,30.3
2018-01-03T01:13:16.352Z,,,,40,,,
2018-01-03T01:13:26.351Z,,,,39.9,54,,30
2018-01-03T01:13:36.357Z,,,,39.9,54,,29.7
2018-01-03T01:13:46.349Z,,,,39.9,54,,29.3
2018-01-03T01:13:56.354Z,,,,40,54,,29.1
2018-01-03T01:14:06.350Z,,,,,54,,28.7
2018-01-03T01:14:16.351Z,,,,,54,,28.5
2018-01-03T01:14:26.373Z,,,,,54,,28.3
2018-01-03T01:14:36.349Z,,,,,54,,28
2018-01-03T01:14:46.363Z,,,,40.1,54,,27.8
