Time,HwActive,HwTOutlet,PrimTSet,ActPow,PrimT,ChActive,HwTSet
2017-11-03T00:39:37.989Z,,32.1,,29,64,,54
2017-11-03T00:39:48.001Z,,32.2,,30,64.2,,54
2017-11-03T00:39:57.987Z,,32.2,,,64.6,,54
2017-11-03T00:40:07.989Z,,32.1,,29,64.8,,54
2017-11-03T00:40:17.990Z,0,32.1,,0,63.8,2,54
2017-11-03T00:40:27.989Z,,32.1,,,61.9,,54
2017-11-03T00:40:37.989Z,,32.1,,,60.9,,54
2017-11-03T00:40:47.990Z,,32,,,59.7,,54
2017-11-03T00:40:57.995Z,,32,,,58.8,,54
2017-11-03T00:41:08.139Z,,32,,,57.9,,54
2017-11-03T00:41:17.993Z,,32.1,,,56.9,,54
2017-11-03T00:41:27.993Z,,32.3,,,56.5,,54
2017-11-03T00:41:37.992Z,,32.4,,,55.7,,54
2017-11-03T00:41:47.992Z,,32.3,,,55.3,,54
2017-11-03T00:41:57.993Z,,32.2,,,54.7,,54
2017-11-03T00:42:07.992Z,,32.3,,,54.3,,54
2017-11-03T00:42:17.990Z,,32.1,,,53.8,,54
2017-11-03T00:42:27.991Z,,32,,,53.3,,54
2017-11-03T00:42:37.995Z,0,31.9,,41,56,2,54
2017-11-03T00:42:47.990Z,,31.8,,33,57.4,,54
2017-11-03T00:42:57.999Z,,31.5,,30,,,54
2017-11-03T00:43:07.990Z,,31.5,,30,59,,54
2017-11-03T00:43:18.004Z,,31.6,,29,59.5,,54
2017-11-03T00:43:27.991Z,,31.8,,,60.1,,54
2017-11-03T00:43:37.992Z,,31.8,,,61.1,,54
2017-11-03T00:43:47.992Z,,31.9,,30,61.4,,54
2017-11-03T00:43:57.999Z,,32.1,,29,62.1,,54
2017-11-03T00:44:07.990Z,,32.1,,,62.5,,54
2017-11-03T00:44:17.993Z,,32.1,,30,62.8,,54
2017-11-03T00:44:27.993Z,,32.1,,29,63.2,,54
2017-11-03T00:44:37.990Z,,32,,30,63.5,,54
2017-11-03T00:44:47.991Z,,32.1,,29,63.8,,54
2017-11-03T00:44:57.998Z,,32.2,,30,64,,54
2017-11-03T00:45:07.992Z,,32.2,,29,64.2,,54
2017-11-03T00:45:17.994Z,,32.2,,,64.4,,54
2017-11-03T00:45:28.001Z,,32.2,,,64.6,,54
2017-11-03T00:45:38.004Z,,32.4,,,64.7,,54
2017-11-03T00:45:47.992Z,,32.4,,,64.9,,54
2017-11-03T00:45:58.011Z,0,32.3,,0,63.9,2,54
2017-11-03T00:46:07.992Z,,32.3,,,61.8,,54
2017-11-03T00:46:17.994Z,,32.3,,,60.8,,54
2017-11-03T00:46:27.993Z,,32.2,,,59.6,,54
2017-11-03T00:46:38.000Z,,31.9,,,58.6,,54
2017-11-03T00:46:47.992Z,,32,,,57.7,,54
2017-11-03T00:46:58.005Z,,32.2,,,56.8,,54
2017-11-03T00:47:07.994Z,,32.3,,,55.9,,54
2017-11-03T00:47:17.998Z,,32.1,,,55.4,,54
2017-11-03T00:47:28.003Z,,32.1,,,54.6,,54
2017-11-03T00:47:37.994Z,0,32,,41,57,2,54
2017-11-03T00:47:47.991Z,,32,,33,58.4,,54
2017-11-03T00:47:57.994Z,,31.8,,29,58.3,,54
2017-11-03T00:48:07.990Z,,31.5,,30,59.4,,54
2017-11-03T00:48:17.993Z,,31.6,,29,60,,54
2017-11-03T00:48:27.992Z,,31.8,,,60.7,,54
2017-11-03T00:48:37.995Z,,31.9,,,61.3,,54
2017-11-03T00:48:47.993Z,,31.9,,,62,,54
2017-11-03T00:48:58.008Z,,32,,,62.4,,54
2017-11-03T00:49:08.020Z,,32.1,,,62.8,,54
2017-11-03T00:49:18.005Z,,32.3,,,63.2,,54
2017-11-03T00:49:27.992Z,,32.3,,,63.5,,54
2017-11-03T00:49:37.998Z,,32.3,,,63.9,,54
2017-11-03T00:49:48.001Z,0,32.3,61,30,64.1,2,54
2017-11-03T00:49:58.000Z,,32.3,,29,64.4,,54
2017-11-03T00:50:07.994Z,,32.3,,30,64.6,,54
2017-11-03T00:50:17.994Z,,32.4,,29,64.8,,54
2017-11-03T00:50:28.003Z,0,32.5,,0,64.9,2,54
2017-11-03T00:50:37.995Z,,32.5,,,61.9,,54
2017-11-03T00:50:48.000Z,,32.6,,,60.9,,54
2017-11-03T00:50:58.031Z,,32.6,,,59.9,,54
2017-11-03T00:51:08.009Z,,32.4,,,58.9,,54
2017-11-03T00:51:18.017Z,,32.4,,,57.9,,54
2017-11-03T00:51:27.993Z,,32.4,,,57.3,,54
2017-11-03T00:51:38.032Z,,32.4,,,56.7,,54
2017-11-03T00:51:47.999Z,,32.7,,,55.9,,54
2017-11-03T00:51:58.003Z,,32.2,,,55.4,,54
2017-11-03T00:52:08.008Z,,32.3,,,54.9,,54
2017-11-03T00:52:18.021Z,,32.3,,,54.5,,54
2017-11-03T00:52:28.002Z,,32.1,,,53.8,,54
2017-11-03T00:52:38.015Z,0,32.1,,42,56.1,2,54
2017-11-03T00:52:48.001Z,,31.9,,32,58,,54
2017-11-03T00:52:58.001Z,,31.6,,29,58.1,,54
2017-11-03T00:53:08.004Z,,31.6,,30,59.1,,54
2017-11-03T00:53:18.009Z,,31.6,,29,60,,54
2017-11-03T00:53:28.000Z,,31.6,,30,60.7,,54
2017-11-03T00:53:38.000Z,,31.8,,30,61.4,,54
2017-11-03T00:53:47.994Z,,31.8,,29,62,,54
2017-11-03T00:53:58.002Z,,32,,30,62.6,,54
2017-11-03T00:54:08.001Z,,32.1,,29,63.1,,54
2017-11-03T00:54:18.005Z,,32.1,,,63.4,,54
2017-11-03T00:54:27.997Z,,32.2,,,63.8,,54
2017-11-03T00:54:38.001Z,,32.2,,,64.1,,54
2017-11-03T00:54:47.996Z,,32.3,,,64.5,,54
2017-11-03T00:54:58.008Z,,32.2,,,64.7,,54
2017-11-03T00:55:07.995Z,,32.2,,0,65.1,,54
2017-11-03T00:55:17.997Z,0,32.4,,,62.8,2,54
2017-11-03T00:55:28.007Z,,32.3,,,61.5,,54
2017-11-03T00:55:37.996Z,,32.2,,,60.6,,54
2017-11-03T00:55:47.999Z,,32.1,,,59.4,,54
2017-11-03T00:55:58.016Z,,32,,,58.5,,54
2017-11-03T00:56:08.016Z,,32.2,,,57.8,,54
2017-11-03T00:56:18.000Z,,32.1,,,56.9,,54
2017-11-03T00:56:28.001Z,,32,,,56.4,,54
2017-11-03T00:56:38.002Z,,32.1,,,55.7,,54
2017-11-03T00:56:47.996Z,,32,,,55.2,,54
2017-11-03T00:56:58.004Z,,32,,,54.7,,54
2017-11-03T00:57:08.003Z,,31.9,,,54.3,,54
2017-11-03T00:57:17.998Z,,31.6,,,53.8,,54
2017-11-03T00:57:28.008Z,,31.6,,,53.5,,54
2017-11-03T00:57:38.000Z,0,31.8,,43,55,2,54
2017-11-03T00:57:48.006Z,,31.5,,33,57.6,,54
2017-11-03T00:57:57.999Z,,31.3,,29,58.1,,54
2017-11-03T00:58:07.996Z,,31.3,,,59,,54
2017-11-03T00:58:18.007Z,,31.4,,,59.7,,54
2017-11-03T00:58:27.996Z,,31.4,,,60.5,,54
2017-11-03T00:58:38.001Z,,31.5,,,61.2,,54
2017-11-03T00:58:48.005Z,,31.6,,,62,,54
2017-11-03T00:58:58.002Z,,31.9,,,62.4,,54
2017-11-03T00:59:08.002Z,,31.9,,,62.8,,54
2017-11-03T00:59:18.016Z,,32,,30,63.3,,54
2017-11-03T00:59:28.001Z,,32,,29,63.6,,54
2017-11-03T00:59:38.001Z,,32,,,64,,54
2017-11-03T00:59:47.999Z,,31.9,,,64.4,,54
2017-11-03T00:59:58.003Z,,31.9,,,64.6,,54
2017-11-03T01:00:08.003Z,,32,,,64.8,,54
2017-11-03T01:00:18.004Z,0,32.1,,0,63.5,2,54
2017-11-03T01:00:28.003Z,,32.1,,,61.8,,54
2017-11-03T01:00:38.004Z,,31.9,,,60.9,,54
2017-11-03T01:00:48.010Z,,32,,,59.7,,54
2017-11-03T01:00:58.005Z,,31.9,,,58.8,,54
2017-11-03T01:01:08.009Z,,31.8,,,57.9,,54
2017-11-03T01:01:17.998Z,,31.9,,,56.9,,54
2017-11-03T01:01:28.001Z,,32,,,56.5,,54
2017-11-03T01:01:38.024Z,,32.1,,,55.9,,54
2017-11-03T01:01:48.003Z,,32.1,,,55.3,,54
2017-11-03T01:01:58.005Z,,32.1,,,54.9,,54
2017-11-03T01:02:08.001Z,,32.1,,,54.4,,54
2017-11-03T01:02:18.006Z,,32,,,53.9,,54
2017-11-03T01:02:28.006Z,,31.9,,,53.5,,54
2017-11-03T01:02:38.002Z,0,31.8,,44,55.1,2,54
2017-11-03T01:02:48.007Z,,31.6,,33,57.7,,54
2017-11-03T01:02:58.006Z,,31.4,,29,58,,54
2017-11-03T01:03:08.007Z,,31.4,,,59,,54
2017-11-03T01:03:18.007Z,,31.4,,30,59.8,,54
2017-11-03T01:03:28.002Z,,31.6,,29,60.5,,54
2017-11-03T01:03:38.001Z,,31.6,,,61.2,,54
2017-11-03T01:03:48.010Z,,31.8,,,62,,54
2017-11-03T01:03:58.004Z,,31.9,,,62.5,,54
2017-11-03T01:04:08.002Z,,32.1,,,63.1,,54
2017-11-03T01:04:18.005Z,,32.2,,,63.3,,54
2017-11-03T01:04:28.002Z,,32.3,,,63.8,,54
2017-11-03T01:04:38.007Z,,32.2,,,64.1,,54
2017-11-03T01:04:48.020Z,,32.3,,,64.4,,54
2017-11-03T01:04:58.009Z,,32.2,,,64.7,,54
