Time,HwTOutlet,HwActive,PrimTSet,ActPow,HwTSet,ChActive,PrimT
2018-01-07T00:53:09.646Z,20.8,,,,54,,
2018-01-07T00:53:19.638Z,20.5,,,,54,,38.8
2018-01-07T00:53:39.641Z,20.5,,,,54,,
2018-01-07T00:53:49.640Z,20.2,,,,54,,
2018-01-07T00:54:09.652Z,20.1,,,,54,,
2018-01-07T00:54:29.638Z,20,,,,54,,
2018-01-07T00:54:39.639Z,19.8,,,,54,,
2018-01-07T00:54:49.645Z,,0,,45,,2,39.1
2018-01-07T00:54:59.651Z,19.8,,,32,54,,44.2
2018-01-07T00:55:09.641Z,19.7,,,29,54,,43
2018-01-07T00:55:19.641Z,19.8,,,,54,,42.9
2018-01-07T00:55:29.646Z,20.5,,,29,54,,44
2018-01-07T00:55:39.643Z,20.9,,,,54,,43.7
2018-01-07T00:55:49.643Z,21.5,,,,54,,44
2018-01-07T00:55:59.639Z,21.9,,,,54,,
2018-01-07T00:56:09.638Z,22.7,,,,54,,
2018-01-07T00:56:19.641Z,,,,,,,44.1
2018-01-07T00:56:29.641Z,23.1,,,,54,,44.2
2018-01-07T00:56:39.640Z,23.6,,,,54,,44.3
2018-01-07T00:56:49.641Z,23.7,,,,54,,
2018-01-07T00:56:59.644Z,23.8,,,,54,,44.4
2018-01-07T00:57:09.643Z,,,,29,,,44.6
2018-01-07T00:57:19.643Z,24,,,,54,,
2018-01-07T00:57:29.644Z,,,,,,,44.7
2018-01-07T00:57:39.646Z,24.2,,,,54,,
2018-01-07T00:57:49.645Z,24.4,,,,54,,
2018-01-07T00:57:59.646Z,24.5,,,,54,,44.8
2018-01-07T00:58:09.642Z,,,,30,,,45
2018-01-07T00:58:19.644Z,24.8,,,29,54,,45
2018-01-07T00:58:29.642Z,24.9,,,,54,,
2018-01-07T00:58:39.644Z,,,,30,,,45.3
2018-01-07T00:58:49.646Z,25,,,,54,,
2018-01-07T00:58:59.649Z,,,,29,,,45.4
2018-01-07T00:59:09.646Z,25.1,,,,54,,45.6
2018-01-07T00:59:19.640Z,25.3,,,,54,,
2018-01-07T00:59:29.640Z,25.5,,,,54,,45.7
2018-01-07T00:59:39.643Z,25.6,,,29,54,,45.9
2018-01-07T00:59:49.644Z,25.7,,,,54,,46.1
2018-01-07T00:59:59.646Z,25.7,,,,54,,46.2
2018-01-07T01:00:09.641Z,25.9,,,,54,,46.3
2018-01-07T01:00:29.667Z,26.1,,,,54,,46.5
2018-01-07T01:00:39.642Z,26.3,,,,54,,46.6
2018-01-07T01:00:59.655Z,26.3,,,,54,,46.7
2018-01-07T01:01:09.649Z,26.5,,,,54,,46.8
2018-01-07T01:01:19.643Z,26.5,,,,54,,47
2018-01-07T01:01:29.648Z,26.7,,,,54,,
2018-01-07T01:01:39.643Z,,,,,,,47.1
2018-01-07T01:01:49.647Z,26.7,0,,0,54,2,45.7
2018-01-07T01:01:59.652Z,26.8,,,,54,,43.8
2018-01-07T01:02:09.643Z,26.9,,,,54,,43.7
2018-01-07T01:02:19.647Z,26.8,,,,54,,42.2
2018-01-07T01:02:29.645Z,26.7,,,,54,,41.5
2018-01-07T01:02:39.643Z,26.5,,,,54,,
2018-01-07T01:02:49.647Z,,,,,,,40.9
2018-01-07T01:02:59.644Z,26.3,,,,54,,40.2
2018-01-07T01:03:09.652Z,26.2,,,,54,,39.8
2018-01-07T01:03:19.652Z,26.1,,,,54,,
2018-01-07T01:03:29.655Z,26,,,,54,,39.5
2018-01-07T01:03:39.654Z,26,,,,54,,38.9
2018-01-07T01:03:49.650Z,25.7,,,,54,,38.8
2018-01-07T01:03:59.677Z,25.7,,,,54,,38.6
2018-01-07T01:04:09.652Z,25.7,,,,54,,38.4
2018-01-07T01:04:19.653Z,25.6,,,,54,,38
2018-01-07T01:04:29.652Z,25.5,,,,54,,37.9
2018-01-07T01:04:39.652Z,25.4,,,,54,,
2018-01-07T01:04:49.660Z,25.3,,,,54,,37.6
2018-01-07T01:04:59.659Z,25.1,,,,54,,
2018-01-07T01:05:09.656Z,25,,,,54,,
2018-01-07T01:05:29.648Z,25.1,,,,54,,
2018-01-07T01:05:39.658Z,25,,,,54,,
2018-01-07T01:05:59.652Z,24.8,,,,54,,
2018-01-07T01:06:09.650Z,24.4,,,,54,,37.5
2018-01-07T01:06:19.648Z,24,,,,54,,
2018-01-07T01:06:29.647Z,23.8,,,,54,,
2018-01-07T01:06:39.648Z,23.4,,,,54,,37.6
2018-01-07T01:06:49.649Z,23,,,,54,,
2018-01-07T01:07:09.646Z,22.7,,,,54,,
2018-01-07T01:07:19.646Z,22.5,,,,54,,
2018-01-07T01:07:29.647Z,22.2,,,,54,,
2018-01-07T01:07:39.650Z,22.1,,,,54,,37.7
2018-01-07T01:07:49.646Z,21.9,0,,42,54,2,40.5
2018-01-07T01:07:59.658Z,21.6,,,31,54,,44.2
2018-01-07T01:08:09.656Z,21.5,,,29,54,,42.8
2018-01-07T01:08:19.652Z,21.7,,,29,54,,43
2018-01-07T01:08:29.650Z,22.2,,,29,54,,44
2018-01-07T01:08:39.650Z,22.6,,,,54,,
2018-01-07T01:08:49.652Z,23,,,,54,,44.2
2018-01-07T01:08:59.655Z,23.3,,,,54,,44.5
2018-01-07T01:09:09.652Z,23.7,,,,54,,44.9
2018-01-07T01:09:19.651Z,23.9,,,,54,,45
2018-01-07T01:09:29.652Z,24.2,,,,54,,
2018-01-07T01:09:39.654Z,24.3,,,,54,,45.2
2018-01-07T01:09:49.646Z,24.5,,,,54,,45.3
2018-01-07T01:09:59.652Z,24.8,,,,54,,45.4
2018-01-07T01:10:09.650Z,24.9,,,,54,,45.5
2018-01-07T01:10:19.649Z,24.9,,,,54,,45.6
2018-01-07T01:10:29.648Z,24.9,,,,54,,
2018-01-07T01:10:39.656Z,25,,,,54,,45.7
2018-01-07T01:10:59.653Z,25.1,,,,54,,45.8
2018-01-07T01:11:09.658Z,25.3,,,29,54,,46
2018-01-07T01:11:19.651Z,25.3,,,,54,,
2018-01-07T01:11:29.652Z,25.4,,,,54,,46.1
2018-01-07T01:11:39.661Z,25.5,,,,54,,46.2
2018-01-07T01:11:49.653Z,25.6,,,,54,,46.3
2018-01-07T01:11:59.654Z,25.7,,,,54,,46.4
2018-01-07T01:12:09.651Z,25.7,,,,54,,46.5
2018-01-07T01:12:19.653Z,25.9,,,,54,,46.6
2018-01-07T01:12:29.665Z,26,,,,54,,46.7
2018-01-07T01:12:39.676Z,26.1,,,,54,,46.8
2018-01-07T01:12:49.650Z,26.2,,,,54,,47
2018-01-07T01:12:59.656Z,26.2,,,,54,,
2018-01-07T01:13:09.652Z,26.3,,,,54,,47.2
2018-01-07T01:13:19.654Z,26.5,0,,0,54,2,45.9
2018-01-07T01:13:29.651Z,26.6,,,,54,,43.9
2018-01-07T01:13:39.654Z,26.6,,,,54,,42.9
2018-01-07T01:13:49.651Z,26.6,,,,54,,42.8
2018-01-07T01:13:59.652Z,26.5,,,,54,,41.8
2018-01-07T01:14:09.655Z,26.2,,,,54,,40.9
2018-01-07T01:14:19.654Z,26.1,,,,54,,40.8
2018-01-07T01:14:29.650Z,26,,,,54,,40.4
2018-01-07T01:14:39.656Z,26,,,,54,,39.9
2018-01-07T01:14:49.652Z,25.9,,,,54,,39.6
2018-01-07T01:14:59.657Z,25.9,,,,54,,39.3
2018-01-07T01:15:09.649Z,25.7,,,,54,,38.9
2018-01-07T01:15:19.655Z,25.7,,,,54,,38.7
2018-01-07T01:15:29.668Z,25.6,,,,54,,38.5
2018-01-07T01:15:39.656Z,25.6,,,,54,,38.3
2018-01-07T01:15:49.659Z,25.6,,,,54,,37.9
2018-01-07T01:15:59.682Z,25.5,,,,54,,
