Time,HwTSet,PrimTSet,HwActive,ChActive,ActPow,HwTOutlet,PrimT
2017-12-30T00:45:23.049Z,54,,,,,31.9,34.3
2017-12-30T00:45:33.050Z,54,,,,,31.9,
2017-12-30T00:45:43.050Z,54,,,,,31.9,
2017-12-30T00:45:53.050Z,54,,,,,31.9,
2017-12-30T00:46:03.050Z,54,,,,,31.8,
2017-12-30T00:46:13.044Z,54,,,,,31.8,
2017-12-30T00:46:23.044Z,54,,,,,31.8,
2017-12-30T00:46:33.055Z,54,,,,,31.8,
2017-12-30T00:46:43.051Z,54,,,,,31.6,
2017-12-30T00:46:53.049Z,54,,,,,31.6,
2017-12-30T00:47:03.052Z,54,,,,,31.6,
2017-12-30T00:47:13.046Z,54,,,,,31.5,
2017-12-30T00:47:23.049Z,54,,,,,31.5,
2017-12-30T00:47:33.047Z,54,,,,,31.4,34.4
2017-12-30T00:47:43.050Z,54,,,,,31.4,
2017-12-30T00:47:53.056Z,54,,,,,31.3,
2017-12-30T00:48:03.056Z,54,,,,,31.2,
2017-12-30T00:48:13.053Z,54,,,,,31.2,34.5
2017-12-30T00:48:23.053Z,54,,,,,31,
2017-12-30T00:48:33.073Z,54,,,,,30.9,
2017-12-30T00:48:43.054Z,54,,,,,30.9,34.6
2017-12-30T00:48:53.053Z,54,,,,,30.8,
2017-12-30T00:49:03.064Z,54,,,,,30.7,
2017-12-30T00:49:13.053Z,54,,,,,30.7,34.7
2017-12-30T00:49:23.050Z,54,,,,,30.6,
2017-12-30T00:49:33.054Z,54,,,,,30.4,
2017-12-30T00:49:43.055Z,54,,,,,30.4,
2017-12-30T00:49:53.049Z,54,,,,,30.3,34.8
2017-12-30T00:50:03.054Z,54,,,,,30.2,
2017-12-30T00:50:13.051Z,54,,,,,30.2,
2017-12-30T00:50:23.050Z,54,,,,,30.1,
2017-12-30T00:50:33.059Z,54,,,,,30,
2017-12-30T00:50:43.052Z,54,,,,,29.8,
2017-12-30T00:50:53.055Z,54,,,,,29.8,34.9
2017-12-30T00:51:03.053Z,54,,,,,29.7,
2017-12-30T00:51:13.051Z,54,,,,,29.6,
2017-12-30T00:51:23.054Z,54,,,,,29.6,
2017-12-30T00:51:33.054Z,54,,,,,29.5,
2017-12-30T00:51:43.057Z,54,,,,,29.3,
2017-12-30T00:51:53.053Z,54,,,,,29.3,
2017-12-30T00:52:03.048Z,54,,,,,29.2,
2017-12-30T00:52:13.051Z,54,,,,,29.1,
2017-12-30T00:52:23.057Z,54,,0,2,42,29.1,37.1
2017-12-30T00:52:33.052Z,54,,,,34,29,40
2017-12-30T00:52:43.054Z,54,,,,29,29,38.8
2017-12-30T00:52:53.066Z,54,,,,,28.9,39.1
2017-12-30T00:53:03.054Z,54,,,,,28.9,39.4
2017-12-30T00:53:13.052Z,54,,,,,28.7,39.6
2017-12-30T00:53:23.063Z,54,,,,,28.9,39.8
2017-12-30T00:53:33.055Z,54,,,,,28.9,
2017-12-30T00:53:43.058Z,54,,,,,29,40
2017-12-30T00:53:53.067Z,54,,,,,29.1,
2017-12-30T00:54:03.050Z,54,,,,30,29.2,40.1
2017-12-30T00:54:13.048Z,54,,,,29,29.3,40.2
2017-12-30T00:54:23.063Z,54,,,,30,29.5,40.3
2017-12-30T00:54:33.054Z,54,,,,29,29.7,40.4
2017-12-30T00:54:43.049Z,54,,,,,29.7,40.5
2017-12-30T00:54:53.058Z,54,,,,,29.8,
