Time,ActPow,PrimTSet,ChActive,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-07T00:40:53.091Z,,,,,54,51.4,64.7
2018-02-07T00:41:03.085Z,,,,,54,51.5,
2018-02-07T00:41:13.114Z,,,,,54,51.5,
2018-02-07T00:41:23.084Z,,,,,54,51.5,
2018-02-07T00:41:33.097Z,30,,,,54,51.6,64.8
2018-02-07T00:41:43.104Z,29,,,,54,51.6,
2018-02-07T00:41:53.089Z,,,,,54,51.6,
2018-02-07T00:42:03.095Z,,,,,54,51.6,64.9
2018-02-07T00:42:13.087Z,,,,,54,51.6,
2018-02-07T00:42:23.148Z,,,,,54,51.7,
2018-02-07T00:42:33.119Z,0,,1,0,54,51.7,64.8
2018-02-07T00:42:43.125Z,,,,,54,51.7,61.9
2018-02-07T00:42:53.094Z,,,,,54,51.7,60.9
2018-02-07T00:43:03.132Z,,,,,54,51.8,59.7
2018-02-07T00:43:13.084Z,,,,,54,51.8,58.8
2018-02-07T00:43:23.161Z,,,,,54,51.8,57.9
2018-02-07T00:43:33.088Z,,,,,54,51.8,57.2
2018-02-07T00:43:43.091Z,,,,,54,51.7,56.6
2018-02-07T00:43:53.097Z,,,,,54,51.7,55.9
2018-02-07T00:44:03.107Z,,,,,54,51.6,55.5
2018-02-07T00:44:13.109Z,,,,,54,51.5,55.1
2018-02-07T00:44:23.107Z,44,,1,0,54,51.4,56.4
2018-02-07T00:44:33.087Z,31,,,,54,51.3,59
2018-02-07T00:44:43.172Z,29,,,,54,51.2,58.8
2018-02-07T00:44:53.088Z,,,,,54,51.1,60
2018-02-07T00:45:03.181Z,,,,,54,51,60.5
2018-02-07T00:45:13.177Z,,,,,54,51,61.1
2018-02-07T00:45:23.094Z,,,,,54,50.9,61.5
2018-02-07T00:45:33.185Z,,,,,54,50.9,62
2018-02-07T00:45:43.092Z,,,,,54,50.8,62.2
2018-02-07T00:45:53.099Z,,,,,54,50.8,62.5
2018-02-07T00:46:03.097Z,30,,,,54,50.8,62.7
2018-02-07T00:46:13.088Z,,,,,54,50.8,62.8
2018-02-07T00:46:23.120Z,,,,,54,50.9,63.1
2018-02-07T00:46:38.274Z,29,,,,54,50.9,63.2
2018-02-07T00:46:43.100Z,,,,,54,50.9,
2018-02-07T00:46:53.100Z,,,,,54,50.9,63.3
2018-02-07T00:47:03.131Z,30,,,,54,50.9,63.4
2018-02-07T00:47:13.092Z,29,,,,54,51,63.5
2018-02-07T00:47:23.090Z,,,,,54,51,63.6
2018-02-07T00:47:33.134Z,,,,,54,51,
2018-02-07T00:47:43.093Z,,,,,54,51,63.8
2018-02-07T00:47:53.102Z,,,,,54,51,
2018-02-07T00:48:03.091Z,,,,,54,51,63.9
2018-02-07T00:48:13.165Z,,,,,54,51,
2018-02-07T00:48:23.255Z,,,,,54,51.1,
2018-02-07T00:48:33.164Z,,,,,54,51.1,64
2018-02-07T00:48:43.096Z,,,,,54,51.1,
2018-02-07T00:48:53.173Z,,,,,54,51.1,
2018-02-07T00:49:03.128Z,,,,,54,51.1,
2018-02-07T00:49:13.093Z,,,,,54,51.1,
2018-02-07T00:49:23.135Z,,,,,54,51.1,64.1
2018-02-07T00:49:33.090Z,30,,,,54,51.1,
2018-02-07T00:49:43.124Z,29,,,,54,51.1,
2018-02-07T00:49:53.113Z,,,,,54,51.2,
2018-02-07T00:50:03.177Z,,,,,54,51.2,64.2
2018-02-07T00:50:13.094Z,,,,,54,51.2,
2018-02-07T00:50:23.105Z,,,,,54,51.2,
2018-02-07T00:50:33.144Z,,,,,54,51.2,
2018-02-07T00:50:43.100Z,,,,,54,51.3,
2018-02-07T00:50:53.148Z,,,,,54,51.3,
2018-02-07T00:51:03.093Z,,,,,54,51.3,64.4
2018-02-07T00:51:13.090Z,,,,,54,51.3,
2018-02-07T00:51:23.165Z,30,,,,54,51.3,
2018-02-07T00:51:33.118Z,29,,,,54,51.4,64.5
2018-02-07T00:51:43.120Z,30,,,,54,51.4,
2018-02-07T00:51:53.097Z,29,,,,54,51.4,
2018-02-07T00:52:03.090Z,,,,,54,51.4,
2018-02-07T00:52:13.093Z,,,,,54,51.5,64.6
2018-02-07T00:52:23.134Z,,,,,54,51.5,
2018-02-07T00:52:33.093Z,,,,,54,51.5,
2018-02-07T00:52:43.125Z,,,,,54,51.5,
2018-02-07T00:52:53.095Z,,,,,54,51.5,64.7
2018-02-07T00:53:03.094Z,,,,,54,51.5,
2018-02-07T00:53:13.107Z,,,,,54,51.6,
2018-02-07T00:53:23.098Z,30,,,,54,51.6,64.8
2018-02-07T00:53:33.095Z,29,,,,54,51.6,
2018-02-07T00:53:43.235Z,,,,,54,51.6,
2018-02-07T00:53:53.100Z,,,,,54,51.6,
2018-02-07T00:54:03.112Z,,,,,54,51.6,64.9
2018-02-07T00:54:13.103Z,,,,,54,51.7,
2018-02-07T00:54:23.139Z,,,,,54,51.7,
2018-02-07T00:54:33.100Z,0,,1,0,54,51.7,62.8
2018-02-07T00:54:43.125Z,,,,,54,51.7,61.4
2018-02-07T00:54:53.111Z,,,,,54,51.7,60.4
2018-02-07T00:55:03.150Z,,,,,54,51.8,58.9
2018-02-07T00:55:13.100Z,,,,,54,51.8,58.3
2018-02-07T00:55:23.096Z,,,,,54,51.8,57.6
2018-02-07T00:55:33.091Z,,,,,54,51.7,56.8
2018-02-07T00:55:43.327Z,,,,,54,51.7,56.3
2018-02-07T00:55:53.101Z,,,,,54,51.6,55.7
2018-02-07T00:56:03.099Z,,,,,54,51.6,55.3
2018-02-07T00:56:13.149Z,,,1,0,54,51.5,54.8
2018-02-07T00:56:23.100Z,38,,,,54,51.4,58.3
2018-02-07T00:56:33.191Z,29,,,,54,51.3,58.9
2018-02-07T00:56:43.102Z,,,,,54,51.2,59.4
2018-02-07T00:56:53.152Z,,,,,54,51.1,60.4
2018-02-07T00:57:03.322Z,,,,,54,51,60.7
2018-02-07T00:57:13.133Z,,,,,54,51,61.3
2018-02-07T00:57:23.093Z,,,,,54,50.9,61.8
2018-02-07T00:57:33.127Z,29,,,,54,50.9,62.1
2018-02-07T00:57:43.126Z,,,,,54,50.9,62.4
2018-02-07T00:57:53.104Z,,,,,54,50.9,62.6
2018-02-07T00:58:03.098Z,30,,,,54,50.9,62.8
2018-02-07T00:58:13.124Z,29,,,,54,50.9,63.1
2018-02-07T00:58:23.111Z,,,,,54,50.9,
2018-02-07T00:58:33.147Z,,,,,54,50.9,63.2
2018-02-07T00:58:43.154Z,,,,,54,51,63.3
2018-02-07T00:58:53.111Z,30,,,,54,51,63.4
2018-02-07T00:59:03.115Z,29,,,,54,51,
2018-02-07T00:59:13.103Z,30,,,,54,51,63.5
2018-02-07T00:59:23.095Z,29,,,,54,51,63.6
2018-02-07T00:59:33.108Z,,,,,54,51.1,63.8
2018-02-07T00:59:43.129Z,,,,,54,51.1,
2018-02-07T00:59:53.123Z,,,,,54,51.1,63.9
2018-02-07T01:00:03.107Z,,,,,54,51.1,
2018-02-07T01:00:13.155Z,,,,,54,51.1,
2018-02-07T01:00:23.107Z,29,,,,54,51.1,64
2018-02-07T01:00:33.116Z,,,,,54,51.1,
2018-02-07T01:00:43.124Z,,,,,54,51.2,
2018-02-07T01:00:53.142Z,,,,,54,51.2,
2018-02-07T01:01:03.117Z,,,,,54,51.2,64.1
2018-02-07T01:01:13.097Z,,,,,54,51.2,
2018-02-07T01:01:23.117Z,,,,,54,51.2,
2018-02-07T01:01:33.098Z,,,,,54,51.2,
2018-02-07T01:01:43.103Z,,,,,54,51.2,
2018-02-07T01:01:53.108Z,,,,,54,51.2,64.2
2018-02-07T01:02:03.098Z,,,,,54,51.3,
2018-02-07T01:02:13.132Z,,,,,54,51.3,
2018-02-07T01:02:23.099Z,,,,,54,51.3,
2018-02-07T01:02:33.150Z,30,,,,54,51.3,
2018-02-07T01:02:43.136Z,29,,,,54,51.3,64.4
2018-02-07T01:02:53.125Z,,,,,54,51.3,
2018-02-07T01:03:03.108Z,,,,,54,51.3,
2018-02-07T01:03:13.115Z,30,,,,54,51.3,
2018-02-07T01:03:23.128Z,29,,,,54,51.4,64.5
2018-02-07T01:03:33.108Z,,,,,54,51.4,
2018-02-07T01:03:43.113Z,,,,,54,51.4,
2018-02-07T01:03:53.192Z,,,,,54,51.4,
2018-02-07T01:04:03.101Z,,,,,54,51.4,64.6
2018-02-07T01:04:13.150Z,,,,,54,51.5,
2018-02-07T01:04:23.112Z,,,,,54,51.5,
2018-02-07T01:04:33.304Z,,,,,54,51.5,64.7
2018-02-07T01:04:43.100Z,,,,,54,51.5,
2018-02-07T01:04:53.142Z,,,,,54,51.5,
2018-02-07T01:05:03.137Z,,,,,54,51.5,
2018-02-07T01:05:13.147Z,30,,,,54,51.6,64.8
2018-02-07T01:05:23.140Z,29,,,,54,51.6,
2018-02-07T01:05:33.123Z,30,,,,54,51.6,
2018-02-07T01:05:43.099Z,29,,,,54,51.7,64.9
2018-02-07T01:05:53.100Z,,,,,54,51.7,
2018-02-07T01:06:03.101Z,,,,,54,51.7,
2018-02-07T01:06:13.111Z,,,,,54,51.7,
2018-02-07T01:06:23.106Z,0,,1,0,54,51.7,62.7
2018-02-07T01:06:33.104Z,,,,,54,51.8,61.3
2018-02-07T01:06:43.100Z,,,,,54,51.8,59.9
2018-02-07T01:06:53.104Z,,,,,54,51.8,58.9
2018-02-07T01:07:03.125Z,,,,,54,51.8,58.3
2018-02-07T01:07:13.204Z,,,1,0,54,51.8,57.4
2018-02-07T01:07:23.154Z,,,,,54,51.8,56.8
2018-02-07T01:07:33.100Z,,,,,54,51.7,56.2
2018-02-07T01:07:43.115Z,,,,,54,51.7,55.7
2018-02-07T01:07:53.172Z,,,,,54,51.6,55.2
2018-02-07T01:08:03.107Z,,,1,0,54,51.5,54.8
2018-02-07T01:08:13.101Z,37,,,,54,51.4,58.4
2018-02-07T01:08:23.105Z,29,,,,54,51.3,58.9
2018-02-07T01:08:33.102Z,,,,,54,51.2,59.5
2018-02-07T01:08:43.118Z,,,,,54,51.1,60.4
2018-02-07T01:08:53.138Z,,,,,54,51,60.8
2018-02-07T01:09:03.117Z,,,,,54,51,61.3
2018-02-07T01:09:13.104Z,,,,,54,50.9,61.8
2018-02-07T01:09:23.116Z,,,,,54,50.9,62.1
2018-02-07T01:09:33.106Z,,,,,54,50.9,62.4
2018-02-07T01:09:43.127Z,,,,,54,50.9,62.6
2018-02-07T01:09:53.122Z,,,,,54,50.9,62.8
2018-02-07T01:10:03.108Z,,,,,54,50.9,62.9
2018-02-07T01:10:13.108Z,30,,,,54,50.9,63.1
2018-02-07T01:10:23.126Z,29,,,,54,50.9,63.2
2018-02-07T01:10:33.193Z,,,,,54,51,63.3
2018-02-07T01:10:43.108Z,,,,,54,51,63.4
2018-02-07T01:10:53.109Z,30,,,,54,51,
2018-02-07T01:11:03.106Z,29,,,,54,51,63.5
2018-02-07T01:11:13.149Z,,,,,54,51.1,63.6
2018-02-07T01:11:23.115Z,,,,,54,51.1,
2018-02-07T01:11:33.106Z,,,,,54,51.1,63.8
2018-02-07T01:11:43.113Z,,,,,54,51.1,
2018-02-07T01:11:53.160Z,,,,,54,51.1,63.9
2018-02-07T01:12:03.244Z,30,,,,54,51.1,
2018-02-07T01:12:13.157Z,29,,,,54,51.1,
2018-02-07T01:12:23.189Z,29,,,,54,51.1,64
2018-02-07T01:12:33.143Z,,,,,54,51.2,
2018-02-07T01:12:43.110Z,,,,,54,51.2,
2018-02-07T01:12:53.107Z,,,,,54,51.2,
2018-02-07T01:13:03.107Z,30,,,,54,51.2,64.1
2018-02-07T01:13:13.142Z,29,,,,54,51.2,
2018-02-07T01:13:23.110Z,30,,,,54,51.2,
2018-02-07T01:13:33.129Z,,,,,54,51.2,
2018-02-07T01:13:43.163Z,29,,,,54,51.2,
2018-02-07T01:13:53.154Z,,,,,54,51.2,64.2
2018-02-07T01:14:03.164Z,,,,,54,51.3,
2018-02-07T01:14:13.151Z,30,,,,54,51.3,
2018-02-07T01:14:23.103Z,29,,,,54,51.3,
2018-02-07T01:14:33.133Z,,,,,54,51.3,64.4
2018-02-07T01:14:43.106Z,,,,,54,51.3,
2018-02-07T01:14:53.203Z,,,,,54,51.3,
2018-02-07T01:15:03.185Z,,,,,54,51.4,
2018-02-07T01:15:13.112Z,,,,,54,51.4,64.5
2018-02-07T01:15:23.144Z,,,,,54,51.4,
2018-02-07T01:15:33.152Z,,,,,54,51.4,
2018-02-07T01:15:43.113Z,,,,,54,51.5,
2018-02-07T01:15:53.114Z,,,,,54,51.5,64.6
2018-02-07T01:16:03.104Z,,,,,54,51.5,
2018-02-07T01:16:13.195Z,,,,,54,51.5,
2018-02-07T01:16:23.115Z,,,,,54,51.5,64.7
2018-02-07T01:16:33.116Z,,,,,54,51.5,
2018-02-07T01:16:43.106Z,,,,,54,51.6,
2018-02-07T01:16:53.206Z,,,,,54,51.6,64.8
2018-02-07T01:17:03.147Z,,,,,54,51.6,
2018-02-07T01:17:13.196Z,,,,,54,51.6,
2018-02-07T01:17:23.222Z,,,,,54,51.6,
