Time,PrimT,PrimTSet,HwActive,HwTOutlet,ActPow,ChActive,HwTSet
2018-01-29T00:56:28.637Z,,,,31.6,,,54
2018-01-29T00:56:38.775Z,,,,31.5,,,54
2018-01-29T00:56:48.646Z,,,,31.5,,,54
2018-01-29T00:57:08.626Z,35.7,,,31.4,,,54
2018-01-29T00:57:18.630Z,,,,31.3,,,54
2018-01-29T00:57:28.627Z,,,,31.3,,,54
2018-01-29T00:57:38.733Z,,,,31.2,,,54
2018-01-29T00:57:48.665Z,,,,31.2,,,54
2018-01-29T00:57:58.628Z,,,,31,,,54
2018-01-29T00:58:08.699Z,,,,31,,,54
2018-01-29T00:58:18.629Z,,,,31,,,54
2018-01-29T00:58:28.630Z,,,,30.9,,,54
2018-01-29T00:58:38.739Z,,,,30.9,,,54
2018-01-29T00:58:48.843Z,35.6,,,30.8,,,54
2018-01-29T00:58:58.646Z,,,,30.8,,,54
2018-01-29T00:59:08.638Z,,,,30.7,,,54
2018-01-29T00:59:18.629Z,,,,30.7,,,54
2018-01-29T00:59:28.657Z,,,,30.7,,,54
2018-01-29T00:59:38.759Z,,,,30.6,,,54
2018-01-29T00:59:48.629Z,,,,30.6,,,54
2018-01-29T00:59:58.630Z,,,,30.4,,,54
2018-01-29T01:00:08.638Z,,,,30.4,,,54
2018-01-29T01:00:18.634Z,35.5,,,30.4,,,54
2018-01-29T01:00:28.795Z,,,,30.3,,,54
2018-01-29T01:00:38.715Z,,,,30.3,,,54
2018-01-29T01:00:48.639Z,,,,30.2,,,54
2018-01-29T01:00:58.635Z,,,,30.2,,,54
2018-01-29T01:01:08.658Z,,,,30.2,,,54
2018-01-29T01:01:18.642Z,,,,30.1,,,54
2018-01-29T01:01:28.666Z,,,,30.1,,,54
2018-01-29T01:01:38.762Z,35.4,,,30,,,54
2018-01-29T01:01:48.637Z,,,,30,,,54
2018-01-29T01:01:58.666Z,,,,30,,,54
2018-01-29T01:02:08.660Z,,,,29.8,,,54
2018-01-29T01:02:18.692Z,,,,29.8,,,54
2018-01-29T01:02:28.632Z,,,,29.8,,,54
