Time,ActPow,HwTSet,HwTOutlet,PrimTSet,PrimT,ChActive,HwActive
2017-11-30T01:05:35.422Z,,54,49.1,,58.5,,
2017-11-30T01:05:45.431Z,29,54,49.1,,58.6,,
2017-11-30T01:05:55.428Z,,54,49.1,,,,
2017-11-30T01:06:05.428Z,30,54,49.1,,58.7,,
2017-11-30T01:06:15.439Z,,54,49,,58.8,,
2017-11-30T01:06:25.439Z,29,54,49,,58.9,,
2017-11-30T01:06:35.444Z,,54,49,,58.9,,
2017-11-30T01:06:45.416Z,29,54,49,,59,,
2017-11-30T01:06:55.442Z,,54,49,,,,
2017-11-30T01:07:05.415Z,,54,49,,59.1,,
2017-11-30T01:07:15.421Z,30,54,48.9,,59.3,,
2017-11-30T01:07:25.441Z,,54,48.9,,,,
2017-11-30T01:07:35.455Z,,54,48.9,,59.4,,
2017-11-30T01:07:45.531Z,29,54,48.9,,59.5,,
2017-11-30T01:07:55.454Z,,54,48.9,,,,
2017-11-30T01:08:05.427Z,,54,48.9,,59.6,,
2017-11-30T01:08:15.410Z,,54,48.9,,,,
2017-11-30T01:08:25.408Z,,54,48.9,,59.7,,
2017-11-30T01:08:35.421Z,,54,48.9,,,,
2017-11-30T01:08:45.446Z,30,54,49,,59.8,,
2017-11-30T01:08:55.436Z,29,54,49,,,,
2017-11-30T01:09:05.451Z,,54,49,,59.9,,
2017-11-30T01:09:15.422Z,,54,49,,,,
2017-11-30T01:09:25.423Z,30,54,49.1,,60,,
2017-11-30T01:09:35.428Z,29,54,49.1,,,,
2017-11-30T01:09:45.392Z,,54,49.1,,60.1,,
2017-11-30T01:09:55.387Z,,54,49.2,,,,
2017-11-30T01:10:05.402Z,,54,49.2,,,,
2017-11-30T01:10:15.395Z,,54,49.2,,60.2,,
2017-11-30T01:10:25.389Z,30,54,49.3,,,,
2017-11-30T01:10:35.413Z,29,54,49.3,,,,
2017-11-30T01:10:45.415Z,,54,49.3,,60.4,,
2017-11-30T01:10:55.404Z,,54,49.4,,,,
2017-11-30T01:11:05.409Z,,54,49.4,,,,
2017-11-30T01:11:15.400Z,,54,49.4,,60.5,,
2017-11-30T01:11:25.419Z,,54,49.4,,,,
2017-11-30T01:11:35.404Z,,54,49.6,,,,
2017-11-30T01:11:45.407Z,,54,49.6,,,,
2017-11-30T01:11:55.412Z,,54,49.6,,,,
2017-11-30T01:12:05.406Z,,54,49.6,,,,
2017-11-30T01:12:15.413Z,30,54,49.6,,60.6,,
2017-11-30T01:12:25.486Z,29,54,49.7,,,,
2017-11-30T01:12:35.410Z,,54,49.7,,60.5,,
2017-11-30T01:12:45.426Z,,54,49.7,,,,
2017-11-30T01:12:55.402Z,,54,49.7,,,,
2017-11-30T01:13:05.426Z,,54,49.7,,,,
2017-11-30T01:13:15.418Z,,54,49.7,,,,
2017-11-30T01:13:25.407Z,,54,49.7,,,,
2017-11-30T01:13:35.412Z,,54,49.8,,60.4,,
2017-11-30T01:13:45.428Z,,54,49.8,,,,
2017-11-30T01:13:55.406Z,,54,49.8,,,,
2017-11-30T01:14:05.418Z,,54,49.9,,,,
2017-11-30T01:14:15.424Z,,54,49.9,,60.2,,
2017-11-30T01:14:25.390Z,,54,49.9,,,,
2017-11-30T01:14:35.391Z,30,54,50,,,,
2017-11-30T01:14:45.394Z,29,54,50,,,,
2017-11-30T01:14:55.390Z,,54,50,,60.1,,
2017-11-30T01:15:05.394Z,,54,50,,,,
2017-11-30T01:15:15.390Z,,54,50,,,,
2017-11-30T01:15:25.396Z,,54,50,,,,
2017-11-30T01:15:35.400Z,30,54,50,,,,
2017-11-30T01:15:45.396Z,29,54,50.1,,,,
2017-11-30T01:15:55.397Z,,54,50.1,,,,
2017-11-30T01:16:05.390Z,30,54,50.1,,,,
2017-11-30T01:16:15.397Z,29,54,50.1,,60,,
2017-11-30T01:16:25.396Z,30,54,50.1,,60.1,,
2017-11-30T01:16:35.405Z,29,54,50.1,,,,
2017-11-30T01:16:45.399Z,,54,50.1,,,,
2017-11-30T01:16:55.407Z,,54,50.1,,,,
2017-11-30T01:17:05.415Z,,54,50.1,,,,
2017-11-30T01:17:15.420Z,,54,50.2,,,,
2017-11-30T01:17:25.410Z,,54,50.2,,60.2,,
2017-11-30T01:17:35.392Z,30,54,50.2,,,,
2017-11-30T01:17:45.415Z,29,54,50.2,,60.4,,
2017-11-30T01:17:55.410Z,30,54,50.2,,,,
