Time,HwActive,PrimT,HwTSet,ChActive,PrimTSet,HwTOutlet,ActPow
2018-02-01T00:45:41.301Z,,51.4,54,,,15.6,
2018-02-01T00:45:51.278Z,,,54,,,15.6,
2018-02-01T00:46:01.188Z,,,54,,,15.6,
2018-02-01T00:46:11.133Z,,,54,,,15.7,
2018-02-01T00:46:21.160Z,,,54,,,15.7,
2018-02-01T00:46:31.149Z,,,54,,,15.7,
2018-02-01T00:46:41.138Z,,51.3,54,,,15.7,
2018-02-01T00:46:51.249Z,,,54,,,15.6,
2018-02-01T00:47:01.129Z,,,54,,,15.6,
2018-02-01T00:47:11.139Z,,,54,,,15.4,
2018-02-01T00:47:21.135Z,,,54,,,15.3,
2018-02-01T00:47:31.141Z,,51.2,54,,,15.3,
2018-02-01T00:47:41.129Z,,,54,,,15.3,
2018-02-01T00:47:51.360Z,,,54,,,15.1,
2018-02-01T00:48:01.199Z,,,54,,,15,
2018-02-01T00:48:11.142Z,,,54,,,15,
2018-02-01T00:48:21.159Z,,,54,,,14.8,
2018-02-01T00:48:31.187Z,,51.1,54,,,14.7,
2018-02-01T00:48:41.138Z,,,54,,,14.7,
2018-02-01T00:48:51.256Z,,,54,,,14.5,
2018-02-01T00:49:01.148Z,,,54,,,14.3,
2018-02-01T00:49:11.136Z,,,54,,,14.3,
2018-02-01T00:49:21.160Z,,,54,,,14.2,
2018-02-01T00:49:31.163Z,,,54,,,14.2,
2018-02-01T00:49:41.133Z,,51,54,,,14.2,
2018-02-01T00:49:51.395Z,,,54,,,14.2,
2018-02-01T00:50:01.187Z,,,54,,,14,
2018-02-01T00:50:11.134Z,,,54,,,14,
2018-02-01T00:50:21.179Z,,,54,,,14,
2018-02-01T00:50:31.132Z,,,54,,,14,
2018-02-01T00:50:41.137Z,,51,54,,,14,
2018-02-01T00:50:51.279Z,,50.9,54,,,14,
2018-02-01T00:51:01.139Z,,,54,,,14,
2018-02-01T00:51:11.151Z,,,54,,,14,
2018-02-01T00:51:21.145Z,,,54,,,13.9,
2018-02-01T00:51:31.138Z,,,54,,,14,
2018-02-01T00:51:41.161Z,,50.7,54,,,14,
2018-02-01T00:51:51.245Z,,,54,,,14,
2018-02-01T00:52:01.132Z,,,54,,,14,
2018-02-01T00:52:11.163Z,,,54,,,14,
2018-02-01T00:52:21.132Z,,,54,,,14,
2018-02-01T00:52:31.136Z,,,54,,,14,
2018-02-01T00:52:41.132Z,,,54,,,14,
2018-02-01T00:52:51.297Z,,50.6,54,,,14,
2018-02-01T00:53:06.207Z,,,54,,,14,
2018-02-01T00:53:11.158Z,,,54,,,14,
2018-02-01T00:53:21.138Z,,,54,,,14,
2018-02-01T00:53:36.247Z,,,54,,,14,
2018-02-01T00:53:41.174Z,,,54,,,14,
2018-02-01T00:53:51.421Z,,50.5,54,,,14,
2018-02-01T00:54:01.159Z,,,54,,,14,
2018-02-01T00:54:11.162Z,,,54,,,14,
2018-02-01T00:54:21.135Z,,,54,,,14,
2018-02-01T00:54:31.182Z,,,54,,,14,
2018-02-01T00:54:41.174Z,,,54,,,14,
2018-02-01T00:54:51.254Z,,,54,,,14,
2018-02-01T00:55:01.137Z,,50.4,54,,,14,
2018-02-01T00:55:16.252Z,,,54,,,14,
2018-02-01T00:55:21.146Z,0,50.4,54,0,5,14,0
2018-02-01T00:55:31.154Z,,,54,,,14,
2018-02-01T00:55:41.133Z,,,54,,,14,
2018-02-01T00:55:51.249Z,,,54,,,14,
2018-02-01T00:56:01.154Z,,,54,,,14,
2018-02-01T00:56:11.170Z,,50.3,54,,,14,
2018-02-01T00:56:21.134Z,,,54,,,14,
2018-02-01T00:56:31.161Z,,,54,,,14,
2018-02-01T00:56:41.149Z,,,54,,,14,
2018-02-01T00:56:56.421Z,,,54,,,14,
2018-02-01T00:57:01.152Z,,,54,,,13.9,
2018-02-01T00:57:11.175Z,,,54,,,13.9,
2018-02-01T00:57:21.134Z,,,54,,,13.9,
2018-02-01T00:57:31.138Z,,50.2,54,,,13.9,
2018-02-01T00:57:41.135Z,,,54,,,13.9,
2018-02-01T00:57:51.247Z,,,54,,,13.9,
2018-02-01T00:58:01.178Z,,,54,,,13.9,
2018-02-01T00:58:11.162Z,,,54,,,13.9,
2018-02-01T00:58:21.141Z,,,54,,,13.9,
2018-02-01T00:58:31.136Z,,,54,,,13.9,
2018-02-01T00:58:41.151Z,,50.1,54,,,13.9,
2018-02-01T00:58:51.241Z,,,54,,,13.9,
2018-02-01T00:59:01.229Z,,,54,,,13.9,
2018-02-01T00:59:11.214Z,,,54,,,13.9,
2018-02-01T00:59:21.139Z,,,54,,,13.9,
2018-02-01T00:59:31.151Z,,,54,,,13.9,
2018-02-01T00:59:41.153Z,,50,54,,,13.9,
2018-02-01T00:59:51.285Z,,,54,,,13.9,
2018-02-01T01:00:01.142Z,,,54,,,13.9,
2018-02-01T01:00:11.136Z,,,54,,,13.9,
2018-02-01T01:00:21.135Z,,,54,,,13.7,
2018-02-01T01:00:31.136Z,,,54,,,13.9,
2018-02-01T01:00:41.144Z,,49.9,54,,,13.9,
2018-02-01T01:00:51.268Z,,49.9,54,,,13.7,
2018-02-01T01:01:01.205Z,,,54,,,13.7,
2018-02-01T01:01:11.191Z,,,54,,,13.7,
2018-02-01T01:01:21.170Z,,,54,,,13.7,
2018-02-01T01:01:31.141Z,,,54,,,13.7,
2018-02-01T01:01:41.142Z,,,54,,,13.7,
2018-02-01T01:01:51.239Z,,,54,,,13.7,
2018-02-01T01:02:01.155Z,,49.8,54,,,13.7,
2018-02-01T01:02:11.139Z,,,54,,,13.7,
2018-02-01T01:02:21.180Z,,,54,,,13.7,
2018-02-01T01:02:31.146Z,,,54,,,13.7,
2018-02-01T01:02:41.137Z,,,54,,,13.7,
2018-02-01T01:02:51.283Z,,,54,,,13.6,
2018-02-01T01:03:01.141Z,,49.7,54,,,13.7,
2018-02-01T01:03:11.139Z,,,54,,,13.7,
2018-02-01T01:03:21.155Z,,,54,,,13.7,
2018-02-01T01:03:31.139Z,,,54,,,13.7,
2018-02-01T01:03:41.139Z,,,54,,,13.6,
2018-02-01T01:03:51.250Z,,,54,,,13.6,
2018-02-01T01:04:01.154Z,,,54,,,13.6,
2018-02-01T01:04:11.148Z,,49.6,54,,,13.6,
2018-02-01T01:04:21.177Z,,,54,,,13.6,
2018-02-01T01:04:31.201Z,,,54,,,13.6,
2018-02-01T01:04:41.159Z,,,54,,,13.6,
2018-02-01T01:04:51.248Z,,,54,,,13.6,
2018-02-01T01:05:01.141Z,,,54,,,13.6,
2018-02-01T01:05:11.170Z,,,54,,,13.6,
2018-02-01T01:05:21.169Z,,49.5,54,,,13.6,
2018-02-01T01:05:31.144Z,,,54,,,13.6,
2018-02-01T01:05:41.148Z,,,54,,,13.6,
2018-02-01T01:05:51.254Z,,,54,,,13.6,
2018-02-01T01:06:01.350Z,,,54,,,13.4,
2018-02-01T01:06:11.154Z,,,54,,,13.6,
2018-02-01T01:06:21.143Z,,,54,,,13.6,
2018-02-01T01:06:31.143Z,,49.4,54,,,13.6,
2018-02-01T01:06:41.175Z,,,54,,,13.6,
2018-02-01T01:06:51.282Z,,,54,,,13.4,
2018-02-01T01:07:01.145Z,,,54,,,13.6,
2018-02-01T01:07:11.157Z,,,54,,,13.6,
2018-02-01T01:07:21.174Z,,,54,,,13.6,
2018-02-01T01:07:31.149Z,,,54,,,13.6,
2018-02-01T01:07:41.178Z,,,54,,,13.6,
2018-02-01T01:07:51.315Z,,49.3,54,,,13.6,
2018-02-01T01:08:01.366Z,,,54,,,13.6,
2018-02-01T01:08:11.175Z,,,54,,,13.6,
2018-02-01T01:08:21.167Z,,,54,,,13.6,
2018-02-01T01:08:31.150Z,,,54,,,13.6,
2018-02-01T01:08:41.145Z,,,54,,,13.6,
2018-02-01T01:08:51.243Z,,49.2,54,,,13.6,
2018-02-01T01:09:01.148Z,,,54,,,13.6,
2018-02-01T01:09:11.155Z,,,54,,,13.4,
2018-02-01T01:09:21.146Z,,,54,,,13.4,
2018-02-01T01:09:31.192Z,,,54,,,13.4,
2018-02-01T01:09:41.147Z,,,54,,,13.4,
2018-02-01T01:09:51.252Z,,,54,,,13.4,
2018-02-01T01:10:01.152Z,,,54,,,13.4,
2018-02-01T01:10:11.147Z,,49.1,54,,,13.4,
2018-02-01T01:10:21.148Z,,,54,,,13.4,
2018-02-01T01:10:31.161Z,,,54,,,13.4,
2018-02-01T01:10:41.151Z,,,54,,,13.4,
2018-02-01T01:10:51.243Z,,,54,,,13.4,
2018-02-01T01:11:01.161Z,,,54,,,13.4,
2018-02-01T01:11:11.163Z,,49,54,,,13.4,
2018-02-01T01:11:21.144Z,,,54,,,13.4,
2018-02-01T01:11:31.168Z,,,54,,,13.4,
2018-02-01T01:11:41.192Z,,,54,,,13.4,
2018-02-01T01:11:51.256Z,,,54,,,13.4,
2018-02-01T01:12:01.150Z,,,54,,,13.4,
2018-02-01T01:12:11.146Z,,,54,,,13.2,
2018-02-01T01:12:21.149Z,,48.9,54,,,13.4,
2018-02-01T01:12:31.148Z,,,54,,,13.4,
2018-02-01T01:12:41.181Z,,,54,,,13.4,
2018-02-01T01:12:51.270Z,,,54,,,13.4,
2018-02-01T01:13:01.151Z,,,54,,,13.2,
2018-02-01T01:13:11.146Z,,,54,,,13.2,
2018-02-01T01:13:21.146Z,,,54,,,13.4,
2018-02-01T01:13:31.145Z,,48.8,54,,,13.2,
2018-02-01T01:13:46.283Z,,,54,,,13.2,
2018-02-01T01:13:51.254Z,,,54,,,13.2,
2018-02-01T01:14:01.165Z,,,54,,,13.2,
2018-02-01T01:14:11.148Z,,,54,,,13.2,
2018-02-01T01:14:21.153Z,,,54,,,13.2,
