Time,HwActive,PrimT,ActPow,ChActive,HwTSet,PrimTSet,HwTOutlet
2017-12-26T00:30:12.754Z,,,,,54,,27.3
2017-12-26T00:30:22.754Z,,,,,54,,27.2
2017-12-26T00:30:32.749Z,,33.7,,,54,,27.2
2017-12-26T00:30:42.749Z,,,,,54,,27.1
2017-12-26T00:30:52.751Z,,,,,54,,27.1
2017-12-26T00:31:02.755Z,,,,,54,,26.9
2017-12-26T00:31:12.749Z,,,,,54,,26.9
2017-12-26T00:31:22.750Z,,,,,54,,26.9
2017-12-26T00:31:32.750Z,,,,,54,,26.8
2017-12-26T00:31:42.753Z,,,,,54,,26.8
2017-12-26T00:31:52.751Z,,33.6,,,54,,26.7
2017-12-26T00:32:02.751Z,,,,,54,,26.7
2017-12-26T00:32:12.815Z,,,,,54,,26.6
2017-12-26T00:32:22.751Z,,,,,54,,26.6
2017-12-26T00:32:32.753Z,,,,,54,,26.6
2017-12-26T00:32:42.752Z,,,,,54,,26.5
2017-12-26T00:32:52.752Z,,,,,54,,26.5
2017-12-26T00:33:02.759Z,,33.5,,,54,,26.5
2017-12-26T00:33:12.756Z,,,,,54,,26.3
2017-12-26T00:33:22.750Z,,,,,54,,26.3
2017-12-26T00:33:32.752Z,,,,,54,,26.2
2017-12-26T00:33:42.755Z,,,,,54,,26.2
2017-12-26T00:33:52.758Z,,,,,54,,26.2
2017-12-26T00:34:02.754Z,,,,,54,,26.1
2017-12-26T00:34:12.761Z,,33.4,,,54,,26.1
2017-12-26T00:34:22.750Z,,,,,54,,26.1
2017-12-26T00:34:32.753Z,,,,,54,,26.1
2017-12-26T00:34:42.752Z,,,,,54,,26
2017-12-26T00:34:52.753Z,,,,,54,,26
2017-12-26T00:35:02.757Z,,,,,54,,25.9
2017-12-26T00:35:12.759Z,,,,,54,,25.9
2017-12-26T00:35:22.751Z,,,,,54,,25.9
2017-12-26T00:35:32.756Z,,,,,54,,25.9
2017-12-26T00:35:42.751Z,,33.3,,,54,,25.7
2017-12-26T00:35:52.761Z,,,,,54,,25.7
2017-12-26T00:36:02.752Z,,,,,54,,25.7
2017-12-26T00:36:12.763Z,,,,,54,,25.7
2017-12-26T00:36:22.756Z,,,,,54,,25.6
2017-12-26T00:36:32.754Z,,,,,54,,25.6
2017-12-26T00:36:42.755Z,,,,,54,,25.6
2017-12-26T00:36:52.754Z,,33.2,,,54,,25.5
2017-12-26T00:37:02.756Z,,,,,54,,25.5
2017-12-26T00:37:12.757Z,,,,,54,,25.5
2017-12-26T00:37:22.757Z,,,,,54,,25.5
2017-12-26T00:37:32.754Z,,,,,54,,25.5
2017-12-26T00:37:42.754Z,,,,,54,,25.4
2017-12-26T00:37:52.755Z,,,,,54,,25.4
2017-12-26T00:38:02.757Z,,,,,54,,25.4
2017-12-26T00:38:12.768Z,0,37.9,38,1,54,,25.3
2017-12-26T00:38:22.757Z,,37.9,29,,54,,25.3
2017-12-26T00:38:32.760Z,,36.1,,,54,,25.3
2017-12-26T00:38:42.810Z,,37.1,,,54,,25.3
2017-12-26T00:38:52.758Z,,37.2,,,54,,25.3
2017-12-26T00:39:02.758Z,,37.1,,,54,,25.4
2017-12-26T00:39:12.761Z,,,,,54,,25.5
2017-12-26T00:39:22.753Z,,37.2,30,,54,,25.6
2017-12-26T00:39:32.759Z,,,29,,54,,25.9
2017-12-26T00:39:42.756Z,,37.3,,,54,,26
2017-12-26T00:39:52.757Z,,37.4,,,54,,26.2
2017-12-26T00:40:02.760Z,,37.5,,,54,,26.5
2017-12-26T00:40:12.755Z,,,,,54,,26.6
2017-12-26T00:40:22.765Z,,37.6,,,54,,26.7
2017-12-26T00:40:32.756Z,,,,,54,,26.8
2017-12-26T00:40:42.756Z,,,,,54,,26.9
2017-12-26T00:40:52.762Z,,,30,,54,,27.1
2017-12-26T00:41:02.756Z,,37.7,,,54,,27.2
