Time,HwActive,ActPow,HwTSet,PrimT,PrimTSet,ChActive,HwTOutlet
2017-11-11T00:44:35.639Z,,30,54,63.4,,,31.4
2017-11-11T00:44:45.646Z,,29,54,64,,,31.4
2017-11-11T00:44:55.642Z,,,54,64.4,,,31.5
2017-11-11T00:45:05.646Z,,,54,64.7,,,31.5
2017-11-11T00:45:15.728Z,0,0,54,64.8,,2,31.4
2017-11-11T00:45:25.644Z,,,54,62.7,,,31.6
2017-11-11T00:45:35.641Z,,,54,61.5,,,31.8
2017-11-11T00:45:45.642Z,,,54,60.2,,,31.8
2017-11-11T00:45:55.642Z,,,54,59.5,,,31.6
2017-11-11T00:46:05.653Z,,,54,58.7,,,31.5
2017-11-11T00:46:15.735Z,,,54,57.9,,,31.4
2017-11-11T00:46:25.640Z,,,54,57.2,,,31.3
2017-11-11T00:46:35.646Z,,,54,56.7,,,31.4
2017-11-11T00:46:45.637Z,,,54,56.2,,,31.5
2017-11-11T00:46:55.640Z,,,54,55.6,,,31.5
2017-11-11T00:47:05.641Z,,,54,55.2,,,31.6
2017-11-11T00:47:15.728Z,,,54,54.8,,,31.6
2017-11-11T00:47:25.642Z,,,54,54.5,,,31.4
2017-11-11T00:47:35.642Z,,,54,54.1,,,31.4
2017-11-11T00:47:45.642Z,,,54,53.9,,,31.2
2017-11-11T00:47:55.639Z,,,54,53.6,,,31.3
2017-11-11T00:48:05.640Z,0,42,54,56,,2,31.3
2017-11-11T00:48:15.739Z,,30,54,58,,,31.2
2017-11-11T00:48:25.642Z,,29,54,58,,,30.9
2017-11-11T00:48:35.642Z,,,54,59.1,,,30.9
2017-11-11T00:48:45.644Z,,,54,60,,,30.9
2017-11-11T00:48:55.640Z,,,54,61.1,,,31.2
2017-11-11T00:49:05.648Z,,,54,61.6,,,31.2
2017-11-11T00:49:15.730Z,,29,54,62.4,,,31.2
2017-11-11T00:49:25.650Z,,,54,63.1,,,31.3
2017-11-11T00:49:35.644Z,,30,54,63.4,,,31.3
2017-11-11T00:49:45.644Z,,29,54,64,,,31.4
2017-11-11T00:49:55.642Z,,,54,64.4,,,31.5
2017-11-11T00:50:05.639Z,,30,54,64.7,,,31.4
2017-11-11T00:50:15.738Z,0,0,54,64.8,,2,31.4
2017-11-11T00:50:25.642Z,,,54,61.9,,,31.6
2017-11-11T00:50:40.733Z,,,54,61.4,,,31.9
2017-11-11T00:50:45.645Z,,,54,59.9,,,31.4
2017-11-11T00:50:55.646Z,,,54,59.3,,,31.5
2017-11-11T00:51:05.648Z,,,54,58.5,,,31.5
2017-11-11T00:51:15.733Z,,,54,57.8,,,31.4
2017-11-11T00:51:25.643Z,,,54,56.9,,,31.3
2017-11-11T00:51:35.647Z,,,54,56.6,,,31.3
2017-11-11T00:51:45.645Z,,,54,55.9,,,31.6
2017-11-11T00:51:55.645Z,,,54,55.5,,,31.8
2017-11-11T00:52:05.644Z,,,54,55.1,,,31.8
2017-11-11T00:52:15.739Z,,,54,54.7,,,31.9
2017-11-11T00:52:25.642Z,,,54,54.4,,,31.9
