Time,HwTOutlet,ChActive,HwTSet,PrimT,PrimTSet,HwActive,ActPow
2017-11-15T00:58:53.990Z,28.3,1,54,57,,0,39
2017-11-15T00:59:03.977Z,28.4,,54,57.9,,,29
2017-11-15T00:59:13.967Z,28.1,,54,58.2,,,29
2017-11-15T00:59:23.968Z,27.9,,54,59.4,,,
2017-11-15T00:59:33.965Z,28.1,,54,60,,,30
2017-11-15T00:59:43.974Z,28.6,,54,60.7,,,29
2017-11-15T00:59:53.965Z,28.9,,54,61.4,,,
2017-11-15T01:00:03.972Z,28.9,,54,62,,,30
2017-11-15T01:00:13.983Z,28.6,,54,62.6,,,29
2017-11-15T01:00:23.967Z,28.7,,54,63.1,,,
2017-11-15T01:00:33.972Z,28.6,,54,63.3,,,
2017-11-15T01:00:43.973Z,28.5,,54,63.6,,,
2017-11-15T01:00:53.974Z,28.6,,54,64,,,
2017-11-15T01:01:03.970Z,28.6,,54,64.2,,,
2017-11-15T01:01:13.979Z,28.6,,54,64.5,,,
2017-11-15T01:01:23.975Z,28.7,,54,64.7,,,
2017-11-15T01:01:33.979Z,28.9,,54,64.9,,,30
2017-11-15T01:01:43.972Z,29.1,1,54,62.9,,0,0
2017-11-15T01:01:53.977Z,29.3,,54,61.5,,,
2017-11-15T01:02:03.971Z,29.2,,54,60.7,,,
2017-11-15T01:02:13.970Z,29.3,,54,59.4,,,
2017-11-15T01:02:23.973Z,29.5,,54,58.5,,,
2017-11-15T01:02:33.972Z,29.8,,54,57.7,,,
2017-11-15T01:02:43.977Z,30.1,,54,56.9,,,
2017-11-15T01:02:53.975Z,29.2,,54,56.3,,,
2017-11-15T01:03:03.980Z,29,,54,55.6,,,
2017-11-15T01:03:13.973Z,29,,54,55.1,,,
2017-11-15T01:03:23.978Z,29.1,,54,54.7,,,
2017-11-15T01:03:33.976Z,29,,54,54.3,,,
2017-11-15T01:03:43.976Z,28.5,,54,53.8,,,
2017-11-15T01:03:53.987Z,28.1,1,54,57.1,,0,39
2017-11-15T01:04:03.969Z,28,,54,58,,,29
2017-11-15T01:04:13.978Z,28,,54,58.2,,,
2017-11-15T01:04:23.973Z,28.3,,54,59.5,,,
2017-11-15T01:04:33.974Z,28.3,,54,60.1,,,30
2017-11-15T01:04:43.981Z,28.5,,54,61.1,,,29
2017-11-15T01:04:53.972Z,28.7,,54,61.5,,,
2017-11-15T01:05:03.972Z,28.7,,54,62.1,,,
2017-11-15T01:05:13.970Z,29,,54,62.6,,,
2017-11-15T01:05:23.969Z,29,,54,63.1,,,
2017-11-15T01:05:33.970Z,29,,54,63.4,,,30
2017-11-15T01:05:43.975Z,29.1,,54,63.8,,,29
2017-11-15T01:05:53.976Z,28.7,,54,64,,,
2017-11-15T01:06:03.976Z,29,,54,64.4,,,
2017-11-15T01:06:13.977Z,28.7,,54,64.6,,,
2017-11-15T01:06:23.972Z,28.9,,54,64.8,,,
2017-11-15T01:06:33.972Z,28.7,1,54,65.1,,0,0
2017-11-15T01:06:43.974Z,28.7,,54,62.6,,,
2017-11-15T01:06:53.977Z,28.9,,54,61.3,,,
2017-11-15T01:07:03.989Z,28.6,,54,59.8,,,
2017-11-15T01:07:13.979Z,28.7,,54,58.9,,,
2017-11-15T01:07:23.971Z,28.9,,54,58.3,,,
2017-11-15T01:07:33.981Z,29,,54,57.4,,,
2017-11-15T01:07:43.972Z,28.3,,54,56.7,,,
2017-11-15T01:07:53.986Z,28.5,,54,55.9,,,
2017-11-15T01:08:03.981Z,28.7,,54,55.5,,,
2017-11-15T01:08:13.973Z,28.6,,54,54.9,,,
2017-11-15T01:08:23.974Z,28.9,,54,54.6,,,
2017-11-15T01:08:33.974Z,29.1,,54,54.1,,,
2017-11-15T01:08:43.978Z,28.9,,54,53.7,,,
2017-11-15T01:08:54.008Z,28.6,1,54,57.1,,0,39
2017-11-15T01:09:03.992Z,28.5,,54,57.9,,,29
2017-11-15T01:09:14.016Z,28.3,1,54,58.1,61,0,29
2017-11-15T01:09:23.986Z,28.3,,54,59.5,,,
2017-11-15T01:09:33.988Z,28.4,,54,60,,,
2017-11-15T01:09:43.975Z,28.6,,54,61.1,,,
2017-11-15T01:09:53.972Z,28.6,,54,61.5,,,
2017-11-15T01:10:03.976Z,28.7,,54,62,,,
2017-11-15T01:10:13.972Z,28.9,,54,62.6,,,
2017-11-15T01:10:23.976Z,28.9,,54,63.1,,,
2017-11-15T01:10:33.973Z,29,,54,63.4,,,
2017-11-15T01:10:43.974Z,29,,54,63.8,,,30
2017-11-15T01:10:53.979Z,29,,54,64,,,29
2017-11-15T01:11:03.975Z,28.7,,54,64.2,,,
2017-11-15T01:11:13.973Z,28.7,,54,64.5,,,30
2017-11-15T01:11:23.986Z,28.9,,54,64.7,,,29
2017-11-15T01:11:33.978Z,28.7,,54,65.1,,,0
2017-11-15T01:11:43.978Z,28.7,1,54,62.6,,0,
2017-11-15T01:11:53.980Z,28.9,,54,61.3,,,
2017-11-15T01:12:03.976Z,29,,54,59.9,,,
2017-11-15T01:12:13.981Z,29.3,,54,58.9,,,
2017-11-15T01:12:23.978Z,29.8,,54,58.3,,,
2017-11-15T01:12:33.983Z,29.6,,54,57.4,,,
2017-11-15T01:12:43.982Z,29.3,,54,56.7,,,
2017-11-15T01:12:53.978Z,29.3,,54,56.1,,,
2017-11-15T01:13:03.979Z,29.1,,54,55.5,,,
