Time,ChActive,HwTOutlet,ActPow,PrimTSet,HwTSet,PrimT,HwActive
2018-01-11T00:50:12.756Z,,20.9,,,54,,
2018-01-11T00:50:22.896Z,,20.6,,,54,,
2018-01-11T00:50:33.004Z,,20.4,,,54,40.5,
2018-01-11T00:50:43.624Z,,20.1,,,54,,
2018-01-11T00:50:52.777Z,,20,,,54,,
2018-01-11T00:51:02.752Z,,19.7,,,54,,
2018-01-11T00:51:12.753Z,,19.6,,,54,40.6,
2018-01-11T00:51:22.770Z,,19.3,,,54,,
2018-01-11T00:51:32.785Z,,19,,,54,40.7,
2018-01-11T00:51:42.750Z,,18.9,,,54,,
2018-01-11T00:51:52.818Z,,18.8,,,54,40.8,
2018-01-11T00:52:03.626Z,,18.5,,,54,,
2018-01-11T00:52:13.767Z,,18.4,,,54,40.9,
2018-01-11T00:52:23.727Z,,18.2,,,54,,
2018-01-11T00:52:32.796Z,,18.1,,,54,,
2018-01-11T00:52:42.776Z,,17.9,,,54,41,
2018-01-11T00:52:52.870Z,,17.8,,,54,,
2018-01-11T00:53:02.944Z,,17.7,,,54,,
2018-01-11T00:53:17.868Z,,17.7,,,54,,
2018-01-11T00:53:22.752Z,,17.5,,,54,,
2018-01-11T00:53:37.810Z,,17.4,,,54,,
2018-01-11T00:53:42.759Z,,17.3,,,54,,
2018-01-11T00:53:52.753Z,,17.1,,,54,,
2018-01-11T00:54:02.828Z,,17.1,,,54,,
2018-01-11T00:54:13.699Z,,17,,,54,,
2018-01-11T00:54:22.795Z,,16.8,,,54,,
2018-01-11T00:54:32.774Z,,16.8,,,54,,
2018-01-11T00:54:43.657Z,,16.7,,,54,,
2018-01-11T00:54:52.779Z,,16.7,,,54,,
2018-01-11T00:55:02.933Z,,16.5,,,54,,
2018-01-11T00:55:12.878Z,,16.4,,,54,40.9,
2018-01-11T00:55:22.753Z,,16.4,,,54,,
2018-01-11T00:55:33.669Z,,16.2,,,54,,
2018-01-11T00:55:42.804Z,,16.2,,,54,,
