Time,ChActive,HwTOutlet,HwTSet,HwActive,PrimTSet,ActPow,PrimT
2017-11-05T00:33:49.661Z,,46.6,54,,,,58.9
2017-11-05T00:34:04.827Z,,46.6,54,,,,57.9
2017-11-05T00:34:14.827Z,,46.5,54,,,,57.7
2017-11-05T00:34:24.832Z,,46.5,54,,,,56.9
2017-11-05T00:34:29.745Z,,46.5,54,,,,56.4
2017-11-05T00:34:39.658Z,,46.5,54,,,,55.7
2017-11-05T00:34:49.660Z,,46.5,54,,,,54.9
2017-11-05T00:34:59.657Z,,46.5,54,,,,54.7
2017-11-05T00:35:09.661Z,,46.5,54,,,,53.9
2017-11-05T00:35:19.661Z,,46.5,54,,,,53.8
2017-11-05T00:35:29.749Z,,46.5,54,,,,53.4
2017-11-05T00:35:39.656Z,,46.5,54,,,,52.9
2017-11-05T00:35:49.670Z,1,46.4,54,0,,,52.4
2017-11-05T00:35:59.661Z,,46.4,54,,,40,56
2017-11-05T00:36:09.656Z,,46.4,54,,,29,56.9
2017-11-05T00:36:19.661Z,,46.4,54,,,,58
2017-11-05T00:36:29.747Z,,46.4,54,,,,59
2017-11-05T00:36:39.661Z,,46.4,54,,,,59.3
2017-11-05T00:36:49.655Z,,46.4,54,,,,60.1
2017-11-05T00:36:59.675Z,,46.4,54,,,,61.1
2017-11-05T00:37:09.662Z,,46.4,54,,,,62
2017-11-05T00:37:19.662Z,,46.4,54,,,,63.1
2017-11-05T00:37:29.748Z,,46.4,54,,,,63.3
2017-11-05T00:37:39.661Z,,46.4,54,,,,64
2017-11-05T00:37:49.669Z,,46.5,54,,,,64.5
2017-11-05T00:37:59.660Z,1,46.4,54,0,,0,63.8
2017-11-05T00:38:09.656Z,,46.4,54,,,,62.7
2017-11-05T00:38:19.662Z,,46.4,54,,,,61.9
2017-11-05T00:38:29.772Z,,46.4,54,,,,60.7
2017-11-05T00:38:39.663Z,,46.4,54,,,,59.8
2017-11-05T00:38:49.664Z,,46.4,54,,,,58.9
2017-11-05T00:38:59.658Z,,46.4,54,,,,57.9
2017-11-05T00:39:09.659Z,,46.4,54,,,,57.7
2017-11-05T00:39:19.665Z,,46.4,54,,,,56.9
2017-11-05T00:39:29.767Z,,46.4,54,,,,56.4
2017-11-05T00:39:39.655Z,,46.4,54,,,,55.9
2017-11-05T00:39:49.658Z,,46.4,54,,,,54.9
2017-11-05T00:39:59.658Z,,46.4,54,,,,54.8
2017-11-05T00:40:09.662Z,,46.4,54,,,,53.9
2017-11-05T00:40:19.662Z,,46.4,54,,,,53.8
2017-11-05T00:40:29.760Z,,46.4,54,,,,53.4
2017-11-05T00:40:39.666Z,,46.4,54,,,,52.9
2017-11-05T00:40:49.660Z,,46.4,54,,,,52.4
2017-11-05T00:40:59.662Z,1,46.4,54,0,,38,56
2017-11-05T00:41:09.657Z,,46.4,54,,,32,56.9
2017-11-05T00:41:19.676Z,,46.4,54,,,29,58
2017-11-05T00:41:29.760Z,,46.4,54,,,,59
2017-11-05T00:41:39.656Z,,46.4,54,,,,59.3
2017-11-05T00:41:49.659Z,,46.5,54,,,,60.1
2017-11-05T00:42:04.752Z,,46.5,54,,,,61.1
2017-11-05T00:42:09.667Z,,46.5,54,,,,62
2017-11-05T00:42:19.665Z,,46.5,54,,,,63.1
2017-11-05T00:42:29.746Z,,46.5,54,,,,63.3
2017-11-05T00:42:39.659Z,,46.5,54,,,29,64
2017-11-05T00:42:49.659Z,,46.5,54,,,,64.5
2017-11-05T00:42:59.659Z,1,46.5,54,0,,0,63.9
2017-11-05T00:43:09.659Z,,46.5,54,,,,62.7
2017-11-05T00:43:19.665Z,,46.5,54,,,,61.8
2017-11-05T00:43:29.761Z,,46.5,54,,,,60.7
2017-11-05T00:43:39.664Z,,46.5,54,,,,59.8
2017-11-05T00:43:49.660Z,,46.5,54,,,,58.9
2017-11-05T00:43:59.661Z,,46.5,54,,,,57.9
2017-11-05T00:44:09.658Z,,46.5,54,,,,57.7
2017-11-05T00:44:19.670Z,,46.5,54,,,,56.8
2017-11-05T00:44:29.748Z,,46.5,54,,,,56.3
2017-11-05T00:44:39.662Z,,46.5,54,,,,55.7
2017-11-05T00:44:49.659Z,,46.5,54,,,,54.9
2017-11-05T00:44:59.659Z,,46.5,54,,,,54.7
2017-11-05T00:45:09.664Z,,46.5,54,,,,53.9
2017-11-05T00:45:19.661Z,,46.5,54,,,,53.7
2017-11-05T00:45:29.762Z,,46.5,54,,,,53.3
2017-11-05T00:45:39.661Z,,46.5,54,,,,52.9
2017-11-05T00:45:49.663Z,1,46.5,54,0,,,52.4
2017-11-05T00:45:59.671Z,,46.5,54,,,37,56.2
2017-11-05T00:46:09.751Z,,46.5,54,,,32,56.8
2017-11-05T00:46:19.663Z,,46.5,54,,,29,57
2017-11-05T00:46:29.756Z,,46.5,54,,,,59
2017-11-05T00:46:39.662Z,,46.5,54,,,,59.3
2017-11-05T00:46:54.762Z,,46.5,54,,,,60.1
2017-11-05T00:46:59.659Z,,46.5,54,,,,61.1
2017-11-05T00:47:09.664Z,,46.5,54,,,29,62
2017-11-05T00:47:19.664Z,,46.5,54,,,,62.5
2017-11-05T00:47:29.762Z,,46.5,54,,,,63.2
2017-11-05T00:47:39.673Z,,46.5,54,,,29,64
2017-11-05T00:47:49.660Z,,46.5,54,,,,64.4
2017-11-05T00:47:59.665Z,1,46.5,54,0,,0,64.8
2017-11-05T00:48:09.672Z,,46.5,54,,,,62.9
2017-11-05T00:48:19.660Z,,46.5,54,,,,61.9
2017-11-05T00:48:29.756Z,,46.5,54,,,,60.7
2017-11-05T00:48:39.663Z,,46.5,54,,,,59.9
2017-11-05T00:48:49.662Z,,46.5,54,,,,58.9
2017-11-05T00:48:59.668Z,,46.5,54,,,,58.4
2017-11-05T00:49:14.765Z,,46.5,54,,,,57.7
2017-11-05T00:49:19.671Z,,46.5,54,,,,56.9
2017-11-05T00:49:29.754Z,,46.5,54,,,,56.4
2017-11-05T00:49:39.664Z,,46.5,54,,,,55.7
2017-11-05T00:49:49.664Z,,46.5,54,,,,54.9
