Time,PrimTSet,PrimT,ChActive,HwTOutlet,HwActive,ActPow,HwTSet
2018-01-12T00:45:51.569Z,,51.3,,40.4,,,54
2018-01-12T00:46:01.578Z,,51.4,,40.4,,,54
2018-01-12T00:46:11.628Z,,51.5,,40.4,,30,54
2018-01-12T00:46:21.578Z,,51.6,,40.4,,29,54
2018-01-12T00:46:31.592Z,,51.7,,40.4,,,54
2018-01-12T00:46:41.578Z,,51.8,,40.4,,,54
2018-01-12T00:46:51.593Z,,51.9,,40.4,,,54
2018-01-12T00:47:01.575Z,,52,,40.4,,,54
2018-01-12T00:47:11.568Z,,52.1,,40.4,,,54
2018-01-12T00:47:21.590Z,,52.2,,40.4,,,54
2018-01-12T00:47:31.602Z,,,,40.4,,,54
2018-01-12T00:47:41.596Z,,52.3,,40.4,,30,54
2018-01-12T00:47:51.569Z,,52.4,,40.4,,29,54
2018-01-12T00:48:01.600Z,,52.6,,40.5,,,54
2018-01-12T00:48:11.571Z,,52.7,,40.5,,30,54
2018-01-12T00:48:21.646Z,,52.8,,40.5,,29,54
2018-01-12T00:48:31.592Z,,53,,40.5,,,54
2018-01-12T00:48:41.571Z,,,,40.5,,,54
2018-01-12T00:48:51.642Z,,53.1,,40.5,,,54
2018-01-12T00:49:01.591Z,,53.2,,40.6,,,54
2018-01-12T00:49:11.577Z,,53.3,,40.6,,,54
2018-01-12T00:49:21.681Z,,53.4,,40.6,,,54
2018-01-12T00:49:31.625Z,,53.5,,40.6,,,54
2018-01-12T00:49:41.583Z,,,,40.7,,,54
2018-01-12T00:49:51.591Z,,53.6,,40.7,,,54
2018-01-12T00:50:01.667Z,,53.7,,40.7,,,54
2018-01-12T00:50:11.573Z,,53.8,,40.7,,,54
2018-01-12T00:50:21.578Z,,53.9,,40.7,,,54
2018-01-12T00:50:31.651Z,,54,,40.8,,30,54
2018-01-12T00:50:41.582Z,,,,40.8,,29,54
2018-01-12T00:50:51.592Z,,54.1,,40.8,,,54
2018-01-12T00:51:01.610Z,,54.3,,40.8,,,54
2018-01-12T00:51:11.597Z,,54.4,,40.9,,,54
2018-01-12T00:51:21.663Z,,,,40.9,,30,54
2018-01-12T00:51:31.599Z,,54.5,,40.9,,29,54
2018-01-12T00:51:41.574Z,,54.6,,40.9,,,54
2018-01-12T00:51:51.594Z,,,,40.9,,30,54
2018-01-12T00:52:01.614Z,,54.7,,41.1,,29,54
2018-01-12T00:52:11.591Z,,54.8,,41.1,,,54
2018-01-12T00:52:21.646Z,,54.8,1,41.1,0,0,54
2018-01-12T00:52:31.654Z,,51.9,,41.2,,,54
2018-01-12T00:52:41.605Z,,50.9,,41.2,,,54
2018-01-12T00:52:51.645Z,,50.2,,41.2,,,54
2018-01-12T00:53:01.591Z,,49.7,,41.2,,,54
2018-01-12T00:53:11.602Z,,48.8,,41.3,,,54
2018-01-12T00:53:21.591Z,,48.4,,41.3,,,54
2018-01-12T00:53:31.576Z,,47.9,,41.3,,,54
2018-01-12T00:53:41.575Z,,47.3,,41.3,,,54
2018-01-12T00:53:51.586Z,,46.9,,41.4,,,54
2018-01-12T00:54:01.583Z,,46.5,,41.4,,,54
2018-01-12T00:54:11.616Z,,46.2,,41.4,,,54
2018-01-12T00:54:21.614Z,,45.9,,41.5,,,54
2018-01-12T00:54:31.645Z,,45.7,,41.5,,,54
2018-01-12T00:54:41.612Z,,45.4,,41.5,,,54
2018-01-12T00:54:51.607Z,,45.2,,41.5,,,54
2018-01-12T00:55:01.584Z,,45,,41.5,,,54
2018-01-12T00:55:11.582Z,,44.8,,41.6,,,54
2018-01-12T00:55:21.575Z,,44.6,,41.6,,,54
2018-01-12T00:55:31.588Z,,44.5,,41.6,,,54
2018-01-12T00:55:41.699Z,,,,41.6,,,54
2018-01-12T00:55:51.698Z,,,,41.6,,,54
2018-01-12T00:56:01.596Z,,,,41.6,,,54
2018-01-12T00:56:11.645Z,,44.4,,41.6,,,54
2018-01-12T00:56:21.719Z,,,,41.6,,,54
2018-01-12T00:56:31.610Z,,,,41.6,,,54
2018-01-12T00:56:41.648Z,,,,41.6,,,54
2018-01-12T00:56:51.630Z,,,,41.6,,,54
2018-01-12T00:57:01.616Z,,,,41.6,,,54
2018-01-12T00:57:11.580Z,,,,41.6,,,54
2018-01-12T00:57:21.578Z,,,,41.6,,,54
2018-01-12T00:57:31.595Z,,,,41.6,,,54
2018-01-12T00:57:41.579Z,,,,41.6,,,54
2018-01-12T00:57:51.597Z,,,,41.5,,,54
2018-01-12T00:58:01.601Z,,44.5,,41.5,,,54
2018-01-12T00:58:11.602Z,,,,41.5,,,54
2018-01-12T00:58:21.602Z,,,,41.5,,,54
2018-01-12T00:58:31.591Z,,,,41.5,,,54
2018-01-12T00:58:41.582Z,,44.6,,41.4,,,54
2018-01-12T00:58:51.640Z,,,,41.4,,,54
2018-01-12T00:59:01.631Z,,,,41.4,,,54
2018-01-12T00:59:11.633Z,,,,41.4,,,54
2018-01-12T00:59:21.586Z,,,,41.4,,,54
2018-01-12T00:59:31.712Z,,,,41.3,,,54
2018-01-12T00:59:41.608Z,,44.7,,41.3,,,54
2018-01-12T00:59:51.628Z,,,1,41.3,0,,54
2018-01-12T01:00:01.609Z,,49.2,,41.2,,38,54
2018-01-12T01:00:11.610Z,,49.8,,41.2,,29,54
2018-01-12T01:00:21.587Z,,48.8,,41.2,,,54
2018-01-12T01:00:31.582Z,,49.3,,41.2,,,54
2018-01-12T01:00:41.593Z,,50,,41.1,,,54
2018-01-12T01:00:51.601Z,,50.1,,41.1,,30,54
2018-01-12T01:01:01.584Z,,,,41.1,,29,54
2018-01-12T01:01:11.623Z,,,,41.1,,,54
2018-01-12T01:01:21.615Z,,50,,40.9,,,54
2018-01-12T01:01:31.580Z,,50.1,,40.9,,30,54
2018-01-12T01:01:41.645Z,,,,40.9,,29,54
2018-01-12T01:01:51.809Z,,50.2,,40.9,,,54
2018-01-12T01:02:01.606Z,,50.3,,40.8,,30,54
2018-01-12T01:02:11.587Z,,50.4,,40.8,,29,54
2018-01-12T01:02:21.616Z,,,,40.8,,,54
2018-01-12T01:02:31.605Z,,50.5,,40.8,,,54
2018-01-12T01:02:41.592Z,,50.6,,40.7,,,54
2018-01-12T01:02:51.615Z,,,,40.7,,,54
2018-01-12T01:03:01.591Z,,50.7,,40.7,,,54
2018-01-12T01:03:11.583Z,,50.9,,40.7,,,54
2018-01-12T01:03:21.587Z,,51,,40.7,,,54
2018-01-12T01:03:31.584Z,,51.1,,40.7,,,54
2018-01-12T01:03:41.589Z,,,,40.7,,,54
2018-01-12T01:03:51.607Z,,51.2,,40.7,,,54
2018-01-12T01:04:01.702Z,,51.3,,40.7,,,54
2018-01-12T01:04:11.580Z,,51.4,,40.7,,,54
2018-01-12T01:04:21.580Z,,51.5,,40.6,,,54
2018-01-12T01:04:31.604Z,,,,40.7,,,54
2018-01-12T01:04:41.604Z,,51.6,,40.7,,,54
2018-01-12T01:04:51.719Z,,51.7,,40.7,,,54
2018-01-12T01:05:01.585Z,,51.8,,40.7,,,54
2018-01-12T01:05:11.635Z,,51.9,,40.7,,,54
2018-01-12T01:05:21.697Z,,52,,40.7,,,54
2018-01-12T01:05:31.597Z,,,,40.7,,,54
2018-01-12T01:05:41.583Z,,52.1,,40.7,,,54
2018-01-12T01:05:51.590Z,,52.2,,40.7,,,54
2018-01-12T01:06:01.652Z,,,,40.7,,,54
2018-01-12T01:06:11.659Z,,52.3,,40.7,,,54
2018-01-12T01:06:21.608Z,,52.4,,40.7,,,54
2018-01-12T01:06:31.712Z,,52.6,,40.8,,,54
2018-01-12T01:06:41.606Z,,,,40.8,,,54
2018-01-12T01:06:51.651Z,,52.8,,40.8,,,54
2018-01-12T01:07:01.587Z,,,,40.8,,,54
2018-01-12T01:07:11.582Z,,53,,40.8,,,54
2018-01-12T01:07:21.583Z,,,,40.8,,,54
2018-01-12T01:07:31.652Z,,,,40.8,,,54
2018-01-12T01:07:41.812Z,,53.1,,40.9,,,54
2018-01-12T01:07:51.589Z,,53.2,,40.9,,,54
2018-01-12T01:08:01.675Z,,53.3,,40.9,,,54
2018-01-12T01:08:11.614Z,,,,40.9,,,54
2018-01-12T01:08:21.591Z,,53.4,,40.9,,,54
