Time,PrimTSet,ActPow,HwActive,PrimT,ChActive,HwTSet,HwTOutlet
2018-01-30T01:02:59.473Z,,,,,,54,28.7
2018-01-30T01:03:09.473Z,,,,,,54,28.7
2018-01-30T01:03:19.509Z,,,,,,54,28.7
2018-01-30T01:03:29.467Z,,,,,,54,28.9
2018-01-30T01:03:39.576Z,,,,,,54,28.7
2018-01-30T01:03:49.492Z,,,,,,54,28.7
2018-01-30T01:03:59.464Z,,,,,,54,28.9
2018-01-30T01:04:09.470Z,,,,,,54,28.9
2018-01-30T01:04:19.470Z,,,,,,54,28.7
2018-01-30T01:04:29.469Z,,,,,,54,28.9
2018-01-30T01:04:39.603Z,,,,,,54,29
2018-01-30T01:04:49.510Z,,,,,,54,28.9
2018-01-30T01:04:59.532Z,,,,,,54,28.7
2018-01-30T01:05:09.467Z,,,,,,54,28.9
2018-01-30T01:05:19.542Z,,30,,,,54,28.7
2018-01-30T01:05:29.472Z,,29,,,,54,28.9
2018-01-30T01:05:39.585Z,,30,,,,54,29
2018-01-30T01:05:49.469Z,,29,,,,54,29
2018-01-30T01:05:59.482Z,,,,,,54,29
2018-01-30T01:06:09.476Z,,,,,,54,29
2018-01-30T01:06:19.522Z,,,,63.4,,54,28.9
2018-01-30T01:06:29.487Z,,,,,,54,28.9
2018-01-30T01:06:39.634Z,,,,,,54,28.9
2018-01-30T01:06:49.477Z,,,,,,54,28.9
2018-01-30T01:06:59.477Z,,,,,,54,28.7
2018-01-30T01:07:09.487Z,,,,,,54,28.9
2018-01-30T01:07:19.480Z,,,,63.5,,54,28.9
2018-01-30T01:07:29.489Z,,,,,,54,29
2018-01-30T01:07:39.585Z,,,,,,54,29
2018-01-30T01:07:49.474Z,,,,,,54,29.1
2018-01-30T01:07:59.697Z,,,,,,54,29.1
2018-01-30T01:08:09.488Z,,30,,,,54,29.1
2018-01-30T01:08:19.558Z,,29,,,,54,29
2018-01-30T01:08:29.503Z,,,,63.6,,54,29.2
2018-01-30T01:08:39.634Z,,,,,,54,29.1
2018-01-30T01:08:49.482Z,,,,,,54,28.9
2018-01-30T01:08:59.713Z,,,,,,54,29
2018-01-30T01:09:09.505Z,,,,,,54,29.1
2018-01-30T01:09:19.537Z,,,,63.8,,54,29
2018-01-30T01:09:29.478Z,,,,,,54,29
2018-01-30T01:09:39.590Z,,,,,,54,29.1
2018-01-30T01:09:49.475Z,,,,,,54,28.9
2018-01-30T01:09:59.471Z,,30,,,,54,29
2018-01-30T01:10:09.505Z,,29,,,,54,29.1
2018-01-30T01:10:19.542Z,,,,63.9,,54,29
2018-01-30T01:10:29.476Z,,,,,,54,29.1
2018-01-30T01:10:39.603Z,,,,,,54,28.9
2018-01-30T01:10:49.484Z,,,,,,54,29
2018-01-30T01:10:59.470Z,,,,64,,54,29.3
2018-01-30T01:11:09.472Z,,,,64,,54,29.1
2018-01-30T01:11:19.476Z,,,,,,54,29
2018-01-30T01:11:29.477Z,,,,,,54,29
2018-01-30T01:11:39.571Z,,,,,,54,29.1
2018-01-30T01:11:49.474Z,,,,,,54,29.1
2018-01-30T01:11:59.480Z,,30,,64.1,,54,29.1
2018-01-30T01:12:09.473Z,,29,,,,54,29
2018-01-30T01:12:19.474Z,,,,,,54,29
2018-01-30T01:12:29.477Z,,30,,,,54,29.1
2018-01-30T01:12:39.603Z,,29,,,,54,29
2018-01-30T01:12:49.490Z,,30,,64.2,,54,29
2018-01-30T01:12:59.504Z,,,,,,54,29.1
2018-01-30T01:13:09.475Z,,29,,,,54,29.7
2018-01-30T01:13:19.478Z,,,,,,54,29.2
2018-01-30T01:13:29.508Z,,,,,,54,29.2
2018-01-30T01:13:39.583Z,,,,64.4,,54,29.1
2018-01-30T01:13:49.475Z,,,,,,54,29
2018-01-30T01:13:59.500Z,,,,,,54,29.1
2018-01-30T01:14:09.471Z,,30,,,,54,29.2
2018-01-30T01:14:19.699Z,,29,,64.5,,54,29.2
2018-01-30T01:14:29.500Z,,,,,,54,29.2
2018-01-30T01:14:39.625Z,,,,,,54,29.2
2018-01-30T01:14:49.472Z,,,,,,54,29.2
2018-01-30T01:14:59.502Z,,,,,,54,29.2
2018-01-30T01:15:09.486Z,,,,64.6,,54,29.2
2018-01-30T01:15:19.478Z,,,,,,54,29.3
2018-01-30T01:15:29.514Z,,,,,,54,29.2
2018-01-30T01:15:39.677Z,,,,,,54,29.3
2018-01-30T01:15:49.493Z,,,,,,54,29.2
2018-01-30T01:15:59.515Z,,,,64.7,,54,29.2
2018-01-30T01:16:09.480Z,,,,,,54,29.3
2018-01-30T01:16:19.512Z,,30,,,,54,29.3
2018-01-30T01:16:29.555Z,,,,,,54,29.3
2018-01-30T01:16:39.578Z,,29,,64.8,,54,29.5
2018-01-30T01:16:49.480Z,,,,,,54,29.3
2018-01-30T01:16:59.532Z,,30,,,,54,29.3
2018-01-30T01:17:09.483Z,,29,,,,54,29.6
2018-01-30T01:17:19.483Z,,,,,,54,29.5
2018-01-30T01:17:29.485Z,,,,64.9,,54,29.7
2018-01-30T01:17:39.584Z,,,,,,54,29.5
2018-01-30T01:17:49.516Z,,,,,,54,29.3
2018-01-30T01:17:59.530Z,,,,,,54,29.5
2018-01-30T01:18:09.485Z,,0,0,63.8,2,54,29.6
2018-01-30T01:18:19.497Z,,,,61.8,,54,29.3
2018-01-30T01:18:29.526Z,,,,60.8,,54,29.3
2018-01-30T01:18:39.598Z,,,,59.5,,54,29.5
2018-01-30T01:18:49.497Z,,,,58.6,,54,29.5
2018-01-30T01:18:59.473Z,,,,57.8,,54,29.8
2018-01-30T01:19:09.496Z,,,,56.9,,54,29.5
