Time,PrimT,HwTOutlet,HwTSet,ActPow,HwActive,ChActive,PrimTSet
2017-11-19T00:51:27.279Z,61.1,48.8,54,,,,
2017-11-19T00:51:42.384Z,61.3,48.8,54,,,,
2017-11-19T00:51:47.284Z,62,48.8,54,,,,
2017-11-19T00:51:57.279Z,62.2,48.8,54,,,,
2017-11-19T00:52:12.359Z,62.6,48.8,54,,,,
2017-11-19T00:52:17.285Z,63.1,48.8,54,,,,
2017-11-19T00:52:27.277Z,63.3,48.8,54,,,,
2017-11-19T00:52:37.287Z,63.5,48.8,54,,,,
2017-11-19T00:52:47.280Z,64,48.8,54,29,,,
2017-11-19T00:52:57.279Z,,48.8,54,,,,
2017-11-19T00:53:07.282Z,64.2,48.8,54,,,,
2017-11-19T00:53:17.287Z,64.4,48.7,54,,,,
2017-11-19T00:53:27.279Z,64.6,48.7,54,,,,
2017-11-19T00:53:37.287Z,64.7,48.7,54,,,,
2017-11-19T00:53:47.278Z,64.8,48.7,54,,,,
2017-11-19T00:53:57.287Z,64.9,48.8,54,0,0,2,
2017-11-19T00:54:07.286Z,61.9,48.8,54,,,,
2017-11-19T00:54:17.284Z,60.9,48.8,54,,,,
2017-11-19T00:54:27.284Z,59.7,48.8,54,,,,
2017-11-19T00:54:37.285Z,58.8,48.8,54,,,,
2017-11-19T00:54:47.366Z,57.9,48.8,54,,,,
2017-11-19T00:54:57.281Z,56.9,48.9,54,,,,
2017-11-19T00:55:07.283Z,55.9,48.9,54,,,,
2017-11-19T00:55:17.288Z,55.5,48.9,54,,,,
2017-11-19T00:55:27.289Z,56.1,48.9,54,43,0,2,
2017-11-19T00:55:37.287Z,58.2,48.9,54,37,,,
2017-11-19T00:55:47.292Z,58.5,49,54,29,,,
2017-11-19T00:55:57.288Z,59,49,54,,,,
2017-11-19T00:56:07.280Z,60,49,54,,,,
2017-11-19T00:56:22.375Z,60.4,49,54,,,,
2017-11-19T00:56:27.281Z,61.1,49,54,,,,
2017-11-19T00:56:37.284Z,62,49.1,54,,,,
2017-11-19T00:56:47.288Z,62.2,49.1,54,,,,
2017-11-19T00:56:57.285Z,63.1,49.1,54,29,,,
2017-11-19T00:57:07.288Z,63.2,49.1,54,,,,
2017-11-19T00:57:17.288Z,63.6,49.1,54,,,,
2017-11-19T00:57:27.288Z,64,49.1,54,,,,
2017-11-19T00:57:37.291Z,64.4,49.1,54,30,,,
2017-11-19T00:57:47.283Z,64.6,49.2,54,29,,,
2017-11-19T00:57:57.288Z,64.8,49.2,54,0,0,2,
2017-11-19T00:58:07.289Z,61.9,49.2,54,,,,
2017-11-19T00:58:17.280Z,60.9,49.2,54,,,,
2017-11-19T00:58:27.285Z,59.9,49.2,54,,,,
2017-11-19T00:58:37.284Z,58.9,49.2,54,,,,
2017-11-19T00:58:47.291Z,57.9,49.2,54,,,,
2017-11-19T00:58:57.369Z,57.8,49.2,54,,,,
2017-11-19T00:59:07.284Z,56.9,49.2,54,,,,
2017-11-19T00:59:17.283Z,55.9,49.3,54,,,,
2017-11-19T00:59:27.282Z,55.6,49.3,54,,,,
2017-11-19T00:59:37.283Z,54.9,49.3,54,,,,
2017-11-19T00:59:47.287Z,54.5,49.3,54,,,,
2017-11-19T00:59:57.283Z,53.9,49.3,54,,,,
2017-11-19T01:00:07.283Z,53.5,49.3,54,,,,
2017-11-19T01:00:17.284Z,52.9,49.3,54,,,,
2017-11-19T01:00:27.307Z,54.3,49.4,54,43,0,2,
2017-11-19T01:00:37.292Z,57,49.4,54,33,,,
2017-11-19T01:00:47.284Z,57.1,49.4,54,29,,,
2017-11-19T01:00:57.285Z,58,49.4,54,,,,
2017-11-19T01:01:12.347Z,59,49.4,54,,,,
2017-11-19T01:01:22.388Z,60,49.4,54,,,,
2017-11-19T01:01:27.288Z,60.2,49.4,54,,,,
2017-11-19T01:01:37.285Z,61.1,49.4,54,,,,
2017-11-19T01:01:47.284Z,61.5,49.4,54,,,,
2017-11-19T01:01:57.927Z,62,49.4,54,,,,
2017-11-19T01:02:07.285Z,62.6,49.4,54,,,,
2017-11-19T01:02:17.285Z,63.1,49.4,54,,,,
2017-11-19T01:02:27.286Z,63.4,49.3,54,,,,
2017-11-19T01:02:37.286Z,64,49.3,54,,,,
2017-11-19T01:02:47.294Z,64.1,49.3,54,,,,
2017-11-19T01:02:57.291Z,64.4,49.3,54,,,,
2017-11-19T01:03:07.286Z,64.7,49.3,54,,,,
2017-11-19T01:03:17.286Z,64.9,49.3,54,0,0,2,
2017-11-19T01:03:27.284Z,61.8,49.3,54,,,,
2017-11-19T01:03:37.291Z,60.9,49.3,54,,,,
2017-11-19T01:03:47.287Z,59.9,49.3,54,,,,
2017-11-19T01:03:57.288Z,58.9,49.3,54,,,,
2017-11-19T01:04:07.288Z,57.9,49.3,54,,,,
2017-11-19T01:04:17.286Z,56.9,49.3,54,,,,
2017-11-19T01:04:27.288Z,56.7,49.3,54,,,,
2017-11-19T01:04:37.287Z,55.9,49.3,54,,,,
2017-11-19T01:04:47.287Z,54.9,49.3,54,,,,
2017-11-19T01:04:57.293Z,54.7,49.4,54,,,,
2017-11-19T01:05:07.289Z,53.9,49.4,54,,,,
2017-11-19T01:05:17.292Z,53.6,49.4,54,,,,
2017-11-19T01:05:27.287Z,55.2,49.4,54,42,0,2,
2017-11-19T01:05:37.286Z,57,49.4,54,36,,,
2017-11-19T01:05:47.289Z,57.3,49.6,54,29,,,
2017-11-19T01:05:57.290Z,58,49.6,54,,,,
2017-11-19T01:06:07.289Z,59,49.6,54,,,,
2017-11-19T01:06:17.290Z,60,49.6,54,,,,
