Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2018-01-10T00:48:46.921Z,,,,,19.4,,54
2018-01-10T00:48:57.028Z,,,,42.1,19.6,,54
2018-01-10T00:49:06.946Z,1,0,0,40.9,19.7,,54
2018-01-10T00:49:16.922Z,,,,38.8,19.8,,54
2018-01-10T00:49:27.011Z,,,,38.7,20.1,,54
2018-01-10T00:49:36.962Z,,,,37.9,20,,54
2018-01-10T00:49:46.993Z,,,,36.9,19.7,,54
2018-01-10T00:49:56.944Z,,,,36.6,19.7,,54
2018-01-10T00:50:07.013Z,,,,35.9,19.6,,54
2018-01-10T00:50:17.003Z,,,,35.7,19.6,,54
2018-01-10T00:50:26.933Z,,,,35.4,19.4,,54
2018-01-10T00:50:36.956Z,,,,34.9,19.3,,54
2018-01-10T00:50:46.988Z,,,,34.7,19.3,,54
2018-01-10T00:50:56.927Z,,,,34.4,19.2,,54
2018-01-10T00:51:06.921Z,,,,34.2,19.2,,54
2018-01-10T00:51:16.934Z,,,,33.9,19,,54
2018-01-10T00:51:26.926Z,,,,,18.9,,54
2018-01-10T00:51:36.953Z,,,,33.7,18.9,,54
2018-01-10T00:51:47.000Z,,,,33.5,18.8,,54
2018-01-10T00:51:56.934Z,1,40,0,37.1,18.8,,54
2018-01-10T00:52:06.962Z,,32,,40.2,18.6,,54
2018-01-10T00:52:16.935Z,,29,,39.9,18.8,,54
2018-01-10T00:52:26.936Z,,,,40,18.8,,54
2018-01-10T00:52:36.969Z,,0,,40.9,18.5,,54
2018-01-10T00:52:46.980Z,1,,0,38.9,18.6,,54
2018-01-10T00:52:56.938Z,,,,37.8,18.9,,54
2018-01-10T00:53:06.975Z,,,,36.8,19.2,,54
2018-01-10T00:53:16.937Z,,,,36.7,19.2,,54
2018-01-10T00:53:26.936Z,,,,35.9,19,,54
2018-01-10T00:53:36.937Z,,,,35.6,18.9,,54
2018-01-10T00:53:46.927Z,,,,34.9,18.9,,54
2018-01-10T00:53:56.962Z,,,,,18.8,,54
2018-01-10T00:54:06.928Z,,,,34.6,18.8,,54
2018-01-10T00:54:16.926Z,,,,34.4,18.9,,54
