Time,PrimTSet,HwTOutlet,HwActive,ChActive,PrimT,ActPow,HwTSet
2017-12-12T00:48:26.294Z,,22.6,,,52.6,,54
2017-12-12T00:48:36.307Z,,22.4,,,51.9,,54
2017-12-12T00:48:46.295Z,,22.2,,,50.9,,54
2017-12-12T00:48:56.292Z,,21.7,,,50.7,,54
2017-12-12T00:49:06.293Z,,21.5,,,49.9,,54
2017-12-12T00:49:16.297Z,,21.5,,,49.7,,54
2017-12-12T00:49:26.295Z,,21.6,,,49.2,,54
2017-12-12T00:49:36.295Z,,21.6,,,48.8,,54
2017-12-12T00:49:46.297Z,,21.2,,,48.5,,54
2017-12-12T00:49:56.297Z,,20.9,,,48.2,,54
2017-12-12T00:50:06.293Z,,20.8,,,47.9,,54
2017-12-12T00:50:16.299Z,,20.9,,,47.6,,54
2017-12-12T00:50:26.306Z,,20.6,,,47.3,,54
2017-12-12T00:50:36.295Z,,20.5,,,46.9,,54
2017-12-12T00:50:46.293Z,,20.4,,,46.8,,54
2017-12-12T00:50:56.294Z,,20.4,,,46.5,,54
2017-12-12T00:51:06.295Z,,20.1,,,,,54
2017-12-12T00:51:21.415Z,,19.4,,,,,54
2017-12-12T00:51:26.296Z,,19.6,,,46.4,,54
2017-12-12T00:51:36.296Z,,20.1,,,,,54
2017-12-12T00:51:46.306Z,,19.8,,,,,54
2017-12-12T00:51:56.292Z,,19.6,,,,,54
2017-12-12T00:52:06.305Z,,19.4,,,,,54
2017-12-12T00:52:16.306Z,,19.3,,,,,54
2017-12-12T00:52:26.306Z,,19,,,46.5,,54
2017-12-12T00:52:36.292Z,,18.6,,,,,54
2017-12-12T00:52:46.305Z,61,18.2,0,2,46.6,0,54
2017-12-12T00:52:56.305Z,,17.9,,,,,54
2017-12-12T00:53:06.306Z,,17.5,0,2,47.1,45,54
2017-12-12T00:53:16.306Z,,17.3,,,51,37,54
2017-12-12T00:53:26.295Z,,17.5,,,51.9,29,54
2017-12-12T00:53:36.296Z,,17.8,,,51,29,54
2017-12-12T00:53:46.296Z,,18.2,,,51.5,,54
2017-12-12T00:53:56.295Z,,19.3,,,51.8,,54
2017-12-12T00:54:06.294Z,,19.7,,,,,54
2017-12-12T00:54:16.294Z,,20.6,,,52,,54
2017-12-12T00:54:26.305Z,,20.9,,,,30,54
2017-12-12T00:54:36.294Z,,21.1,,,,29,54
2017-12-12T00:54:46.305Z,,21.2,,,52.1,,54
2017-12-12T00:54:56.296Z,,21.7,,,,,54
2017-12-12T00:55:06.295Z,,21.7,,,52.2,,54
2017-12-12T00:55:16.308Z,,21.7,,,52.3,,54
2017-12-12T00:55:26.305Z,,21.9,,,52.4,,54
2017-12-12T00:55:36.315Z,,21.7,,,,,54
2017-12-12T00:55:46.304Z,,21.7,,,52.6,,54
2017-12-12T00:55:56.294Z,,21.9,,,,,54
2017-12-12T00:56:06.297Z,,22,,,52.7,,54
2017-12-12T00:56:16.305Z,,21.9,,,,,54
2017-12-12T00:56:26.304Z,,22.1,,,,,54
2017-12-12T00:56:36.304Z,,22.1,,,52.8,,54
2017-12-12T00:56:46.380Z,,22.2,,,,,54
2017-12-12T00:56:56.305Z,,22.4,,,52.9,,54
2017-12-12T00:57:06.305Z,,22,,,53,,54
2017-12-12T00:57:16.305Z,,22.1,,,,,54
2017-12-12T00:57:26.304Z,,22.2,,,,,54
2017-12-12T00:57:36.304Z,,22.1,,,53.1,,54
2017-12-12T00:57:46.304Z,,21.9,,,53.2,,54
2017-12-12T00:57:56.308Z,,21.9,,,,,54
2017-12-12T00:58:06.304Z,,22.4,,,53.3,,54
2017-12-12T00:58:16.304Z,,22.6,,,,,54
2017-12-12T00:58:26.304Z,,22.5,,,53.4,,54
2017-12-12T00:58:36.304Z,,22.4,,,,,54
2017-12-12T00:58:46.304Z,,22.5,,,,,54
2017-12-12T00:58:56.304Z,,22.4,,,53.5,30,54
2017-12-12T00:59:06.305Z,,22.5,,,,29,54
2017-12-12T00:59:16.304Z,,22.5,,,53.6,,54
2017-12-12T00:59:26.303Z,,22.6,,,,,54
2017-12-12T00:59:36.304Z,,22.4,,,53.7,,54
2017-12-12T00:59:46.305Z,,22.6,,,,,54
2017-12-12T00:59:56.304Z,,22.6,,,53.8,,54
2017-12-12T01:00:06.305Z,,22.6,,,,,54
2017-12-12T01:00:21.487Z,,22.6,,,53.9,,54
2017-12-12T01:00:26.387Z,,22.4,,,,,54
2017-12-12T01:00:41.371Z,,22.4,,,54,,54
2017-12-12T01:00:46.303Z,,22.2,,,,,54
2017-12-12T01:00:56.303Z,,22.7,,,,,54
2017-12-12T01:01:06.305Z,,22.2,,,54.1,,54
2017-12-12T01:01:16.303Z,,22.5,,,,,54
2017-12-12T01:01:26.304Z,,22.7,,,54.3,30,54
2017-12-12T01:01:36.303Z,,22.7,,,54.4,29,54
2017-12-12T01:01:46.302Z,,22.7,,,,,54
2017-12-12T01:01:56.303Z,0,22.6,1,0,,,54
2017-12-12T01:02:06.311Z,,15,0,0,57.7,0,54
2017-12-12T01:02:16.304Z,,14.8,,,55.7,,54
2017-12-12T01:02:26.305Z,,15,,,55.2,,54
2017-12-12T01:02:36.311Z,,15.3,,,55.1,,54
