Time,ChActive,PrimT,HwTOutlet,HwActive,HwTSet,ActPow,PrimTSet
2017-12-08T10:21:54.382Z,,,44.9,,54,,
2017-12-08T10:22:04.329Z,,,44.9,,54,,
2017-12-08T10:22:14.320Z,,,45,,54,,
2017-12-08T10:22:24.340Z,,64.2,45,,54,,
2017-12-08T10:22:34.336Z,,,45,,54,,
2017-12-08T10:22:44.322Z,,,45,,54,,
2017-12-08T10:22:54.339Z,,,45.1,,54,30,
2017-12-08T10:23:04.350Z,,,45.1,,54,29,
2017-12-08T10:23:19.420Z,,64.4,45.1,,54,,
2017-12-08T10:23:24.355Z,,,45.1,,54,,
2017-12-08T10:23:34.323Z,,,45.1,,54,,
2017-12-08T10:23:44.320Z,,64.5,45.1,,54,,
2017-12-08T10:23:54.328Z,,,45.1,,54,,
2017-12-08T10:24:04.382Z,,,45.1,,54,,
2017-12-08T10:24:14.318Z,,64.6,45.2,,54,,
2017-12-08T10:24:24.318Z,,,45.2,,54,,
2017-12-08T10:24:34.332Z,,,45.3,,54,,
2017-12-08T10:24:44.322Z,,64.7,45.3,,54,,
2017-12-08T10:24:54.336Z,,,45.3,,54,,
2017-12-08T10:25:09.431Z,,64.8,45.3,,54,,
2017-12-08T10:25:14.322Z,,,45.4,,54,,
2017-12-08T10:25:24.328Z,,,45.3,,54,,
2017-12-08T10:25:34.332Z,,64.9,45.4,,54,,
2017-12-08T10:25:44.322Z,,,45.4,,54,,
2017-12-08T10:25:59.399Z,1,62.7,45.5,0,54,0,
2017-12-08T10:26:09.441Z,,61.3,45.5,,54,,
2017-12-08T10:26:14.335Z,,59.8,45.6,,54,,
2017-12-08T10:26:24.324Z,,58.9,45.5,,54,,
2017-12-08T10:26:34.335Z,,58.2,45.5,,54,,
2017-12-08T10:26:44.326Z,,57.4,45.4,,54,,
2017-12-08T10:26:54.324Z,,56.8,45.3,,54,,
2017-12-08T10:27:04.324Z,,56.2,45.2,,54,,
2017-12-08T10:27:14.322Z,,55.7,45.1,,54,,
2017-12-08T10:27:24.330Z,,55.2,45,,54,,
2017-12-08T10:27:34.325Z,1,54.8,44.9,0,54,,
2017-12-08T10:27:44.385Z,,58.4,44.8,,54,37,
2017-12-08T10:27:54.322Z,,58.8,44.7,,54,29,
2017-12-08T10:28:09.432Z,,59.4,44.6,,54,30,
2017-12-08T10:28:14.338Z,,60.4,44.6,,54,29,
2017-12-08T10:28:24.323Z,,60.8,44.4,,54,,
2017-12-08T10:28:34.324Z,,61.4,44.4,,54,,
2017-12-08T10:28:44.325Z,,61.8,44.6,,54,,
2017-12-08T10:28:54.332Z,,62.1,44.6,,54,,
2017-12-08T10:29:09.441Z,,62.5,44.6,,54,,
2017-12-08T10:29:14.321Z,,62.7,44.6,,54,,
2017-12-08T10:29:24.335Z,,62.9,44.6,,54,30,
2017-12-08T10:29:35.373Z,,63.1,44.6,,54,29,
2017-12-08T10:29:44.330Z,,63.3,44.7,,54,,
2017-12-08T10:29:54.326Z,,63.4,44.7,,54,,
2017-12-08T10:30:04.335Z,,63.5,44.8,,54,,
2017-12-08T10:30:14.326Z,,63.6,44.8,,54,,
2017-12-08T10:30:24.323Z,,63.8,44.9,,54,30,
2017-12-08T10:30:34.322Z,,63.9,44.9,,54,29,
2017-12-08T10:30:44.326Z,,64,45,,54,30,
2017-12-08T10:30:59.383Z,,,45,,54,,
2017-12-08T10:31:04.334Z,,64.1,45,,54,29,
2017-12-08T10:31:14.329Z,,64.2,45,,54,,
2017-12-08T10:31:24.328Z,,64.4,45.1,,54,,
2017-12-08T10:31:34.388Z,,,45,,54,,
2017-12-08T10:31:44.355Z,,64.5,45.1,,54,,
2017-12-08T10:31:54.341Z,,,45.1,,54,,
2017-12-08T10:32:04.332Z,,,45.1,,54,30,
2017-12-08T10:32:19.444Z,,64.6,45.2,,54,29,
2017-12-08T10:32:24.327Z,,,45.2,,54,,
2017-12-08T10:32:34.330Z,,,45.2,,54,,
2017-12-08T10:32:44.330Z,,64.7,45.2,,54,,
2017-12-08T10:32:54.329Z,,,45.3,,54,,
2017-12-08T10:33:04.329Z,,,45.3,,54,,
2017-12-08T10:33:14.330Z,,64.8,45.3,,54,,
2017-12-08T10:33:24.324Z,,,45.3,,54,,
2017-12-08T10:33:34.326Z,,,45.3,,54,,
2017-12-08T10:33:44.335Z,,64.9,45.3,,54,,
2017-12-08T10:33:54.416Z,,,45.3,,54,,
2017-12-08T10:34:04.343Z,1,,45.3,0,54,0,
2017-12-08T10:34:14.329Z,,61.9,45.4,,54,,
2017-12-08T10:34:24.327Z,,60.8,45.4,,54,,
2017-12-08T10:34:34.335Z,,59.6,45.4,,54,,
2017-12-08T10:34:44.335Z,,58.7,45.4,,54,,
2017-12-08T10:34:54.325Z,,57.9,45.3,,54,,
2017-12-08T10:35:04.372Z,,57.1,45.2,,54,,
2017-12-08T10:35:14.332Z,,56.5,45.2,,54,,
2017-12-08T10:35:24.346Z,,55.9,45.1,,54,,
2017-12-08T10:35:34.342Z,,55.4,45,,54,,
2017-12-08T10:35:49.435Z,,54.9,45,,54,,
2017-12-08T10:35:54.361Z,1,57,44.9,0,54,42,
2017-12-08T10:36:04.338Z,,58.9,44.8,,54,31,
2017-12-08T10:36:14.333Z,,59,44.7,,54,29,
2017-12-08T10:36:24.330Z,,60.1,44.7,,54,,
2017-12-08T10:36:34.328Z,,60.5,44.6,,54,,
2017-12-08T10:36:44.336Z,,61.1,44.6,,54,,
2017-12-08T10:36:54.331Z,,61.5,44.6,,54,,
2017-12-08T10:37:04.337Z,,62,44.6,,54,,
2017-12-08T10:37:14.327Z,,62.2,44.6,,54,,
2017-12-08T10:37:24.335Z,,62.5,44.7,,54,,
2017-12-08T10:37:39.439Z,,62.6,44.8,,54,,
2017-12-08T10:37:44.327Z,,62.8,44.8,,54,,
2017-12-08T10:37:54.330Z,,62.9,44.8,,54,30,
2017-12-08T10:38:09.448Z,,63.1,44.8,,54,29,
2017-12-08T10:38:14.331Z,,63.2,44.8,,54,,
2017-12-08T10:38:24.338Z,,63.3,44.8,,54,,
2017-12-08T10:38:34.359Z,,63.4,44.7,,54,30,
2017-12-08T10:38:44.328Z,,63.5,44.7,,54,29,
2017-12-08T10:38:54.334Z,,63.6,44.7,,54,,
2017-12-08T10:39:04.342Z,,,44.8,,54,30,
2017-12-08T10:39:14.327Z,,63.8,44.8,,54,29,
2017-12-08T10:39:24.331Z,,,44.8,,54,,
2017-12-08T10:39:34.332Z,,63.9,44.8,,54,,
2017-12-08T10:39:44.327Z,,63.9,44.8,,54,,
2017-12-08T10:39:54.342Z,,64,44.9,,54,,
2017-12-08T10:40:04.327Z,,,44.9,,54,,
2017-12-08T10:40:14.329Z,,,44.9,,54,,
2017-12-08T10:40:24.327Z,,64.1,44.9,,54,,
2017-12-08T10:40:34.330Z,,,44.9,,54,,
2017-12-08T10:40:44.350Z,,,45,,54,,
2017-12-08T10:40:54.328Z,,,45,,54,,
2017-12-08T10:41:04.334Z,,64.2,45.1,,54,,
2017-12-08T10:41:14.328Z,,,45.1,,54,,
2017-12-08T10:41:24.340Z,,,45.1,,54,30,
2017-12-08T10:41:34.340Z,,,45.1,,54,,
2017-12-08T10:41:44.348Z,,,45.1,,54,29,
2017-12-08T10:41:54.336Z,,64.4,45.1,,54,30,
2017-12-08T10:42:04.334Z,,,45.2,,54,29,
2017-12-08T10:42:14.337Z,,,45.2,,54,,
2017-12-08T10:42:24.337Z,,,45.2,,54,,
2017-12-08T10:42:34.329Z,,64.5,45.2,,54,,
2017-12-08T10:42:44.332Z,,,45.3,,54,,
2017-12-08T10:42:54.330Z,,,45.3,,54,,
2017-12-08T10:43:04.334Z,,64.6,45.3,,54,,
2017-12-08T10:43:14.344Z,,,45.3,,54,,
2017-12-08T10:43:24.329Z,,,45.4,,54,,
2017-12-08T10:43:34.330Z,,64.7,45.4,,54,30,
2017-12-08T10:43:44.357Z,,,45.4,,54,29,
2017-12-08T10:43:54.378Z,,,45.4,,54,,
2017-12-08T10:44:04.332Z,,,45.4,,54,30,
2017-12-08T10:44:14.350Z,,64.8,45.4,,54,29,
2017-12-08T10:44:24.404Z,,,45.5,,54,,
2017-12-08T10:44:34.357Z,,,45.5,,54,,
2017-12-08T10:44:44.345Z,,64.9,45.5,,54,30,
2017-12-08T10:44:54.329Z,,,45.5,,54,29,
2017-12-08T10:45:04.331Z,,,45.6,,54,,
2017-12-08T10:45:14.339Z,1,64.6,45.6,0,54,0,
2017-12-08T10:45:24.334Z,,61.8,45.6,,54,,
2017-12-08T10:45:34.333Z,,60.7,45.7,,54,,
2017-12-08T10:45:44.333Z,,59.5,45.7,,54,,
2017-12-08T10:45:59.396Z,,58.5,45.6,,54,,
