Time,PrimTSet,HwTOutlet,PrimT,HwTSet,HwActive,ActPow,ChActive
2017-12-13T01:19:43.126Z,,38.5,63.1,54,,,
2017-12-13T01:19:53.125Z,,38.5,,54,,,
2017-12-13T01:20:03.136Z,,38.5,,54,,,
2017-12-13T01:20:13.126Z,,38.5,,54,,,
2017-12-13T01:20:23.129Z,,38.5,,54,,,
2017-12-13T01:20:33.127Z,,38.5,,54,,,
2017-12-13T01:20:43.124Z,,38.4,,54,,,
2017-12-13T01:20:53.146Z,,38.4,,54,,,
2017-12-13T01:21:03.127Z,,38.5,,54,,,
2017-12-13T01:21:13.126Z,,38.5,63.2,54,,30,
2017-12-13T01:21:23.129Z,,38.5,,54,,29,
2017-12-13T01:21:33.130Z,,38.4,,54,,,
2017-12-13T01:21:43.138Z,,38.4,,54,,30,
2017-12-13T01:21:53.127Z,,38.4,,54,,29,
2017-12-13T01:22:03.129Z,,38.4,,54,,,
2017-12-13T01:22:13.127Z,,38.5,,54,,,
2017-12-13T01:22:23.126Z,,38.5,,54,,,
2017-12-13T01:22:33.127Z,,38.5,,54,,,
2017-12-13T01:22:43.129Z,,38.5,,54,,,
2017-12-13T01:22:53.128Z,,38.5,,54,,,
2017-12-13T01:23:03.130Z,,38.5,,54,,,
2017-12-13T01:23:13.136Z,,38.5,63.3,54,,,
2017-12-13T01:23:23.125Z,,38.5,,54,,,
2017-12-13T01:23:33.131Z,,38.5,,54,,,
2017-12-13T01:23:43.137Z,,38.5,,54,,,
2017-12-13T01:23:53.131Z,,38.5,,54,,,
2017-12-13T01:24:03.134Z,,38.5,,54,,30,
