Time,ActPow,PrimT,HwActive,ChActive,HwTOutlet,PrimTSet,HwTSet
2017-11-21T00:30:57.924Z,,55.3,,,51.4,,54
2017-11-21T00:31:07.925Z,,55,,,51.4,,54
2017-11-21T00:31:17.928Z,,54.6,,,51.4,,54
2017-11-21T00:31:27.918Z,,54.3,,,51.4,,54
2017-11-21T00:31:38.008Z,,54,,,51.5,,54
2017-11-21T00:31:47.924Z,,53.7,0,2,51.5,,54
2017-11-21T00:31:57.938Z,36,57.8,,,51.5,,54
2017-11-21T00:32:07.919Z,29,58,,,51.5,,54
2017-11-21T00:32:17.927Z,,59.3,,,51.5,,54
2017-11-21T00:32:27.923Z,,60,,,51.5,,54
2017-11-21T00:32:38.019Z,,60.7,,,51.5,,54
2017-11-21T00:32:47.925Z,,61.5,,,,,
2017-11-21T00:32:57.927Z,,62.1,,,51.5,,54
2017-11-21T00:33:07.927Z,,62.7,,,51.4,,54
2017-11-21T00:33:17.921Z,,63.2,,,51.4,,54
2017-11-21T00:33:27.921Z,,63.6,,,51.4,,54
2017-11-21T00:33:38.011Z,,64,,,51.4,,54
2017-11-21T00:33:47.929Z,,64.2,,,51.4,,54
2017-11-21T00:33:57.927Z,,64.6,,,51.4,,54
2017-11-21T00:34:07.927Z,,64.8,,,51.4,,54
2017-11-21T00:34:17.927Z,0,63.8,0,2,51.4,,54
2017-11-21T00:34:27.951Z,,61.8,,,51.4,,54
2017-11-21T00:34:43.072Z,,61.2,,,51.4,,54
2017-11-21T00:34:47.927Z,,59.9,,,51.4,,54
2017-11-21T00:34:57.928Z,,59,,,51.4,,54
2017-11-21T00:35:07.920Z,,58.3,,,51.4,,54
2017-11-21T00:35:17.927Z,,57.6,,,51.4,,54
2017-11-21T00:35:28.006Z,,56.9,,,51.4,,54
2017-11-21T00:35:37.974Z,,56.4,,,51.5,,54
2017-11-21T00:35:47.923Z,,55.9,,,51.5,,54
2017-11-21T00:35:57.933Z,,55.4,,,51.5,,54
2017-11-21T00:36:07.925Z,,55,,,51.5,,54
2017-11-21T00:36:17.927Z,,54.7,,,51.5,,54
2017-11-21T00:36:27.924Z,,54.4,,,51.5,,54
2017-11-21T00:36:38.018Z,,54,,,51.5,,54
2017-11-21T00:36:47.925Z,,53.8,0,2,,,
2017-11-21T00:36:57.956Z,36,57.9,,,51.5,,54
2017-11-21T00:37:07.928Z,29,58.1,,,51.5,,54
2017-11-21T00:37:17.925Z,,59.1,,,51.5,,54
2017-11-21T00:37:27.929Z,,60.1,,,51.5,,54
2017-11-21T00:37:38.015Z,,60.8,,,51.5,,54
2017-11-21T00:37:47.929Z,,61.5,,,51.4,,54
2017-11-21T00:37:57.929Z,,62.1,,,51.4,,54
2017-11-21T00:38:07.924Z,,62.7,,,51.4,,54
2017-11-21T00:38:17.925Z,,63.2,,,51.4,,54
2017-11-21T00:38:27.929Z,,63.6,,,51.4,,54
2017-11-21T00:38:38.017Z,,64,,,51.4,,54
2017-11-21T00:38:47.955Z,,64.4,,,51.4,,54
2017-11-21T00:38:57.927Z,,64.7,,,51.4,,54
2017-11-21T00:39:07.923Z,,64.9,,,51.5,,54
2017-11-21T00:39:17.930Z,0,63.2,0,2,51.5,,54
2017-11-21T00:39:27.927Z,,61.6,,,51.6,,54
2017-11-21T00:39:38.022Z,,60.8,,,51.6,,54
2017-11-21T00:39:47.947Z,,59.6,,,,,
2017-11-21T00:39:57.931Z,,58.8,,,51.6,,54
2017-11-21T00:40:07.927Z,,58.1,,,51.7,,54
2017-11-21T00:40:17.924Z,,57.4,,,51.7,,54
2017-11-21T00:40:27.927Z,,56.8,,,51.7,,54
2017-11-21T00:40:38.019Z,,56.3,,,51.8,,54
2017-11-21T00:40:47.929Z,,55.7,,,,,
2017-11-21T00:40:57.924Z,,55.3,,,51.7,,54
2017-11-21T00:41:07.926Z,,54.9,,,51.8,,54
2017-11-21T00:41:17.957Z,,54.6,,,51.8,,54
2017-11-21T00:41:27.933Z,,54.3,,,51.8,,54
2017-11-21T00:41:38.017Z,,54,,,51.8,,54
2017-11-21T00:41:47.930Z,,53.8,0,2,,,
2017-11-21T00:41:57.940Z,36,57.9,,,51.8,,54
2017-11-21T00:42:07.933Z,29,58.1,,,51.8,,54
2017-11-21T00:42:17.926Z,,59.1,,,51.8,,54
2017-11-21T00:42:27.931Z,30,60,,,51.8,,54
2017-11-21T00:42:38.015Z,29,60.8,,,51.7,,54
2017-11-21T00:42:47.934Z,,61.5,,,,,
2017-11-21T00:42:57.927Z,,62.1,,,51.7,,54
2017-11-21T00:43:07.930Z,,62.7,,,51.7,,54
2017-11-21T00:43:17.927Z,,63.2,,,51.6,,54
2017-11-21T00:43:27.926Z,,63.6,,,51.6,,54
2017-11-21T00:43:38.017Z,,64,,,51.6,,54
2017-11-21T00:43:47.926Z,,64.4,,,51.6,,54
2017-11-21T00:43:57.935Z,,64.7,,,51.6,,54
2017-11-21T00:44:07.928Z,,64.9,,,51.5,,54
2017-11-21T00:44:17.930Z,0,63.4,0,2,51.5,,54
2017-11-21T00:44:27.926Z,,61.6,,,51.5,,54
2017-11-21T00:44:38.017Z,,60.8,,,51.5,,54
2017-11-21T00:44:47.936Z,,59.7,,,,,
2017-11-21T00:44:57.936Z,,58.8,,,51.5,,54
2017-11-21T00:45:13.031Z,,58.1,,,51.5,,54
2017-11-21T00:45:17.937Z,,57.4,,,51.5,,54
2017-11-21T00:45:27.930Z,,56.8,,,51.6,,54
2017-11-21T00:45:43.082Z,,56.3,,,51.6,,54
2017-11-21T00:45:47.927Z,,55.7,,,,,
2017-11-21T00:45:57.937Z,,55.3,,,51.6,,54
2017-11-21T00:46:07.941Z,,55,,,51.6,,54
2017-11-21T00:46:23.021Z,,54.6,,,51.6,,54
2017-11-21T00:46:27.932Z,,54.3,,,51.6,,54
2017-11-21T00:46:38.030Z,,54,,,51.6,,54
2017-11-21T00:46:47.938Z,,53.8,0,2,,,
2017-11-21T00:46:57.936Z,36,57.9,,,51.6,,54
2017-11-21T00:47:07.934Z,29,58.1,,,51.6,,54
2017-11-21T00:47:17.936Z,,59.1,,,51.6,,54
2017-11-21T00:47:27.931Z,,60,,,,,
2017-11-21T00:47:38.030Z,,60.8,,,51.6,,54
2017-11-21T00:47:47.930Z,,61.5,,,,,
2017-11-21T00:47:57.936Z,,62.1,,,51.6,,54
2017-11-21T00:48:07.936Z,,62.7,,,51.6,,54
2017-11-21T00:48:17.934Z,,63.2,,,51.5,,54
2017-11-21T00:48:27.937Z,,63.6,,,51.5,,54
2017-11-21T00:48:38.022Z,,64,,,51.5,,54
2017-11-21T00:48:47.939Z,,,,,51.5,,54
2017-11-21T00:48:57.928Z,,64.6,,,51.5,,54
2017-11-21T00:49:07.928Z,,64.8,,,,,
2017-11-21T00:49:17.944Z,0,63.9,0,2,51.5,,54
2017-11-21T00:49:27.929Z,,61.8,,,,,
2017-11-21T00:49:43.162Z,,60.9,,,51.5,,54
2017-11-21T00:49:47.939Z,,59.8,,,,,
2017-11-21T00:50:03.062Z,,58.9,,,51.5,,54
2017-11-21T00:50:13.066Z,,58.1,,,51.5,,54
2017-11-21T00:50:23.411Z,,57.4,,,,,
2017-11-21T00:50:33.064Z,,56.8,,,51.5,,54
2017-11-21T00:50:38.083Z,,56.2,,,51.6,,54
2017-11-21T00:50:47.934Z,,55.7,,,,,
2017-11-21T00:51:03.165Z,,55.2,,,51.6,,54
2017-11-21T00:51:07.938Z,,54.8,,,51.6,,54
2017-11-21T00:51:17.931Z,,54.5,,,51.6,,54
2017-11-21T00:51:33.065Z,,54,,,51.6,,54
2017-11-21T00:51:38.022Z,,53.8,,,,,
2017-11-21T00:51:47.935Z,,53.5,0,2,51.6,,54
2017-11-21T00:51:57.935Z,35,57.6,,,51.6,,54
2017-11-21T00:52:07.932Z,29,57.8,,,51.6,,54
2017-11-21T00:52:17.934Z,,58.9,,,51.6,,54
2017-11-21T00:52:27.932Z,,59.7,,,51.6,,54
2017-11-21T00:52:38.022Z,,60.4,,,51.6,,54
2017-11-21T00:52:47.932Z,,61.2,,,,,
2017-11-21T00:52:57.933Z,,61.6,,,51.5,,54
2017-11-21T00:53:07.934Z,,62.2,,,51.5,,54
2017-11-21T00:53:17.936Z,,62.7,,,51.5,,54
2017-11-21T00:53:27.934Z,,,,,51.5,,54
2017-11-21T00:53:38.033Z,,63.4,,,51.5,,54
2017-11-21T00:53:47.938Z,,,,,51.4,,54
2017-11-21T00:53:57.939Z,,63.6,,,51.4,,54
2017-11-21T00:54:07.944Z,30,64.1,,,51.4,,54
2017-11-21T00:54:17.933Z,29,64.4,,,51.4,,54
2017-11-21T00:54:27.934Z,,,,,51.4,,54
2017-11-21T00:54:38.038Z,,64.8,,,,,
2017-11-21T00:54:47.935Z,,64.9,,,51.4,,54
2017-11-21T00:54:57.943Z,0,63.1,0,2,,,
2017-11-21T00:55:07.932Z,,61.4,,,51.3,,54
2017-11-21T00:55:17.936Z,,60.5,,,51.4,,54
2017-11-21T00:55:27.933Z,,59.3,,,,,
2017-11-21T00:55:38.036Z,,58.5,,,51.4,,54
2017-11-21T00:55:47.936Z,,57.7,,,,,
2017-11-21T00:55:57.938Z,,56.9,,,51.4,,54
2017-11-21T00:56:07.937Z,,56.3,,,51.5,,54
2017-11-21T00:56:17.937Z,,55.7,,,,,
2017-11-21T00:56:33.046Z,,55.2,,,51.5,,54
2017-11-21T00:56:38.037Z,,54.8,,,51.5,,54
2017-11-21T00:56:47.942Z,,54.4,0,2,,,
2017-11-21T00:56:57.947Z,35,58.2,,,51.5,,54
2017-11-21T00:57:07.938Z,29,58.4,,,51.5,,54
2017-11-21T00:57:17.937Z,,59.4,,,,,
2017-11-21T00:57:27.939Z,,60,,,51.5,,54
2017-11-21T00:57:38.025Z,,60.8,,,51.6,,54
2017-11-21T00:57:47.936Z,,61.6,,,51.6,,54
2017-11-21T00:57:57.938Z,,62.1,,,51.6,,54
2017-11-21T00:58:07.938Z,,62.7,,,51.6,,54
2017-11-21T00:58:17.934Z,,63.2,,,51.6,,54
2017-11-21T00:58:27.943Z,,63.5,,,51.6,,54
2017-11-21T00:58:38.030Z,,63.9,,,51.6,,54
2017-11-21T00:58:47.942Z,30,64.1,,,,,
2017-11-21T00:58:57.943Z,29,64.5,,,51.6,,54
2017-11-21T00:59:07.945Z,,64.7,,,51.5,,54
2017-11-21T00:59:27.939Z,0,63.3,0,2,51.5,,54
2017-11-21T00:59:43.098Z,,61.6,,,51.5,,54
2017-11-21T00:59:47.939Z,,60.7,,,51.5,,54
2017-11-21T01:00:03.041Z,,59.6,,,51.4,,54
2017-11-21T01:00:07.945Z,,58.8,,,51.4,,54
2017-11-21T01:00:17.935Z,,58,,,51.4,,54
2017-11-21T01:00:27.941Z,,57.3,,,,,
2017-11-21T01:00:38.027Z,,56.7,,,51.4,,54
2017-11-21T01:00:53.029Z,,,,,51.5,,54
2017-11-21T01:00:57.942Z,,55.6,,,,,
2017-11-21T01:01:07.940Z,,55.2,,,51.5,,54
2017-11-21T01:01:23.081Z,,54.9,,,,,
2017-11-21T01:01:33.176Z,,,,,51.6,,54
2017-11-21T01:01:44.143Z,,54.5,,,51.6,,54
2017-11-21T01:01:53.176Z,,53.9,0,2,,,
2017-11-21T01:02:03.177Z,35,58,,,51.6,,54
2017-11-21T01:02:13.177Z,29,58.2,,,51.6,,54
2017-11-21T01:02:23.085Z,,59.3,,,51.6,,54
2017-11-21T01:02:33.029Z,,60.1,,,51.6,,54
2017-11-21T01:02:43.081Z,30,60.8,,,51.6,,54
2017-11-21T01:02:47.938Z,29,61.6,,,,,
2017-11-21T01:02:57.944Z,29,62.2,,,51.6,,54
2017-11-21T01:03:07.943Z,,,,,51.6,,54
2017-11-21T01:03:17.943Z,,63.2,,,,,
2017-11-21T01:03:27.939Z,,,,,51.6,,54
2017-11-21T01:03:38.029Z,,63.6,,,,,
2017-11-21T01:03:47.938Z,30,64.2,,,51.6,,54
2017-11-21T01:03:57.942Z,,64.6,,,51.6,,54
2017-11-21T01:04:07.943Z,29,64.8,,,51.6,,54
2017-11-21T01:04:17.944Z,0,64.7,0,2,,,
2017-11-21T01:04:27.943Z,,62,,,51.6,,54
2017-11-21T01:04:38.031Z,,61.3,,,51.6,,54
2017-11-21T01:04:47.945Z,,60,,,51.6,,54
2017-11-21T01:04:57.946Z,,59.1,,,51.6,,54
2017-11-21T01:05:07.941Z,,58.3,,,51.6,,54
2017-11-21T01:05:17.944Z,,57.7,,,51.6,,54
2017-11-21T01:05:27.944Z,,,,,51.6,,54
2017-11-21T01:05:38.091Z,,56.4,,,,,
2017-11-21T01:05:47.940Z,,,,,51.6,,54
2017-11-21T01:05:57.941Z,,55.4,,,,,
2017-11-21T01:06:13.029Z,,55.1,,,51.7,,54
2017-11-21T01:06:17.949Z,,54.7,,,,,
2017-11-21T01:06:27.941Z,,54.4,,,51.7,,54
2017-11-21T01:06:47.949Z,,53.8,,,51.7,,54
2017-11-21T01:06:57.942Z,39,57.2,0,2,51.7,,54
2017-11-21T01:07:07.940Z,30,58.1,,,51.7,,54
2017-11-21T01:07:17.946Z,29,59.3,,,51.7,,54
2017-11-21T01:07:27.945Z,30,60,,,51.7,,54
2017-11-21T01:07:38.034Z,29,60.1,,,51.7,,54
2017-11-21T01:07:47.944Z,,61.6,,,,,
2017-11-21T01:07:57.961Z,,62.2,,,51.7,,54
2017-11-21T01:08:07.941Z,,,,,51.6,,54
2017-11-21T01:08:17.945Z,,63.1,,,51.6,,54
2017-11-21T01:08:27.946Z,,63.3,,,51.6,,54
2017-11-21T01:08:38.037Z,,64.1,,,,,
2017-11-21T01:08:47.945Z,,,,,51.6,,54
2017-11-21T01:09:03.052Z,,64.5,,,51.6,,54
2017-11-21T01:09:07.945Z,30,64.7,,,51.6,,54
2017-11-21T01:09:17.947Z,0,62.8,0,2,51.5,,54
2017-11-21T01:09:27.942Z,,61.5,,,51.6,,54
