Time,ChActive,HwTSet,HwActive,ActPow,HwTOutlet,PrimT,PrimTSet
2017-11-13T00:58:17.313Z,,54,,,44.2,53.4,
2017-11-13T00:58:27.314Z,1,54,0,38,44.1,57.1,
2017-11-13T00:58:37.318Z,,54,,33,44,57.8,
2017-11-13T00:58:47.315Z,,54,,30,43.9,58,
2017-11-13T00:58:57.416Z,,54,,29,43.8,59,
2017-11-13T00:59:07.317Z,,54,,,43.8,60,
2017-11-13T00:59:17.315Z,,54,,,43.7,60.4,
2017-11-13T00:59:27.319Z,,54,,30,43.7,61.1,
2017-11-13T00:59:37.322Z,,54,,,43.8,61.5,
2017-11-13T00:59:47.343Z,,54,,29,43.8,62,
2017-11-13T00:59:57.410Z,,54,,30,43.9,62.4,
2017-11-13T01:00:12.405Z,,54,,29,44,62.7,
2017-11-13T01:00:17.320Z,,54,,29,44.1,63.1,
2017-11-13T01:00:27.320Z,,54,,30,44.2,63.2,
2017-11-13T01:00:37.320Z,,54,,29,44.2,63.4,
2017-11-13T01:00:47.311Z,,54,,,44.3,63.6,
2017-11-13T01:00:57.410Z,,54,,,44.3,63.8,
2017-11-13T01:01:07.316Z,,54,,,44.4,63.9,
2017-11-13T01:01:17.311Z,,54,,30,44.4,64,
2017-11-13T01:01:27.317Z,,54,,29,44.4,,
2017-11-13T01:01:37.319Z,,54,,,44.6,64.1,
2017-11-13T01:01:47.318Z,,54,,,44.6,,
2017-11-13T01:01:57.445Z,,54,,,44.6,,
2017-11-13T01:02:07.319Z,,54,,,44.7,64.2,
2017-11-13T01:02:17.320Z,,54,,,44.7,,
2017-11-13T01:02:27.312Z,,54,,,44.7,,
2017-11-13T01:02:37.318Z,,54,,,44.7,,
2017-11-13T01:02:47.312Z,,54,,,44.7,,
2017-11-13T01:02:57.413Z,,54,,,44.7,,
2017-11-13T01:03:07.313Z,,54,,,44.7,,
2017-11-13T01:03:17.314Z,,54,,,44.7,,
2017-11-13T01:03:27.338Z,,54,,,44.8,,
2017-11-13T01:03:37.328Z,,54,,,44.8,,
2017-11-13T01:03:47.313Z,,54,,,44.9,,
2017-11-13T01:03:57.407Z,,54,,30,44.9,,
2017-11-13T01:04:07.314Z,,54,,29,44.9,,
2017-11-13T01:04:17.313Z,,54,,,45,,
