Time,ChActive,HwActive,PrimT,HwTSet,PrimTSet,ActPow,HwTOutlet
2017-12-13T00:44:00.381Z,,,,50,,,29.5
2017-12-13T00:44:10.380Z,,,,50,,,29.5
2017-12-13T00:44:20.381Z,,,,50,,,29.3
2017-12-13T00:44:30.381Z,,,,50,,,29.3
2017-12-13T00:44:40.381Z,,,,50,,,29.3
2017-12-13T00:44:50.381Z,,,,50,,,29.3
2017-12-13T00:45:00.381Z,,,,50,,,29.3
2017-12-13T00:45:10.381Z,,,,50,,,29.3
2017-12-13T00:45:20.381Z,,,,50,,,29.3
2017-12-13T00:45:30.381Z,,,,50,,,29.3
2017-12-13T00:45:40.381Z,,,,50,,,29.3
2017-12-13T00:45:50.381Z,,,,50,,,29.3
2017-12-13T00:46:00.381Z,,,30.9,50,,,29.2
2017-12-13T00:46:10.382Z,,,31.1,50,,,29.3
2017-12-13T00:46:20.381Z,,,31.1,50,,,29.2
2017-12-13T00:46:30.381Z,,,,50,,,29.2
2017-12-13T00:46:40.381Z,,,,50,,,29.2
2017-12-13T00:46:50.381Z,,,,50,,,29.2
2017-12-13T00:47:00.381Z,,,,50,,,29.2
2017-12-13T00:47:10.381Z,,,,50,,,29.2
2017-12-13T00:47:20.381Z,,,31.2,50,,,29.2
2017-12-13T00:47:30.381Z,,,,50,,,29.2
2017-12-13T00:47:40.381Z,,,,50,,,29.2
2017-12-13T00:47:50.381Z,,,,50,,,29.2
2017-12-13T00:48:00.382Z,,,,50,,,29.1
2017-12-13T00:48:10.380Z,,,,50,,,29.1
2017-12-13T00:48:20.381Z,,,,50,,,29.1
2017-12-13T00:48:30.381Z,1,0,34.2,50,,40,29.1
2017-12-13T00:48:40.381Z,,,38.1,50,,30,29.1
2017-12-13T00:48:50.381Z,,,36.8,50,,30,29.1
2017-12-13T00:49:00.380Z,,,35.9,50,,,29.1
2017-12-13T00:49:10.380Z,,,35.1,50,,30,29.1
2017-12-13T00:49:20.383Z,,,34.7,50,,29,29.1
2017-12-13T00:49:30.381Z,,,,50,,,29.1
2017-12-13T00:49:40.380Z,,,35.1,50,,,29.1
2017-12-13T00:49:50.381Z,,,35.4,50,,,29
2017-12-13T00:50:00.394Z,,,35.7,50,,,29
2017-12-13T00:50:10.384Z,,,36,50,,,29
2017-12-13T00:50:20.381Z,,,36.1,50,,30,29
2017-12-13T00:50:30.384Z,,,36.2,50,,29,29
2017-12-13T00:50:40.381Z,,,36.4,50,,,29
2017-12-13T00:50:50.381Z,,,36.5,50,,,29
2017-12-13T00:51:00.381Z,,,36.7,50,,30,29
2017-12-13T00:51:10.381Z,,,37.1,50,,29,29
2017-12-13T00:51:20.380Z,,,,50,,,29
2017-12-13T00:51:30.382Z,,,37.2,50,,,29
2017-12-13T00:51:40.381Z,,,37.4,50,,30,29
2017-12-13T00:51:50.381Z,,,37.5,50,,29,29
2017-12-13T00:52:00.381Z,,,37.6,50,,,29
2017-12-13T00:52:10.380Z,,,37.7,50,,,29
2017-12-13T00:52:20.384Z,,,38,50,,,29
2017-12-13T00:52:30.381Z,,,,50,,,29
2017-12-13T00:52:40.381Z,,,38.2,50,,30,29
2017-12-13T00:52:50.381Z,,,38.3,50,,,29
2017-12-13T00:53:00.381Z,,,38.5,50,,29,29
2017-12-13T00:53:10.381Z,,,38.6,50,,,29
2017-12-13T00:53:20.381Z,,,38.8,50,,30,29
2017-12-13T00:53:30.381Z,,,39.1,50,,29,29
2017-12-13T00:53:40.381Z,,,39.2,50,,30,29
2017-12-13T00:53:50.381Z,,,39.4,50,,29,29
2017-12-13T00:54:00.381Z,,,39.6,50,,,29
2017-12-13T00:54:10.381Z,,,39.7,50,,,29
2017-12-13T00:54:20.383Z,,,40,50,,,29
2017-12-13T00:54:30.381Z,,,,50,,,29
2017-12-13T00:54:40.380Z,1,0,40.2,50,59,30,29
2017-12-13T00:54:50.381Z,,,40.4,50,,,29
2017-12-13T00:55:00.381Z,,,40.5,50,,29,29
2017-12-13T00:55:10.381Z,,,40.7,50,,,29.1
2017-12-13T00:55:20.380Z,,,40.8,50,,,29.1
2017-12-13T00:55:30.381Z,,,41,50,,,29
2017-12-13T00:55:40.381Z,,,41.1,50,,,29.1
2017-12-13T00:55:50.380Z,,,41.2,50,,,29.1
2017-12-13T00:56:00.381Z,,,41.4,50,,,29.1
2017-12-13T00:56:10.380Z,,,41.5,50,,30,29.1
2017-12-13T00:56:20.380Z,,,41.7,50,,,29.1
2017-12-13T00:56:30.381Z,,,41.8,50,,29,29.1
2017-12-13T00:56:40.380Z,,,42,50,,,29.1
2017-12-13T00:56:50.381Z,,,42.1,50,,,29.1
2017-12-13T00:57:00.380Z,,,42.2,50,,30,29.2
2017-12-13T00:57:10.380Z,,,42.4,50,,29,29.2
2017-12-13T00:57:20.381Z,,,42.6,50,,30,29.2
2017-12-13T00:57:30.381Z,,,42.8,50,,,29.2
2017-12-13T00:57:40.388Z,,,43,50,,29,29.2
2017-12-13T00:57:50.380Z,,,,50,,,29.2
2017-12-13T00:58:00.381Z,,,43.2,50,,,29.2
2017-12-13T00:58:10.381Z,,,43.3,50,,30,29.2
2017-12-13T00:58:20.381Z,1,0,43.5,50,,0,29.3
2017-12-13T00:58:30.381Z,,,40.9,50,,,29.3
2017-12-13T00:58:40.380Z,,,39.8,50,,,29.3
2017-12-13T00:58:50.384Z,,,38.8,50,,,29.3
2017-12-13T00:59:00.381Z,,,38.7,50,,,29.3
2017-12-13T00:59:10.381Z,,,38.6,50,,,29.3
2017-12-13T00:59:20.380Z,,,38.5,50,,,29.3
2017-12-13T00:59:30.380Z,,,,50,,,29.3
2017-12-13T00:59:40.381Z,,,38.6,50,,,29.3
2017-12-13T00:59:50.381Z,,,38.5,50,,,29.5
2017-12-13T01:00:00.381Z,,,38.4,50,,,29.5
2017-12-13T01:00:10.381Z,,,38.2,50,,,29.5
2017-12-13T01:00:20.380Z,,,,50,,,29.5
2017-12-13T01:00:30.381Z,,,38.1,50,,,29.5
2017-12-13T01:00:40.380Z,,,,50,,,29.5
2017-12-13T01:00:50.389Z,,,38,50,,,29.5
2017-12-13T01:01:00.381Z,,,,50,,,29.5
2017-12-13T01:01:10.381Z,,,37.9,50,,,29.6
2017-12-13T01:01:20.380Z,,,,50,,,29.6
2017-12-13T01:01:30.382Z,,,37.8,50,,,29.6
2017-12-13T01:01:40.384Z,,,,50,,,29.6
2017-12-13T01:01:50.380Z,,,,50,,,29.6
2017-12-13T01:02:00.380Z,,,,50,,,29.6
2017-12-13T01:02:10.380Z,,,,50,,,29.6
2017-12-13T01:02:20.380Z,,,,50,,,29.6
2017-12-13T01:02:30.380Z,,,,50,,,29.6
2017-12-13T01:02:40.380Z,,,,50,,,29.7
2017-12-13T01:02:50.381Z,,,,50,,,29.6
2017-12-13T01:03:00.380Z,,,37.7,50,,,29.7
2017-12-13T01:03:10.380Z,,,,50,,,29.7
2017-12-13T01:03:20.380Z,,,,50,,,29.7
2017-12-13T01:03:30.380Z,,,,50,,,29.7
2017-12-13T01:03:40.381Z,,,,50,,,29.7
2017-12-13T01:03:50.381Z,,,,50,,,29.7
2017-12-13T01:04:00.380Z,,,37.8,50,,,29.7
2017-12-13T01:04:10.380Z,,,,50,,,29.7
2017-12-13T01:04:20.380Z,,,,50,,,29.7
2017-12-13T01:04:30.380Z,,,,50,,,29.7
2017-12-13T01:04:40.380Z,,,37.9,50,,,29.7
2017-12-13T01:04:50.381Z,,,,50,,,29.7
2017-12-13T01:05:00.380Z,,,,50,,,29.7
2017-12-13T01:05:10.384Z,,,38,50,,,29.8
2017-12-13T01:05:20.380Z,,,,50,,,29.8
2017-12-13T01:05:30.426Z,,,,50,,,29.8
2017-12-13T01:05:40.380Z,,,,50,,,29.8
2017-12-13T01:05:50.386Z,,,,50,,,29.8
2017-12-13T01:06:00.380Z,,,38.1,50,,,29.8
2017-12-13T01:06:10.380Z,,,,50,,,29.8
2017-12-13T01:06:20.380Z,,,,50,,,29.8
2017-12-13T01:06:30.380Z,,,,50,,,29.8
2017-12-13T01:06:40.380Z,,,,50,,,29.8
2017-12-13T01:06:50.380Z,,,,50,,,29.8
2017-12-13T01:07:00.381Z,,,,50,,,29.8
2017-12-13T01:07:10.380Z,,,38.2,50,,,29.8
2017-12-13T01:07:20.380Z,,,,50,,,29.8
2017-12-13T01:07:30.387Z,,,,50,,,29.8
2017-12-13T01:07:40.380Z,,,,50,,,29.8
2017-12-13T01:07:50.389Z,,,,50,,,29.8
2017-12-13T01:08:00.382Z,,,,50,,,29.8
2017-12-13T01:08:10.380Z,,,,50,,,29.8
2017-12-13T01:08:20.380Z,,,,50,,,29.8
2017-12-13T01:08:30.380Z,,,,50,,,29.8
2017-12-13T01:08:40.381Z,,,38.1,50,,,29.8
2017-12-13T01:08:50.381Z,,,,50,,,29.8
2017-12-13T01:09:00.380Z,,,,50,,,29.8
2017-12-13T01:09:10.380Z,,,,50,,,29.8
2017-12-13T01:09:20.380Z,,,,50,,,29.8
2017-12-13T01:09:30.380Z,,,,50,,,29.8
2017-12-13T01:09:40.380Z,,,,50,,,29.8
2017-12-13T01:09:50.381Z,,,,50,,,29.8
2017-12-13T01:10:00.380Z,,,,50,,,29.8
2017-12-13T01:10:10.382Z,0,0,,50,5,,29.8
2017-12-13T01:10:20.380Z,,,,50,,,29.8
2017-12-13T01:10:30.380Z,,,38,50,,,29.8
2017-12-13T01:10:40.388Z,,,,50,,,29.8
2017-12-13T01:10:50.380Z,,,,50,,,29.8
2017-12-13T01:11:00.380Z,,,,50,,,30
2017-12-13T01:11:10.380Z,,,,50,,,29.8
2017-12-13T01:11:20.380Z,,,,50,,,29.8
2017-12-13T01:11:30.380Z,,,,50,,,29.8
