Time,HwTSet,HwActive,PrimTSet,ActPow,PrimT,ChActive,HwTOutlet
2017-12-31T01:05:32.771Z,50,,,,,,37.1
2017-12-31T01:05:42.771Z,50,,,,,,36.9
2017-12-31T01:05:52.777Z,50,,,,,,36.8
2017-12-31T01:06:02.771Z,50,,,,,,36.8
2017-12-31T01:06:12.771Z,50,,,,36.1,,36.7
2017-12-31T01:06:22.772Z,50,,,,,,36.6
2017-12-31T01:06:32.771Z,50,,,,,,36.5
2017-12-31T01:06:42.816Z,50,,,,,,36.4
2017-12-31T01:06:52.771Z,50,,,,,,36.3
2017-12-31T01:07:02.793Z,50,,,,,,36.2
2017-12-31T01:07:12.771Z,50,,,,,,36.1
2017-12-31T01:07:22.771Z,50,,,,,,36.1
2017-12-31T01:07:32.771Z,50,,,,,,36
2017-12-31T01:07:42.771Z,50,,,,,,35.9
2017-12-31T01:07:52.771Z,50,,,,,,35.8
2017-12-31T01:08:02.775Z,50,,,,,,35.7
2017-12-31T01:08:12.771Z,50,,,,36,,35.6
2017-12-31T01:08:22.771Z,50,,,,,,35.6
2017-12-31T01:08:32.771Z,50,,,,,,35.5
2017-12-31T01:08:42.771Z,50,,,,,,35.4
2017-12-31T01:08:52.771Z,50,,,,,,35.3
2017-12-31T01:09:02.771Z,50,,,,,,35.3
2017-12-31T01:09:12.771Z,50,,,,,,35.2
2017-12-31T01:09:22.771Z,50,,,,,,35.1
2017-12-31T01:09:32.771Z,50,,,,,,34.9
2017-12-31T01:09:42.771Z,50,,,,,,34.8
2017-12-31T01:09:52.776Z,50,,,,,,34.8
2017-12-31T01:10:02.771Z,50,,,,,,34.7
2017-12-31T01:10:12.771Z,50,,,,,,34.6
2017-12-31T01:10:22.771Z,50,,,,,,34.5
2017-12-31T01:10:32.771Z,50,,,,,,34.5
2017-12-31T01:10:42.771Z,50,,,,,,34.4
2017-12-31T01:10:52.771Z,50,,,,,,34.3
2017-12-31T01:11:02.771Z,50,,,,,,34.2
2017-12-31T01:11:12.772Z,50,,,,,,34.2
2017-12-31T01:11:22.772Z,50,,,,35.9,,34.1
2017-12-31T01:11:32.773Z,50,,,,36,,34
2017-12-31T01:11:42.776Z,50,,,,35.9,,34
2017-12-31T01:11:52.776Z,50,,,,,,33.9
2017-12-31T01:12:02.771Z,50,,,,,,33.8
2017-12-31T01:12:12.771Z,50,,,,,,33.8
2017-12-31T01:12:22.771Z,50,,,,,,33.7
2017-12-31T01:12:32.771Z,50,,,,,,33.6
2017-12-31T01:12:42.771Z,50,,,,,,33.6
2017-12-31T01:12:52.771Z,50,,,,,,33.5
2017-12-31T01:13:02.771Z,50,,,,,,33.4
2017-12-31T01:13:12.773Z,50,,,,,,33.4
2017-12-31T01:13:22.771Z,50,,,,35.8,,33.3
2017-12-31T01:13:32.770Z,50,,,,,,33.2
2017-12-31T01:13:42.771Z,50,,,,,,33.2
2017-12-31T01:13:52.773Z,50,,,,,,33.1
2017-12-31T01:14:02.771Z,50,,,,,,33.1
2017-12-31T01:14:12.771Z,50,,,,,,32.9
2017-12-31T01:14:22.770Z,50,,,,,,32.8
2017-12-31T01:14:32.774Z,50,,,,,,32.8
2017-12-31T01:14:42.773Z,50,,,,,,32.7
2017-12-31T01:14:52.770Z,50,,,,35.7,,32.7
2017-12-31T01:15:02.771Z,50,,,,,,32.6
2017-12-31T01:15:12.772Z,50,,,,,,32.5
2017-12-31T01:15:22.771Z,50,,,,,,32.5
2017-12-31T01:15:32.770Z,50,,,,,,32.4
2017-12-31T01:15:42.771Z,50,,,,,,32.4
2017-12-31T01:15:52.771Z,50,,,,,,32.3
2017-12-31T01:16:02.770Z,50,,,,,,32.2
2017-12-31T01:16:12.771Z,50,,,,,,32.2
2017-12-31T01:16:22.771Z,50,,,,35.6,,32.2
2017-12-31T01:16:32.771Z,50,,,,,,32.1
2017-12-31T01:16:42.770Z,50,,,,,,32
2017-12-31T01:16:52.771Z,50,,,,,,32
2017-12-31T01:17:02.771Z,50,,,,,,31.9
2017-12-31T01:17:12.771Z,50,,,,,,31.9
2017-12-31T01:17:22.771Z,50,,,,,,31.8
2017-12-31T01:17:32.771Z,50,,,,,,31.8
2017-12-31T01:17:42.770Z,50,,,,,,31.6
2017-12-31T01:17:52.771Z,50,,,,35.5,,31.6
2017-12-31T01:18:02.770Z,50,,,,,,31.5
2017-12-31T01:18:12.770Z,50,,,,,,31.5
2017-12-31T01:18:22.771Z,50,,,,,,31.4
2017-12-31T01:18:32.771Z,50,,,,,,31.4
2017-12-31T01:18:42.771Z,50,,,,,,31.3
2017-12-31T01:18:52.770Z,50,,,,,,31.3
2017-12-31T01:19:02.770Z,50,,,,,,31.2
2017-12-31T01:19:12.770Z,50,,,,,,31.2
2017-12-31T01:19:22.771Z,50,,,,35.4,,31.2
2017-12-31T01:19:32.770Z,50,,,,,,31
2017-12-31T01:19:42.770Z,50,,,,,,31
2017-12-31T01:19:52.770Z,50,,,,,,30.9
2017-12-31T01:20:02.771Z,50,,,,,,30.9
2017-12-31T01:20:12.771Z,50,,,,,,30.8
2017-12-31T01:20:22.771Z,50,,,,,,30.8
2017-12-31T01:20:32.770Z,50,,,,,,30.7
2017-12-31T01:20:42.771Z,50,,,,,,30.7
2017-12-31T01:20:52.770Z,50,,,,,,30.7
2017-12-31T01:21:02.771Z,50,,,,35.3,,30.6
2017-12-31T01:21:12.771Z,50,,,,,,30.6
2017-12-31T01:21:22.771Z,50,,,,,,30.4
2017-12-31T01:21:32.771Z,50,,,,,,30.4
2017-12-31T01:21:42.771Z,50,,,,,,30.4
2017-12-31T01:21:52.785Z,50,,,,,,30.3
2017-12-31T01:22:02.770Z,50,,,,,,30.3
2017-12-31T01:22:12.771Z,50,,,,,,30.2
2017-12-31T01:22:22.820Z,50,,,,,,30.2
2017-12-31T01:22:32.807Z,50,,,,35.2,,30.2
2017-12-31T01:22:42.771Z,50,,,,,,30.1
2017-12-31T01:22:52.786Z,50,,,,,,30.1
2017-12-31T01:23:02.775Z,50,,,,,,30
2017-12-31T01:23:12.780Z,50,,,,,,30
2017-12-31T01:23:22.771Z,50,,,,,,30
2017-12-31T01:23:32.772Z,50,,,,,,30
