Time,ChActive,HwTOutlet,PrimTSet,PrimT,HwActive,HwTSet,ActPow
2017-11-08T01:53:25.808Z,0,31.4,,30.9,2,52,
2017-11-08T01:53:35.809Z,0,32.1,,29.2,0,52,
2017-11-08T01:53:45.848Z,,30.8,,29,,52,
2017-11-08T01:53:55.834Z,0,30.7,,29,2,52,
2017-11-08T01:54:05.926Z,,29.1,,32,,52,36
2017-11-08T01:54:15.813Z,,31.9,,35.6,,52,45
2017-11-08T01:54:25.809Z,,34.8,,38,,52,44
2017-11-08T01:54:35.816Z,0,37.9,,39.8,0,52,0
2017-11-08T01:54:45.811Z,,37.7,,39.6,,52,
2017-11-08T01:54:55.808Z,,37.6,,39.5,,52,
2017-11-08T01:55:05.887Z,0,,,39.1,2,,
2017-11-08T01:55:15.807Z,,39.3,,40,,52,29
2017-11-08T01:55:25.807Z,,40.4,,41.1,,52,31
2017-11-08T01:55:35.808Z,0,41.8,,43.5,0,52,0
2017-11-08T01:55:45.807Z,,41.6,,43.3,,52,
2017-11-08T01:55:55.807Z,,,,43,,,
2017-11-08T01:56:05.887Z,,41.4,,,,52,
2017-11-08T01:56:15.807Z,,,,42.9,,,
2017-11-08T01:56:25.807Z,,41.2,,42.9,,52,
2017-11-08T01:56:35.807Z,,40.9,,,,52,
2017-11-08T01:56:45.808Z,,40.7,5,42.8,,52,
2017-11-08T01:56:55.808Z,,40.5,,,,52,
2017-11-08T01:57:25.807Z,,40.3,,42.7,,52,
2017-11-08T01:57:35.808Z,,40.1,,,,52,
2017-11-08T01:57:45.809Z,,39.9,,42.6,,52,
2017-11-08T01:57:55.807Z,,39.7,,,,52,
2017-11-08T01:58:25.808Z,,39.5,,42.4,,52,
2017-11-08T01:58:35.807Z,,39.3,,,,52,
2017-11-08T01:58:45.808Z,,39.2,,,,52,
2017-11-08T01:58:55.808Z,,38.8,,,,52,
2017-11-08T01:59:05.887Z,,,,42.3,,,
2017-11-08T01:59:25.836Z,,38.7,,,,52,
2017-11-08T01:59:35.807Z,,38.4,,42.2,,52,
