Time,HwTSet,HwActive,ActPow,PrimT,PrimTSet,ChActive,HwTOutlet
2017-12-08T10:20:10.540Z,50,,29,48.7,,,30.9
2017-12-08T10:20:20.547Z,50,0,0,46.9,,2,30.9
2017-12-08T10:20:30.541Z,50,,,44.9,,,30.9
2017-12-08T10:20:40.594Z,50,,,44,,,31
2017-12-08T10:20:50.713Z,50,,,43.9,,,31
2017-12-08T10:21:00.541Z,50,,,43.8,,,31
2017-12-08T10:21:10.556Z,50,,,,,,31
2017-12-08T10:21:20.550Z,50,,,,,,31
2017-12-08T10:21:30.540Z,50,,,,,,31.2
2017-12-08T10:21:40.564Z,50,,,43.7,,,31.2
2017-12-08T10:21:50.541Z,50,,,43.5,,,31.2
2017-12-08T10:22:02.941Z,50,,,43.4,,,31.2
2017-12-08T10:22:10.545Z,50,,,43.3,,,31.2
2017-12-08T10:22:20.550Z,50,,,43.2,,,31.2
2017-12-08T10:22:30.548Z,50,,,,,,31.3
2017-12-08T10:22:40.556Z,50,,,43.1,,,31.3
2017-12-08T10:22:50.574Z,50,,,,,,31.3
2017-12-08T10:23:00.590Z,50,,,43,,,31.3
2017-12-08T10:23:10.545Z,50,,,42.9,,,31.3
2017-12-08T10:23:20.551Z,50,,,42.8,,,31.3
2017-12-08T10:23:30.540Z,50,,,,,,31.4
2017-12-08T10:23:40.540Z,50,,,,,,31.4
2017-12-08T10:23:50.543Z,50,,,,,,31.4
2017-12-08T10:24:00.540Z,50,,,42.7,,,31.4
2017-12-08T10:24:10.540Z,50,,,,,,31.4
2017-12-08T10:24:20.540Z,50,,,,,,31.4
2017-12-08T10:24:30.540Z,50,,,,,,31.4
2017-12-08T10:24:40.544Z,50,,,42.6,,,31.5
2017-12-08T10:24:50.541Z,50,,,,,,31.5
2017-12-08T10:25:00.541Z,50,,,,,,31.5
2017-12-08T10:25:10.540Z,50,,,,,,31.5
2017-12-08T10:25:20.706Z,50,,,,,,31.5
2017-12-08T10:25:30.547Z,50,,,,,,31.5
2017-12-08T10:25:40.550Z,50,,,42.7,,,31.5
2017-12-08T10:25:50.545Z,50,,,,,,31.5
2017-12-08T10:26:00.563Z,50,,,,,,31.5
2017-12-08T10:26:10.540Z,50,,,,,,31.5
2017-12-08T10:26:20.540Z,50,,,42.8,,,31.5
2017-12-08T10:26:30.540Z,50,,,,,,31.5
2017-12-08T10:26:40.591Z,50,,,,,,31.5
2017-12-08T10:26:50.540Z,50,,,42.9,,,31.6
2017-12-08T10:27:00.540Z,50,1,39,42.7,0,0,34.5
2017-12-08T10:27:10.540Z,50,,37,44.1,,,42.4
2017-12-08T10:27:20.548Z,50,,31,46,,,44.4
2017-12-08T10:27:30.546Z,50,0,0,47.4,,0,46
2017-12-08T10:27:40.540Z,50,,,46.7,,,46.5
2017-12-08T10:27:50.540Z,50,,,46.6,,,46.3
2017-12-08T10:28:00.540Z,50,,,46.5,,,46.2
2017-12-08T10:28:10.540Z,50,,,,,,46
2017-12-08T10:28:20.540Z,50,,,,,,45.9
2017-12-08T10:28:30.540Z,50,0,,,59,2,45.8
2017-12-08T10:28:40.543Z,50,,,46.4,,,45.7
2017-12-08T10:28:50.546Z,50,,,,,,45.5
2017-12-08T10:29:00.540Z,50,,,,,,45.4
2017-12-08T10:29:10.540Z,50,,,,,,45.3
2017-12-08T10:29:20.545Z,50,,,,,,45.1
2017-12-08T10:29:30.540Z,50,,,46.3,,,45
2017-12-08T10:29:40.543Z,50,,,,,,44.9
