Time,HwTOutlet,HwTSet,PrimTSet,HwActive,PrimT,ChActive,ActPow
2018-01-01T00:51:12.738Z,23.8,50,,,,,
2018-01-01T00:51:22.738Z,23.9,50,,,,,
2018-01-01T00:51:32.738Z,23.8,50,,,,,
2018-01-01T00:51:42.738Z,23.8,50,,,,,
2018-01-01T00:51:52.738Z,23.8,50,,,,,
2018-01-01T00:52:02.738Z,23.8,50,,,29.8,,
2018-01-01T00:52:12.740Z,23.8,50,,,29.9,,
2018-01-01T00:52:22.738Z,23.8,50,,,,,
2018-01-01T00:52:32.738Z,23.8,50,,,29.8,,
2018-01-01T00:52:42.739Z,23.8,50,,,,,
2018-01-01T00:52:52.738Z,23.8,50,,,,,
2018-01-01T00:53:02.739Z,23.8,50,,,,,
2018-01-01T00:53:12.738Z,23.8,50,,,,,
2018-01-01T00:53:22.739Z,23.8,50,,,,,
2018-01-01T00:53:32.738Z,23.8,50,,,,,
2018-01-01T00:53:42.738Z,23.8,50,,,,,
2018-01-01T00:53:52.738Z,23.8,50,,,,,
2018-01-01T00:54:02.738Z,23.8,50,,,,,
2018-01-01T00:54:12.739Z,23.8,50,,,,,
2018-01-01T00:54:22.738Z,23.8,50,,,,,
2018-01-01T00:54:32.739Z,23.8,50,,,,,
2018-01-01T00:54:42.738Z,23.8,50,,,,,
2018-01-01T00:54:52.739Z,23.8,50,,,,,
2018-01-01T00:55:02.738Z,23.8,50,,,,,
2018-01-01T00:55:12.738Z,23.8,50,,,,,
2018-01-01T00:55:22.738Z,23.8,50,,,,,
2018-01-01T00:55:32.741Z,23.8,50,,,,,
2018-01-01T00:55:42.738Z,23.8,50,,,,,
2018-01-01T00:55:52.785Z,23.8,50,,,,,
2018-01-01T00:56:02.739Z,23.8,50,,,,,
2018-01-01T00:56:12.738Z,23.8,50,,,,,
2018-01-01T00:56:22.745Z,23.8,50,,,,,
2018-01-01T00:56:32.738Z,23.7,50,,,,,
2018-01-01T00:56:42.738Z,23.7,50,,,29.6,,
2018-01-01T00:56:52.738Z,23.7,50,,,,,
2018-01-01T00:57:02.739Z,23.7,50,,,,,
2018-01-01T00:57:22.743Z,23.7,50,,,,,
2018-01-01T00:57:32.739Z,23.7,50,,,,,
2018-01-01T00:57:42.738Z,23.7,50,,,,,
2018-01-01T00:57:52.739Z,23.7,50,,,,,
2018-01-01T00:58:02.738Z,23.7,50,,,,,
2018-01-01T00:58:12.740Z,23.7,50,,,,,
2018-01-01T00:58:22.739Z,23.7,50,,,,,
2018-01-01T00:58:32.738Z,23.7,50,,,,,
2018-01-01T00:58:42.738Z,23.7,50,,,,,
2018-01-01T00:58:52.739Z,23.7,50,,,,,
2018-01-01T00:59:02.739Z,23.7,50,,,,,
2018-01-01T00:59:22.738Z,23.7,50,,,,,
2018-01-01T00:59:32.738Z,23.7,50,,,,,
2018-01-01T00:59:42.738Z,23.7,50,,,,,
2018-01-01T00:59:52.738Z,23.7,50,,,,,
2018-01-01T01:00:02.738Z,23.7,50,,,,,
2018-01-01T01:00:12.738Z,23.7,50,,,,,
2018-01-01T01:00:22.739Z,23.7,50,,,,,
2018-01-01T01:00:32.738Z,23.7,50,,,,,
2018-01-01T01:00:42.738Z,23.7,50,,,29.5,,
2018-01-01T01:00:52.744Z,23.7,50,,,29.6,,
2018-01-01T01:01:02.738Z,23.7,50,,,,,
2018-01-01T01:01:22.738Z,23.7,50,,,,,
2018-01-01T01:01:32.739Z,23.7,50,,,29.5,,
2018-01-01T01:01:42.738Z,23.7,50,,,,,
2018-01-01T01:01:52.749Z,23.7,50,,,,,
2018-01-01T01:02:02.740Z,23.6,50,,,,,
2018-01-01T01:02:12.742Z,23.6,50,,,,,
2018-01-01T01:02:22.744Z,23.6,50,,,,,
2018-01-01T01:02:32.738Z,23.6,50,,,,,
2018-01-01T01:02:52.739Z,23.6,50,,,,,
2018-01-01T01:03:02.742Z,23.6,50,,,,,
2018-01-01T01:03:22.738Z,23.6,50,,,,,
2018-01-01T01:03:32.738Z,23.6,50,,,,,
2018-01-01T01:03:42.738Z,23.6,50,,,,,
2018-01-01T01:03:52.738Z,23.6,50,,,,,
2018-01-01T01:04:02.738Z,23.6,50,,,,,
2018-01-01T01:04:22.743Z,23.6,50,,,,,
2018-01-01T01:04:32.742Z,23.6,50,,,,,
2018-01-01T01:04:52.738Z,23.6,50,,,,,
2018-01-01T01:05:02.744Z,23.6,50,,,,,
2018-01-01T01:05:22.738Z,23.6,50,,,,,
2018-01-01T01:05:32.740Z,23.6,50,,,,,
2018-01-01T01:05:42.739Z,,,,,29.4,,
2018-01-01T01:05:52.738Z,23.6,50,,,,,
2018-01-01T01:06:02.738Z,23.6,50,,,,,
2018-01-01T01:06:22.738Z,23.6,50,,,,,
2018-01-01T01:06:32.748Z,23.6,50,,,,,
2018-01-01T01:06:52.738Z,23.6,50,,,,,
2018-01-01T01:07:02.738Z,23.6,50,,,,,
2018-01-01T01:07:22.738Z,23.6,50,,,,,
2018-01-01T01:07:32.738Z,23.6,50,,,,,
2018-01-01T01:07:52.738Z,23.4,50,,,,,
2018-01-01T01:08:02.738Z,23.4,50,,,,,
2018-01-01T01:08:22.738Z,23.4,50,,,,,
2018-01-01T01:08:32.738Z,23.4,50,,,,,
2018-01-01T01:08:52.738Z,23.4,50,,,,,
2018-01-01T01:09:12.738Z,23.4,50,,,,,
2018-01-01T01:09:22.740Z,23.4,50,,,,,
2018-01-01T01:09:42.738Z,23.4,50,,,,,
2018-01-01T01:09:52.743Z,23.4,50,,,,,
2018-01-01T01:10:02.738Z,23.4,50,,,,,
2018-01-01T01:10:12.741Z,,,,,29.3,,
2018-01-01T01:10:22.738Z,23.4,50,,,,,
2018-01-01T01:10:42.738Z,23.4,50,,,,,
2018-01-01T01:10:52.743Z,23.4,50,,,,,
2018-01-01T01:11:02.738Z,23.4,50,,,,,
2018-01-01T01:11:22.744Z,23.4,50,,,,,
2018-01-01T01:11:42.739Z,23.4,50,,,,,
2018-01-01T01:11:52.757Z,23.4,50,,,,,
2018-01-01T01:12:12.737Z,23.4,50,,,,,
2018-01-01T01:12:22.738Z,23.4,50,,,,,
