Time,PrimT,HwActive,PrimTSet,HwTOutlet,ActPow,HwTSet,ChActive
2017-11-25T01:11:11.182Z,38.4,,,29.8,,52,
2017-11-25T01:11:21.184Z,38.6,,,29.8,,52,
2017-11-25T01:11:31.186Z,38.8,,,29.8,,52,
2017-11-25T01:11:41.182Z,38.9,,,29.8,,52,
2017-11-25T01:11:51.181Z,39.2,,,29.8,,52,
2017-11-25T01:12:01.181Z,39.3,,,29.8,,52,
2017-11-25T01:12:11.181Z,39.5,,,29.8,30,52,
2017-11-25T01:12:21.186Z,39.7,,,,,,
2017-11-25T01:12:31.182Z,39.8,,,29.8,,52,
2017-11-25T01:12:41.182Z,40,,,29.8,29,52,
2017-11-25T01:12:51.181Z,40.1,,,29.8,30,52,
2017-11-25T01:13:01.182Z,40.3,,,29.8,29,52,
2017-11-25T01:13:11.182Z,40.5,,,29.8,30,52,
2017-11-25T01:13:21.182Z,40.6,,,,,,
2017-11-25T01:13:31.182Z,40.8,,,29.8,,52,
2017-11-25T01:13:41.186Z,40.9,,,29.8,29,52,
2017-11-25T01:13:51.182Z,41.1,,,,,,
2017-11-25T01:14:01.182Z,41.2,,,29.8,,52,
2017-11-25T01:14:11.184Z,41.5,,,,29,,
2017-11-25T01:14:21.184Z,41.7,,,29.8,,52,
2017-11-25T01:14:31.182Z,42,,,29.8,,52,
2017-11-25T01:14:41.183Z,42.1,,,29.8,,52,
2017-11-25T01:14:51.182Z,42.3,0,,29.8,0,52,2
2017-11-25T01:15:01.182Z,41.7,,,,,,
2017-11-25T01:15:11.184Z,,,,29.8,,52,
2017-11-25T01:15:21.186Z,40.8,,,,,,
2017-11-25T01:15:31.183Z,38,,,29.8,,52,
2017-11-25T01:15:41.184Z,37.7,,,29.8,,52,
2017-11-25T01:15:51.183Z,37.6,,,29.8,,52,
2017-11-25T01:16:01.182Z,37.5,,,30,,52,
2017-11-25T01:16:11.187Z,,,,30,,52,
2017-11-25T01:16:31.185Z,,,,30,,52,
2017-11-25T01:16:41.182Z,37.4,,,30,,52,
2017-11-25T01:16:51.184Z,37.3,,,30,,52,
2017-11-25T01:17:01.182Z,,,,30,,52,
2017-11-25T01:17:11.183Z,37.1,,,30,,52,
2017-11-25T01:17:21.185Z,36.9,,,,,,
2017-11-25T01:17:31.182Z,,,,30,,52,
2017-11-25T01:17:41.184Z,,,,30,,52,
2017-11-25T01:17:51.183Z,36.8,,,,,,
2017-11-25T01:18:01.186Z,,,,30,,52,
2017-11-25T01:18:11.185Z,36.7,,,,,,
2017-11-25T01:18:31.190Z,,,,30,,52,
2017-11-25T01:18:41.190Z,,,,30,,52,
2017-11-25T01:18:51.185Z,,,,30,,52,
2017-11-25T01:19:11.184Z,,,,30,,52,
2017-11-25T01:19:21.194Z,,,,30,,52,
2017-11-25T01:19:31.188Z,,,,30,,52,
2017-11-25T01:19:41.190Z,,,,30,,52,
2017-11-25T01:19:51.183Z,,,,30,,52,
2017-11-25T01:20:01.190Z,,,,30.1,,52,
2017-11-25T01:20:11.192Z,,,,30,,52,
2017-11-25T01:20:21.189Z,,,,30,,52,
2017-11-25T01:20:31.210Z,,,,30.1,,52,
2017-11-25T01:20:51.185Z,,,,30,,52,
2017-11-25T01:21:01.183Z,,,,30.1,,52,
2017-11-25T01:21:21.241Z,,,,30.1,,52,
2017-11-25T01:21:31.190Z,36.8,,,30.1,,52,
2017-11-25T01:21:41.192Z,36.9,,,30.1,,52,
2017-11-25T01:21:51.186Z,,,,30.1,,52,
2017-11-25T01:22:11.195Z,,,,30.1,,52,
2017-11-25T01:22:31.184Z,37.1,,,,,,
2017-11-25T01:22:41.183Z,,,,30.1,,52,
2017-11-25T01:22:51.209Z,,,,30.1,,52,
2017-11-25T01:23:11.184Z,,,,30.1,,52,
2017-11-25T01:23:21.189Z,,,,30.1,,52,
2017-11-25T01:23:31.182Z,37.2,,,30.1,,52,
2017-11-25T01:23:51.192Z,,,,30,,52,
2017-11-25T01:24:01.190Z,,,,30.1,,52,
2017-11-25T01:24:21.185Z,,,,30.1,,52,
2017-11-25T01:24:31.195Z,,,,30,,52,
2017-11-25T01:24:51.186Z,,,,30,,52,
2017-11-25T01:25:01.196Z,,,,30,,52,
2017-11-25T01:25:21.184Z,,,,30,,52,
2017-11-25T01:25:31.184Z,,,,30,,52,
2017-11-25T01:25:41.184Z,,,,30,,52,
2017-11-25T01:25:51.184Z,,,,30,,52,
2017-11-25T01:26:01.191Z,,,,30,,52,
2017-11-25T01:26:11.188Z,37.1,,,30,,52,
2017-11-25T01:26:21.182Z,,,,30,,52,
2017-11-25T01:26:31.191Z,37.2,,,30,,52,
