Time,HwTSet,PrimTSet,ChActive,ActPow,PrimT,HwTOutlet,HwActive
2017-11-22T01:29:41.358Z,52,,,,,25.5,
2017-11-22T01:29:51.278Z,52,,,,,25.5,
2017-11-22T01:30:01.281Z,52,,,,,25.5,
2017-11-22T01:30:11.281Z,52,,,,,25.5,
2017-11-22T01:30:31.277Z,52,,,,,25.5,
2017-11-22T01:30:41.377Z,52,,,,,25.5,
2017-11-22T01:30:51.283Z,52,,,,,25.5,
2017-11-22T01:31:01.282Z,52,,,,,25.5,
2017-11-22T01:31:11.277Z,52,,,,,25.5,
2017-11-22T01:31:31.277Z,52,,,,32,25.5,
2017-11-22T01:31:51.277Z,52,,,,32,25.5,
2017-11-22T01:32:01.278Z,52,,,,,25.5,
2017-11-22T01:32:11.277Z,52,,,,,25.5,
2017-11-22T01:32:31.277Z,52,,,,,25.4,
2017-11-22T01:32:41.363Z,52,,,,,25.4,
2017-11-22T01:32:51.277Z,52,,,,,25.4,
2017-11-22T01:33:01.278Z,52,,,,,25.4,
2017-11-22T01:33:11.277Z,52,,,,,25.4,
2017-11-22T01:33:31.277Z,52,,,,,25.4,
2017-11-22T01:33:51.277Z,52,,,,,25.4,
2017-11-22T01:34:01.278Z,52,,,,,25.4,
2017-11-22T01:34:11.277Z,52,,,,,25.4,
2017-11-22T01:34:21.277Z,52,,,,,25.4,
2017-11-22T01:34:31.278Z,52,,,,32,25.4,
2017-11-22T01:34:41.358Z,52,,,,31.9,25.4,
2017-11-22T01:34:51.282Z,52,,,,31.9,25.4,
2017-11-22T01:35:01.277Z,,,,,32,,
2017-11-22T01:35:11.282Z,52,,,,31.9,25.4,
2017-11-22T01:35:21.277Z,,,,,32,,
2017-11-22T01:35:31.283Z,52,,,,31.9,25.4,
2017-11-22T01:35:41.357Z,52,,,,31.9,25.4,
2017-11-22T01:35:51.277Z,52,,,,,25.4,
2017-11-22T01:36:01.277Z,52,,,,,25.4,
2017-11-22T01:36:11.277Z,52,,,,,25.4,
2017-11-22T01:36:31.277Z,52,,,,,25.4,
2017-11-22T01:36:41.361Z,52,,,,,25.4,
2017-11-22T01:36:51.277Z,52,,,,,25.4,
