Time,HwActive,PrimT,ActPow,HwTSet,ChActive,HwTOutlet,PrimTSet
2018-02-10T01:00:18.659Z,,40.7,,50,,38.5,
2018-02-10T01:00:28.634Z,,38.5,,,,,
2018-02-10T01:00:38.692Z,,38,,50,,38.3,
2018-02-10T01:00:48.692Z,,38,,50,,38.3,
2018-02-10T01:00:58.683Z,,38.5,,,,,
2018-02-10T01:01:08.664Z,,38.9,30,50,,38.1,
2018-02-10T01:01:18.640Z,,39.2,30,,,,
2018-02-10T01:01:28.659Z,,39.3,29,50,,38,
2018-02-10T01:01:38.634Z,,,,50,,37.9,
2018-02-10T01:01:48.646Z,,39.6,29,50,,37.8,
2018-02-10T01:01:58.634Z,,39.8,,,,,
2018-02-10T01:02:08.634Z,,39.9,30,50,,37.7,
2018-02-10T01:02:18.645Z,,40.2,29,,,,
2018-02-10T01:02:28.640Z,,40.4,,50,,37.6,
2018-02-10T01:02:38.634Z,,,,50,,37.5,
2018-02-10T01:02:48.651Z,,40.7,,50,,37.4,
2018-02-10T01:02:58.634Z,,40.9,,50,,37.4,
2018-02-10T01:03:08.638Z,,41.1,,,,,
2018-02-10T01:03:18.649Z,,41.2,30,50,,37.2,
2018-02-10T01:03:28.642Z,,,,50,,37.2,
2018-02-10T01:03:38.637Z,,41.5,29,,,,
2018-02-10T01:03:48.638Z,,41.7,,50,,37.1,
2018-02-10T01:03:58.633Z,,,,50,,36.9,
2018-02-10T01:04:08.638Z,,41.9,29,50,,36.8,
2018-02-10T01:04:18.635Z,,42.1,29,,,,
2018-02-10T01:04:28.642Z,,42.2,30,50,,36.7,
2018-02-10T01:04:38.847Z,,,,50,,36.7,
2018-02-10T01:04:48.633Z,,42.6,29,50,,36.6,
2018-02-10T01:04:58.634Z,,42.7,30,,,,
2018-02-10T01:05:08.637Z,,42.9,29,50,,36.5,
2018-02-10T01:05:18.640Z,,43,,,,,
2018-02-10T01:05:28.634Z,,43.1,,50,,36.4,
2018-02-10T01:05:38.633Z,,,,50,,36.4,
2018-02-10T01:05:48.634Z,0,42.2,0,50,2,36.3,
2018-02-10T01:05:58.635Z,,40.2,,50,,36.3,
2018-02-10T01:06:08.633Z,,38.9,,,,,
2018-02-10T01:06:18.635Z,,38.4,,50,,36.2,
2018-02-10T01:06:28.634Z,,38.3,,50,,36.1,
2018-02-10T01:06:38.634Z,,,,50,,36.1,
2018-02-10T01:06:48.634Z,,,,50,,36,
2018-02-10T01:07:08.634Z,,38.2,,50,,35.9,
2018-02-10T01:07:18.633Z,,,,50,,35.9,
2018-02-10T01:07:28.634Z,,38,,50,,35.8,
2018-02-10T01:07:38.633Z,,37.9,,,,,
2018-02-10T01:07:48.636Z,,37.8,,50,,35.7,
2018-02-10T01:07:58.643Z,,,,50,,35.7,
2018-02-10T01:08:18.633Z,,,,50,,35.6,
2018-02-10T01:08:28.659Z,,,,50,,35.5,
2018-02-10T01:08:38.633Z,,37.6,,,,,
2018-02-10T01:08:48.634Z,,,,50,,35.5,
2018-02-10T01:09:08.633Z,,,,50,,35.4,
2018-02-10T01:09:18.636Z,,,,50,,35.3,
2018-02-10T01:09:38.634Z,,,,50,,35.3,
2018-02-10T01:09:48.634Z,,37.5,,50,,35.2,
2018-02-10T01:09:58.633Z,,,,50,,35.2,
2018-02-10T01:10:18.634Z,,,,50,,35.1,
