Time,HwTSet,PrimTSet,ChActive,PrimT,HwTOutlet,ActPow,HwActive
2017-12-28T00:56:55.870Z,50,,,,25.3,,
2017-12-28T00:57:05.871Z,50,,,,25.3,,
2017-12-28T00:57:15.870Z,50,,,,25.3,,
2017-12-28T00:57:25.871Z,50,,,,25.3,,
2017-12-28T00:57:35.870Z,50,,,,25.3,,
2017-12-28T00:57:45.870Z,50,,,,25.3,,
2017-12-28T00:57:55.870Z,50,,,41.1,25.3,,
2017-12-28T00:58:05.871Z,50,,,41.2,25.1,,
2017-12-28T00:58:15.870Z,50,,,41.1,25.1,,
2017-12-28T00:58:25.870Z,50,,,,25.1,,
2017-12-28T00:58:35.876Z,50,,,,25.1,,
2017-12-28T00:58:45.870Z,50,,,,25.1,,
2017-12-28T00:58:55.870Z,50,,,,25.1,,
2017-12-28T00:59:05.871Z,50,,,,25.1,,
2017-12-28T00:59:15.870Z,50,,,,25.1,,
2017-12-28T00:59:25.870Z,50,,,,25.1,,
2017-12-28T00:59:35.870Z,50,,,,25.1,,
2017-12-28T00:59:45.870Z,50,,,41,25.1,,
2017-12-28T00:59:55.871Z,50,,,,25.1,,
2017-12-28T01:00:05.870Z,50,,,,25.1,,
2017-12-28T01:00:15.871Z,50,,,,25.1,,
2017-12-28T01:00:25.871Z,50,,,,25.1,,
2017-12-28T01:00:35.870Z,50,,,,25.1,,
2017-12-28T01:00:45.870Z,50,,,,25,,
2017-12-28T01:00:55.871Z,50,,,,25.1,,
2017-12-28T01:01:05.870Z,50,,,40.9,25,,
2017-12-28T01:01:15.873Z,50,,,40.9,25,,
2017-12-28T01:01:25.871Z,50,,,,25,,
2017-12-28T01:01:35.870Z,50,,,,25,,
2017-12-28T01:01:45.870Z,50,,,,25,,
2017-12-28T01:01:55.875Z,50,,,,25,,
2017-12-28T01:02:05.874Z,50,,,,25,,
2017-12-28T01:02:15.872Z,50,,,,25,,
2017-12-28T01:02:25.870Z,50,,,,25,,
2017-12-28T01:02:35.871Z,50,,,,25,,
2017-12-28T01:02:45.870Z,50,,,,25,,
2017-12-28T01:02:55.870Z,50,,,,25,,
2017-12-28T01:03:05.870Z,50,,,40.8,25,,
2017-12-28T01:03:15.871Z,50,,,,25,,
2017-12-28T01:03:25.871Z,50,,,,25,,
2017-12-28T01:03:35.870Z,50,,,,25,,
2017-12-28T01:03:45.870Z,50,,,,25,,
2017-12-28T01:03:55.870Z,50,,,,25,,
