Time,HwTSet,PrimTSet,PrimT,ActPow,ChActive,HwTOutlet,HwActive
2017-11-11T01:41:23.690Z,52,,37.9,,,25.6,
2017-11-11T01:41:33.685Z,52,,37.9,,,25.6,
2017-11-11T01:41:53.686Z,52,,,,,25.6,
2017-11-11T01:42:13.686Z,52,,,,,25.6,
2017-11-11T01:42:23.686Z,52,,,,,25.6,
2017-11-11T01:42:33.686Z,52,,,,,25.6,
2017-11-11T01:42:53.689Z,52,,,,,25.6,
2017-11-11T01:43:13.686Z,52,,,,,25.6,
2017-11-11T01:43:23.685Z,52,,,,,25.6,
2017-11-11T01:43:33.685Z,52,,,,,25.6,
2017-11-11T01:43:43.685Z,52,,,,,25.6,
2017-11-11T01:44:13.685Z,52,,37.8,,,25.6,
2017-11-11T01:44:23.688Z,52,,,,,25.6,
2017-11-11T01:44:33.685Z,52,,,,,25.6,
2017-11-11T01:44:43.685Z,52,,,,,25.6,
2017-11-11T01:45:13.685Z,52,,,,,25.6,
2017-11-11T01:45:23.686Z,52,,,,,25.6,
2017-11-11T01:45:33.686Z,52,,,,,25.6,
2017-11-11T01:45:43.685Z,52,,,,,25.6,
2017-11-11T01:45:53.686Z,,,37.7,,,,
2017-11-11T01:46:13.685Z,52,,37.7,,,25.6,
2017-11-11T01:46:23.686Z,52,,,,,25.6,
2017-11-11T01:46:33.686Z,52,,,,,25.6,
2017-11-11T01:46:43.685Z,52,,,,,25.5,
2017-11-11T01:47:13.687Z,52,,,,,25.6,
2017-11-11T01:47:23.686Z,52,,,,,25.5,
2017-11-11T01:47:33.685Z,52,,,,,25.5,
2017-11-11T01:47:43.685Z,52,,,,,25.5,
2017-11-11T01:48:13.686Z,52,,,,,25.5,
2017-11-11T01:48:23.686Z,52,,37.6,,,25.5,
2017-11-11T01:48:33.685Z,52,,,,,25.5,
2017-11-11T01:48:43.687Z,52,,,,,25.5,
2017-11-11T01:49:13.685Z,52,,,,,25.5,
2017-11-11T01:49:23.689Z,52,,,,,25.5,
2017-11-11T01:49:33.685Z,52,,,,,25.5,
2017-11-11T01:49:43.685Z,52,,,,,25.5,
2017-11-11T01:50:13.685Z,52,,37.5,,,25.5,
2017-11-11T01:50:23.686Z,52,,,,,25.5,
2017-11-11T01:50:33.685Z,52,,,,,25.5,
2017-11-11T01:50:43.685Z,52,,,,,25.5,
2017-11-11T01:51:13.689Z,52,,,,,25.5,
2017-11-11T01:51:23.693Z,52,,,,,25.5,
2017-11-11T01:51:33.685Z,52,,,,,25.5,
2017-11-11T01:51:43.685Z,52,,,,,25.4,
2017-11-11T01:52:13.685Z,52,,,,,25.5,
2017-11-11T01:52:23.689Z,52,,,,,25.5,
2017-11-11T01:52:33.687Z,52,,,,,25.4,
2017-11-11T01:52:43.686Z,52,,,,,25.4,
2017-11-11T01:52:53.685Z,,,37.4,,,,
2017-11-11T01:53:13.686Z,52,,,,,25.4,
2017-11-11T01:53:23.687Z,52,,,,,25.4,
2017-11-11T01:53:33.689Z,52,,,,,25.4,
2017-11-11T01:53:43.686Z,52,,,,,25.4,
2017-11-11T01:54:13.703Z,52,,,,,25.4,
2017-11-11T01:54:23.686Z,52,,,,,25.4,
2017-11-11T01:54:33.689Z,52,,,,,25.4,
