Time,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet,HwTSet,HwActive
2018-01-14T00:54:01.381Z,,,,,37.3,50,
2018-01-14T00:54:11.353Z,,,,41.8,37.2,50,
2018-01-14T00:54:21.356Z,,,,,37.1,50,
2018-01-14T00:54:31.354Z,,1,,,36.9,50,0
2018-01-14T00:54:41.355Z,,,59,,36.9,50,
2018-01-14T00:54:51.383Z,,,,41.7,36.8,50,
2018-01-14T00:55:01.353Z,,,,,36.7,50,
2018-01-14T00:55:11.353Z,,,,,36.7,50,
2018-01-14T00:55:21.356Z,,,,,36.6,50,
2018-01-14T00:55:31.354Z,,,,41.6,36.5,50,
2018-01-14T00:55:41.354Z,,,,,36.4,50,
2018-01-14T00:55:51.353Z,,,,,36.4,50,
2018-01-14T00:56:01.353Z,,,,,36.3,50,
2018-01-14T00:56:11.354Z,,,,,36.2,50,
2018-01-14T00:56:21.354Z,,,,41.5,36.2,50,
2018-01-14T00:56:31.356Z,,,,,36.1,50,
2018-01-14T00:56:41.354Z,,,,,36,50,
2018-01-14T00:56:51.358Z,,,,,36,50,
2018-01-14T00:57:01.354Z,,,,41.4,35.9,50,
2018-01-14T00:57:11.378Z,,,,,35.9,50,
2018-01-14T00:57:21.356Z,,,,,35.8,50,
2018-01-14T00:57:31.353Z,,,,,35.7,50,
2018-01-14T00:57:41.354Z,,,,41.3,35.7,50,
2018-01-14T00:57:51.354Z,,,,,35.6,50,
2018-01-14T00:58:01.377Z,,,,,35.6,50,
2018-01-14T00:58:11.361Z,,,,,35.5,50,
2018-01-14T00:58:21.354Z,,,,,35.4,50,
2018-01-14T00:58:31.367Z,,,,41.2,35.4,50,
2018-01-14T00:58:41.353Z,,,,,35.3,50,
2018-01-14T00:58:51.353Z,,,,,35.3,50,
2018-01-14T00:59:01.353Z,,,,,35.2,50,
2018-01-14T00:59:11.372Z,,,,,35.2,50,
2018-01-14T00:59:21.357Z,,,,41.1,35.1,50,
2018-01-14T00:59:31.378Z,,,,,34.9,50,
2018-01-14T00:59:41.354Z,,,,,34.9,50,
2018-01-14T00:59:51.354Z,,,,,34.8,50,
2018-01-14T01:00:01.355Z,,,,,34.8,50,
2018-01-14T01:00:11.353Z,,,,41,34.7,50,
2018-01-14T01:00:21.365Z,,,,,34.7,50,
2018-01-14T01:00:31.354Z,0,1,59,41,34.6,50,0
2018-01-14T01:00:41.354Z,,,,,34.6,50,
2018-01-14T01:00:51.357Z,,,,,34.5,50,
2018-01-14T01:01:01.354Z,,,,41,34.5,50,
2018-01-14T01:01:11.354Z,,,,40.9,34.4,50,
2018-01-14T01:01:21.353Z,,,,,34.4,50,
2018-01-14T01:01:31.357Z,,,,,34.3,50,
2018-01-14T01:01:41.353Z,,,,,34.3,50,
2018-01-14T01:01:51.354Z,,,,,34.2,50,
2018-01-14T01:02:01.355Z,,,,,34.2,50,
2018-01-14T01:02:11.353Z,,,,40.8,34.1,50,
2018-01-14T01:02:21.354Z,,,,,34.1,50,
2018-01-14T01:02:31.356Z,,,,,34.1,50,
2018-01-14T01:02:41.354Z,,,,,34,50,
2018-01-14T01:02:51.354Z,,,,,34,50,
2018-01-14T01:03:01.353Z,,,,40.7,33.9,50,
2018-01-14T01:03:11.360Z,,,,,33.9,50,
2018-01-14T01:03:21.354Z,,,,,33.8,50,
2018-01-14T01:03:31.354Z,,,,,33.8,50,
2018-01-14T01:03:41.353Z,,,,,33.7,50,
2018-01-14T01:03:51.353Z,,,,,33.7,50,
2018-01-14T01:04:01.354Z,,,,,33.7,50,
2018-01-14T01:04:11.354Z,,,,40.6,33.6,50,
2018-01-14T01:04:21.353Z,,,,,33.6,50,
2018-01-14T01:04:31.369Z,,,,,33.5,50,
2018-01-14T01:04:41.354Z,,,,,33.5,50,
2018-01-14T01:04:51.354Z,,,,,33.4,50,
2018-01-14T01:05:01.356Z,,,,,33.4,50,
2018-01-14T01:05:11.355Z,,,,,33.4,50,
2018-01-14T01:05:21.458Z,,,,40.5,33.3,50,
2018-01-14T01:05:31.353Z,,,,,33.3,50,
2018-01-14T01:05:41.378Z,,,,,33.3,50,
2018-01-14T01:05:51.372Z,40,1,,44.1,33.2,50,0
2018-01-14T01:06:01.353Z,29,,,43.7,33.2,50,
2018-01-14T01:06:11.354Z,29,,,38.8,33.1,50,
2018-01-14T01:06:21.355Z,29,,,35.5,33.1,50,
2018-01-14T01:06:31.355Z,,,,33.9,33.1,50,
2018-01-14T01:06:41.373Z,30,,,33.3,32.9,50,
2018-01-14T01:06:51.353Z,29,,,,32.9,50,
2018-01-14T01:07:01.354Z,0,0,5,33.8,32.9,50,0
