Time,ActPow,HwTSet,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive
2018-01-29T01:02:58.957Z,,50,,,,27.9,
2018-01-29T01:03:08.954Z,,50,,,,27.9,
2018-01-29T01:03:18.955Z,,50,,,,27.9,
2018-01-29T01:03:28.952Z,,50,,,,27.9,
2018-01-29T01:03:38.959Z,,50,,,,27.9,
2018-01-29T01:03:48.952Z,,50,,,,27.9,
2018-01-29T01:03:58.954Z,,50,,,,27.9,
2018-01-29T01:04:08.952Z,,50,34.2,,,27.9,
2018-01-29T01:04:18.952Z,,50,34.3,,,27.9,
2018-01-29T01:04:28.952Z,,50,,,,27.9,
2018-01-29T01:04:38.994Z,,50,34.2,,,27.9,
2018-01-29T01:04:48.985Z,,50,,,,27.9,
2018-01-29T01:04:58.973Z,,50,,,,27.9,
2018-01-29T01:05:08.952Z,,50,,,,27.9,
2018-01-29T01:05:18.951Z,,50,,,,27.9,
2018-01-29T01:05:28.958Z,,50,,,,27.9,
2018-01-29T01:05:38.952Z,,50,,,,27.9,
2018-01-29T01:05:48.957Z,,50,,,,27.9,
2018-01-29T01:05:58.952Z,,50,,,,27.9,
2018-01-29T01:06:08.960Z,,50,,,,27.9,
2018-01-29T01:06:18.956Z,,50,,,,27.9,
2018-01-29T01:06:28.952Z,,50,,,,27.9,
2018-01-29T01:06:38.952Z,,50,,,,27.9,
2018-01-29T01:06:48.952Z,,50,34.1,,,27.9,
2018-01-29T01:06:58.952Z,,50,,,,27.9,
2018-01-29T01:07:08.951Z,,50,,,,27.9,
2018-01-29T01:07:18.952Z,,50,,,,27.9,
2018-01-29T01:07:28.956Z,,50,,,,27.9,
2018-01-29T01:07:38.952Z,,50,,,,27.9,
2018-01-29T01:07:48.956Z,,50,,,,27.9,
2018-01-29T01:07:58.957Z,,50,,,,27.9,
2018-01-29T01:08:08.952Z,,50,,,,27.9,
2018-01-29T01:08:18.957Z,,50,,,,27.9,
2018-01-29T01:08:28.954Z,,50,,,,27.8,
2018-01-29T01:08:38.957Z,,50,,,,27.8,
2018-01-29T01:08:48.952Z,,50,,,,27.9,
2018-01-29T01:08:58.952Z,,50,,,,27.8,
2018-01-29T01:09:08.954Z,,50,,,,27.8,
2018-01-29T01:09:18.951Z,,50,34,,,27.8,
2018-01-29T01:09:28.952Z,,50,,,,27.8,
2018-01-29T01:09:38.956Z,,50,,,,27.8,
2018-01-29T01:09:48.956Z,,50,,,,27.8,
2018-01-29T01:09:58.952Z,,50,,,,27.8,
2018-01-29T01:10:08.952Z,,50,,,,27.8,
2018-01-29T01:10:18.952Z,,50,,,,27.8,
2018-01-29T01:10:28.951Z,,50,,,,27.8,
2018-01-29T01:10:38.956Z,,50,,,,27.8,
2018-01-29T01:10:48.955Z,,50,,,,27.8,
2018-01-29T01:10:58.952Z,,50,,59,0,27.8,2
2018-01-29T01:11:08.951Z,,50,,,,27.8,
2018-01-29T01:11:18.951Z,,50,,,,27.8,
2018-01-29T01:11:28.951Z,,50,,5,0,27.8,0
2018-01-29T01:11:38.953Z,,50,34,,,27.8,
2018-01-29T01:11:48.952Z,,50,34,,,27.8,
2018-01-29T01:11:58.957Z,,50,33.9,,,27.8,
2018-01-29T01:12:08.952Z,,50,,,,27.8,
2018-01-29T01:12:18.952Z,,50,,,,27.8,
2018-01-29T01:12:28.951Z,,50,,,,27.8,
2018-01-29T01:12:38.952Z,,50,,,,27.8,
2018-01-29T01:12:48.952Z,,50,,,,27.8,
2018-01-29T01:12:58.951Z,,50,,,,27.8,
2018-01-29T01:13:08.952Z,,50,,,,27.8,
2018-01-29T01:13:18.952Z,,50,,,,27.8,
2018-01-29T01:13:28.952Z,,50,,,,27.8,
2018-01-29T01:13:38.951Z,,50,,,,27.8,
2018-01-29T01:13:48.952Z,,50,,,,27.8,
2018-01-29T01:13:58.952Z,,50,,,,27.7,
2018-01-29T01:14:08.951Z,,50,,,,27.7,
2018-01-29T01:14:18.951Z,,50,,,,27.8,
2018-01-29T01:14:28.952Z,,50,33.8,,,27.7,
2018-01-29T01:14:38.951Z,,50,,,,27.7,
2018-01-29T01:14:48.952Z,,50,,,,27.7,
2018-01-29T01:14:58.952Z,,50,,,,27.7,
2018-01-29T01:15:08.951Z,,50,,,,27.7,
2018-01-29T01:15:18.953Z,,50,,,,27.7,
2018-01-29T01:15:28.952Z,,50,,,,27.7,
2018-01-29T01:15:38.952Z,,50,,,,27.7,
2018-01-29T01:15:48.952Z,,50,,,,27.7,
2018-01-29T01:15:58.952Z,,50,,,,27.7,
2018-01-29T01:16:08.952Z,,50,,,,27.7,
2018-01-29T01:16:18.953Z,,50,,,,27.7,
2018-01-29T01:16:28.952Z,,50,,,,27.7,
2018-01-29T01:16:38.951Z,,50,,,,27.7,
2018-01-29T01:16:48.951Z,,50,,,,27.5,
2018-01-29T01:16:58.952Z,,50,,,,27.7,
2018-01-29T01:17:08.951Z,,50,,,,27.7,
2018-01-29T01:17:18.951Z,,50,,,,27.7,
2018-01-29T01:17:28.952Z,,50,33.7,,,27.5,
2018-01-29T01:17:38.951Z,,50,,,,27.5,
2018-01-29T01:17:48.957Z,,50,,,,27.5,
2018-01-29T01:17:58.951Z,,50,,59,0,27.5,2
2018-01-29T01:18:08.952Z,,50,,,,27.5,
2018-01-29T01:18:18.952Z,,50,,,,27.5,
2018-01-29T01:18:28.952Z,,50,,,,27.5,
2018-01-29T01:18:38.952Z,,50,,,,27.5,
2018-01-29T01:18:48.952Z,,50,,,,27.5,
2018-01-29T01:18:58.952Z,,50,,,,27.5,
2018-01-29T01:19:08.953Z,,50,,,,27.5,
2018-01-29T01:19:18.951Z,,50,,,,27.5,
