Time,HwTSet,PrimT,HwActive,ChActive,PrimTSet,HwTOutlet,ActPow
2017-11-02T01:47:57.056Z,52,,,,,28,
2017-11-02T01:48:27.056Z,52,36.2,,,,28,
2017-11-02T01:48:37.056Z,52,,,,,28,
2017-11-02T01:48:47.056Z,52,,,,,28,
2017-11-02T01:48:57.056Z,52,,,,,28,
2017-11-02T01:49:27.056Z,52,,,,,28,
2017-11-02T01:49:37.056Z,52,,,,,28,
2017-11-02T01:49:47.060Z,52,,,,,28,
2017-11-02T01:49:57.056Z,52,,,,,28,
2017-11-02T01:50:27.056Z,52,,,,,28,
2017-11-02T01:50:37.056Z,52,36.1,,,,28,
2017-11-02T01:50:47.058Z,52,,,,,27.9,
2017-11-02T01:50:57.057Z,52,,,,,27.9,
2017-11-02T01:51:27.056Z,52,,,,,27.9,
2017-11-02T01:51:37.057Z,52,,,,,27.9,
2017-11-02T01:51:47.056Z,52,,,,,27.9,
2017-11-02T01:51:57.056Z,52,,,,,27.9,
2017-11-02T01:52:27.056Z,52,,,,,27.9,
2017-11-02T01:52:37.056Z,52,,,,,27.9,
2017-11-02T01:52:47.058Z,52,36,,,,27.9,
2017-11-02T01:52:57.058Z,52,,,,,27.9,
2017-11-02T01:53:27.056Z,52,,,,,27.9,
2017-11-02T01:53:37.056Z,52,,,,,27.9,
2017-11-02T01:53:47.056Z,52,,,,,27.9,
2017-11-02T01:53:57.058Z,52,,,,,27.9,
2017-11-02T01:54:07.056Z,52,35.9,,,,27.9,
2017-11-02T01:54:17.058Z,52,35.9,,,,27.9,
2017-11-02T01:54:27.056Z,52,35.9,,,,27.9,
2017-11-02T01:54:37.056Z,,35.9,,,,,
2017-11-02T01:54:47.059Z,52,35.9,,,,27.8,
2017-11-02T01:55:07.056Z,52,,,,,27.9,
2017-11-02T01:55:27.056Z,52,,,,,27.8,
2017-11-02T01:55:37.056Z,52,,,,,27.8,
2017-11-02T01:55:47.056Z,52,,,,,27.8,
2017-11-02T01:55:57.060Z,52,,,,,27.8,
2017-11-02T01:56:07.060Z,52,,,,,27.8,
2017-11-02T01:56:27.115Z,52,,,,,27.8,
2017-11-02T01:56:37.107Z,52,,,,,27.8,
2017-11-02T01:56:47.100Z,52,,,,,27.8,
2017-11-02T01:56:57.056Z,52,35.8,,,,27.8,
2017-11-02T01:57:07.078Z,52,,,,,27.8,
2017-11-02T01:57:27.056Z,52,,,,,27.8,
2017-11-02T01:57:37.061Z,52,,,,,27.8,
2017-11-02T01:57:47.061Z,52,,,,,27.8,
2017-11-02T01:57:57.056Z,52,,,,,27.8,
2017-11-02T01:58:07.056Z,52,,,,,27.8,
