Time,ActPow,HwActive,ChActive,PrimTSet,HwTOutlet,HwTSet,PrimT
2017-12-17T00:45:10.237Z,0,0,2,,28.4,50,42.4
2017-12-17T00:45:20.238Z,,,,,28.5,50,39.9
2017-12-17T00:45:30.237Z,,,,,28.5,50,38.5
2017-12-17T00:45:40.238Z,,,,,28.5,50,37.8
2017-12-17T00:45:50.237Z,,,,,28.5,50,37.6
2017-12-17T00:46:00.237Z,,,,,28.5,50,37.5
2017-12-17T00:46:10.237Z,,,,,28.5,50,
2017-12-17T00:46:20.237Z,,,,,28.5,50,
2017-12-17T00:46:30.237Z,,,,,28.6,50,
2017-12-17T00:46:40.237Z,,,,,28.6,50,37.4
2017-12-17T00:46:50.237Z,,,,,28.6,50,37.3
2017-12-17T00:47:00.237Z,,,,,28.6,50,37.2
2017-12-17T00:47:10.237Z,,,,,28.6,50,37.1
2017-12-17T00:47:20.238Z,,,,,28.6,50,36.9
2017-12-17T00:47:30.237Z,,,,,28.6,50,36.9
2017-12-17T00:47:40.237Z,,,,,28.6,50,
2017-12-17T00:48:06.700Z,,,,,28.6,50,
2017-12-17T00:48:06.707Z,,,,,28.7,50,36.8
2017-12-17T00:48:10.237Z,,,,,28.7,50,
2017-12-17T00:48:20.238Z,,,,,28.7,50,36.7
2017-12-17T00:48:30.237Z,,,,,28.7,50,
2017-12-17T00:48:40.237Z,,,,,28.7,50,
2017-12-17T00:48:50.237Z,,,,,28.7,50,
2017-12-17T00:49:00.237Z,,,,,28.7,50,
2017-12-17T00:49:10.237Z,,,,,28.7,50,
2017-12-17T00:49:20.238Z,,,,,28.7,50,
2017-12-17T00:49:30.237Z,,,,,28.7,50,
2017-12-17T00:49:40.238Z,,,,,28.9,50,
2017-12-17T00:49:50.237Z,,,,,28.9,50,
2017-12-17T00:50:00.238Z,,,,,28.9,50,36.6
2017-12-17T00:50:10.237Z,,,,,28.9,50,36.7
2017-12-17T00:50:20.238Z,,,,,28.9,50,36.6
2017-12-17T00:50:30.239Z,,,,,28.9,50,36.7
2017-12-17T00:50:40.239Z,,,,,28.9,50,
2017-12-17T00:50:50.238Z,,,,,28.9,50,
2017-12-17T00:51:00.238Z,,,,,28.9,50,
2017-12-17T00:51:10.238Z,,,,,28.9,50,
2017-12-17T00:51:20.239Z,,,,,28.9,50,36.8
2017-12-17T00:51:30.239Z,,,,,28.9,50,
2017-12-17T00:51:40.238Z,,,,,28.9,50,
2017-12-17T00:51:50.239Z,,,,,28.9,50,
2017-12-17T00:52:00.238Z,,,,,28.9,50,36.9
2017-12-17T00:52:10.239Z,,,,,28.9,50,
2017-12-17T00:52:20.239Z,,,,,28.9,50,
2017-12-17T00:52:30.240Z,,,,,29,50,37.1
2017-12-17T00:52:40.238Z,,,,,29,50,
2017-12-17T00:52:50.240Z,,,,,29,50,
2017-12-17T00:53:00.239Z,,,,,29,50,
2017-12-17T00:53:10.238Z,,,,,29,50,
2017-12-17T00:53:20.239Z,,,,,29,50,
2017-12-17T00:53:30.242Z,,,,,29,50,
2017-12-17T00:53:40.238Z,,,,,29,50,37.2
2017-12-17T00:53:50.238Z,,,,,29,50,
2017-12-17T00:54:00.238Z,,,,,29,50,
2017-12-17T00:54:10.238Z,,,,,29,50,
2017-12-17T00:54:20.238Z,,,,,29,50,
2017-12-17T00:54:30.238Z,,,,,29,50,
2017-12-17T00:54:40.238Z,,,,,29,50,
2017-12-17T00:54:50.238Z,,,,,29,50,
2017-12-17T00:55:00.239Z,,,,,29,50,
2017-12-17T00:55:10.238Z,,,,,29,50,
2017-12-17T00:55:20.239Z,,,,,29,50,
2017-12-17T00:55:30.238Z,,,,,29,50,
2017-12-17T00:55:40.238Z,,,,,29,50,
2017-12-17T00:55:50.239Z,,,,,29,50,
2017-12-17T00:56:00.238Z,,,,,29,50,37.1
2017-12-17T00:56:10.238Z,,,,,29,50,
2017-12-17T00:56:20.238Z,,,,,29,50,
2017-12-17T00:56:30.238Z,,,,,29,50,
2017-12-17T00:56:40.238Z,,,,,29,50,
2017-12-17T00:56:50.238Z,,,,,29,50,
2017-12-17T00:57:00.238Z,,,,,29,50,
2017-12-17T00:57:10.238Z,,,,,29,50,
2017-12-17T00:57:20.241Z,,,,,29,50,
2017-12-17T00:57:30.238Z,,,,,29,50,
2017-12-17T00:57:40.238Z,,,,,29,50,36.9
2017-12-17T00:57:50.238Z,,,,,29,50,
2017-12-17T00:58:00.239Z,,,,,29,50,
2017-12-17T00:58:10.238Z,,,,,29,50,
2017-12-17T00:58:20.239Z,,,,,29,50,
2017-12-17T00:58:30.238Z,,,,,29,50,
2017-12-17T00:58:40.238Z,,,,,29,50,
2017-12-17T00:58:50.238Z,,,,,29,50,
2017-12-17T00:59:00.238Z,,,,,29,50,
2017-12-17T00:59:10.238Z,,,,,29,50,36.8
2017-12-17T00:59:20.238Z,,,,,29,50,
2017-12-17T00:59:30.238Z,,,,,29,50,
2017-12-17T00:59:40.238Z,,,,,29,50,
2017-12-17T00:59:50.238Z,,,,,29,50,
2017-12-17T01:00:00.238Z,,,,,29,50,
2017-12-17T01:00:10.238Z,,,,,29,50,36.7
2017-12-17T01:00:20.239Z,,,,,29,50,
2017-12-17T01:00:30.238Z,,,,,29,50,
2017-12-17T01:00:40.238Z,,0,0,5,29,50,
2017-12-17T01:00:50.238Z,,,,,29,50,
2017-12-17T01:01:00.238Z,,0,2,59,29,50,
2017-12-17T01:01:10.238Z,,,,,29,50,
2017-12-17T01:01:20.239Z,,,,,29,50,36.6
2017-12-17T01:01:30.238Z,,,,,29,50,
2017-12-17T01:01:40.238Z,,,,,29,50,
2017-12-17T01:01:50.240Z,,,,,29,50,
2017-12-17T01:02:00.239Z,,,,,29,50,
2017-12-17T01:02:10.238Z,,,,,29,50,
2017-12-17T01:02:20.239Z,,,,,29,50,
2017-12-17T01:02:30.239Z,,,,,29,50,
2017-12-17T01:02:40.238Z,0,0,2,59,29,50,36.6
2017-12-17T01:02:50.238Z,,,,,29,50,36.5
2017-12-17T01:03:00.239Z,,,,,29,50,
2017-12-17T01:03:10.240Z,,,,,29,50,
2017-12-17T01:03:20.239Z,,,,,29,50,
2017-12-17T01:03:30.238Z,,,,,29,50,
2017-12-17T01:03:40.238Z,,,,,29,50,
2017-12-17T01:03:50.238Z,,,,,29,50,
2017-12-17T01:04:00.238Z,,,,,29,50,36.4
2017-12-17T01:04:10.238Z,,,,,29,50,
2017-12-17T01:04:20.238Z,,,,,29,50,
2017-12-17T01:04:30.238Z,,,,,28.9,50,
2017-12-17T01:04:40.238Z,,,,,29,50,
2017-12-17T01:04:50.238Z,,,,,29,50,
2017-12-17T01:05:00.238Z,,,,,29,50,
2017-12-17T01:05:10.238Z,,,,,29,50,
2017-12-17T01:05:20.239Z,,,,,29,50,
2017-12-17T01:05:30.238Z,,,,,28.9,50,36.3
2017-12-17T01:05:40.238Z,,,,,28.9,50,
2017-12-17T01:05:50.238Z,,,,,28.9,50,
2017-12-17T01:06:00.238Z,,,,,28.9,50,
2017-12-17T01:06:10.238Z,,,,,28.9,50,
2017-12-17T01:06:20.238Z,,,,,28.9,50,
2017-12-17T01:06:30.296Z,,,,,28.9,50,
2017-12-17T01:06:40.238Z,,,,,28.9,50,
2017-12-17T01:06:50.238Z,,,,,28.9,50,
2017-12-17T01:07:00.238Z,,,,,28.9,50,36.2
2017-12-17T01:07:10.255Z,,,,,28.9,50,
2017-12-17T01:07:20.244Z,,,,,28.9,50,
2017-12-17T01:07:30.238Z,,,,,28.9,50,
2017-12-17T01:07:40.238Z,,,,,28.9,50,
2017-12-17T01:07:50.238Z,,,,,28.9,50,
2017-12-17T01:08:00.238Z,,,,,28.9,50,
2017-12-17T01:08:10.239Z,,,,,28.9,50,
2017-12-17T01:08:20.238Z,,,,,28.9,50,
2017-12-17T01:08:30.238Z,,,,,28.9,50,
2017-12-17T01:08:40.238Z,,,,,28.9,50,
2017-12-17T01:08:50.238Z,,,,,28.9,50,36.1
2017-12-17T01:09:00.238Z,,,,,28.9,50,
2017-12-17T01:09:10.238Z,,,,,28.9,50,
2017-12-17T01:09:20.238Z,,,,,28.9,50,
2017-12-17T01:09:30.238Z,,,,,28.9,50,
2017-12-17T01:09:40.238Z,,,,,28.9,50,
2017-12-17T01:09:50.238Z,,,,,28.7,50,
2017-12-17T01:10:00.238Z,,,,,28.7,50,
2017-12-17T01:10:10.238Z,,,,,28.7,50,
2017-12-17T01:10:20.238Z,,,,,28.7,50,
2017-12-17T01:10:30.238Z,,,,,28.7,50,
2017-12-17T01:10:40.238Z,,,,,28.7,50,
2017-12-17T01:10:50.238Z,,,,,28.7,50,
2017-12-17T01:11:00.238Z,,,,,28.7,50,36
2017-12-17T01:11:10.238Z,,,,,28.7,50,
2017-12-17T01:11:20.238Z,,,,,28.7,50,
2017-12-17T01:11:30.238Z,,,,,28.7,50,
2017-12-17T01:11:40.238Z,,,,,28.7,50,
2017-12-17T01:11:50.242Z,,,,,28.7,50,
2017-12-17T01:12:00.238Z,,0,2,,28.7,50,
2017-12-17T01:12:10.248Z,37,,,,28.7,50,41.2
2017-12-17T01:12:20.238Z,29,,,,28.7,50,40.6
2017-12-17T01:12:30.238Z,30,,,,28.7,50,37.8
2017-12-17T01:12:40.238Z,29,,,,28.7,50,34.8
2017-12-17T01:12:50.238Z,,,,,28.7,50,33.9
2017-12-17T01:13:00.238Z,30,,,,28.7,50,33.8
2017-12-17T01:13:10.238Z,,,,,28.7,50,33.7
2017-12-17T01:13:20.238Z,30,,,,28.7,50,34.2
2017-12-17T01:13:30.238Z,,,,,28.7,50,34.6
2017-12-17T01:13:40.238Z,29,,,,28.7,50,34.9
2017-12-17T01:13:50.237Z,,,,,28.7,50,35.1
2017-12-17T01:14:00.238Z,,,,,28.7,50,35.2
2017-12-17T01:14:10.238Z,,,,,28.7,50,35.4
2017-12-17T01:14:20.239Z,,,,,28.6,50,35.6
2017-12-17T01:14:30.238Z,,,,,28.7,50,35.8
2017-12-17T01:14:40.238Z,29,,,,28.6,50,36
2017-12-17T01:14:50.237Z,30,,,,28.6,50,36.3
2017-12-17T01:15:00.237Z,29,,,,28.7,50,36.5
2017-12-17T01:15:10.238Z,,,,,28.6,50,36.7
2017-12-17T01:15:20.239Z,,,,,28.6,50,36.9
2017-12-17T01:15:30.238Z,29,,,,28.7,50,37.2
2017-12-17T01:15:40.238Z,30,,,,28.7,50,37.4
2017-12-17T01:15:50.238Z,29,,,,28.7,50,37.5
2017-12-17T01:16:00.238Z,30,,,,28.7,50,37.7
2017-12-17T01:16:10.238Z,29,,,,28.7,50,37.9
2017-12-17T01:16:20.238Z,,,,,28.6,50,38
2017-12-17T01:16:30.238Z,,,,,28.7,50,38.2
2017-12-17T01:16:40.238Z,,,,,28.7,50,38.3
2017-12-17T01:16:50.238Z,,,,,28.7,50,38.5
2017-12-17T01:17:00.243Z,,,,,28.7,50,38.6
2017-12-17T01:17:10.237Z,30,,,,28.7,50,38.8
2017-12-17T01:17:20.238Z,,,,,28.7,50,38.9
2017-12-17T01:17:30.238Z,,,,,28.7,50,39.2
2017-12-17T01:17:40.238Z,29,,,,28.7,50,39.3
2017-12-17T01:17:50.237Z,30,,,,28.7,50,39.5
2017-12-17T01:18:00.238Z,,,,,28.7,50,39.6
2017-12-17T01:18:10.238Z,29,,,,28.7,50,39.8
2017-12-17T01:18:20.238Z,,,,,28.7,50,39.9
2017-12-17T01:18:30.238Z,,,,,28.7,50,40
2017-12-17T01:18:40.238Z,,,,,28.7,50,40.2
2017-12-17T01:18:50.237Z,,,,,28.7,50,40.4
2017-12-17T01:19:00.241Z,,,,,28.7,50,40.5
2017-12-17T01:19:10.238Z,,,,,28.7,50,40.7
2017-12-17T01:19:20.239Z,,,,,28.7,50,40.8
2017-12-17T01:19:30.238Z,,,,,28.9,50,41
