Time,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow,PrimT,ChActive
2018-02-05T01:21:18.828Z,28.7,,,50,,,
2018-02-05T01:21:38.770Z,28.7,,,50,,,
2018-02-05T01:21:48.770Z,28.7,,,50,,,
2018-02-05T01:21:58.778Z,,,,,,28.3,
2018-02-05T01:22:08.769Z,28.7,,,50,,28.4,
2018-02-05T01:22:18.770Z,28.7,,,50,,,
2018-02-05T01:22:38.769Z,28.7,,,50,,,
2018-02-05T01:22:48.770Z,28.7,,,50,,,
2018-02-05T01:23:08.770Z,28.7,,,50,,,
2018-02-05T01:23:18.770Z,28.6,,,50,,,
2018-02-05T01:23:38.769Z,28.6,,,50,,,
2018-02-05T01:23:48.770Z,28.6,,,50,,,
2018-02-05T01:24:08.769Z,28.6,,,50,,,
2018-02-05T01:24:18.770Z,28.6,,,50,,,
2018-02-05T01:24:38.770Z,28.6,,,50,,,
2018-02-05T01:24:48.769Z,28.6,,,50,,,
2018-02-05T01:25:08.770Z,28.6,,,50,,,
2018-02-05T01:25:18.769Z,28.6,,,50,,,
2018-02-05T01:25:38.770Z,28.5,,,50,,,
2018-02-05T01:25:48.770Z,28.5,,,50,,,
2018-02-05T01:26:08.769Z,28.5,,,50,,,
2018-02-05T01:26:18.770Z,28.5,,,50,,,
2018-02-05T01:26:38.770Z,28.5,,,50,,,
2018-02-05T01:26:48.769Z,28.5,,,50,,,
2018-02-05T01:27:08.770Z,28.5,,,50,,,
2018-02-05T01:27:18.769Z,28.5,,,50,,,
2018-02-05T01:27:38.770Z,28.5,,,50,,,
2018-02-05T01:27:48.769Z,28.5,,,50,,,
2018-02-05T01:28:08.769Z,28.4,,,50,,,
2018-02-05T01:28:18.770Z,28.4,,,50,,,
2018-02-05T01:28:38.769Z,28.4,,,50,,,
2018-02-05T01:28:48.770Z,28.4,,,50,,,
2018-02-05T01:29:08.770Z,28.4,,,50,,,
2018-02-05T01:29:18.769Z,28.4,,,50,,,
2018-02-05T01:29:38.770Z,28.4,,,50,,,
2018-02-05T01:29:48.769Z,28.4,,,50,,,
2018-02-05T01:30:08.770Z,28.4,,,50,,,
2018-02-05T01:30:18.770Z,28.4,,,50,,,
2018-02-05T01:30:28.769Z,28.4,,0,50,43,30.1,2
2018-02-05T01:30:38.780Z,28.3,,,50,35,34.4,
2018-02-05T01:30:48.770Z,28.4,,,50,29,34.9,
2018-02-05T01:30:58.769Z,28.3,,,50,,33.3,
2018-02-05T01:31:08.769Z,28.3,,,50,,32.2,
2018-02-05T01:31:18.769Z,,,,,,31.5,
2018-02-05T01:31:28.770Z,28.3,,,50,30,31.4,
2018-02-05T01:31:38.770Z,28.3,,,50,,31.6,
2018-02-05T01:31:48.771Z,,,,,30,32,
2018-02-05T01:31:58.770Z,28.3,,,50,29,32.3,
2018-02-05T01:32:08.770Z,28.3,,,50,,,
2018-02-05T01:32:18.770Z,,,,,30,32.7,
2018-02-05T01:32:28.770Z,28.3,,,50,29,32.9,
2018-02-05T01:32:38.770Z,28.3,,,50,,33.2,
2018-02-05T01:32:48.770Z,,,,,,33.3,
2018-02-05T01:32:58.770Z,28.3,,,50,,33.5,
2018-02-05T01:33:08.770Z,28.3,,,50,,,
2018-02-05T01:33:18.769Z,28.3,,,50,30,33.8,
2018-02-05T01:33:28.770Z,,,,,29,34,
2018-02-05T01:33:38.769Z,28.3,,,50,,34.1,
2018-02-05T01:33:48.770Z,28.3,,,50,,,
2018-02-05T01:33:58.769Z,,,,,,34.5,
2018-02-05T01:34:08.769Z,28.3,,,50,,34.6,
2018-02-05T01:34:18.770Z,28.3,,,50,,,
2018-02-05T01:34:28.769Z,,,,,30,35.1,
2018-02-05T01:34:38.770Z,28.3,,,50,29,35.2,
2018-02-05T01:34:48.769Z,28.3,,,50,,,
2018-02-05T01:34:58.769Z,,,,,,35.6,
2018-02-05T01:35:08.770Z,28.3,,,50,,35.7,
2018-02-05T01:35:18.770Z,28.3,,,50,,35.9,
2018-02-05T01:35:28.770Z,,,,,30,36.1,
2018-02-05T01:35:38.769Z,28.4,,,50,29,36.3,
2018-02-05T01:35:48.769Z,28.4,,,50,,,
2018-02-05T01:35:58.769Z,,,,,,36.6,
2018-02-05T01:36:08.770Z,28.4,,,50,,36.8,
2018-02-05T01:36:18.769Z,,,,,29,37.1,
2018-02-05T01:36:28.769Z,28.4,,,50,30,37.3,
