Time,HwTOutlet,HwTSet,ActPow,PrimTSet,ChActive,PrimT,HwActive
2017-11-19T00:37:53.391Z,,,,,,34.2,
2017-11-19T00:38:03.463Z,29.6,52,,,,,
2017-11-19T00:38:23.383Z,29.6,52,,,,,
2017-11-19T00:38:33.382Z,29.6,52,,,,34.3,
2017-11-19T00:38:43.384Z,29.6,52,,,,,
2017-11-19T00:38:53.383Z,29.6,52,,,,,
2017-11-19T00:39:03.464Z,29.6,52,,,,,
2017-11-19T00:39:23.386Z,29.6,52,,,,,
2017-11-19T00:39:33.382Z,29.6,52,,,,34.4,
2017-11-19T00:39:43.388Z,29.6,52,,,,,
2017-11-19T00:40:03.463Z,29.6,52,,,,,
2017-11-19T00:40:23.383Z,29.6,52,,,,,
2017-11-19T00:40:33.389Z,29.5,52,,,,,
2017-11-19T00:40:43.388Z,29.5,52,,,,,
2017-11-19T00:40:53.389Z,29.5,52,,,,,
2017-11-19T00:41:03.463Z,29.5,52,,,,,
2017-11-19T00:41:23.387Z,29.5,52,,,,,
2017-11-19T00:41:33.387Z,29.5,52,,,,,
2017-11-19T00:41:43.385Z,29.5,52,,,,,
2017-11-19T00:41:53.386Z,29.5,52,,,,,
2017-11-19T00:42:03.463Z,29.5,52,,,,,
2017-11-19T00:42:23.383Z,29.5,52,,,,,
2017-11-19T00:42:33.383Z,29.5,52,,,,,
2017-11-19T00:42:43.383Z,29.5,52,,,,,
2017-11-19T00:43:03.467Z,29.5,52,,,,,
2017-11-19T00:43:23.383Z,29.3,52,,,,,
2017-11-19T00:43:33.383Z,29.3,52,,,,34.3,
2017-11-19T00:43:43.383Z,29.3,52,,,,,
2017-11-19T00:44:03.462Z,29.3,52,,,,,
2017-11-19T00:44:23.382Z,29.3,52,,,,,
2017-11-19T00:44:33.382Z,29.3,52,,,,,
2017-11-19T00:44:43.383Z,29.3,52,,,,,
2017-11-19T00:45:03.463Z,29.3,52,,,,,
2017-11-19T00:45:23.383Z,29.3,52,,,,,
2017-11-19T00:45:33.383Z,29.2,52,,,,,
2017-11-19T00:45:43.384Z,29.2,52,,,,,
2017-11-19T00:45:53.383Z,,,,,,34.2,
2017-11-19T00:46:03.463Z,29.2,52,,,,,
2017-11-19T00:46:23.383Z,29.2,52,,,,,
2017-11-19T00:46:33.390Z,29.2,52,,,,,
2017-11-19T00:46:43.384Z,29.2,52,,,,,
2017-11-19T00:46:53.382Z,29.2,52,,,,,
2017-11-19T00:47:03.462Z,29.2,52,,,,,
2017-11-19T00:47:23.382Z,29.2,52,,,,,
2017-11-19T00:47:33.383Z,29.2,52,,,,34.1,
2017-11-19T00:47:43.382Z,29.2,52,,,,,
2017-11-19T00:48:03.463Z,29.1,52,,,,,
2017-11-19T00:48:23.382Z,29.1,52,,,,,
2017-11-19T00:48:33.382Z,29.1,52,,,,,
2017-11-19T00:48:43.382Z,29.1,52,,,,,
2017-11-19T00:49:03.462Z,29.1,52,,,,,
2017-11-19T00:49:23.382Z,29.1,52,,,,,
2017-11-19T00:49:33.382Z,29.1,52,,,,34,
2017-11-19T00:49:43.382Z,29.1,52,,,,,
2017-11-19T00:50:03.489Z,29.1,52,,,,,
2017-11-19T00:50:23.382Z,29.1,52,,,,,
2017-11-19T00:50:33.386Z,29,52,,,,,
2017-11-19T00:50:43.386Z,29,52,,,,,
2017-11-19T00:50:53.383Z,29,52,,,,,
2017-11-19T00:51:13.382Z,29,52,,,,,
2017-11-19T00:51:23.382Z,,,,,,34,
2017-11-19T00:51:33.383Z,29,52,,,,33.9,
2017-11-19T00:51:43.382Z,29,52,,,,,
2017-11-19T00:51:53.382Z,29,52,,,,,
2017-11-19T00:52:03.463Z,29,52,,,,,
2017-11-19T00:52:23.436Z,29,52,,,,,
2017-11-19T00:52:33.383Z,29,52,,,,,
2017-11-19T00:52:43.382Z,28.9,52,,,,,
2017-11-19T00:53:03.462Z,28.9,52,,,,,
