Time,HwActive,PrimTSet,HwTSet,HwTOutlet,ActPow,ChActive,PrimT
2017-11-18T01:04:43.549Z,,,52,27.7,30,,34.5
2017-11-18T01:04:53.579Z,,,52,27.7,30,,34.9
2017-11-18T01:05:03.671Z,,,,,,,35.1
2017-11-18T01:05:13.495Z,,,52,27.7,,,35.3
2017-11-18T01:05:23.525Z,,,52,27.7,,,
2017-11-18T01:05:33.419Z,,,,,29,,35.5
2017-11-18T01:05:43.418Z,,,52,27.7,30,,35.7
2017-11-18T01:05:53.418Z,,,52,27.7,29,,36
2017-11-18T01:06:03.498Z,,,52,27.7,30,,36.2
2017-11-18T01:06:13.430Z,,,52,27.7,,,36.4
2017-11-18T01:06:23.418Z,,,,,29,,36.5
2017-11-18T01:06:33.418Z,,,52,27.7,,,
2017-11-18T01:06:43.424Z,,,52,27.7,,,36.7
2017-11-18T01:06:53.425Z,,,52,27.7,29,,37.1
2017-11-18T01:07:03.504Z,,,52,27.7,,,37.3
2017-11-18T01:07:13.422Z,,,52,27.7,,,37.5
2017-11-18T01:07:23.422Z,,,,,,,37.7
2017-11-18T01:07:33.417Z,,,52,27.8,,,
2017-11-18T01:07:43.418Z,,,52,27.8,30,,37.8
2017-11-18T01:07:53.424Z,,,52,27.8,29,,38.2
2017-11-18T01:08:03.509Z,,,52,27.8,0,,38.7
2017-11-18T01:08:13.418Z,0,,,,,2,38.5
2017-11-18T01:08:23.420Z,,,52,27.8,,,36.7
2017-11-18T01:08:33.418Z,,,52,27.8,,,35.8
2017-11-18T01:08:43.421Z,,,,,,,34.3
2017-11-18T01:08:53.433Z,,,52,27.8,,,33.8
2017-11-18T01:09:03.498Z,,,52,27.8,,,33.7
2017-11-18T01:09:13.418Z,,,52,27.8,,,
2017-11-18T01:09:33.496Z,,,52,27.9,,,
2017-11-18T01:09:53.418Z,,,52,27.9,,,
2017-11-18T01:10:03.503Z,,,,,,,33.5
2017-11-18T01:10:13.419Z,,,52,27.9,,,33.4
2017-11-18T01:10:23.419Z,,,52,27.9,,,
2017-11-18T01:10:43.420Z,,,52,27.9,,,
2017-11-18T01:10:53.418Z,,,52,27.9,,,
2017-11-18T01:11:03.500Z,,,52,27.9,,,33.3
2017-11-18T01:11:13.419Z,,,52,27.9,,,
2017-11-18T01:11:33.425Z,,,52,27.9,,,
2017-11-18T01:11:53.422Z,,,52,28,,,
2017-11-18T01:12:03.500Z,,,,,,,33.2
2017-11-18T01:12:13.424Z,,,52,28,,,
2017-11-18T01:12:23.421Z,,,52,28,,,
2017-11-18T01:12:43.423Z,,,52,28,,,
2017-11-18T01:12:53.422Z,,,52,28,,,
2017-11-18T01:13:03.498Z,,,52,28,,,
2017-11-18T01:13:23.422Z,,,52,28,,,
2017-11-18T01:13:43.421Z,,,52,28,,,
2017-11-18T01:13:53.422Z,,,52,28,,,33.3
2017-11-18T01:14:03.500Z,,,52,28,,,
2017-11-18T01:14:23.421Z,,,52,28,,,
2017-11-18T01:14:43.423Z,,,52,28.1,,,
2017-11-18T01:14:53.417Z,,,52,28.1,,,33.4
2017-11-18T01:15:03.503Z,,,52,28.1,,,
2017-11-18T01:15:23.417Z,,,52,28.1,,,
2017-11-18T01:15:43.419Z,,,52,28.1,,,
2017-11-18T01:15:53.419Z,,,52,28.1,,,33.5
2017-11-18T01:16:03.497Z,,,52,28.1,,,
2017-11-18T01:16:23.418Z,,,52,28.1,,,
2017-11-18T01:16:33.418Z,,,,,,,33.6
2017-11-18T01:16:43.418Z,,,52,28.1,,,
2017-11-18T01:16:53.429Z,,,52,28.1,,,
2017-11-18T01:17:03.498Z,,,52,28.1,,,
2017-11-18T01:17:13.418Z,,,52,28.1,,,
2017-11-18T01:17:23.418Z,,,52,28.1,,,
2017-11-18T01:17:33.419Z,,,,,,,33.7
2017-11-18T01:17:43.418Z,,,52,28.1,,,
2017-11-18T01:17:53.422Z,,,52,28.1,,,33.6
2017-11-18T01:18:03.557Z,,,52,28.1,,,33.7
2017-11-18T01:18:23.418Z,,,52,28.1,,,
2017-11-18T01:18:43.419Z,,,52,28.1,,,
2017-11-18T01:18:53.417Z,,,52,28.1,,,
2017-11-18T01:19:03.498Z,,,52,28.1,,,
2017-11-18T01:19:23.418Z,,,52,28.1,,,
2017-11-18T01:19:43.445Z,,,52,28.3,,,
2017-11-18T01:19:53.434Z,,,52,28.1,,,
2017-11-18T01:20:03.500Z,,,52,28.3,,,
2017-11-18T01:20:23.418Z,,,52,28.1,,,
2017-11-18T01:20:43.418Z,,,52,28.1,,,
2017-11-18T01:20:53.418Z,,,52,28.1,,,33.6
2017-11-18T01:21:03.497Z,,,52,28.1,,,
2017-11-18T01:21:13.419Z,,,52,28.3,,,
2017-11-18T01:21:23.571Z,,,52,28.3,,,
2017-11-18T01:21:43.423Z,,,52,28.1,,,
2017-11-18T01:21:53.418Z,,,52,28.1,,,
2017-11-18T01:22:03.499Z,,,52,28.3,,,
2017-11-18T01:22:23.418Z,,,52,28.3,,,
2017-11-18T01:22:33.418Z,,,,,,,33.5
2017-11-18T01:22:43.423Z,,,52,28.1,,,
2017-11-18T01:22:53.423Z,,,52,28.1,,,
2017-11-18T01:23:03.498Z,,,52,28.3,,,
2017-11-18T01:23:13.418Z,,,52,28.1,,,
2017-11-18T01:23:23.430Z,,,52,28.1,,,
2017-11-18T01:23:43.418Z,,,52,28.1,,,
2017-11-18T01:23:53.417Z,,,52,28.1,,,
2017-11-18T01:24:03.498Z,,,52,28.1,,,
2017-11-18T01:24:13.420Z,,,,,,,33.4
2017-11-18T01:24:23.421Z,,,52,28.1,,,
2017-11-18T01:24:43.417Z,,,52,28.1,,,
2017-11-18T01:24:53.417Z,,,52,28.1,,,
2017-11-18T01:25:03.498Z,,,52,28.1,,,
2017-11-18T01:25:23.417Z,,,52,28.1,,,
2017-11-18T01:25:43.418Z,,,52,28.1,,,
2017-11-18T01:25:53.418Z,,,52,28.1,,,
2017-11-18T01:26:03.498Z,,,52,28.1,,,
2017-11-18T01:26:13.417Z,,,,,,,33.3
2017-11-18T01:26:23.418Z,,,52,28.1,,,
2017-11-18T01:26:43.419Z,,,52,28.1,,,
2017-11-18T01:26:53.418Z,,,52,28.1,,,
2017-11-18T01:27:03.497Z,,,52,28.1,,,
2017-11-18T01:27:23.419Z,,,52,28.1,,,
2017-11-18T01:27:43.418Z,,,52,28.1,,,
2017-11-18T01:27:53.419Z,,,52,28.1,,,33.2
2017-11-18T01:28:03.498Z,,,52,28.1,,,
2017-11-18T01:28:13.418Z,,,52,28.1,,,
2017-11-18T01:28:23.421Z,,,52,28.1,,,
2017-11-18T01:28:43.417Z,,,52,28.1,,,
2017-11-18T01:28:53.418Z,,,52,28.1,,,
2017-11-18T01:29:03.498Z,,,52,28.1,,,
2017-11-18T01:29:13.417Z,0,5,52,28.1,,0,
2017-11-18T01:29:33.421Z,,,52,28.1,,,
2017-11-18T01:29:43.422Z,0,58,,,,2,33.1
2017-11-18T01:29:53.421Z,,,52,28.1,,,
2017-11-18T01:30:03.498Z,,,52,28.1,,,
2017-11-18T01:30:13.421Z,0,5,,,,0,
2017-11-18T01:30:33.417Z,,,52,28.1,,,
2017-11-18T01:30:43.421Z,0,58,,,,2,
2017-11-18T01:30:53.418Z,,,52,28.1,,,
2017-11-18T01:31:03.497Z,,,52,28.1,,,33.1
2017-11-18T01:31:13.417Z,,,,,,,32.9
2017-11-18T01:31:33.417Z,,,52,28.1,,,
2017-11-18T01:31:43.417Z,,,,,,,33.1
2017-11-18T01:31:53.418Z,,,52,28,,,32.9
2017-11-18T01:32:03.502Z,,,52,28,,,
2017-11-18T01:32:13.418Z,,,52,28,,,
2017-11-18T01:32:23.418Z,,,52,28,,,
2017-11-18T01:32:43.417Z,,,52,28,,,
2017-11-18T01:33:03.498Z,,,52,28,,,
2017-11-18T01:33:23.417Z,,,52,28,,,
2017-11-18T01:33:43.417Z,,,52,28,,,
2017-11-18T01:33:53.417Z,,,52,28,,,
2017-11-18T01:34:03.558Z,,,52,28,,,32.8
2017-11-18T01:34:13.418Z,,,52,28,,,
2017-11-18T01:34:23.417Z,,,52,28,,,
2017-11-18T01:34:43.482Z,,,52,28,,,
2017-11-18T01:34:53.422Z,1,0,,,,0,
2017-11-18T01:35:03.507Z,0,,52,32.7,31,0,35.2
