Time,ActPow,HwTSet,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-12-12T00:54:30.416Z,,50,,,42.3,,
2017-12-12T00:54:40.416Z,,50,,43.2,42.2,,
2017-12-12T00:54:50.416Z,,50,,,42.1,,
2017-12-12T00:55:00.416Z,39,50,1,47,42,,0
2017-12-12T00:55:10.416Z,29,50,,47.7,41.9,,
2017-12-12T00:55:20.416Z,,50,,45.9,41.8,,
2017-12-12T00:55:30.416Z,30,50,,43.8,41.7,,
2017-12-12T00:55:40.415Z,29,50,,43.5,41.6,,
2017-12-12T00:55:50.416Z,,50,,43.1,41.5,,
2017-12-12T00:56:00.416Z,,50,,,41.5,,
2017-12-12T00:56:10.416Z,,50,,43.4,41.3,,
2017-12-12T00:56:20.416Z,,50,,43.7,41.3,,
2017-12-12T00:56:30.416Z,,50,,44,41.2,,
2017-12-12T00:56:40.416Z,,50,,44.1,41.1,,
2017-12-12T00:56:50.416Z,30,50,,44.2,40.9,,
2017-12-12T00:57:00.416Z,29,50,,44.3,40.8,,
2017-12-12T00:57:10.416Z,,50,,44.4,40.7,,
2017-12-12T00:57:20.416Z,,50,,44.6,40.7,,
2017-12-12T00:57:30.416Z,,50,,44.8,40.6,,
2017-12-12T00:57:40.417Z,29,50,,45,40.5,,
2017-12-12T00:57:50.416Z,,50,,45.1,40.4,,
2017-12-12T00:58:00.416Z,,50,,45.2,40.3,,
2017-12-12T00:58:10.416Z,,50,,45.4,40.2,,
2017-12-12T00:58:20.416Z,,50,,45.5,40.2,,
2017-12-12T00:58:30.416Z,,50,,45.6,40.1,,
2017-12-12T00:58:40.416Z,,50,,45.7,40,,
2017-12-12T00:58:50.416Z,30,50,,45.8,40,,
2017-12-12T00:59:00.416Z,29,50,,46,39.9,,
2017-12-12T00:59:10.416Z,,50,,46.1,39.8,,
2017-12-12T00:59:20.418Z,30,50,,46.2,39.7,,
2017-12-12T00:59:30.416Z,,50,,46.3,39.7,,
2017-12-12T00:59:40.415Z,,50,,46.4,39.6,,
2017-12-12T00:59:50.416Z,,50,,46.5,39.5,,
2017-12-12T01:00:00.417Z,29,50,,46.6,39.5,,
2017-12-12T01:00:10.416Z,,50,,46.7,39.4,,
2017-12-12T01:00:20.416Z,30,50,,46.8,39.3,,
2017-12-12T01:00:30.416Z,0,50,1,46.9,39.3,,0
2017-12-12T01:00:40.416Z,,50,,44.8,39.2,,
2017-12-12T01:00:50.416Z,,50,,42.9,39.1,,
2017-12-12T01:01:00.416Z,,50,,42.3,39.1,,
2017-12-12T01:01:10.416Z,,50,,42.2,38.9,,
2017-12-12T01:01:20.415Z,,50,,42.1,38.9,,
2017-12-12T01:01:30.416Z,,50,,,38.8,,
2017-12-12T01:01:40.416Z,,50,,,38.7,,
2017-12-12T01:01:50.416Z,,50,,,38.7,,
2017-12-12T01:02:00.522Z,,50,,41.9,38.6,,
2017-12-12T01:02:10.416Z,,50,,41.8,38.6,,
2017-12-12T01:02:20.416Z,,50,,41.7,38.5,,
2017-12-12T01:02:30.416Z,,50,,41.5,38.4,,
2017-12-12T01:02:40.416Z,,50,,,38.4,,
2017-12-12T01:02:50.415Z,,50,,,38.3,,
2017-12-12T01:03:00.415Z,,50,,41.4,38.3,,
2017-12-12T01:03:10.417Z,,50,,,38.2,,
2017-12-12T01:03:20.484Z,,50,,41.3,38.2,,
2017-12-12T01:03:30.416Z,,50,,41.2,38.1,,
2017-12-12T01:03:40.415Z,,50,,,38.1,,
2017-12-12T01:03:50.417Z,,50,,41.1,38,,
2017-12-12T01:04:00.416Z,,50,,,38,,
2017-12-12T01:04:10.417Z,,50,,,37.9,,
2017-12-12T01:04:20.415Z,,50,,,37.8,,
2017-12-12T01:04:30.415Z,,50,,,37.8,,
2017-12-12T01:04:40.416Z,,50,,,37.7,,
2017-12-12T01:04:50.415Z,,50,,,37.7,,
2017-12-12T01:05:00.416Z,,50,,,37.6,,
2017-12-12T01:05:10.418Z,,50,,,37.6,,
2017-12-12T01:05:20.416Z,,50,,41,37.5,,
2017-12-12T01:05:30.416Z,,50,,,37.5,,
2017-12-12T01:05:40.416Z,,50,,,37.5,,
2017-12-12T01:05:50.416Z,,50,,41.1,37.4,,
2017-12-12T01:06:00.416Z,,50,,,37.3,,
2017-12-12T01:06:10.415Z,,50,,,37.3,,
2017-12-12T01:06:20.416Z,,50,,,37.3,,
2017-12-12T01:06:30.416Z,,50,,,37.2,,
2017-12-12T01:06:40.416Z,,50,,,37.1,,
2017-12-12T01:06:50.416Z,,50,,,37.1,,
2017-12-12T01:07:00.415Z,,50,,41.2,36.9,,
2017-12-12T01:07:10.416Z,,50,,,36.9,,
2017-12-12T01:07:20.416Z,,50,,,36.9,,
2017-12-12T01:07:30.416Z,,50,,,36.8,,
2017-12-12T01:07:40.416Z,,50,,41.3,36.8,,
2017-12-12T01:07:50.418Z,,50,,,36.7,,
2017-12-12T01:08:00.416Z,,50,,,36.7,,
2017-12-12T01:08:10.416Z,,50,,,36.7,,
2017-12-12T01:08:20.416Z,,50,,,36.6,,
2017-12-12T01:08:30.416Z,,50,,,36.6,,
2017-12-12T01:08:40.415Z,,50,,,36.5,,
2017-12-12T01:08:50.415Z,,50,,,36.5,,
2017-12-12T01:09:00.416Z,,50,,,36.4,,
2017-12-12T01:09:10.416Z,,50,,,36.4,,
2017-12-12T01:09:20.416Z,,50,,,36.3,,
2017-12-12T01:09:30.417Z,,50,,,36.3,,
2017-12-12T01:09:40.416Z,,50,,,36.2,,
2017-12-12T01:09:50.415Z,,50,,,36.2,,
2017-12-12T01:10:00.416Z,,50,,,36.2,,
2017-12-12T01:10:10.415Z,,50,,,36.1,,
2017-12-12T01:10:20.415Z,,50,,,36.1,,
2017-12-12T01:10:30.417Z,,50,,,36,,
2017-12-12T01:10:40.415Z,,50,,,36,,
2017-12-12T01:10:50.416Z,,50,,,36,,
2017-12-12T01:11:00.415Z,,50,,,35.9,,
2017-12-12T01:11:10.415Z,,50,,,35.9,,
2017-12-12T01:11:20.415Z,,50,,,35.8,,
2017-12-12T01:11:30.416Z,,50,,,35.8,,
2017-12-12T01:11:40.417Z,,50,,,35.8,,
2017-12-12T01:11:50.415Z,,50,,,35.7,,
2017-12-12T01:12:00.417Z,,50,,,35.7,,
2017-12-12T01:12:10.416Z,,50,,,35.7,,
2017-12-12T01:12:20.526Z,,50,,41.2,35.6,,
2017-12-12T01:12:30.416Z,,50,,,35.6,,
2017-12-12T01:12:40.416Z,,50,,,35.5,,
2017-12-12T01:12:50.415Z,,50,,,35.5,,
2017-12-12T01:13:00.416Z,,50,,,35.5,,
2017-12-12T01:13:10.418Z,,50,,,35.4,,
2017-12-12T01:13:20.416Z,,50,,,35.4,,
2017-12-12T01:13:30.415Z,,50,,,35.4,,
2017-12-12T01:13:40.415Z,,50,,,35.3,,
2017-12-12T01:13:50.416Z,,50,,,35.3,,
2017-12-12T01:14:00.416Z,,50,,41.1,35.3,,
2017-12-12T01:14:10.422Z,,50,,,35.2,,
2017-12-12T01:14:20.415Z,,50,,,35.2,,
2017-12-12T01:14:30.416Z,,50,,,35.2,,
2017-12-12T01:14:40.416Z,39,50,1,44.6,35.1,,0
2017-12-12T01:14:50.416Z,29,50,,46.9,35.1,,
2017-12-12T01:15:00.416Z,30,50,,43.9,35.1,,
2017-12-12T01:15:10.459Z,,50,,42.9,34.9,,
2017-12-12T01:15:20.453Z,30,50,,40.9,34.9,,
2017-12-12T01:15:30.435Z,29,50,,40.1,34.9,,
2017-12-12T01:15:40.415Z,,50,,,34.8,,
2017-12-12T01:15:50.422Z,30,50,,40.4,34.8,,
2017-12-12T01:16:00.415Z,,50,,41,34.8,,
2017-12-12T01:16:10.416Z,29,50,,41.2,34.7,,
2017-12-12T01:16:20.416Z,30,50,,41.4,34.7,,
2017-12-12T01:16:30.416Z,29,50,,41.6,34.7,,
2017-12-12T01:16:40.415Z,,50,,41.7,34.7,,
2017-12-12T01:16:50.416Z,,50,,42,34.6,,
2017-12-12T01:17:00.416Z,30,50,,42.1,34.6,,
2017-12-12T01:17:10.416Z,,50,,42.3,34.6,,
2017-12-12T01:17:20.415Z,29,50,,42.6,34.5,,
2017-12-12T01:17:30.415Z,,50,,42.7,34.5,,
2017-12-12T01:17:40.416Z,,50,,43,34.5,,
2017-12-12T01:17:50.416Z,,50,,,34.5,,
