Time,HwTSet,PrimTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimT
2017-12-18T00:44:00.203Z,50,,,,27.3,,
2017-12-18T00:44:10.203Z,50,,,,27.3,,
2017-12-18T00:44:20.203Z,50,,,,27.3,,
2017-12-18T00:44:30.203Z,50,,,,27.2,,
2017-12-18T00:44:40.203Z,50,,,,27.2,,
2017-12-18T00:44:50.203Z,50,,,,27.2,,
2017-12-18T00:45:00.203Z,50,,,,27.2,,
2017-12-18T00:45:10.203Z,50,,,,27.3,,
2017-12-18T00:45:20.203Z,50,,,,27.2,,
2017-12-18T00:45:30.202Z,50,,,,27.3,,
2017-12-18T00:45:40.203Z,50,,,,27.2,,
2017-12-18T00:45:50.203Z,50,,,,27.2,,
2017-12-18T00:46:00.203Z,50,,,,27.2,,
2017-12-18T00:46:10.203Z,50,,,,27.3,,
2017-12-18T00:46:20.203Z,50,,,,27.2,,
2017-12-18T00:46:30.202Z,50,,,,27.2,,
2017-12-18T00:46:40.203Z,50,,,,27.2,,
2017-12-18T00:46:50.203Z,50,,,,27.2,,
2017-12-18T00:47:00.203Z,50,,,,27.2,,32.8
2017-12-18T00:47:10.414Z,50,,,,27.2,,
2017-12-18T00:47:20.203Z,50,,,,27.2,,
2017-12-18T00:47:30.203Z,50,,,,27.2,,
2017-12-18T00:47:40.203Z,50,,,,27.2,,
2017-12-18T00:47:50.203Z,50,,,,27.2,,
2017-12-18T00:48:00.203Z,50,,,,27.2,,
2017-12-18T00:48:10.203Z,50,,,,27.2,,
2017-12-18T00:48:20.209Z,50,,,,27.2,,
2017-12-18T00:48:30.203Z,50,,,,27.2,,
2017-12-18T00:48:40.203Z,50,,,,27.2,,
2017-12-18T00:48:50.202Z,50,,,,27.2,,
2017-12-18T00:49:00.203Z,50,,,,27.2,,
2017-12-18T00:49:10.203Z,50,,,,27.2,,
2017-12-18T00:49:20.203Z,50,,,,27.2,,
2017-12-18T00:49:30.203Z,50,,,,27.2,,
2017-12-18T00:49:40.203Z,50,,,,27.2,,
2017-12-18T00:49:50.203Z,50,,,,27.2,,32.7
2017-12-18T00:50:00.203Z,50,59,,0,27.2,2,
2017-12-18T00:50:10.202Z,50,,,,27.2,,
2017-12-18T00:50:20.203Z,50,,,,27.2,,
2017-12-18T00:50:30.203Z,50,,,,27.2,,
2017-12-18T00:50:40.203Z,50,,,,27.2,,
2017-12-18T00:50:50.203Z,50,,,,27.2,,
2017-12-18T00:51:00.203Z,50,,,,27.2,,
2017-12-18T00:51:10.203Z,50,,,,27.2,,
2017-12-18T00:51:20.202Z,50,,,,27.2,,
2017-12-18T00:51:30.203Z,50,,,,27.2,,
2017-12-18T00:51:40.203Z,50,,,,27.2,,
2017-12-18T00:51:50.203Z,50,,,,27.2,,
2017-12-18T00:52:00.203Z,50,,,,27.2,,
2017-12-18T00:52:10.204Z,50,,,,27.2,,
2017-12-18T00:52:20.203Z,50,,,,27.2,,
2017-12-18T00:52:30.203Z,50,,,,27.2,,
2017-12-18T00:52:40.203Z,50,,,,27.2,,
2017-12-18T00:52:50.203Z,50,,,,27.2,,
2017-12-18T00:53:00.202Z,50,,,,27.2,,32.6
2017-12-18T00:53:10.203Z,50,,,,27.2,,
2017-12-18T00:53:20.203Z,50,,,,27.2,,
2017-12-18T00:53:30.203Z,50,,,,27.2,,
2017-12-18T00:53:40.202Z,50,,,,27.1,,
2017-12-18T00:53:50.202Z,50,,,,27.2,,
2017-12-18T00:54:00.203Z,50,,,,27.2,,
2017-12-18T00:54:10.203Z,50,,,,27.2,,
2017-12-18T00:54:20.202Z,50,,,,27.1,,
2017-12-18T00:54:30.248Z,50,,,,27.1,,
2017-12-18T00:54:40.203Z,50,,,,27.1,,
2017-12-18T00:54:50.203Z,50,,,,27.1,,
2017-12-18T00:55:00.203Z,50,,,,27.1,,
2017-12-18T00:55:10.203Z,50,,,,27.1,,
2017-12-18T00:55:20.203Z,50,,,0,27.1,2,
2017-12-18T00:55:30.203Z,50,,37,,27.1,,38.2
2017-12-18T00:55:40.203Z,50,,29,,27.1,,37.7
2017-12-18T00:55:50.305Z,50,,30,,27.1,,34.7
2017-12-18T00:56:00.203Z,50,,30,,27.1,,32.4
2017-12-18T00:56:10.203Z,50,,29,,27.1,,30.9
2017-12-18T00:56:20.203Z,50,,,,27.1,,30.5
2017-12-18T00:56:30.203Z,50,,,,27.1,,30.7
2017-12-18T00:56:40.203Z,50,,,,27.1,,31.3
2017-12-18T00:56:50.203Z,50,,,,27.1,,31.6
2017-12-18T00:57:00.208Z,50,,,,27.1,,31.8
2017-12-18T00:57:10.202Z,50,,,,27.1,,32
2017-12-18T00:57:20.203Z,50,,30,,27.1,,32.1
2017-12-18T00:57:30.202Z,50,,,,27.1,,32.3
2017-12-18T00:57:40.202Z,50,,29,,27.1,,32.4
2017-12-18T00:57:50.202Z,50,,,,27.1,,32.7
2017-12-18T00:58:00.203Z,50,,30,,27.1,,33.1
2017-12-18T00:58:10.202Z,50,,29,,27.1,,33.2
2017-12-18T00:58:20.204Z,50,,30,,27.1,,33.4
2017-12-18T00:58:30.202Z,50,,29,,27.1,,33.6
2017-12-18T00:58:40.202Z,50,,,,27.1,,33.8
2017-12-18T00:58:50.203Z,50,,,,27.1,,34
2017-12-18T00:59:00.203Z,50,,,,27.1,,34.2
2017-12-18T00:59:10.203Z,50,,30,,27.1,,34.4
2017-12-18T00:59:20.202Z,50,,,,27.1,,34.5
2017-12-18T00:59:30.202Z,50,,29,,27.1,,34.7
2017-12-18T00:59:40.203Z,50,,,,27.1,,35.1
2017-12-18T00:59:50.203Z,50,,,,27.1,,35.2
2017-12-18T01:00:00.203Z,50,,,,27.2,,35.3
2017-12-18T01:00:10.202Z,50,,,,27.1,,35.5
2017-12-18T01:00:20.202Z,50,,0,0,27.2,2,35.6
2017-12-18T01:00:30.203Z,50,,,,27.2,,32.9
2017-12-18T01:00:40.203Z,50,,,,27.2,,31.7
2017-12-18T01:00:50.203Z,50,,,,27.2,,30.9
2017-12-18T01:01:00.203Z,50,,,,27.2,,30.8
2017-12-18T01:01:10.202Z,50,,,,27.2,,
2017-12-18T01:01:20.204Z,50,,,,27.2,,
2017-12-18T01:01:30.202Z,50,,,,27.2,,
2017-12-18T01:01:40.202Z,50,,,,27.2,,
2017-12-18T01:01:50.203Z,50,,,,27.2,,30.7
2017-12-18T01:02:00.207Z,50,,,,27.2,,30.6
2017-12-18T01:02:10.203Z,50,,,,27.2,,30.5
2017-12-18T01:02:20.203Z,50,,,,27.2,,
2017-12-18T01:02:30.202Z,50,,,,27.2,,
2017-12-18T01:02:40.202Z,50,,,,27.2,,
2017-12-18T01:02:50.202Z,50,,,,27.2,,
2017-12-18T01:03:00.203Z,50,,,,27.3,,
2017-12-18T01:03:10.202Z,50,,,,27.3,,
2017-12-18T01:03:20.202Z,50,,,,27.3,,
2017-12-18T01:03:30.202Z,50,,,,27.3,,
2017-12-18T01:03:40.203Z,50,,,,27.3,,
2017-12-18T01:03:50.202Z,50,,,,27.3,,
2017-12-18T01:04:00.202Z,50,,,,27.3,,30.4
2017-12-18T01:04:10.202Z,50,,,,27.3,,30.5
2017-12-18T01:04:20.202Z,50,,,,27.3,,30.4
2017-12-18T01:04:30.202Z,50,,,,27.3,,
2017-12-18T01:04:40.203Z,50,59,0,0,27.3,2,30.4
2017-12-18T01:04:50.202Z,50,,,,27.3,,
2017-12-18T01:05:00.203Z,50,,,,27.3,,
2017-12-18T01:05:10.202Z,50,,,,27.3,,30.5
2017-12-18T01:05:20.202Z,50,,,,27.3,,
2017-12-18T01:05:30.202Z,50,,,,27.3,,
2017-12-18T01:05:40.202Z,50,,,,27.3,,
2017-12-18T01:05:50.202Z,50,,,,27.3,,
2017-12-18T01:06:00.204Z,50,,,,27.3,,
2017-12-18T01:06:10.202Z,50,,,,27.3,,
2017-12-18T01:06:20.203Z,50,,,,27.3,,
2017-12-18T01:06:30.202Z,50,,,,27.3,,
2017-12-18T01:06:40.203Z,50,,,,27.3,,
2017-12-18T01:06:50.202Z,50,,,,27.3,,30.6
2017-12-18T01:07:00.203Z,50,,,,27.3,,
2017-12-18T01:07:10.202Z,50,,,,27.3,,
2017-12-18T01:07:20.202Z,50,,,,27.3,,
2017-12-18T01:07:30.202Z,50,,,,27.3,,
2017-12-18T01:07:40.202Z,50,,,,27.3,,
2017-12-18T01:07:50.202Z,50,,,,27.3,,30.7
2017-12-18T01:08:00.203Z,50,,,,27.3,,
2017-12-18T01:08:10.202Z,50,,,,27.3,,
2017-12-18T01:08:20.202Z,50,5,,0,27.3,0,
2017-12-18T01:08:30.202Z,50,,,,27.3,,30.8
2017-12-18T01:08:40.202Z,50,59,,0,27.3,2,
2017-12-18T01:08:50.202Z,50,,,,27.3,,
2017-12-18T01:09:00.203Z,50,,,,27.3,,
2017-12-18T01:09:10.202Z,50,5,,0,27.3,0,
2017-12-18T01:09:20.202Z,50,59,,0,27.3,2,
2017-12-18T01:09:30.203Z,50,5,,0,27.3,0,
2017-12-18T01:09:40.202Z,50,,,,27.3,,
2017-12-18T01:09:50.202Z,50,,,,27.3,,30.9
2017-12-18T01:10:00.202Z,50,,,,27.3,,
2017-12-18T01:10:10.202Z,50,,,,27.3,,
2017-12-18T01:10:20.202Z,50,,,,27.3,,
2017-12-18T01:10:30.202Z,50,,,,27.3,,
2017-12-18T01:10:40.202Z,50,,,,27.3,,
2017-12-18T01:10:50.202Z,50,59,,0,27.3,2,
2017-12-18T01:11:00.203Z,50,,,,27.3,,
2017-12-18T01:11:10.202Z,50,,,,27.3,,
2017-12-18T01:11:20.203Z,50,,,,27.3,,
2017-12-18T01:11:30.204Z,50,,,,27.3,,
2017-12-18T01:11:40.202Z,50,,,,27.3,,
2017-12-18T01:11:50.202Z,50,,,,27.3,,
2017-12-18T01:12:00.203Z,50,,,,27.3,,
2017-12-18T01:12:10.203Z,50,,,,27.3,,
2017-12-18T01:12:20.202Z,50,,,,27.3,,
2017-12-18T01:12:30.202Z,50,,,,27.3,,
2017-12-18T01:12:40.202Z,50,,,,27.3,,
2017-12-18T01:12:50.202Z,50,,,,27.3,,
2017-12-18T01:13:00.202Z,50,,,,27.3,,
2017-12-18T01:13:10.202Z,50,,,,27.3,,
2017-12-18T01:13:20.202Z,50,,,,27.3,,
2017-12-18T01:13:30.202Z,50,,,,27.3,,
2017-12-18T01:13:40.202Z,50,,,,27.3,,
2017-12-18T01:13:50.202Z,50,,,,27.3,,
2017-12-18T01:14:00.202Z,50,,,,27.3,,
2017-12-18T01:14:10.202Z,50,,,,27.3,,
2017-12-18T01:14:20.203Z,50,,,,27.3,,30.8
2017-12-18T01:14:30.208Z,50,,,,27.3,,30.9
2017-12-18T01:14:40.202Z,50,,,,27.3,,30.8
2017-12-18T01:14:50.202Z,50,,,,27.3,,
2017-12-18T01:15:00.202Z,50,,,,27.3,,
2017-12-18T01:15:10.202Z,50,,,,27.3,,
2017-12-18T01:15:20.202Z,50,,,,27.3,,
2017-12-18T01:15:30.202Z,50,,,,27.3,,
