Time,HwTOutlet,ChActive,PrimT,HwTSet,PrimTSet,ActPow,HwActive
2018-01-10T01:11:12.467Z,29,,,50,,,
2018-01-10T01:11:22.467Z,29,,,50,,,
2018-01-10T01:11:32.467Z,29,,,50,,,
2018-01-10T01:11:42.526Z,29,,,50,,,
2018-01-10T01:11:52.467Z,29,,,50,,,
2018-01-10T01:12:02.503Z,29,,,50,,,
2018-01-10T01:12:12.474Z,29,,,50,,,
2018-01-10T01:12:22.467Z,29,,,50,,,
2018-01-10T01:12:32.466Z,29,,,50,,,
2018-01-10T01:12:42.466Z,29,,,50,,,
2018-01-10T01:12:52.472Z,29,,,50,,,
2018-01-10T01:13:02.469Z,29,,,50,,,
2018-01-10T01:13:12.467Z,28.9,,,50,,,
2018-01-10T01:13:22.471Z,28.9,,35.1,50,,,
2018-01-10T01:13:32.467Z,28.9,,,50,,,
2018-01-10T01:13:42.470Z,28.9,,,50,,,
2018-01-10T01:13:52.467Z,28.9,,,50,,,
2018-01-10T01:14:02.467Z,28.9,,,50,,,
2018-01-10T01:14:12.467Z,28.9,,,50,,,
2018-01-10T01:14:22.467Z,28.9,,,50,,,
2018-01-10T01:14:32.467Z,28.9,1,38.5,50,,41,0
2018-01-10T01:14:42.467Z,28.9,,40.9,50,,30,
2018-01-10T01:14:52.466Z,28.9,,37.4,50,,29,
2018-01-10T01:15:02.468Z,28.9,,35.7,50,,29,
2018-01-10T01:15:12.467Z,28.9,,33.6,50,,,
2018-01-10T01:15:22.577Z,28.9,,33.2,50,,,
2018-01-10T01:15:32.467Z,28.9,,33.3,50,,,
2018-01-10T01:15:42.467Z,28.9,,33.8,50,,,
2018-01-10T01:15:52.467Z,28.9,,34.1,50,,,
2018-01-10T01:16:02.467Z,28.9,,34.3,50,,30,
2018-01-10T01:16:12.467Z,28.9,,34.4,50,,29,
2018-01-10T01:16:22.467Z,28.9,,34.5,50,,,
2018-01-10T01:16:32.467Z,28.9,,34.7,50,,,
2018-01-10T01:16:42.467Z,28.9,,34.9,50,,30,
2018-01-10T01:16:52.467Z,28.9,,35.2,50,,29,
2018-01-10T01:17:02.467Z,28.9,,35.4,50,,30,
2018-01-10T01:17:12.467Z,28.9,,35.7,50,,,
2018-01-10T01:17:22.467Z,28.9,,35.9,50,,29,
2018-01-10T01:17:32.467Z,28.9,,36.1,50,,30,
2018-01-10T01:17:42.467Z,28.9,,36.3,50,,,
2018-01-10T01:17:52.467Z,28.9,,36.5,50,,29,
