Time,ChActive,HwTSet,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet
2018-02-11T00:40:38.607Z,,,,38.2,30,,
2018-02-11T00:40:48.607Z,,50,28.7,38.4,29,,
2018-02-11T00:40:58.606Z,,50,28.7,,,,
2018-02-11T00:41:08.606Z,,,,38.7,,,
2018-02-11T00:41:18.608Z,,50,28.7,38.9,,,
2018-02-11T00:41:28.607Z,,50,28.7,39.2,30,,
2018-02-11T00:41:38.606Z,,,,39.3,29,,
2018-02-11T00:41:48.606Z,,50,28.9,39.5,30,,
2018-02-11T00:41:58.607Z,,50,28.9,,,,
2018-02-11T00:42:08.606Z,,,,39.7,30,,
2018-02-11T00:42:18.610Z,,50,28.9,39.9,29,,
2018-02-11T00:42:28.607Z,,50,28.9,40.1,30,,
2018-02-11T00:42:38.607Z,,,,40.2,,,
2018-02-11T00:42:48.606Z,,50,28.9,40.4,29,,
2018-02-11T00:42:58.608Z,,50,28.9,,,,
2018-02-11T00:43:08.607Z,,,,40.7,,,
2018-02-11T00:43:18.616Z,,50,28.9,40.8,,,
2018-02-11T00:43:28.608Z,,50,28.9,41,29,,
2018-02-11T00:43:38.606Z,,,,41.1,,,
2018-02-11T00:43:48.607Z,,50,28.9,41.3,,,
2018-02-11T00:43:58.606Z,,50,29,,,,
2018-02-11T00:44:08.606Z,,,,41.7,,,
2018-02-11T00:44:18.606Z,,50,29,41.8,,,
2018-02-11T00:44:28.607Z,,50,29,41.9,,,
2018-02-11T00:44:38.606Z,,,,42,30,,
2018-02-11T00:44:48.608Z,,50,29,42.2,29,,
2018-02-11T00:44:58.606Z,,50,29,,,,
2018-02-11T00:45:08.606Z,,,,42.6,,,
2018-02-11T00:45:18.607Z,,50,29,42.7,30,,
2018-02-11T00:45:28.607Z,,50,29.1,42.8,,,
2018-02-11T00:45:38.609Z,,50,29.1,43,29,,
2018-02-11T00:45:48.606Z,1,50,29.1,41.6,0,0,
2018-02-11T00:45:58.606Z,,50,29.1,39.4,,,
2018-02-11T00:46:08.606Z,,50,29.1,38.4,,,
2018-02-11T00:46:18.606Z,,,,38.1,,,
2018-02-11T00:46:28.606Z,,50,29.1,,,,
2018-02-11T00:46:38.616Z,,50,29.1,,,,
2018-02-11T00:46:48.606Z,,,,38.1,,,
2018-02-11T00:46:58.607Z,,50,29.2,38,,,
2018-02-11T00:47:08.606Z,,,,37.9,,,
2018-02-11T00:47:18.606Z,,50,29.2,37.8,,,
2018-02-11T00:47:28.606Z,,50,29.2,37.7,,,
2018-02-11T00:47:38.606Z,,50,29.2,,,,
2018-02-11T00:47:48.606Z,,,,37.6,,,
2018-02-11T00:47:58.606Z,,50,29.2,,,,
2018-02-11T00:48:08.606Z,,50,29.2,,,,
2018-02-11T00:48:18.607Z,,,,37.5,,,
2018-02-11T00:48:28.606Z,,50,29.3,,,,
2018-02-11T00:48:38.606Z,,50,29.3,37.4,,,
2018-02-11T00:48:58.606Z,,50,29.3,,,,
2018-02-11T00:49:08.606Z,,50,29.3,,,,
2018-02-11T00:49:18.606Z,,,,37.3,,,
2018-02-11T00:49:28.607Z,,50,29.3,,,,
2018-02-11T00:49:38.606Z,,50,29.3,,,,
2018-02-11T00:49:58.606Z,,50,29.3,,,,
2018-02-11T00:50:08.606Z,,50,29.5,,,,
2018-02-11T00:50:28.606Z,,50,29.5,,,,
2018-02-11T00:50:38.606Z,,50,29.5,,,,
2018-02-11T00:50:58.606Z,,50,29.5,,,,
2018-02-11T00:51:08.606Z,,50,29.5,,,,
2018-02-11T00:51:28.606Z,,50,29.5,,,,
2018-02-11T00:51:38.606Z,,50,29.5,,,,
2018-02-11T00:51:48.606Z,,,,37.4,,,
2018-02-11T00:51:58.608Z,,50,29.5,,,,
2018-02-11T00:52:08.606Z,,50,29.5,,,,
2018-02-11T00:52:18.606Z,,,,37.5,,,
2018-02-11T00:52:28.606Z,,50,29.5,,,,
2018-02-11T00:52:38.606Z,,50,29.5,,,,
2018-02-11T00:52:58.608Z,,50,29.5,37.6,,,
2018-02-11T00:53:08.613Z,,50,29.6,,,,
2018-02-11T00:53:28.606Z,,50,29.6,,,,
2018-02-11T00:53:38.607Z,,50,29.6,,,,
2018-02-11T00:53:48.606Z,,,,37.7,,,
2018-02-11T00:53:58.606Z,,50,29.6,,,,
2018-02-11T00:54:08.606Z,,50,29.6,,,,
2018-02-11T00:54:28.619Z,,50,29.6,,,,
2018-02-11T00:54:38.606Z,,50,29.6,,,,
2018-02-11T00:54:58.606Z,,50,29.6,,,,
2018-02-11T00:55:08.608Z,,50,29.6,,,,
2018-02-11T00:55:28.606Z,,50,29.6,,,,
