Time,ActPow,HwTOutlet,HwTSet,PrimT,HwActive,ChActive,PrimTSet
2018-01-24T00:32:09.080Z,,28.7,50,,,,
2018-01-24T00:32:19.081Z,,28.7,50,,,,
2018-01-24T00:32:29.080Z,,28.7,50,,,,
2018-01-24T00:32:39.080Z,,28.7,50,,,,
2018-01-24T00:32:49.080Z,,28.7,50,,,,
2018-01-24T00:32:59.080Z,,28.7,50,,,,
2018-01-24T00:33:09.129Z,,28.7,50,34,,,
2018-01-24T00:33:19.080Z,,28.7,50,,,,
2018-01-24T00:33:29.081Z,,28.7,50,,,,
2018-01-24T00:33:39.108Z,,28.7,50,,,,
2018-01-24T00:33:49.105Z,,28.7,50,,,,
2018-01-24T00:33:59.088Z,,28.7,50,,,,
2018-01-24T00:34:09.082Z,,28.7,50,,,,
2018-01-24T00:34:19.081Z,,28.7,50,,0,2,59
2018-01-24T00:34:29.080Z,,28.7,50,,,,
2018-01-24T00:34:39.080Z,,28.7,50,,0,0,5
2018-01-24T00:34:49.081Z,,28.7,50,,,,
2018-01-24T00:34:59.080Z,,28.7,50,33.9,,,
2018-01-24T00:35:09.083Z,,28.6,50,33.9,,,
2018-01-24T00:35:19.080Z,,28.6,50,,0,2,59
2018-01-24T00:35:29.080Z,,28.6,50,,,,
2018-01-24T00:35:39.080Z,,28.6,50,,,,
2018-01-24T00:35:49.081Z,,28.6,50,,,,
2018-01-24T00:35:59.081Z,,28.6,50,,0,0,5
2018-01-24T00:36:09.084Z,,28.6,50,,,,
2018-01-24T00:36:19.080Z,,28.6,50,,,,
2018-01-24T00:36:29.082Z,,28.6,50,,,,
2018-01-24T00:36:39.081Z,,28.6,50,,0,2,59
2018-01-24T00:36:49.080Z,,28.6,50,,0,0,5
2018-01-24T00:36:59.080Z,,28.6,50,33.9,0,2,59
2018-01-24T00:37:09.081Z,,28.6,50,33.8,,,
2018-01-24T00:37:19.081Z,,28.6,50,,0,0,5
2018-01-24T00:37:29.080Z,,28.6,50,,,,
2018-01-24T00:37:39.080Z,,28.6,50,,,,
2018-01-24T00:37:49.081Z,,28.6,50,,,,
2018-01-24T00:37:59.080Z,,28.6,50,,0,2,59
2018-01-24T00:38:09.080Z,,28.6,50,,,,
2018-01-24T00:38:19.081Z,,28.6,50,,,,
2018-01-24T00:38:29.081Z,,28.6,50,,,,
2018-01-24T00:38:39.080Z,,28.5,50,,,,
2018-01-24T00:38:49.089Z,,28.5,50,33.7,,,
2018-01-24T00:38:59.080Z,,28.5,50,,,,
2018-01-24T00:39:09.080Z,,28.5,50,,,,
2018-01-24T00:39:19.082Z,,28.5,50,,,,
2018-01-24T00:39:29.082Z,,28.5,50,,,,
2018-01-24T00:39:39.080Z,,28.5,50,,,,
2018-01-24T00:39:49.081Z,,28.5,50,,,,
2018-01-24T00:39:59.081Z,,28.5,50,,,,
2018-01-24T00:40:09.080Z,,28.5,50,,,,
2018-01-24T00:40:19.080Z,,28.5,50,,,,
2018-01-24T00:40:29.080Z,,28.5,50,,,,
2018-01-24T00:40:39.080Z,,28.5,50,,,,
2018-01-24T00:40:49.081Z,,28.5,50,,,,
2018-01-24T00:40:59.080Z,,28.5,50,,,,
2018-01-24T00:41:09.080Z,,28.4,50,,,,
2018-01-24T00:41:19.081Z,,28.5,50,,,,
2018-01-24T00:41:29.080Z,,28.4,50,33.6,,,
2018-01-24T00:41:39.080Z,,28.4,50,,,,
2018-01-24T00:41:49.080Z,,28.4,50,,,,
2018-01-24T00:41:59.080Z,,28.4,50,,,,
2018-01-24T00:42:09.080Z,,28.4,50,,,,
2018-01-24T00:42:19.080Z,,28.4,50,,,,
2018-01-24T00:42:29.080Z,,28.4,50,,,,
2018-01-24T00:42:39.080Z,,28.4,50,,,,
2018-01-24T00:42:49.080Z,,28.4,50,,,,
2018-01-24T00:42:59.080Z,,28.4,50,,,,
2018-01-24T00:43:09.080Z,,28.4,50,,,,
2018-01-24T00:43:19.080Z,,28.4,50,,,,
2018-01-24T00:43:29.080Z,,28.4,50,,,,
2018-01-24T00:43:39.080Z,,28.4,50,,,,
2018-01-24T00:43:49.080Z,,28.3,50,33.5,,,
2018-01-24T00:43:59.080Z,,28.3,50,,,,
2018-01-24T00:44:09.080Z,,28.3,50,,,,
2018-01-24T00:44:19.081Z,,28.3,50,,0,2,
2018-01-24T00:44:29.080Z,38,28.3,50,38.3,,,
2018-01-24T00:44:39.080Z,29,28.3,50,38.7,,,
2018-01-24T00:44:49.081Z,30,28.3,50,36.6,,,
2018-01-24T00:44:59.080Z,,28.3,50,34.7,,,
2018-01-24T00:45:09.080Z,29,28.3,50,32.9,,,
2018-01-24T00:45:19.080Z,30,28.3,50,32.7,,,
2018-01-24T00:45:29.082Z,29,28.3,50,33.1,,,
2018-01-24T00:45:39.080Z,30,28.3,50,33.4,,,
2018-01-24T00:45:49.081Z,29,28.3,50,33.8,,,
2018-01-24T00:45:59.080Z,,28.3,50,34,,,
2018-01-24T00:46:09.080Z,,28.3,50,34.2,,,
2018-01-24T00:46:19.080Z,,28.3,50,34.3,,,
