Time,ActPow,PrimT,ChActive,HwActive,PrimTSet,HwTSet,HwTOutlet
2018-02-06T01:16:08.743Z,,,,,,50,30.8
2018-02-06T01:16:18.745Z,,,,,,50,30.8
2018-02-06T01:16:38.744Z,,,,,,50,30.8
2018-02-06T01:16:58.744Z,,,,,,50,30.8
2018-02-06T01:17:08.743Z,,,,,,50,30.8
2018-02-06T01:17:28.744Z,,36.7,,,,50,30.8
2018-02-06T01:17:38.744Z,,,,,,50,30.8
2018-02-06T01:17:58.744Z,,,,,,50,30.8
2018-02-06T01:18:08.744Z,,,,,,50,30.8
2018-02-06T01:18:28.744Z,,,,,,50,30.8
2018-02-06T01:18:38.744Z,,,,,,50,30.8
2018-02-06T01:18:58.743Z,,,,,,50,30.8
2018-02-06T01:19:08.743Z,,,,,,50,30.8
2018-02-06T01:19:28.743Z,,36.6,,,,50,30.8
2018-02-06T01:19:38.746Z,,,,,,50,30.8
2018-02-06T01:19:58.743Z,,,,,,50,30.8
2018-02-06T01:20:08.743Z,,,,,,50,30.8
2018-02-06T01:20:28.744Z,,,,,,50,30.8
2018-02-06T01:20:38.744Z,,,,,,50,30.8
2018-02-06T01:20:58.743Z,,,,,,50,30.8
2018-02-06T01:21:08.743Z,,,,,,50,30.8
2018-02-06T01:21:28.744Z,,,,,,50,30.7
2018-02-06T01:21:38.744Z,,,,,,50,30.7
2018-02-06T01:21:58.743Z,,36.5,,,,50,30.7
2018-02-06T01:22:08.744Z,,,,,,50,30.7
2018-02-06T01:22:28.744Z,,,,,,50,30.7
2018-02-06T01:22:38.743Z,,,,,,50,30.7
2018-02-06T01:22:58.745Z,,,,,,50,30.7
2018-02-06T01:23:08.744Z,,,,,,50,30.7
2018-02-06T01:23:18.744Z,,,,,,50,30.7
2018-02-06T01:23:28.803Z,,,,,,50,30.7
2018-02-06T01:23:38.743Z,,,,,,50,30.7
2018-02-06T01:23:58.743Z,,36.4,,,,50,30.7
2018-02-06T01:24:08.744Z,,,,,,50,30.7
2018-02-06T01:24:28.749Z,,,,,,50,30.7
2018-02-06T01:24:38.746Z,,,,,,50,30.7
2018-02-06T01:24:58.750Z,,,,,,50,30.7
2018-02-06T01:25:08.744Z,,,,,,50,30.7
2018-02-06T01:25:18.744Z,,,,,,50,30.7
2018-02-06T01:25:28.744Z,,,,,,50,30.7
2018-02-06T01:25:38.743Z,,,,,,50,30.7
2018-02-06T01:25:48.744Z,42,39.3,1,0,,50,30.7
2018-02-06T01:25:58.743Z,35,42.1,,,,50,30.7
2018-02-06T01:26:08.744Z,29,37.6,,,,50,30.7
2018-02-06T01:26:18.744Z,29,35.9,,,,50,30.7
2018-02-06T01:26:28.772Z,,33.6,,,,50,30.7
2018-02-06T01:26:38.743Z,,,,,,50,30.6
2018-02-06T01:26:48.743Z,,33.1,,,,,
2018-02-06T01:26:58.744Z,30,34,,,,50,30.6
2018-02-06T01:27:08.743Z,29,,,,,50,30.7
2018-02-06T01:27:18.744Z,30,34.5,,,,50,30.7
2018-02-06T01:27:28.743Z,29,34.7,,,,50,30.6
2018-02-06T01:27:38.743Z,,35.1,,,,50,30.6
2018-02-06T01:27:48.799Z,,,,,,50,30.6
2018-02-06T01:27:58.796Z,30,35.3,,,,50,30.7
2018-02-06T01:28:08.783Z,,35.5,,,,50,30.7
2018-02-06T01:28:18.776Z,29,36,,,,50,30.6
2018-02-06T01:28:28.759Z,,,,,,50,30.7
2018-02-06T01:28:38.752Z,,36.3,,,,50,30.6
2018-02-06T01:28:48.771Z,30,36.5,,,,50,30.7
2018-02-06T01:28:58.747Z,29,36.7,,,,50,30.6
2018-02-06T01:29:08.743Z,29,37.1,,,,50,30.7
2018-02-06T01:29:18.743Z,,,,,,50,30.7
2018-02-06T01:29:28.743Z,,37.3,,,,50,30.7
2018-02-06T01:29:38.743Z,30,37.5,,,,50,30.7
2018-02-06T01:29:48.744Z,,37.7,,,,50,30.7
2018-02-06T01:29:58.744Z,29,38,,,,50,30.7
2018-02-06T01:30:08.743Z,30,,,,,50,30.7
2018-02-06T01:30:18.744Z,,38.2,,,,50,30.7
2018-02-06T01:30:28.743Z,,38.3,,,,50,30.7
2018-02-06T01:30:38.743Z,29,38.5,,,,50,30.7
2018-02-06T01:30:48.743Z,,38.6,,,,50,30.7
2018-02-06T01:30:58.743Z,,38.8,,,,50,30.7
2018-02-06T01:31:08.743Z,,39.1,,,,50,30.7
