Time,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT,ActPow
2017-12-01T01:04:50.967Z,,,,52,32.5,,
2017-12-01T01:05:00.970Z,,,,52,32.5,34.3,
2017-12-01T01:05:10.968Z,,,,52,32.4,34.4,
2017-12-01T01:05:20.968Z,,,,52,32.4,,
2017-12-01T01:05:30.969Z,,,,52,32.4,34.5,
2017-12-01T01:05:40.967Z,,,,52,32.4,34.6,
2017-12-01T01:05:50.968Z,,,,52,32.3,34.7,
2017-12-01T01:06:00.973Z,,,,52,32.3,,
2017-12-01T01:06:10.967Z,,,,52,32.3,34.8,
2017-12-01T01:06:20.968Z,,,,52,32.3,34.9,
2017-12-01T01:06:30.967Z,,,,52,32.3,35.1,
2017-12-01T01:06:40.968Z,,,,52,32.2,,
2017-12-01T01:06:50.967Z,,,,52,32.2,35.2,
2017-12-01T01:07:00.968Z,1,,0,52,32.2,35.2,44
2017-12-01T01:07:10.968Z,,,,52,32.2,40.3,34
2017-12-01T01:07:20.978Z,,,,52,32.1,39.9,30
2017-12-01T01:07:30.968Z,,,,52,32.1,38.7,29
2017-12-01T01:07:40.968Z,,,,52,32.1,37.5,
2017-12-01T01:07:50.967Z,,,,52,32.1,36.9,
2017-12-01T01:08:00.968Z,,,,52,32,36.8,
2017-12-01T01:08:10.968Z,,,,52,32,37.1,30
2017-12-01T01:08:20.968Z,,,,52,32,37.4,
2017-12-01T01:08:30.968Z,,,,52,32,37.8,
2017-12-01T01:08:40.968Z,,,,52,32,38,29
2017-12-01T01:08:50.967Z,,,,52,31.9,38.2,
2017-12-01T01:09:00.967Z,,,,52,31.9,38.3,30
2017-12-01T01:09:10.967Z,,,,52,31.9,38.5,29
2017-12-01T01:09:20.971Z,,,,52,31.9,38.7,
2017-12-01T01:09:30.967Z,,,,52,31.9,38.8,
2017-12-01T01:09:40.973Z,,,,52,31.9,39.1,29
2017-12-01T01:09:50.971Z,,,,52,31.8,39.2,
2017-12-01T01:10:00.971Z,,,,52,31.8,39.4,
2017-12-01T01:10:10.969Z,,,,52,31.8,39.5,
2017-12-01T01:10:20.968Z,,,,52,31.8,39.6,30
2017-12-01T01:10:30.967Z,,,,52,31.8,39.7,
2017-12-01T01:10:40.974Z,,,,52,31.8,39.9,29
2017-12-01T01:10:50.970Z,,,,52,31.8,40,
2017-12-01T01:11:00.967Z,,,,52,31.8,40.1,
2017-12-01T01:11:10.967Z,,,,52,31.6,40.3,
2017-12-01T01:11:20.967Z,,,,52,31.6,40.4,
2017-12-01T01:11:30.968Z,,,,52,31.6,40.6,30
2017-12-01T01:11:40.967Z,,,,52,31.6,40.8,29
2017-12-01T01:11:50.967Z,,,,52,31.6,41,30
2017-12-01T01:12:00.970Z,,,,52,31.6,41.1,29
2017-12-01T01:12:10.968Z,,,,52,31.6,41.2,
2017-12-01T01:12:20.968Z,,,,52,31.6,41.4,
2017-12-01T01:12:30.967Z,,,,52,31.6,41.5,30
2017-12-01T01:12:40.967Z,,,,52,31.6,41.7,
2017-12-01T01:12:50.967Z,1,,0,52,31.5,41.9,0
2017-12-01T01:13:00.967Z,,,,52,31.5,39.9,
2017-12-01T01:13:10.979Z,,,,52,31.6,37.8,
2017-12-01T01:13:20.967Z,,,,52,31.5,37.2,
2017-12-01T01:13:30.967Z,,,,52,31.5,36.9,
2017-12-01T01:13:40.967Z,,,,52,31.5,,
2017-12-01T01:13:50.967Z,,,,52,31.5,,
2017-12-01T01:14:00.984Z,,,,52,31.5,,
2017-12-01T01:14:10.969Z,,,,52,31.5,,
2017-12-01T01:14:20.967Z,,,,52,31.5,36.8,
2017-12-01T01:14:30.970Z,,,,52,31.5,36.7,
2017-12-01T01:14:40.967Z,,,,52,31.5,36.6,
2017-12-01T01:14:50.970Z,,,,52,31.5,36.5,
2017-12-01T01:15:00.967Z,,,,52,31.5,,
2017-12-01T01:15:10.979Z,,,,52,31.5,,
2017-12-01T01:15:20.969Z,,,,52,31.5,,
2017-12-01T01:15:30.971Z,,,,52,31.5,,
2017-12-01T01:15:40.967Z,,,,52,31.5,36.4,
2017-12-01T01:15:50.967Z,,,,52,31.4,36.3,
2017-12-01T01:16:00.972Z,,,,52,31.5,,
2017-12-01T01:16:10.967Z,,,,52,31.5,,
2017-12-01T01:16:20.968Z,,,,52,31.4,,
2017-12-01T01:16:30.967Z,,,,52,31.4,,
2017-12-01T01:16:40.968Z,,,,52,31.4,,
2017-12-01T01:16:50.967Z,,,,52,31.4,,
2017-12-01T01:17:00.974Z,,,,52,31.4,,
2017-12-01T01:17:10.970Z,,,,52,31.4,,
2017-12-01T01:17:20.967Z,,,,52,31.4,,
2017-12-01T01:17:30.967Z,,,,52,31.4,,
2017-12-01T01:17:40.972Z,,,,52,31.4,,
2017-12-01T01:17:50.973Z,,,,52,31.4,,
2017-12-01T01:18:00.967Z,,,,52,31.4,,
2017-12-01T01:18:10.972Z,,,,52,31.4,,
