Time,HwActive,HwTSet,ActPow,ChActive,PrimTSet,PrimT,HwTOutlet
2018-01-31T00:47:48.901Z,,50,,,,33.1,28.6
2018-01-31T00:47:58.901Z,,50,,,,,28.7
2018-01-31T00:48:18.901Z,,50,,,,,28.7
2018-01-31T00:48:28.901Z,,50,,,,,28.7
2018-01-31T00:48:48.901Z,,50,,,,,28.6
2018-01-31T00:48:58.900Z,,50,,,,,28.6
2018-01-31T00:49:08.901Z,0,,,2,59,,
2018-01-31T00:49:18.901Z,0,50,,0,5,,28.6
2018-01-31T00:49:38.901Z,,50,,,,,28.6
2018-01-31T00:49:48.900Z,,50,,,,,28.6
2018-01-31T00:49:58.901Z,0,,,2,59,,
2018-01-31T00:50:08.901Z,0,50,,0,5,,28.6
2018-01-31T00:50:18.902Z,,50,,,,,28.6
2018-01-31T00:50:28.901Z,,50,,,,,28.6
2018-01-31T00:50:48.901Z,0,50,,2,59,,28.6
2018-01-31T00:50:58.903Z,0,50,,0,5,,28.6
2018-01-31T00:51:08.901Z,,50,,,,,28.6
2018-01-31T00:51:18.901Z,,50,,,,,28.6
2018-01-31T00:51:28.901Z,,50,,,,33.1,28.6
2018-01-31T00:51:48.901Z,,50,,,,32.9,28.6
2018-01-31T00:51:58.900Z,,,,,,32.9,
2018-01-31T00:52:08.901Z,,50,,,,32.9,28.6
2018-01-31T00:52:18.900Z,0,50,,2,59,,28.6
2018-01-31T00:52:38.901Z,0,50,,0,5,,28.6
2018-01-31T00:52:48.901Z,,50,,,,,28.6
2018-01-31T00:52:58.902Z,0,,,2,59,,
2018-01-31T00:53:08.901Z,0,50,,0,5,,28.6
2018-01-31T00:53:18.901Z,,50,,,,,28.6
2018-01-31T00:53:28.901Z,,50,,,,,28.5
2018-01-31T00:53:48.901Z,0,50,,2,59,,28.5
2018-01-31T00:53:58.901Z,0,50,,0,5,,28.5
2018-01-31T00:54:08.901Z,,50,,,,,28.5
2018-01-31T00:54:18.901Z,,50,,,,,28.5
2018-01-31T00:54:28.900Z,,50,,,,,28.5
2018-01-31T00:54:38.902Z,,,,,,32.8,
2018-01-31T00:54:48.902Z,0,50,,2,59,,28.5
2018-01-31T00:54:58.900Z,0,50,,0,5,,28.5
