Time,PrimT,HwTSet,ActPow,HwTOutlet,HwActive,ChActive,PrimTSet
2018-02-02T00:49:18.852Z,,50,,30,,,
2018-02-02T00:49:38.850Z,,50,,30,,,
2018-02-02T00:49:48.861Z,,50,,30,,,
2018-02-02T00:49:58.852Z,37.3,,,,,,
2018-02-02T00:50:08.866Z,,50,,30,,,
2018-02-02T00:50:18.849Z,,50,,30,,,
2018-02-02T00:50:38.865Z,,50,,30,,,
2018-02-02T00:50:48.865Z,,50,,30,,,
2018-02-02T00:51:08.849Z,37.2,50,,30,,,
2018-02-02T00:51:18.856Z,,50,,30,,,
2018-02-02T00:51:38.865Z,,50,,30,,,
2018-02-02T00:51:48.853Z,,50,,30,,,
2018-02-02T00:52:08.850Z,,50,,29.8,,,
2018-02-02T00:52:18.850Z,38.2,50,44,30,0,2,
2018-02-02T00:52:28.850Z,42.6,50,35,29.8,,,
2018-02-02T00:52:38.859Z,41.5,50,29,29.8,,,
2018-02-02T00:52:48.849Z,39.6,50,30,29.8,,,
2018-02-02T00:52:58.849Z,37.6,50,29,29.8,,,
2018-02-02T00:53:08.875Z,36.1,50,,29.8,,,
2018-02-02T00:53:18.849Z,35.8,50,29,29.8,,,
2018-02-02T00:53:28.849Z,36.2,,,,,,
2018-02-02T00:53:38.850Z,36.6,50,,29.8,,,
2018-02-02T00:53:48.849Z,36.9,50,,29.8,,,
2018-02-02T00:53:58.853Z,37.2,,,,,,
2018-02-02T00:54:08.915Z,37.3,50,30,29.8,,,
2018-02-02T00:54:18.849Z,,50,,29.8,,,
2018-02-02T00:54:28.880Z,37.6,,29,,,,
2018-02-02T00:54:38.874Z,37.8,50,,29.8,,,
2018-02-02T00:54:48.850Z,38,,30,,,,
2018-02-02T00:54:58.850Z,38.2,50,29,29.8,,,
2018-02-02T00:55:08.851Z,,50,,29.8,,,
2018-02-02T00:55:18.850Z,38.6,,30,,,,
2018-02-02T00:55:28.860Z,38.8,50,29,29.8,,,
2018-02-02T00:55:38.849Z,39.1,50,29,29.8,,,
2018-02-02T00:55:48.862Z,39.2,,,,,,
2018-02-02T00:55:58.860Z,39.4,50,,29.8,,,
2018-02-02T00:56:08.863Z,,50,,29.8,,,
2018-02-02T00:56:18.862Z,39.7,,,,,,
2018-02-02T00:56:28.849Z,39.8,50,,29.8,,,
2018-02-02T00:56:38.850Z,40,50,29,30,,,
2018-02-02T00:56:48.849Z,40.1,,30,,,,
2018-02-02T00:56:58.861Z,40.3,50,29,30,,,
2018-02-02T00:57:08.860Z,,50,,30,,,
2018-02-02T00:57:18.849Z,40.5,,30,,,,
2018-02-02T00:57:28.858Z,39.8,50,0,30,0,2,
2018-02-02T00:57:38.849Z,37.7,50,,30,,,
2018-02-02T00:57:48.849Z,36.3,,,,,,
2018-02-02T00:57:58.850Z,35.9,50,,30,,,
2018-02-02T00:58:08.850Z,35.7,50,,30,,,
2018-02-02T00:58:18.849Z,,50,,30,,,
2018-02-02T00:58:38.849Z,,50,,30,,,
2018-02-02T00:58:48.850Z,,50,,30,,,
2018-02-02T00:58:58.849Z,35.6,,,,,,
2018-02-02T00:59:08.850Z,35.5,50,,30,,,
2018-02-02T00:59:18.859Z,,50,,30,,,
2018-02-02T00:59:28.859Z,35.3,,,,,,
2018-02-02T00:59:38.850Z,,50,,30,,,
2018-02-02T00:59:48.851Z,,50,,30,,,
2018-02-02T01:00:08.850Z,,50,,30,,,
2018-02-02T01:00:18.858Z,,50,,30,,,
2018-02-02T01:00:28.853Z,35.2,50,,30,,,
2018-02-02T01:00:38.850Z,,50,,30,,,
2018-02-02T01:00:58.865Z,,50,,30,,,
2018-02-02T01:01:08.854Z,,50,,30,,,
2018-02-02T01:01:18.861Z,35.1,,,,,,
2018-02-02T01:01:28.851Z,,50,,30.1,,,
2018-02-02T01:01:38.850Z,,50,,30.1,,,
2018-02-02T01:01:48.854Z,,50,,30.1,,,
2018-02-02T01:02:08.852Z,,50,,30,,,
2018-02-02T01:02:18.850Z,,50,,30.1,,,
2018-02-02T01:02:38.850Z,,50,,30,,,
2018-02-02T01:02:48.850Z,,50,,30,,,
2018-02-02T01:03:08.849Z,,50,,30.1,,,
