Time,HwTOutlet,PrimT,ChActive,HwActive,PrimTSet,ActPow,HwTSet
2017-11-30T01:13:41.005Z,29.3,,,,,,52
2017-11-30T01:13:51.009Z,29.3,35.7,,,,,52
2017-11-30T01:14:01.006Z,29.3,,,,,,52
2017-11-30T01:14:11.004Z,29.3,,,,,,52
2017-11-30T01:14:21.005Z,29.3,,,,,,52
2017-11-30T01:14:31.006Z,29.3,,,,,,52
2017-11-30T01:14:41.006Z,29.3,,,,,,52
2017-11-30T01:14:51.009Z,29.3,,,,,,52
2017-11-30T01:15:01.005Z,29.3,,,,,,52
2017-11-30T01:15:11.004Z,29.3,,,,,,52
2017-11-30T01:15:21.005Z,29.3,35.8,,,,,52
2017-11-30T01:15:31.004Z,29.5,,,,,,52
2017-11-30T01:15:41.009Z,29.5,,,,,,52
2017-11-30T01:15:51.007Z,29.5,,,,,,52
2017-11-30T01:16:01.005Z,29.5,,,,,,52
2017-11-30T01:16:11.004Z,29.5,35.9,,,,,52
2017-11-30T01:16:21.010Z,29.5,,,,,,52
2017-11-30T01:16:31.015Z,29.5,,,,,,52
2017-11-30T01:16:41.006Z,29.5,36,,,,,52
2017-11-30T01:16:51.007Z,29.5,,,,,,52
2017-11-30T01:17:01.004Z,29.5,,,,,,52
2017-11-30T01:17:11.004Z,29.5,,,,,,52
2017-11-30T01:17:21.007Z,29.5,,,,,,52
2017-11-30T01:17:31.004Z,29.5,36.1,,,,,52
2017-11-30T01:17:41.004Z,29.5,,,,,,52
2017-11-30T01:17:51.004Z,29.5,,,,,,52
2017-11-30T01:18:01.079Z,29.5,,,,,,52
2017-11-30T01:18:11.008Z,29.5,,,,,,52
2017-11-30T01:18:21.007Z,29.5,,,,,,52
2017-11-30T01:18:31.004Z,29.5,,,,,,52
2017-11-30T01:18:41.004Z,29.5,36.2,,,,,52
2017-11-30T01:18:51.005Z,29.5,36.1,,,,,52
2017-11-30T01:19:01.004Z,29.5,36.2,,,,,52
2017-11-30T01:19:11.004Z,29.5,,,,,,52
