Time,ChActive,HwTSet,HwActive,HwTOutlet,ActPow,PrimT,PrimTSet
2018-01-18T00:37:41.244Z,,50,,36.5,,,
2018-01-18T00:37:51.246Z,,50,,36.4,,,
2018-01-18T00:38:01.244Z,,50,,36.4,,,
2018-01-18T00:38:11.253Z,,50,,36.3,,,
2018-01-18T00:38:21.324Z,,50,,36.3,,,
2018-01-18T00:38:31.256Z,,50,,36.2,,,
2018-01-18T00:38:41.246Z,,50,,36.2,,,
2018-01-18T00:38:51.244Z,,50,,36.1,,39.5,
2018-01-18T00:39:01.261Z,,50,,36.1,,,
2018-01-18T00:39:11.254Z,,50,,36,,,
2018-01-18T00:39:21.359Z,,50,,36,,,
2018-01-18T00:39:31.244Z,1,50,0,35.9,,39.4,59
2018-01-18T00:39:41.259Z,,50,,35.9,,,
2018-01-18T00:39:51.268Z,,50,,35.8,,,
2018-01-18T00:40:01.262Z,,50,,35.8,,,
2018-01-18T00:40:11.254Z,,50,,35.7,,,
2018-01-18T00:40:21.399Z,,50,,35.7,,,
2018-01-18T00:40:31.244Z,0,50,0,35.6,,,5
2018-01-18T00:40:41.244Z,,50,,35.6,,,
2018-01-18T00:40:51.245Z,,50,,35.6,,,
2018-01-18T00:41:01.244Z,,50,,35.5,,,
2018-01-18T00:41:11.255Z,,50,,35.5,,39.3,
2018-01-18T00:41:21.802Z,,50,,35.4,,,
2018-01-18T00:41:31.268Z,,50,,35.4,,,
2018-01-18T00:41:41.306Z,,50,,35.3,,,
2018-01-18T00:41:51.248Z,,50,,35.3,,,
2018-01-18T00:42:01.292Z,,50,,35.3,,,
2018-01-18T00:42:11.244Z,,50,,35.2,,,
2018-01-18T00:42:21.355Z,,50,,35.2,,,
2018-01-18T00:42:31.244Z,,50,,35.1,,39.2,
2018-01-18T00:42:41.244Z,,50,,35.1,,,
2018-01-18T00:42:51.244Z,,50,,35.1,,,
2018-01-18T00:43:01.244Z,,50,,34.9,,,
2018-01-18T00:43:11.243Z,,50,,34.9,,,
2018-01-18T00:43:21.397Z,,50,,34.8,,,
2018-01-18T00:43:31.244Z,,50,,34.8,,,
2018-01-18T00:43:41.253Z,,50,,34.7,,39.1,
2018-01-18T00:43:51.244Z,,50,,34.7,,,
2018-01-18T00:44:01.243Z,,50,,34.7,,,
2018-01-18T00:44:11.244Z,,50,,34.6,,,
2018-01-18T00:44:21.411Z,,50,,34.6,,,
2018-01-18T00:44:31.243Z,,50,,34.5,,,
2018-01-18T00:44:41.245Z,,50,,34.5,,38.9,
2018-01-18T00:44:51.243Z,,,,,,38.9,
2018-01-18T00:45:01.266Z,,50,,34.5,,,
2018-01-18T00:45:11.256Z,,50,,34.4,,,
2018-01-18T00:45:21.336Z,,50,,34.3,,,
2018-01-18T00:45:31.266Z,,50,,34.3,,,
2018-01-18T00:45:41.244Z,,50,,34.3,,38.8,
2018-01-18T00:45:51.266Z,,50,,34.2,,,
2018-01-18T00:46:01.247Z,,50,,34.2,,,
