Time,ChActive,HwTSet,PrimTSet,HwTOutlet,ActPow,PrimT,HwActive
2017-12-29T00:36:22.838Z,,50,,25.3,,40.9,
2017-12-29T00:36:32.838Z,,50,,25.3,,,
2017-12-29T00:36:42.838Z,,50,,25.3,,,
2017-12-29T00:36:52.838Z,,50,,25.3,,,
2017-12-29T00:37:02.838Z,,50,,25.3,,,
2017-12-29T00:37:12.838Z,,50,,25.3,,,
2017-12-29T00:37:22.838Z,,50,,25.3,,,
2017-12-29T00:37:32.838Z,,50,,25.3,,,
2017-12-29T00:37:42.838Z,,50,,25.3,,,
2017-12-29T00:37:52.838Z,,50,,25.3,,40.8,
2017-12-29T00:38:02.838Z,,50,,25.3,,,
2017-12-29T00:38:12.838Z,,50,,25.1,,,
2017-12-29T00:38:22.837Z,,50,,25.1,,,
2017-12-29T00:38:32.838Z,,50,,25.1,,,
2017-12-29T00:38:42.838Z,,50,,25.1,,,
2017-12-29T00:38:52.838Z,,50,,25.1,,,
2017-12-29T00:39:02.838Z,,50,,25.1,,,
2017-12-29T00:39:12.980Z,,50,,25.1,,,
2017-12-29T00:39:22.838Z,,50,,25.1,,,
2017-12-29T00:39:32.838Z,,50,,25.1,,40.7,
2017-12-29T00:39:42.837Z,,50,,25.1,,,
2017-12-29T00:39:52.839Z,,50,,25.1,,,
2017-12-29T00:40:02.837Z,,50,,25.1,,,
2017-12-29T00:40:12.838Z,,50,,25.1,,,
2017-12-29T00:40:22.838Z,,50,,25.1,,,
2017-12-29T00:40:32.837Z,,50,,25.1,,,
2017-12-29T00:40:42.838Z,,50,,25.1,,,
2017-12-29T00:40:52.838Z,,50,,25.1,,,
2017-12-29T00:41:02.838Z,,50,,25,,40.6,
2017-12-29T00:41:12.838Z,,50,,25,,,
2017-12-29T00:41:22.837Z,,50,,25,,,
2017-12-29T00:41:32.838Z,,50,,25,,,
2017-12-29T00:41:42.838Z,,50,,25,,,
2017-12-29T00:41:52.838Z,,50,,25,,,
2017-12-29T00:42:02.838Z,,50,,25,,,
2017-12-29T00:42:12.838Z,,50,,25,,,
2017-12-29T00:42:22.838Z,,50,,25,,,
2017-12-29T00:42:32.837Z,,50,,25,,,
2017-12-29T00:42:42.838Z,,50,,25,,40.5,
2017-12-29T00:42:52.838Z,,50,,25,,,
2017-12-29T00:43:02.838Z,,50,,25,,,
2017-12-29T00:43:12.837Z,,50,,25,,,
2017-12-29T00:43:22.838Z,,50,,25,,,
2017-12-29T00:43:32.838Z,,50,,24.9,,,
2017-12-29T00:43:42.838Z,,50,,25,,,
2017-12-29T00:43:52.837Z,,50,,24.9,,,
2017-12-29T00:44:02.838Z,,50,,25,,,
2017-12-29T00:44:12.838Z,,50,,24.9,,,
2017-12-29T00:44:22.837Z,,50,,24.9,,40.4,
2017-12-29T00:44:32.838Z,,50,,24.9,,,
2017-12-29T00:44:42.838Z,,50,,24.9,,,
2017-12-29T00:44:52.838Z,,50,,24.9,,,
2017-12-29T00:45:02.838Z,,50,,24.9,,,
2017-12-29T00:45:12.839Z,,50,,24.9,,,
2017-12-29T00:45:22.838Z,,50,,24.9,,,
2017-12-29T00:45:32.838Z,,50,,24.9,,,
2017-12-29T00:45:42.837Z,,50,,24.9,,,
2017-12-29T00:45:52.837Z,,50,,24.9,,40.3,
2017-12-29T00:46:02.838Z,,50,,24.9,,,
2017-12-29T00:46:12.837Z,,50,,24.9,,,
2017-12-29T00:46:22.838Z,,50,,24.9,,,
2017-12-29T00:46:32.838Z,,50,,24.9,,,
2017-12-29T00:46:42.838Z,,50,,24.9,,,
2017-12-29T00:46:52.837Z,,50,,24.9,,,
2017-12-29T00:47:02.838Z,,50,,24.9,,,
2017-12-29T00:47:12.838Z,,50,,24.8,,,
2017-12-29T00:47:22.837Z,,50,,24.8,,,
2017-12-29T00:47:32.838Z,,50,,24.8,,40.2,
2017-12-29T00:47:42.838Z,,50,,24.8,,,
2017-12-29T00:47:52.838Z,,50,,24.8,,,
2017-12-29T00:48:02.838Z,,50,,24.8,,,
2017-12-29T00:48:12.837Z,,50,,24.8,,,
2017-12-29T00:48:22.837Z,,50,,24.8,,,
2017-12-29T00:48:32.837Z,,50,,24.8,,,
2017-12-29T00:48:42.838Z,,50,,24.8,,,
2017-12-29T00:48:52.838Z,,50,,24.8,,,
2017-12-29T00:49:02.851Z,,50,,24.8,,,
2017-12-29T00:49:12.838Z,,50,,24.8,,40.1,
2017-12-29T00:49:22.850Z,,50,,24.8,,,
2017-12-29T00:49:32.841Z,,50,,24.8,,,
2017-12-29T00:49:42.851Z,,50,,24.8,,,
2017-12-29T00:49:52.837Z,,50,,24.8,,,
2017-12-29T00:50:02.838Z,,50,,24.8,,,
2017-12-29T00:50:12.842Z,,50,,24.7,,,
2017-12-29T00:50:22.837Z,,50,,24.8,,,
2017-12-29T00:50:32.838Z,,50,,24.7,,,
2017-12-29T00:50:42.838Z,,50,,24.7,,40,
2017-12-29T00:50:52.837Z,,50,,24.7,,,
2017-12-29T00:51:02.838Z,,50,,24.7,,,
2017-12-29T00:51:12.840Z,,50,,24.7,,,
2017-12-29T00:51:22.838Z,,50,,24.7,,,
2017-12-29T00:51:32.837Z,,50,,24.7,,,
2017-12-29T00:51:42.837Z,,50,,24.7,,,
2017-12-29T00:51:52.837Z,,50,,24.7,,,
