Time,ActPow,HwTOutlet,HwTSet,HwActive,ChActive,PrimTSet,PrimT
2017-11-24T01:24:21.216Z,,28.6,52,,,,41.9
2017-11-24T01:24:31.215Z,30,28.7,52,,,,42
2017-11-24T01:24:41.305Z,29,,,,,,
2017-11-24T01:24:51.218Z,30,28.7,52,,,,42.1
2017-11-24T01:25:01.215Z,29,,,,,,42.3
2017-11-24T01:25:11.217Z,29,28.7,52,,,,42.7
2017-11-24T01:25:21.215Z,30,28.9,52,,,,42.8
2017-11-24T01:25:31.217Z,29,28.9,52,,,,43
2017-11-24T01:25:41.305Z,30,28.9,52,,,,43.1
2017-11-24T01:25:51.215Z,0,28.9,52,,,,43.4
2017-11-24T01:26:01.215Z,,28.9,52,0,2,,43
2017-11-24T01:26:11.218Z,,,,,,,40.8
2017-11-24T01:26:21.217Z,,29,52,,,,40.4
2017-11-24T01:26:31.217Z,,,,,,,39.2
2017-11-24T01:26:41.305Z,,29,52,,,,
2017-11-24T01:26:51.220Z,,29,52,,,,38.7
2017-11-24T01:27:01.215Z,,29,52,,,,38.6
2017-11-24T01:27:11.218Z,,29,52,,,,38.5
2017-11-24T01:27:21.215Z,,29.1,52,,,,
