Time,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,ActPow,HwTSet
2018-01-08T00:52:02.526Z,,,,,30.7,,50
2018-01-08T00:52:12.526Z,,,,,30.7,,50
2018-01-08T00:52:22.526Z,,,,,30.6,,50
2018-01-08T00:52:32.526Z,,,,38.5,30.6,,50
2018-01-08T00:52:42.526Z,,,,,30.7,,50
2018-01-08T00:52:52.527Z,,,,,30.7,,50
2018-01-08T00:53:02.526Z,,,,38.6,30.7,,50
2018-01-08T00:53:12.525Z,,,,,30.7,,50
2018-01-08T00:53:22.526Z,,,,,30.7,,50
2018-01-08T00:53:32.526Z,,,,,30.7,,50
2018-01-08T00:53:42.526Z,,,,38.7,30.7,,50
2018-01-08T00:53:52.525Z,,,,,30.7,,50
2018-01-08T00:54:02.526Z,,,,,30.7,,50
2018-01-08T00:54:12.525Z,,,,,30.7,,50
2018-01-08T00:54:22.525Z,,,,,30.7,,50
2018-01-08T00:54:32.526Z,,,,,30.7,,50
2018-01-08T00:54:42.526Z,,,,,30.7,,50
2018-01-08T00:54:52.526Z,,,,,30.7,,50
2018-01-08T00:55:02.525Z,,,,,30.7,,50
2018-01-08T00:55:12.526Z,,,,,30.7,,50
2018-01-08T00:55:22.525Z,,,,,30.7,,50
2018-01-08T00:55:32.526Z,,,,,30.7,,50
2018-01-08T00:55:42.526Z,,,,,30.7,,50
2018-01-08T00:55:52.525Z,,,,,30.7,,50
2018-01-08T00:56:02.526Z,,,,,30.7,,50
2018-01-08T00:56:12.525Z,,,,,30.7,,50
2018-01-08T00:56:22.526Z,,,,,30.7,,50
2018-01-08T00:56:32.526Z,,,,,30.7,,50
2018-01-08T00:56:42.526Z,,,,,30.7,,50
2018-01-08T00:56:52.526Z,,,,,30.6,,50
2018-01-08T00:57:02.527Z,,,,,30.6,,50
2018-01-08T00:57:12.526Z,,,,,30.7,,50
2018-01-08T00:57:22.526Z,,,,,30.7,,50
2018-01-08T00:57:32.525Z,,,,,30.6,,50
2018-01-08T00:57:42.525Z,,,,,30.6,,50
2018-01-08T00:57:52.525Z,,,,38.6,30.7,,50
2018-01-08T00:58:02.525Z,,,,,30.6,,50
2018-01-08T00:58:12.526Z,,,,,30.6,,50
2018-01-08T00:58:22.526Z,,,,,30.6,,50
2018-01-08T00:58:32.526Z,,,,,30.6,,50
2018-01-08T00:58:42.525Z,,,,,30.6,,50
2018-01-08T00:58:52.525Z,,,,,30.6,,50
2018-01-08T00:59:02.526Z,,,,,30.6,,50
2018-01-08T00:59:12.525Z,,,,38.5,30.6,,50
2018-01-08T00:59:22.526Z,,,,,30.6,,50
2018-01-08T00:59:32.526Z,,,,,30.6,,50
2018-01-08T00:59:42.525Z,,,,,30.6,,50
2018-01-08T00:59:52.526Z,,,,,30.6,,50
2018-01-08T01:00:02.526Z,,,,,30.6,,50
2018-01-08T01:00:12.526Z,,,,,30.6,,50
2018-01-08T01:00:22.526Z,,,,,30.6,,50
