Time,ActPow,PrimTSet,HwTSet,PrimT,HwTOutlet,HwActive,ChActive
2017-11-26T00:41:11.148Z,,,52,39.3,30.4,,
2017-11-26T00:41:21.148Z,,,52,39.5,30.4,,
2017-11-26T00:41:31.148Z,30,,52,39.6,30.4,,
2017-11-26T00:41:41.148Z,29,,52,39.8,30.4,,
2017-11-26T00:41:51.148Z,,,52,40,30.4,,
2017-11-26T00:42:01.148Z,,,,40.1,,,
2017-11-26T00:42:11.148Z,30,,52,40.3,30.4,,
2017-11-26T00:42:21.148Z,,,52,40.4,30.4,,
2017-11-26T00:42:31.148Z,29,,52,40.6,30.4,,
2017-11-26T00:42:41.148Z,30,,52,40.7,30.4,,
2017-11-26T00:42:51.148Z,29,,52,40.9,30.4,,
2017-11-26T00:43:01.148Z,30,,,41,,,
2017-11-26T00:43:11.149Z,0,,52,40.5,30.4,0,2
2017-11-26T00:43:21.148Z,,,52,37.9,30.4,,
2017-11-26T00:43:31.148Z,,,52,36.6,30.4,,
2017-11-26T00:43:41.148Z,,,52,36.2,30.4,,
2017-11-26T00:43:51.148Z,,,52,36.1,30.4,,
2017-11-26T00:44:01.148Z,,,52,,30.4,,
2017-11-26T00:44:11.148Z,,,52,,30.4,,
2017-11-26T00:44:21.148Z,,,52,,30.4,,
2017-11-26T00:44:31.148Z,,,52,36,30.4,,
2017-11-26T00:44:41.149Z,,,52,35.8,30.4,,
2017-11-26T00:44:51.148Z,,,52,35.7,30.4,,
2017-11-26T00:45:01.148Z,,,52,,30.4,,
2017-11-26T00:45:11.149Z,,,52,35.6,30.4,,
2017-11-26T00:45:21.148Z,,,52,,30.4,,
2017-11-26T00:45:31.149Z,,,52,,30.4,,
2017-11-26T00:45:41.153Z,,,52,,30.4,,
2017-11-26T00:45:51.148Z,,,52,,30.4,,
2017-11-26T00:46:01.153Z,,,52,35.5,30.4,,
2017-11-26T00:46:11.150Z,,,52,,30.4,,
2017-11-26T00:46:21.148Z,,,52,35.4,30.4,,
2017-11-26T00:46:31.151Z,,,52,,30.4,,
2017-11-26T00:46:41.152Z,,,52,,30.4,,
2017-11-26T00:46:51.228Z,,,52,,30.4,,
2017-11-26T00:47:01.148Z,,,52,,30.4,,
2017-11-26T00:47:11.148Z,,,52,,30.4,,
2017-11-26T00:47:21.148Z,,,52,,30.4,,
2017-11-26T00:47:31.147Z,,,52,,30.4,,
2017-11-26T00:47:41.151Z,,,52,,30.4,,
2017-11-26T00:47:51.148Z,40,,52,38.9,30.4,0,2
2017-11-26T00:48:01.148Z,29,,,43.1,,,
2017-11-26T00:48:11.151Z,30,,52,41.4,30.4,,
2017-11-26T00:48:21.148Z,29,,52,40.9,30.4,,
2017-11-26T00:48:31.150Z,29,,52,40.4,30.4,,
2017-11-26T00:48:41.147Z,,,52,40.2,30.4,,
2017-11-26T00:48:51.148Z,30,,52,,30.4,,
2017-11-26T00:49:01.154Z,0,,,40.6,,0,2
2017-11-26T00:49:11.148Z,,,52,38,30.4,,
2017-11-26T00:49:21.153Z,,,52,36.5,30.4,,
2017-11-26T00:49:31.148Z,,,,36,,,
2017-11-26T00:49:41.148Z,,,52,35.8,30.4,,
2017-11-26T00:49:51.148Z,,,52,,30.4,,
2017-11-26T00:50:01.152Z,,,52,,30.4,,
2017-11-26T00:50:11.148Z,,,52,,30.4,,
2017-11-26T00:50:21.148Z,,,52,35.7,30.4,,
2017-11-26T00:50:31.148Z,,,52,35.6,30.4,,
2017-11-26T00:50:41.149Z,,,52,35.5,30.4,,
2017-11-26T00:50:51.148Z,0,58,52,35.4,30.4,0,2
2017-11-26T00:51:01.154Z,,,52,35.3,30.4,,
2017-11-26T00:51:11.148Z,,,52,,30.4,,
2017-11-26T00:51:21.148Z,,,52,,30.4,0,2
2017-11-26T00:51:31.148Z,,,52,,30.4,,
2017-11-26T00:51:41.148Z,,,52,,30.4,,
2017-11-26T00:52:01.147Z,,,52,,30.4,,
2017-11-26T00:52:11.148Z,,,52,35.1,30.4,,
2017-11-26T00:52:21.148Z,,,52,34.9,30.4,,
2017-11-26T00:52:31.156Z,,,52,,30.4,,
2017-11-26T00:52:41.148Z,,,52,34.8,30.4,,
2017-11-26T00:52:51.148Z,,,52,,30.4,,
2017-11-26T00:53:01.148Z,,,,34.7,,,
2017-11-26T00:53:11.153Z,,,52,,30.4,,
2017-11-26T00:53:21.148Z,,,52,34.6,30.4,,
2017-11-26T00:53:31.148Z,,,52,,30.4,,
2017-11-26T00:53:41.148Z,,,52,34.5,30.4,,
2017-11-26T00:53:51.147Z,,,52,34.4,30.4,,
2017-11-26T00:54:01.148Z,,,52,,30.4,,
2017-11-26T00:54:11.148Z,,,52,,30.4,,
2017-11-26T00:54:21.179Z,,,,34.3,,,
2017-11-26T00:54:31.148Z,,,52,,30.4,,
2017-11-26T00:54:41.148Z,,,52,,30.4,,
2017-11-26T00:54:51.158Z,,,52,,30.4,,
2017-11-26T00:55:01.148Z,,,,34.3,,,
2017-11-26T00:55:11.148Z,,,52,34.2,30.4,,
2017-11-26T00:55:21.147Z,,,52,,30.3,,
2017-11-26T00:55:31.150Z,,,52,,30.4,,
2017-11-26T00:55:51.148Z,,,52,,30.3,,
2017-11-26T00:56:11.148Z,,,52,,30.3,,
2017-11-26T00:56:31.148Z,,,52,,30.3,,
2017-11-26T00:56:41.148Z,,,52,,30.3,,
2017-11-26T00:57:01.148Z,,,52,,30.3,,
2017-11-26T00:57:11.148Z,,,52,,30.3,,
2017-11-26T00:57:31.150Z,,,52,,30.3,,
2017-11-26T00:57:41.148Z,,,52,,30.3,,
2017-11-26T00:58:01.147Z,,,52,,30.3,,
2017-11-26T00:58:11.148Z,,,52,,30.3,,
2017-11-26T00:58:31.147Z,,,52,,30.3,,
2017-11-26T00:58:51.147Z,,,52,34.3,30.3,,
2017-11-26T00:59:01.147Z,,,52,,30.2,,
2017-11-26T00:59:11.148Z,,,52,,30.2,,
2017-11-26T00:59:31.148Z,,,52,,30.2,,
2017-11-26T00:59:51.148Z,,,52,,30.2,,
2017-11-26T01:00:01.148Z,,,52,,30.2,,
2017-11-26T01:00:11.152Z,,,52,,30.2,,
2017-11-26T01:00:31.148Z,,,52,,30.2,,
2017-11-26T01:00:41.148Z,,,52,,30.2,,
2017-11-26T01:01:01.151Z,,,52,,30.2,,
2017-11-26T01:01:11.148Z,,,52,,30.2,,
2017-11-26T01:01:31.147Z,,,52,,30.2,,
2017-11-26T01:01:41.147Z,,,52,,30.1,,
2017-11-26T01:02:01.151Z,,,52,,30.1,,
2017-11-26T01:02:21.147Z,,,52,,30.1,,
2017-11-26T01:02:31.147Z,,,52,,30.1,,
2017-11-26T01:02:51.147Z,,,52,,30.1,,
2017-11-26T01:03:01.148Z,,,52,,30.1,,
2017-11-26T01:03:21.147Z,,,52,,30.1,,
2017-11-26T01:03:31.150Z,,,52,,30.1,,
2017-11-26T01:03:51.149Z,,,52,34.2,30.1,,
2017-11-26T01:04:01.148Z,,,52,,30,,
2017-11-26T01:04:21.148Z,,,52,,30,,
2017-11-26T01:04:31.148Z,,,52,,30,,
2017-11-26T01:04:51.149Z,,,52,,30,,
2017-11-26T01:05:01.147Z,,,52,,30,,
2017-11-26T01:05:11.149Z,,,52,,30,,
2017-11-26T01:05:21.150Z,,,52,,30,,
2017-11-26T01:05:31.147Z,,,52,,30,,
2017-11-26T01:05:51.147Z,,,52,,30,,
2017-11-26T01:06:01.148Z,40,,52,37.9,30,0,2
2017-11-26T01:06:11.158Z,30,,52,40.9,30,,
2017-11-26T01:06:21.148Z,29,,52,38.3,29.8,,
2017-11-26T01:06:31.147Z,29,,52,37.1,29.8,,
2017-11-26T01:06:41.147Z,,,52,36,29.8,,
2017-11-26T01:06:51.147Z,,,52,35.7,29.8,,
2017-11-26T01:07:01.147Z,,,52,,29.8,,
2017-11-26T01:07:11.147Z,30,,52,36.3,29.8,,
2017-11-26T01:07:21.147Z,,,52,,29.8,,
2017-11-26T01:07:31.147Z,29,,,36.6,,,
2017-11-26T01:07:41.147Z,,,52,36.9,29.8,,
2017-11-26T01:07:51.147Z,30,,52,37.1,29.8,,
2017-11-26T01:08:01.149Z,,,52,,29.8,,
2017-11-26T01:08:11.152Z,29,,,37.3,,,
2017-11-26T01:08:21.147Z,30,,52,37.7,29.8,,
2017-11-26T01:08:31.147Z,,,52,,29.8,,
2017-11-26T01:08:41.147Z,29,,,38,,,
2017-11-26T01:08:51.152Z,,,52,,29.8,,
2017-11-26T01:09:01.147Z,30,,,38.2,,,
2017-11-26T01:09:11.152Z,,,52,38.4,29.8,,
2017-11-26T01:09:21.147Z,30,,52,38.7,29.8,,
2017-11-26T01:09:31.148Z,,,52,,29.8,,
2017-11-26T01:09:41.147Z,29,,,38.8,,,
2017-11-26T01:09:51.148Z,30,,52,39.1,29.8,,
2017-11-26T01:10:01.147Z,,,52,39.2,29.8,,
2017-11-26T01:10:11.147Z,29,,52,39.4,29.8,,
2017-11-26T01:10:21.159Z,,,52,39.5,29.8,,
2017-11-26T01:10:31.147Z,,,52,39.7,29.8,,
2017-11-26T01:10:41.147Z,,,52,40,29.8,,
2017-11-26T01:10:51.148Z,,,52,,29.8,,
2017-11-26T01:11:01.147Z,,,,40.1,,,
2017-11-26T01:11:11.149Z,30,,52,40.3,29.8,,
2017-11-26T01:11:21.147Z,,,52,40.4,29.8,,
2017-11-26T01:11:31.148Z,,,52,40.6,29.8,,
2017-11-26T01:11:41.147Z,,,,40.8,,,
2017-11-26T01:11:51.147Z,29,,52,41,29.8,,
2017-11-26T01:12:01.150Z,,,52,41.1,29.8,,
2017-11-26T01:12:11.148Z,,,52,41.2,29.8,,
2017-11-26T01:12:21.147Z,,,52,41.4,29.8,,
2017-11-26T01:12:31.147Z,30,,52,41.5,29.8,,
2017-11-26T01:12:41.147Z,,,52,41.7,29.8,,
2017-11-26T01:12:51.150Z,29,,52,42,29.8,,
2017-11-26T01:13:01.147Z,,,52,,30,,
2017-11-26T01:13:11.147Z,,,52,42.1,29.8,,
2017-11-26T01:13:21.151Z,,,52,42.3,30,,
2017-11-26T01:13:31.147Z,,,52,42.4,30,,
2017-11-26T01:13:41.147Z,30,,52,42.7,30,,
2017-11-26T01:13:51.147Z,29,,52,42.8,30,,
2017-11-26T01:14:01.148Z,30,,52,43,30,,
2017-11-26T01:14:11.151Z,29,,52,43.1,30,,
2017-11-26T01:14:21.147Z,,,52,43.2,30,,
2017-11-26T01:14:31.147Z,,,52,43.4,30,,
2017-11-26T01:14:41.147Z,,,52,43.5,30,,
2017-11-26T01:14:51.148Z,,,52,43.6,30,,
2017-11-26T01:15:01.152Z,30,,52,43.8,30,,
2017-11-26T01:15:11.149Z,29,,52,44,30.1,,
2017-11-26T01:15:21.147Z,,,52,44.1,30.1,,
2017-11-26T01:15:31.147Z,,,52,44.2,30.1,,
2017-11-26T01:15:41.147Z,30,,52,44.3,30.1,,
2017-11-26T01:15:51.147Z,29,,52,44.4,30.1,,
2017-11-26T01:16:01.147Z,0,,52,44.6,30.1,0,2
2017-11-26T01:16:11.147Z,,,52,41.9,30.1,,
2017-11-26T01:16:21.147Z,,,52,40.9,30.1,,
2017-11-26T01:16:31.149Z,,,52,39.9,30.2,,
2017-11-26T01:16:41.147Z,,,52,39.8,30.2,,
2017-11-26T01:16:51.147Z,,,52,39.7,30.2,,
2017-11-26T01:17:01.147Z,,,52,,30.2,,
2017-11-26T01:17:11.149Z,,,52,,30.2,,
2017-11-26T01:17:21.147Z,,,52,,30.2,,
2017-11-26T01:17:31.147Z,,,52,39.6,30.2,,
2017-11-26T01:17:41.147Z,,,52,39.4,30.2,,
2017-11-26T01:17:51.147Z,,,52,39.3,30.2,,
2017-11-26T01:18:01.152Z,,,52,39.2,30.3,,
2017-11-26T01:18:11.147Z,,,52,39.1,30.3,,
2017-11-26T01:18:21.147Z,,,52,,30.3,,
2017-11-26T01:18:31.147Z,,,52,,30.3,,
2017-11-26T01:18:41.149Z,,,52,38.9,30.3,,
2017-11-26T01:18:51.148Z,,,52,,30.3,,
2017-11-26T01:19:01.148Z,,,52,38.8,30.3,,
2017-11-26T01:19:11.147Z,,,52,,30.3,,
2017-11-26T01:19:21.147Z,,,52,,30.3,,
2017-11-26T01:19:31.152Z,,,52,,30.3,,
2017-11-26T01:19:41.147Z,,,52,38.7,30.4,,
2017-11-26T01:19:51.148Z,,,52,,30.4,,
2017-11-26T01:20:01.148Z,,,52,,30.4,,
2017-11-26T01:20:11.147Z,,,52,,30.4,,
2017-11-26T01:20:21.147Z,,,52,,30.4,,
2017-11-26T01:20:31.148Z,,,52,,30.4,,
2017-11-26T01:20:41.153Z,,,52,,30.4,,
2017-11-26T01:20:51.147Z,,,52,,30.4,,
2017-11-26T01:21:01.147Z,,,52,,30.4,,
2017-11-26T01:21:11.149Z,,,52,,30.4,,
2017-11-26T01:21:21.149Z,,,52,,30.4,,
2017-11-26T01:21:31.151Z,,,52,,30.4,,
2017-11-26T01:21:41.150Z,,,52,,30.4,,
2017-11-26T01:21:51.149Z,,,52,,30.4,,
2017-11-26T01:22:01.147Z,,,52,38.8,30.4,,
