Time,HwTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimTSet,PrimT
2017-12-14T00:59:30.345Z,50,0,0,31.6,2,,46.4
2017-12-14T00:59:40.425Z,50,,,31.6,,,43.9
2017-12-14T00:59:50.345Z,50,,,31.8,,,42.9
2017-12-14T01:00:00.345Z,50,,,31.8,,,41.9
2017-12-14T01:00:10.345Z,50,,,31.8,,,41.8
2017-12-14T01:00:20.345Z,50,,,31.8,,,41.6
2017-12-14T01:00:30.344Z,50,,,31.8,,,
2017-12-14T01:00:40.424Z,50,,,31.8,,,
2017-12-14T01:00:50.345Z,50,,,31.8,,,
2017-12-14T01:01:00.345Z,50,,,31.9,,,
2017-12-14T01:01:10.345Z,50,,,31.9,,,41.4
2017-12-14T01:01:20.345Z,50,,,31.9,,,41.3
2017-12-14T01:01:30.344Z,50,,,31.9,,,41.2
2017-12-14T01:01:40.424Z,50,,,31.9,,,41.1
2017-12-14T01:01:50.344Z,50,,,31.9,,,
2017-12-14T01:02:00.345Z,50,,,31.9,,,
2017-12-14T01:02:10.345Z,50,,,32,,,41
2017-12-14T01:02:20.344Z,50,,,32,,,40.9
2017-12-14T01:02:30.345Z,50,,,32,,,40.8
2017-12-14T01:02:40.424Z,50,,,32,,,
2017-12-14T01:02:50.345Z,50,,,32,,,
2017-12-14T01:03:00.344Z,50,,,32,,,
2017-12-14T01:03:10.344Z,50,,,32,,,40.7
2017-12-14T01:03:20.344Z,50,,,32,,,
2017-12-14T01:03:30.344Z,50,,,32.1,,,
2017-12-14T01:03:40.425Z,50,,,32.1,,,
2017-12-14T01:03:50.345Z,50,,,32,,,
2017-12-14T01:04:00.345Z,50,,,32.1,,,
2017-12-14T01:04:10.346Z,50,,,32.1,,,
2017-12-14T01:04:20.345Z,50,,,32.1,,,
2017-12-14T01:04:30.345Z,50,,,32.1,,,
2017-12-14T01:04:40.424Z,50,,,32.1,,,
2017-12-14T01:04:50.344Z,50,,,32.1,,,
2017-12-14T01:05:00.347Z,50,,,32.1,,,
2017-12-14T01:05:10.345Z,50,,,32.2,,,
2017-12-14T01:05:20.344Z,50,,,32.2,,,
2017-12-14T01:05:30.344Z,50,,,32.2,,,40.8
2017-12-14T01:05:45.406Z,50,,,32.2,,,
2017-12-14T01:05:50.345Z,50,,,32.2,,,
2017-12-14T01:06:00.348Z,50,,,32.2,,,
2017-12-14T01:06:10.344Z,50,,,32.2,,,40.9
2017-12-14T01:06:20.344Z,50,,,32.2,,,
2017-12-14T01:06:30.344Z,50,,,32.2,,,41
2017-12-14T01:06:40.424Z,50,,,32.2,,,40.9
2017-12-14T01:06:50.347Z,50,,,32.2,,,41
2017-12-14T01:07:00.345Z,50,,,32.2,,,
2017-12-14T01:07:10.347Z,50,,,32.2,,,
2017-12-14T01:07:20.344Z,50,,,32.2,,,
2017-12-14T01:07:30.345Z,50,,,32.3,,,
2017-12-14T01:07:40.427Z,50,,,32.3,,,
2017-12-14T01:07:50.344Z,50,,,32.3,,,41.1
2017-12-14T01:08:00.347Z,50,,,32.3,,,
2017-12-14T01:08:10.344Z,50,,,32.3,,,
2017-12-14T01:08:20.347Z,50,,,32.3,,,
2017-12-14T01:08:30.345Z,50,,,32.3,,,
2017-12-14T01:08:40.464Z,50,,,32.3,,,
2017-12-14T01:08:50.344Z,50,,,32.3,,,41
2017-12-14T01:09:00.344Z,50,,,32.3,,,41.1
2017-12-14T01:09:10.401Z,50,,,32.3,,,
2017-12-14T01:09:20.344Z,50,,,32.3,,,41
2017-12-14T01:09:30.348Z,50,,,32.3,,,
2017-12-14T01:09:40.424Z,50,,,32.3,,,
2017-12-14T01:09:50.363Z,50,,,32.3,,,
2017-12-14T01:10:00.348Z,50,,,32.3,,,
2017-12-14T01:10:10.344Z,50,,,32.3,,,
2017-12-14T01:10:20.348Z,50,,,32.3,,,
2017-12-14T01:10:30.344Z,50,,,32.3,,,41
2017-12-14T01:10:40.434Z,50,,,32.3,,,40.9
2017-12-14T01:10:50.345Z,50,,,32.3,,,
2017-12-14T01:11:00.344Z,50,,,32.3,,,
2017-12-14T01:11:10.347Z,50,,,32.3,,,
2017-12-14T01:11:20.344Z,50,,,32.3,,,
2017-12-14T01:11:30.345Z,50,,,32.3,,,
2017-12-14T01:11:40.425Z,50,,,32.3,,,
2017-12-14T01:11:50.344Z,50,,,32.3,,,40.8
2017-12-14T01:12:00.344Z,50,,,32.3,,,
2017-12-14T01:12:10.344Z,50,,,32.3,,,
2017-12-14T01:12:20.344Z,50,,,32.3,,,
2017-12-14T01:12:30.345Z,50,,,32.3,,,
2017-12-14T01:12:40.424Z,50,,,32.3,,,
2017-12-14T01:12:50.344Z,50,,,32.3,,,40.7
2017-12-14T01:13:00.344Z,50,,,32.3,,,
2017-12-14T01:13:10.344Z,50,,,32.3,,,
2017-12-14T01:13:20.344Z,50,,,32.3,,,
2017-12-14T01:13:30.345Z,50,,,32.3,,,
2017-12-14T01:13:40.424Z,50,,,32.3,,,40.6
2017-12-14T01:13:50.344Z,50,,,32.3,,,
2017-12-14T01:14:00.344Z,50,,,32.3,,,
2017-12-14T01:14:10.344Z,50,,,32.3,,,
2017-12-14T01:14:20.344Z,50,,,32.3,,,
2017-12-14T01:14:30.344Z,50,,,32.3,,,
2017-12-14T01:14:40.425Z,50,,,32.3,,,40.5
2017-12-14T01:14:50.344Z,50,,,32.3,,,
2017-12-14T01:15:00.345Z,50,,,32.3,,,
2017-12-14T01:15:10.345Z,50,,,32.3,,,
2017-12-14T01:15:20.344Z,50,,,32.3,,,
2017-12-14T01:15:30.344Z,50,,,32.3,,,
2017-12-14T01:15:40.424Z,50,,,32.3,,,40.4
2017-12-14T01:15:50.344Z,50,,,32.3,,,
2017-12-14T01:16:00.344Z,50,,,32.3,,,
2017-12-14T01:16:10.347Z,50,,,32.3,,,
2017-12-14T01:16:20.345Z,50,,,32.3,,,
2017-12-14T01:16:30.344Z,50,,,32.3,,,40.3
2017-12-14T01:16:40.435Z,50,,,32.3,,,
2017-12-14T01:16:50.345Z,50,,,32.3,,,
2017-12-14T01:17:00.344Z,50,,,32.3,,,
2017-12-14T01:17:10.344Z,50,,,32.3,,,
2017-12-14T01:17:20.344Z,50,,,32.3,,,
2017-12-14T01:17:30.344Z,50,,,32.3,,,40.2
2017-12-14T01:17:40.424Z,50,,,32.3,,,
2017-12-14T01:17:50.344Z,50,,,32.3,,,
2017-12-14T01:18:00.344Z,50,,,32.3,,,
2017-12-14T01:18:10.344Z,50,,,32.3,,,
2017-12-14T01:18:20.344Z,50,,,32.3,,,
2017-12-14T01:18:30.344Z,50,,,32.3,,,
2017-12-14T01:18:40.424Z,50,,,32.3,,,40.1
2017-12-14T01:18:50.345Z,50,,,32.3,,,
2017-12-14T01:19:00.344Z,50,,,32.2,,,
2017-12-14T01:19:10.344Z,50,42,0,32.2,2,,42
2017-12-14T01:19:20.345Z,50,36,,32.2,,,45.1
2017-12-14T01:19:30.355Z,50,30,,32.2,,,42.6
2017-12-14T01:19:40.473Z,50,30,,32.2,,,40.8
2017-12-14T01:19:50.344Z,50,29,,32.2,,,38.7
2017-12-14T01:20:00.344Z,50,,,32.2,,,37.9
2017-12-14T01:20:10.344Z,50,30,,32.2,,,
2017-12-14T01:20:20.344Z,50,29,,32.2,,,38
2017-12-14T01:20:30.347Z,50,,,32.2,,,38.5
2017-12-14T01:20:40.456Z,50,,,32.2,,,39.1
2017-12-14T01:20:50.344Z,50,,,32.2,,,39.2
2017-12-14T01:21:00.344Z,50,,,32.2,,,39.5
2017-12-14T01:21:10.344Z,50,,,32.2,,,39.6
2017-12-14T01:21:20.344Z,50,30,,32.2,,,40
2017-12-14T01:21:30.346Z,50,29,,32.2,,,40.1
2017-12-14T01:21:40.424Z,50,,,32.2,,,40.3
2017-12-14T01:21:50.344Z,50,,,32.2,,,40.5
2017-12-14T01:22:00.344Z,50,,,32.2,,,40.7
2017-12-14T01:22:10.344Z,50,30,,32.2,,,41
2017-12-14T01:22:20.344Z,50,29,,32.2,,,41.1
2017-12-14T01:22:30.345Z,50,30,,32.2,,,41.3
