Time,HwActive,ActPow,HwTSet,PrimTSet,HwTOutlet,PrimT,ChActive
2018-02-04T00:51:08.797Z,,,50,,33.9,,
2018-02-04T00:51:28.797Z,,,50,,33.8,,
2018-02-04T00:51:38.796Z,,,50,,33.7,,
2018-02-04T00:51:58.797Z,,,50,,33.7,37.6,
2018-02-04T00:52:08.797Z,,,50,,33.6,,
2018-02-04T00:52:28.796Z,,,50,,33.5,,
2018-02-04T00:52:38.797Z,,,50,,33.5,,
2018-02-04T00:52:58.799Z,,,50,,33.4,,
2018-02-04T00:53:08.815Z,,,50,,33.4,,
2018-02-04T00:53:28.797Z,,,50,,33.3,37.5,
2018-02-04T00:53:38.796Z,,,50,,33.3,,
2018-02-04T00:53:58.797Z,,,50,,33.2,,
2018-02-04T00:54:08.797Z,,,50,,33.2,,
2018-02-04T00:54:28.798Z,,,50,,33.1,,
2018-02-04T00:54:38.796Z,,,50,,33.1,,
2018-02-04T00:54:48.797Z,0,45,50,,33.1,38.1,2
2018-02-04T00:54:58.808Z,,38,50,,32.9,42.6,
2018-02-04T00:55:08.797Z,,29,50,,32.9,40.8,
2018-02-04T00:55:18.797Z,,,50,,32.9,37.8,
2018-02-04T00:55:28.796Z,,30,50,,32.8,36.4,
2018-02-04T00:55:38.797Z,,30,50,,32.8,34.9,
2018-02-04T00:55:48.797Z,,29,,,,34.6,
2018-02-04T00:55:58.797Z,,,50,,32.8,,
2018-02-04T00:56:08.796Z,,29,,,,35.2,
2018-02-04T00:56:18.797Z,,,50,,32.7,35.7,
2018-02-04T00:56:28.797Z,,30,50,,32.7,35.9,
2018-02-04T00:56:38.797Z,,29,,,,36.1,
2018-02-04T00:56:48.796Z,,,50,,32.6,36.2,
2018-02-04T00:56:58.797Z,,30,50,,32.6,36.4,
2018-02-04T00:57:08.797Z,,,50,,32.5,,
2018-02-04T00:57:18.797Z,,,50,,32.5,36.8,
2018-02-04T00:57:28.797Z,,29,,,,37.2,
2018-02-04T00:57:38.796Z,,,50,,32.5,37.4,
2018-02-04T00:57:48.797Z,,,50,,32.4,,
2018-02-04T00:57:58.797Z,,29,50,,32.4,37.8,
2018-02-04T00:58:08.797Z,,29,,,,38,
2018-02-04T00:58:18.797Z,,30,50,,32.4,38.2,
2018-02-04T00:58:28.797Z,,,50,,32.4,,
2018-02-04T00:58:38.796Z,,30,,,,38.5,
2018-02-04T00:58:48.797Z,,29,50,,32.3,38.7,
2018-02-04T00:58:58.797Z,,,50,,32.3,38.9,
2018-02-04T00:59:08.797Z,,,,,,39.1,
2018-02-04T00:59:18.797Z,,30,50,,32.2,39.3,
2018-02-04T00:59:28.797Z,,,50,,32.2,,
2018-02-04T00:59:38.796Z,,29,,,,39.6,
2018-02-04T00:59:48.796Z,,,50,,32.2,39.7,
2018-02-04T00:59:58.797Z,,30,50,,32.2,39.9,
2018-02-04T01:00:08.796Z,,30,,,,40,
2018-02-04T01:00:18.796Z,,,50,,32.1,40.2,
2018-02-04T01:00:28.798Z,,,50,,32.1,,
2018-02-04T01:00:38.797Z,,29,,,,40.5,
2018-02-04T01:00:48.797Z,,,50,,32.1,40.6,
2018-02-04T01:00:58.798Z,,,50,,32.1,40.8,
2018-02-04T01:01:08.796Z,,,50,,32.1,40.9,
2018-02-04T01:01:18.797Z,,,,,,41.1,
2018-02-04T01:01:28.797Z,,30,50,,32,41.2,
2018-02-04T01:01:38.796Z,,,50,,32,,
2018-02-04T01:01:48.797Z,,29,,,,41.5,
2018-02-04T01:01:58.801Z,,,50,,32,41.7,
2018-02-04T01:02:08.797Z,,30,50,,32,41.8,
2018-02-04T01:02:18.796Z,,29,,,,42,
2018-02-04T01:02:28.797Z,,,50,,32,42.1,
2018-02-04T01:02:38.797Z,,,50,,32,,
2018-02-04T01:02:48.800Z,,30,,,,42.4,
2018-02-04T01:02:58.799Z,,29,50,,32,42.7,
2018-02-04T01:03:08.796Z,,,50,,31.9,42.8,
2018-02-04T01:03:18.799Z,,29,,,,43,
2018-02-04T01:03:28.800Z,,,50,,31.9,43.1,
2018-02-04T01:03:38.797Z,,,50,,31.9,43.3,
2018-02-04T01:03:48.801Z,0,0,50,,31.9,42.7,2
2018-02-04T01:03:58.797Z,,,50,,31.9,40.5,
2018-02-04T01:04:08.947Z,,,50,,31.9,38.9,
2018-02-04T01:04:18.802Z,,,,,,38.5,
2018-02-04T01:04:28.797Z,,,50,,31.9,38.4,
2018-02-04T01:04:38.796Z,,,50,,31.9,,
2018-02-04T01:04:58.797Z,,,50,,31.9,,
2018-02-04T01:05:08.801Z,,,50,,31.8,,
2018-02-04T01:05:18.801Z,,,,,,38.2,
2018-02-04T01:05:28.797Z,,,50,,31.8,38,
2018-02-04T01:05:38.801Z,,,50,,31.8,37.9,
2018-02-04T01:05:58.802Z,,,50,,31.8,,
2018-02-04T01:06:08.796Z,,,50,,31.8,,
2018-02-04T01:06:28.797Z,,,50,,31.8,37.8,
2018-02-04T01:06:38.797Z,,,50,,31.8,37.7,
2018-02-04T01:06:48.797Z,,,50,,31.8,,
2018-02-04T01:06:58.796Z,,,50,,31.8,,
2018-02-04T01:07:18.796Z,,,50,,31.6,37.6,
