Time,HwTSet,PrimTSet,HwActive,ChActive,PrimT,ActPow,HwTOutlet
2017-11-20T00:48:33.346Z,52,,,,,,33.4
2017-11-20T00:48:43.347Z,52,,,,34.6,,33.4
2017-11-20T00:48:53.346Z,52,,1,0,,,33.3
2017-11-20T00:49:03.427Z,52,,1,0,34.2,35,35.6
2017-11-20T00:49:13.347Z,52,,,,39.8,57,36.3
2017-11-20T00:49:23.346Z,52,,,,43,50,38.7
2017-11-20T00:49:33.346Z,52,,,,43.4,,42.1
2017-11-20T00:49:43.346Z,,,,,46.1,81,
2017-11-20T00:49:53.348Z,52,,,,47,78,44.1
2017-11-20T00:50:03.429Z,52,,0,0,47.1,0,46.1
2017-11-20T00:50:13.349Z,52,,1,0,47,,45.8
2017-11-20T00:50:23.346Z,52,,,,46.8,40,45.8
2017-11-20T00:50:43.346Z,52,,0,0,47.4,29,46.6
2017-11-20T00:50:53.346Z,,,0,0,46.9,0,
2017-11-20T00:51:03.426Z,52,,,,46.8,,46.9
2017-11-20T00:51:13.347Z,52,,,,46.5,,46.6
2017-11-20T00:51:23.347Z,52,,,,46.4,,46.1
2017-11-20T00:51:33.349Z,,58,0,2,46.9,,
2017-11-20T00:51:43.360Z,52,,,,50.1,34,45.8
2017-11-20T00:51:53.346Z,,,,,45.8,29,
2017-11-20T00:52:03.426Z,52,,,,42.2,29,45.7
2017-11-20T00:52:13.346Z,52,,,,38.4,30,45.5
2017-11-20T00:52:23.346Z,,,,,35.8,29,
2017-11-20T00:52:33.346Z,52,,,,,,45.2
2017-11-20T00:52:43.346Z,,,,,35.2,30,
2017-11-20T00:52:53.346Z,52,,,,,,45.1
2017-11-20T00:53:03.427Z,,,,,35.1,29,
2017-11-20T00:53:13.346Z,52,,,,35.7,,44.8
2017-11-20T00:53:23.346Z,52,,,,35.9,,44.6
2017-11-20T00:53:33.346Z,,,,,36,30,
2017-11-20T00:53:43.346Z,52,,,,,,44.2
2017-11-20T00:53:53.346Z,,,,,36.1,29,
2017-11-20T00:54:03.426Z,52,,,,36.2,,44.1
2017-11-20T00:54:13.346Z,52,,,,36.5,29,43.7
2017-11-20T00:54:23.345Z,52,,,,36.8,30,43.5
2017-11-20T00:54:33.346Z,,,,,37.1,29,
2017-11-20T00:54:43.348Z,52,,,,37.3,30,43.2
2017-11-20T00:55:03.426Z,52,,,,37.5,29,43
2017-11-20T00:55:13.346Z,52,,,,38,,42.7
2017-11-20T00:55:23.346Z,52,,,,38.2,,42.4
