Time,HwTOutlet,ChActive,PrimTSet,HwTSet,PrimT,ActPow,HwActive
2018-01-06T00:53:52.584Z,30.6,,,50,,,
2018-01-06T00:54:02.584Z,30.6,,,50,38.3,,
2018-01-06T00:54:12.585Z,30.6,,,50,,,
2018-01-06T00:54:22.585Z,30.6,,,50,,,
2018-01-06T00:54:32.592Z,30.6,,,50,,,
2018-01-06T00:54:42.585Z,30.6,1,,50,39.5,44,0
2018-01-06T00:54:52.584Z,30.4,,,50,44,33,
2018-01-06T00:55:02.587Z,30.4,,,50,41.9,29,
2018-01-06T00:55:12.585Z,30.4,,,50,39.9,,
2018-01-06T00:55:22.585Z,30.4,,,50,37.9,,
2018-01-06T00:55:32.584Z,30.4,,,50,36.9,29,
2018-01-06T00:55:42.586Z,30.4,,,50,36.7,,
2018-01-06T00:55:52.584Z,30.4,,,50,37.1,30,
2018-01-06T00:56:02.584Z,30.4,,,50,37.6,,
2018-01-06T00:56:12.585Z,30.4,,,50,38,30,
2018-01-06T00:56:22.584Z,30.4,,,50,38.3,29,
2018-01-06T00:56:32.584Z,30.4,,,50,38.4,,
2018-01-06T00:56:42.584Z,30.4,,,50,38.5,30,
2018-01-06T00:56:52.584Z,30.4,,,50,38.7,29,
2018-01-06T00:57:02.584Z,30.4,,,50,39.1,,
2018-01-06T00:57:12.584Z,30.4,,,50,39.2,,
2018-01-06T00:57:22.584Z,30.4,,,50,39.4,,
2018-01-06T00:57:32.585Z,30.4,,,50,39.6,,
2018-01-06T00:57:42.609Z,30.4,,,50,39.8,30,
2018-01-06T00:57:52.584Z,30.4,,,50,40,29,
2018-01-06T00:58:02.584Z,30.4,,,50,40.2,,
2018-01-06T00:58:12.584Z,30.4,,,50,40.3,,
2018-01-06T00:58:22.584Z,30.4,,,50,40.5,30,
2018-01-06T00:58:32.592Z,30.4,,,50,40.6,,
2018-01-06T00:58:42.584Z,30.4,,,50,40.8,29,
2018-01-06T00:58:52.584Z,30.4,,,50,41,30,
2018-01-06T00:59:02.584Z,30.4,,,50,,29,
2018-01-06T00:59:12.585Z,30.4,,,50,41.2,,
2018-01-06T00:59:22.585Z,30.4,,,50,41.3,,
2018-01-06T00:59:32.609Z,30.4,,,50,41.4,,
2018-01-06T00:59:42.585Z,30.4,,,50,41.5,,
2018-01-06T00:59:52.584Z,30.4,,,50,41.6,,
2018-01-06T01:00:02.586Z,30.4,,,50,41.8,,
2018-01-06T01:00:12.584Z,30.4,,,50,42,,
2018-01-06T01:00:22.585Z,30.4,,,50,,30,
2018-01-06T01:00:32.584Z,30.4,,,50,42.2,,
2018-01-06T01:00:42.585Z,30.4,,,50,42.3,29,
2018-01-06T01:00:52.584Z,30.4,1,,50,42.4,0,0
2018-01-06T01:01:02.680Z,30.4,,,50,39.9,,
2018-01-06T01:01:12.584Z,30.4,,,50,38.8,,
2018-01-06T01:01:22.585Z,30.4,,,50,37.9,,
2018-01-06T01:01:32.584Z,30.4,,,50,37.8,,
2018-01-06T01:01:42.584Z,30.4,,,50,37.7,,
2018-01-06T01:01:52.584Z,30.4,,,50,,,
2018-01-06T01:02:02.584Z,30.6,,,50,,,
2018-01-06T01:02:12.585Z,30.6,,,50,,,
2018-01-06T01:02:22.584Z,30.6,,,50,37.6,,
2018-01-06T01:02:32.585Z,30.6,,,50,37.5,,
2018-01-06T01:02:42.584Z,30.6,,,50,37.4,,
2018-01-06T01:02:52.585Z,30.6,,,50,37.3,,
2018-01-06T01:03:02.584Z,30.6,,,50,,,
2018-01-06T01:03:12.585Z,30.6,,,50,,,
2018-01-06T01:03:22.584Z,30.6,,,50,37.2,,
2018-01-06T01:03:32.584Z,30.6,,,50,,,
2018-01-06T01:03:42.585Z,30.6,,,50,,,
2018-01-06T01:03:52.584Z,30.6,,,50,37.1,,
2018-01-06T01:04:02.595Z,30.6,,,50,36.9,,
2018-01-06T01:04:12.585Z,30.6,,,50,37.1,,
2018-01-06T01:04:22.584Z,30.6,,,50,36.9,,
2018-01-06T01:04:32.584Z,30.6,,,50,,,
2018-01-06T01:04:42.587Z,30.6,,,50,,,
2018-01-06T01:04:52.585Z,30.6,,,50,,,
2018-01-06T01:05:02.592Z,30.6,,,50,,,
2018-01-06T01:05:12.584Z,30.6,,,50,,,
2018-01-06T01:05:22.629Z,30.6,,,50,,,
2018-01-06T01:05:32.584Z,30.6,,,50,,,
2018-01-06T01:05:42.584Z,30.6,,,50,,,
2018-01-06T01:05:52.597Z,30.6,,,50,,,
2018-01-06T01:06:02.585Z,30.6,,,50,,,
2018-01-06T01:06:12.587Z,30.6,,,50,,,
2018-01-06T01:06:22.586Z,30.6,,,50,,,
2018-01-06T01:06:32.584Z,30.6,,,50,,,
2018-01-06T01:06:42.584Z,30.6,,,50,,,
2018-01-06T01:06:52.585Z,30.6,,,50,,,
2018-01-06T01:07:02.589Z,30.6,,,50,37.1,,
2018-01-06T01:07:12.584Z,30.6,,,50,,,
2018-01-06T01:07:22.584Z,30.6,,,50,,,
2018-01-06T01:07:32.584Z,30.6,,,50,,,
2018-01-06T01:07:42.585Z,30.6,,,50,,,
2018-01-06T01:07:52.584Z,30.6,,,50,37.2,,
2018-01-06T01:08:02.584Z,30.6,,,50,,,
2018-01-06T01:08:12.584Z,30.6,,,50,,,
2018-01-06T01:08:22.584Z,30.6,,,50,,,
2018-01-06T01:08:32.584Z,30.6,,,50,37.3,,
2018-01-06T01:08:42.585Z,30.6,,,50,,,
2018-01-06T01:08:52.584Z,30.6,,,50,,,
2018-01-06T01:09:02.584Z,30.6,,,50,,,
2018-01-06T01:09:12.584Z,30.6,,,50,,,
2018-01-06T01:09:22.584Z,30.6,,,50,,,
2018-01-06T01:09:32.584Z,30.6,,,50,37.4,,
2018-01-06T01:09:42.584Z,30.6,,,50,,,
2018-01-06T01:09:52.584Z,30.6,,,50,,,
2018-01-06T01:10:02.584Z,30.6,,,50,,,
2018-01-06T01:10:12.584Z,30.6,,,50,,,
2018-01-06T01:10:22.584Z,30.6,,,50,,,
2018-01-06T01:10:32.584Z,30.6,,,50,,,
2018-01-06T01:10:42.584Z,30.6,,,50,,,
2018-01-06T01:10:52.584Z,30.6,,,50,,,
2018-01-06T01:11:02.584Z,30.4,,,50,,,
2018-01-06T01:11:12.586Z,30.4,,,50,,,
2018-01-06T01:11:22.584Z,30.4,,,50,,,
2018-01-06T01:11:32.584Z,30.4,,,50,,,
2018-01-06T01:11:42.584Z,30.4,,,50,,,
2018-01-06T01:11:52.584Z,30.4,,,50,,,
2018-01-06T01:12:02.584Z,30.4,,,50,,,
2018-01-06T01:12:12.584Z,30.4,,,50,37.3,,
2018-01-06T01:12:22.584Z,30.4,,,50,,,
2018-01-06T01:12:32.584Z,30.4,,,50,37.4,,
2018-01-06T01:12:42.584Z,30.4,,,50,37.3,,
2018-01-06T01:12:52.584Z,30.4,,,50,,,
2018-01-06T01:13:02.584Z,30.4,,,50,,,
2018-01-06T01:13:12.585Z,30.4,,,50,,,
2018-01-06T01:13:22.584Z,30.4,,,50,,,
2018-01-06T01:13:32.584Z,30.4,,,50,,,
2018-01-06T01:13:42.584Z,30.4,,,50,,,
2018-01-06T01:13:52.584Z,30.4,,,50,,,
2018-01-06T01:14:02.584Z,30.4,,,50,,,
2018-01-06T01:14:12.584Z,30.4,,,50,37.2,,
2018-01-06T01:14:22.584Z,30.4,,,50,37.3,,
2018-01-06T01:14:32.584Z,30.4,,,50,37.2,,
2018-01-06T01:14:42.584Z,30.4,,,50,,,
2018-01-06T01:14:52.584Z,30.4,,,50,,,
2018-01-06T01:15:02.584Z,30.3,,,50,,,
2018-01-06T01:15:12.585Z,30.4,,,50,,,
2018-01-06T01:15:22.587Z,30.3,,,50,,,
2018-01-06T01:15:32.584Z,30.3,,,50,,,
2018-01-06T01:15:42.584Z,30.3,1,,50,37.2,44,0
2018-01-06T01:15:52.584Z,30.3,,,50,42.3,36,
2018-01-06T01:16:02.584Z,30.3,,,50,41.9,29,
2018-01-06T01:16:12.584Z,30.3,,,50,39.9,29,
2018-01-06T01:16:22.585Z,30.3,,,50,38.8,30,
2018-01-06T01:16:32.584Z,30.3,,,50,37.7,29,
2018-01-06T01:16:42.584Z,30.3,,,50,37.2,,
2018-01-06T01:16:52.584Z,30.3,,,50,37.3,,
2018-01-06T01:17:02.584Z,30.3,,,50,37.9,30,
2018-01-06T01:17:12.586Z,30.3,,,50,38.1,,
2018-01-06T01:17:22.584Z,30.3,,,50,38.4,29,
2018-01-06T01:17:32.586Z,30.3,,,50,38.5,,
2018-01-06T01:17:42.584Z,30.3,,,50,38.7,,
2018-01-06T01:17:52.584Z,30.3,,,50,,,
2018-01-06T01:18:02.584Z,30.3,,,50,39.1,,
2018-01-06T01:18:12.587Z,30.3,,,50,39.2,,
2018-01-06T01:18:22.584Z,30.3,,,50,39.4,,
