Time,HwTSet,ActPow,PrimTSet,PrimT,ChActive,HwTOutlet,HwActive
2017-12-16T01:04:40.275Z,50,,,,,30.4,
2017-12-16T01:04:50.276Z,50,,,,,30.4,
2017-12-16T01:05:00.274Z,50,,,,,30.4,
2017-12-16T01:05:10.275Z,50,,,32.9,,30.4,
2017-12-16T01:05:20.275Z,50,,,,,30.4,
2017-12-16T01:05:30.275Z,50,,,,,30.4,
2017-12-16T01:05:40.275Z,50,,,33.1,,30.4,
2017-12-16T01:05:50.275Z,50,,,,,30.4,
2017-12-16T01:06:00.275Z,50,,,33.2,,30.4,
2017-12-16T01:06:10.275Z,50,,,,,30.4,
2017-12-16T01:06:20.279Z,50,,,33.3,,30.4,
2017-12-16T01:06:30.275Z,50,,,,,30.4,
2017-12-16T01:06:40.275Z,50,,,33.4,,30.3,
2017-12-16T01:06:50.274Z,50,,,,,30.3,
2017-12-16T01:07:00.275Z,50,,,33.5,,30.3,
2017-12-16T01:07:10.284Z,50,41,,35.8,1,30.3,0
2017-12-16T01:07:20.275Z,50,30,,40.2,,30.3,
2017-12-16T01:07:30.275Z,50,29,,38.4,,30.3,
2017-12-16T01:07:40.275Z,50,30,,37.4,,30.3,
2017-12-16T01:07:50.276Z,50,30,,36.8,,30.3,
2017-12-16T01:08:00.275Z,50,29,,36.5,,30.3,
2017-12-16T01:08:10.274Z,50,,,,,30.3,
2017-12-16T01:08:20.275Z,50,,,37.1,,30.2,
2017-12-16T01:08:30.275Z,50,,,37.3,,30.3,
2017-12-16T01:08:40.275Z,50,,,37.6,,30.3,
2017-12-16T01:08:50.275Z,50,30,,37.8,,30.2,
2017-12-16T01:09:00.277Z,50,29,,38,,30.2,
2017-12-16T01:09:10.274Z,50,,,38.1,,30.2,
2017-12-16T01:09:20.274Z,50,,,38.3,,30.2,
2017-12-16T01:09:30.275Z,50,30,,38.5,,30.2,
2017-12-16T01:09:40.277Z,50,29,,38.6,,30.2,
2017-12-16T01:09:50.275Z,50,,,38.8,,30.2,
2017-12-16T01:10:00.275Z,50,30,,39.1,,30.2,
2017-12-16T01:10:10.276Z,50,29,,39.2,,30.2,
2017-12-16T01:10:20.275Z,50,,,39.4,,30.2,
2017-12-16T01:10:30.275Z,50,,,39.5,,30.2,
2017-12-16T01:10:40.275Z,50,,,39.6,,30.2,
2017-12-16T01:10:50.275Z,50,,,39.8,,30.2,
2017-12-16T01:11:00.275Z,50,,,39.9,,30.2,
2017-12-16T01:11:10.275Z,50,,,40,,30.2,
2017-12-16T01:11:20.275Z,50,30,,40.2,,30.2,
2017-12-16T01:11:30.275Z,50,,,40.3,,30.2,
2017-12-16T01:11:40.275Z,50,29,,40.5,,30.2,
2017-12-16T01:11:50.274Z,50,,,40.6,,30.2,
2017-12-16T01:12:00.275Z,50,,,40.7,,30.2,
2017-12-16T01:12:10.275Z,50,,,40.9,,30.2,
2017-12-16T01:12:20.275Z,50,29,,41,,30.2,
2017-12-16T01:12:30.275Z,50,,,41.2,,30.2,
2017-12-16T01:12:40.275Z,50,,,41.3,,30.2,
2017-12-16T01:12:50.275Z,50,,,41.5,,30.2,
2017-12-16T01:13:00.275Z,50,30,,41.6,,30.2,
2017-12-16T01:13:10.349Z,50,,,41.8,,30.2,
2017-12-16T01:13:20.276Z,50,0,,41.6,1,30.2,0
2017-12-16T01:13:30.274Z,50,,,38.7,,30.2,
2017-12-16T01:13:40.275Z,50,,,37.7,,30.2,
2017-12-16T01:13:50.274Z,50,,,37.2,,30.3,
2017-12-16T01:14:00.369Z,50,,,37.1,,30.2,
2017-12-16T01:14:10.295Z,50,,,,,30.3,
2017-12-16T01:14:20.275Z,50,,,,,30.3,
2017-12-16T01:14:30.275Z,50,,,,,30.2,
2017-12-16T01:14:40.275Z,50,,,36.9,,30.3,
2017-12-16T01:14:50.275Z,50,,,36.8,,30.3,
2017-12-16T01:15:00.275Z,50,,,36.7,,30.3,
2017-12-16T01:15:10.274Z,50,,,36.6,,30.3,
2017-12-16T01:15:20.275Z,50,,,36.5,,30.3,
2017-12-16T01:15:30.275Z,50,,,,,30.3,
2017-12-16T01:15:40.275Z,50,,,,,30.3,
2017-12-16T01:15:50.274Z,50,,,,,30.3,
2017-12-16T01:16:00.275Z,50,,,,,30.3,
2017-12-16T01:16:10.275Z,50,,,36.4,,30.3,
2017-12-16T01:16:20.275Z,50,,,36.3,,30.3,
2017-12-16T01:16:30.275Z,50,,,,,30.3,
2017-12-16T01:16:40.275Z,50,,,,,30.3,
2017-12-16T01:16:50.275Z,50,,,,,30.3,
2017-12-16T01:17:00.275Z,50,,,,,30.3,
2017-12-16T01:17:10.274Z,50,,,,,30.3,
2017-12-16T01:17:20.275Z,50,,,,,30.3,
2017-12-16T01:17:30.275Z,50,,,,,30.3,
2017-12-16T01:17:40.275Z,50,,,36.2,,30.3,
2017-12-16T01:17:50.274Z,50,,,,,30.3,
2017-12-16T01:18:00.275Z,50,,,,,30.3,
