Time,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet,HwTSet,ChActive
2018-02-13T00:58:28.547Z,31.2,41.2,,,,50,
2018-02-13T00:58:38.547Z,31.2,,,,,50,
2018-02-13T00:58:48.548Z,31.2,41.5,30,,,50,
2018-02-13T00:58:58.547Z,,41.6,29,,,,
2018-02-13T00:59:08.547Z,31.2,41.8,,,,50,
2018-02-13T00:59:18.549Z,31.2,41.9,,,,50,
2018-02-13T00:59:28.547Z,,42,30,,,,
2018-02-13T00:59:38.547Z,31.2,42.1,,,,50,
2018-02-13T00:59:48.548Z,31.2,42.2,29,,,50,
2018-02-13T00:59:58.547Z,31.2,,,,,50,
2018-02-13T01:00:08.547Z,,42.6,,,,,
2018-02-13T01:00:18.548Z,31.2,42.7,,,,50,
2018-02-13T01:00:28.724Z,31.2,42.9,30,,,50,
2018-02-13T01:00:38.547Z,31.2,40.9,0,0,,50,2
2018-02-13T01:00:48.547Z,31.3,39.3,,,,50,
2018-02-13T01:00:58.548Z,31.3,38.4,,,,50,
2018-02-13T01:01:08.547Z,,38.1,,,,,
2018-02-13T01:01:18.556Z,31.2,38,,,,50,
2018-02-13T01:01:28.552Z,31.2,,,,,50,
2018-02-13T01:01:48.547Z,31.3,,,,,50,
2018-02-13T01:01:58.547Z,,37.9,,,,,
2018-02-13T01:02:08.547Z,31.3,37.7,,,,50,
2018-02-13T01:02:18.547Z,31.3,,,,,50,
2018-02-13T01:02:28.548Z,,37.5,,,,,
2018-02-13T01:02:38.547Z,31.3,,,,,50,
2018-02-13T01:02:48.547Z,31.3,,,0,,50,2
2018-02-13T01:02:58.547Z,31.3,42.4,38,,,50,
2018-02-13T01:03:08.623Z,31.3,45,30,0,59,50,2
2018-02-13T01:03:18.547Z,31.3,44.3,29,,,50,
2018-02-13T01:03:28.547Z,,43.5,,,,,
2018-02-13T01:03:38.547Z,31.3,43.2,,,,50,
2018-02-13T01:03:48.547Z,31.3,42.9,30,,,50,
2018-02-13T01:03:58.547Z,31.3,,,,,50,
2018-02-13T01:04:08.547Z,31.3,43,29,,,50,
2018-02-13T01:04:18.547Z,,43.3,29,,,,
2018-02-13T01:04:28.549Z,31.3,43.4,0,0,,50,2
2018-02-13T01:04:38.547Z,31.3,41.8,,,,50,
2018-02-13T01:04:48.547Z,31.3,39.9,,,,50,
2018-02-13T01:04:58.546Z,31.3,38.9,,,,50,
2018-02-13T01:05:08.547Z,,38.6,,,,,
2018-02-13T01:05:18.547Z,31.3,,,,,50,
2018-02-13T01:05:28.547Z,31.3,,,,,50,
2018-02-13T01:05:48.549Z,31.3,38.5,,,,50,
2018-02-13T01:05:58.547Z,31.3,,,,,50,
2018-02-13T01:06:08.547Z,,38.3,,,,,
2018-02-13T01:06:18.547Z,31.3,38.2,,,,50,
2018-02-13T01:06:28.547Z,31.3,,,,,50,
2018-02-13T01:06:38.547Z,31.3,38,,,,50,
2018-02-13T01:06:48.547Z,31.3,37.9,,,,50,
2018-02-13T01:07:08.546Z,31.3,37.8,,,,50,
2018-02-13T01:07:18.547Z,31.3,,,,,50,
2018-02-13T01:07:28.547Z,31.3,37.7,,,,50,
2018-02-13T01:07:48.547Z,31.3,,,,,50,
2018-02-13T01:07:58.589Z,31.3,,,,,50,
2018-02-13T01:08:18.547Z,31.3,37.6,,,,50,
2018-02-13T01:08:28.548Z,31.3,,,,,50,
2018-02-13T01:08:48.547Z,31.3,,,,,50,
2018-02-13T01:08:58.547Z,31.3,,,,,50,
2018-02-13T01:09:18.547Z,31.3,,,,,50,
2018-02-13T01:09:28.548Z,31.3,,,,,50,
2018-02-13T01:09:48.547Z,31.3,,,,,50,
2018-02-13T01:09:58.547Z,31.3,,,,,50,
2018-02-13T01:10:18.547Z,31.3,,,,,50,
2018-02-13T01:10:28.547Z,31.3,,,,,50,
2018-02-13T01:10:38.547Z,,37.7,,,,,
2018-02-13T01:10:48.548Z,31.3,,,,,50,
2018-02-13T01:10:58.547Z,31.3,,,,,50,
2018-02-13T01:11:18.547Z,31.3,,,,,50,
2018-02-13T01:11:28.547Z,31.3,,,,,50,
2018-02-13T01:11:38.547Z,,37.8,,,,,
2018-02-13T01:11:48.547Z,31.3,,,,,50,
2018-02-13T01:11:58.547Z,31.3,,,,,50,
2018-02-13T01:12:18.547Z,31.3,,,,,50,
2018-02-13T01:12:28.547Z,31.3,,,,,50,
2018-02-13T01:12:38.551Z,,37.9,,,,,
2018-02-13T01:12:48.547Z,31.3,,,,,50,
2018-02-13T01:12:58.547Z,31.3,,,,,50,
2018-02-13T01:13:18.547Z,31.3,,,,,50,
2018-02-13T01:13:28.547Z,31.3,,,,,50,
2018-02-13T01:13:48.547Z,31.2,,,,,50,
2018-02-13T01:13:58.547Z,31.2,,,,,50,
2018-02-13T01:14:18.547Z,31.2,,,,,50,
2018-02-13T01:14:28.548Z,31.2,,,,,50,
2018-02-13T01:14:48.547Z,31.2,,,,,50,
2018-02-13T01:14:58.547Z,31.2,,,,,50,
2018-02-13T01:15:18.547Z,31.2,,,,,50,
2018-02-13T01:15:28.548Z,31.2,,,,,50,
2018-02-13T01:15:48.547Z,31.2,37.8,,,,50,
2018-02-13T01:15:58.547Z,31.2,,,,,50,
2018-02-13T01:16:18.548Z,31,,,,,50,
2018-02-13T01:16:28.552Z,31.2,,,,,50,
2018-02-13T01:16:48.547Z,31,,,,,50,
2018-02-13T01:16:58.547Z,31,,,,,50,
2018-02-13T01:17:18.547Z,31,,,,,50,
2018-02-13T01:17:28.547Z,31,,,,,50,
2018-02-13T01:17:48.547Z,31,,,,,50,
2018-02-13T01:17:58.547Z,31,,,,,50,
2018-02-13T01:18:08.547Z,,37.7,,,,,
2018-02-13T01:18:18.549Z,31,,,,,50,
2018-02-13T01:18:28.547Z,31,,,,,50,
2018-02-13T01:18:48.547Z,30.9,,,,,50,
2018-02-13T01:18:58.547Z,30.9,,,,,50,
2018-02-13T01:19:08.547Z,30.9,,,,,50,
2018-02-13T01:19:18.548Z,30.9,39.3,42,0,,50,2
2018-02-13T01:19:28.547Z,30.9,42.8,36,,,50,
2018-02-13T01:19:38.550Z,30.9,41.6,30,,,50,
2018-02-13T01:19:48.547Z,30.9,40.7,29,,,50,
2018-02-13T01:19:58.547Z,30.9,38.9,29,,,50,
2018-02-13T01:20:08.547Z,,37.9,29,,,,
2018-02-13T01:20:18.549Z,30.9,37.6,30,,,50,
2018-02-13T01:20:28.547Z,30.9,37.9,,,,50,
2018-02-13T01:20:38.547Z,,38.2,29,,,,
2018-02-13T01:20:48.547Z,30.9,38.6,,,,50,
2018-02-13T01:20:58.547Z,30.9,,,,,50,
2018-02-13T01:21:08.547Z,,38.8,29,,,,
2018-02-13T01:21:18.547Z,30.9,38.9,,,,50,
2018-02-13T01:21:28.547Z,,39.2,,,,,
2018-02-13T01:21:38.548Z,30.9,39.4,30,,,50,
2018-02-13T01:21:48.547Z,30.9,39.6,29,,,50,
2018-02-13T01:21:58.546Z,30.9,,,,,50,
2018-02-13T01:22:08.547Z,,40,29,,,,
2018-02-13T01:22:18.547Z,30.9,40.1,,,,50,
2018-02-13T01:22:28.547Z,30.8,,,,,50,
2018-02-13T01:22:38.547Z,,40.4,,,,,
