Time,ActPow,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,HwTSet
2017-11-21T01:28:21.315Z,,,,,,24.3,52
2017-11-21T01:28:51.310Z,,,,,,24.3,52
2017-11-21T01:29:01.310Z,,,,,,24.2,52
2017-11-21T01:29:21.314Z,,,,,,24.2,52
2017-11-21T01:29:51.310Z,,,,,,24.3,52
2017-11-21T01:30:11.310Z,,,,,,24.2,52
2017-11-21T01:30:21.310Z,,,,,,24.2,52
2017-11-21T01:30:51.310Z,,,,,,24.2,52
2017-11-21T01:31:01.315Z,,,,,,24.2,52
2017-11-21T01:31:21.310Z,,,,,,24.2,52
2017-11-21T01:31:51.310Z,,,,,,24.2,52
2017-11-21T01:32:11.314Z,,,,,,24.2,52
2017-11-21T01:32:21.310Z,,,,,,24.2,52
2017-11-21T01:32:51.310Z,,,,,,24.2,52
2017-11-21T01:33:11.310Z,,,,,,24.2,52
2017-11-21T01:33:21.310Z,,,,,,24.2,52
2017-11-21T01:33:51.310Z,,,,,,24.2,52
2017-11-21T01:34:01.310Z,,,,,,24.2,52
2017-11-21T01:34:21.315Z,,,,,,24.2,52
2017-11-21T01:34:51.310Z,,,,,,24.2,52
2017-11-21T01:35:11.310Z,,,,,,24.2,52
2017-11-21T01:35:21.310Z,,,,,,24.2,52
2017-11-21T01:35:51.312Z,,,,,,24.2,52
2017-11-21T01:36:01.310Z,,,,,,24.2,52
2017-11-21T01:36:21.310Z,,,,,,24.2,52
2017-11-21T01:36:51.327Z,,,,,,24.2,52
2017-11-21T01:37:01.322Z,,,,,,24,52
2017-11-21T01:37:21.312Z,,,,,,24,52
2017-11-21T01:37:51.311Z,,,,,,24,52
2017-11-21T01:38:11.314Z,,,,,,24,52
2017-11-21T01:38:21.316Z,,,,,,24,52
2017-11-21T01:38:51.315Z,,,,,,24,52
2017-11-21T01:39:11.315Z,,,,,,24,52
2017-11-21T01:39:21.315Z,,,,,,24,52
2017-11-21T01:39:51.312Z,,,,,,24,52
2017-11-21T01:40:01.311Z,,,,,24.7,,
2017-11-21T01:40:11.313Z,,,,,24.8,24,52
2017-11-21T01:40:21.313Z,,,,,,24,52
2017-11-21T01:40:31.312Z,,,,,24.7,,
2017-11-21T01:40:51.314Z,,,,,24.8,24,52
2017-11-21T01:41:01.313Z,,,,,24.7,,
2017-11-21T01:41:11.310Z,,,,,24.8,24,52
2017-11-21T01:41:21.310Z,,,,,,24,52
2017-11-21T01:41:31.319Z,0,0,0,5,24.7,,
2017-11-21T01:41:51.315Z,,,,,24.8,24,52
2017-11-21T01:42:11.314Z,,,,,24.8,24,52
2017-11-21T01:42:21.310Z,,,,,,24,52
2017-11-21T01:42:31.310Z,,,,,24.7,,
2017-11-21T01:42:51.310Z,,,,,24.7,24,52
2017-11-21T01:43:11.310Z,,,,,,24,52
2017-11-21T01:43:21.419Z,,,,,,24,52
2017-11-21T01:43:31.315Z,,,,,24.8,,
2017-11-21T01:43:51.310Z,,,,,24.7,24,52
2017-11-21T01:44:01.310Z,,,,,,24,52
2017-11-21T01:44:21.309Z,,,,,,23.9,52
2017-11-21T01:44:51.310Z,,,,,,23.9,52
2017-11-21T01:45:11.310Z,,,,,,24,52
2017-11-21T01:45:21.310Z,,,,,,23.9,52
2017-11-21T01:45:51.310Z,,,,,,23.9,52
2017-11-21T01:46:11.315Z,,,,,,23.9,52
2017-11-21T01:46:21.310Z,,,,,,23.9,52
2017-11-21T01:46:51.311Z,,,,,,23.9,52
2017-11-21T01:47:01.310Z,,,,,,23.9,52
2017-11-21T01:47:21.310Z,,,,,,23.9,52
2017-11-21T01:47:51.311Z,,,,,,23.9,52
2017-11-21T01:48:11.312Z,,,,,,23.9,52
2017-11-21T01:48:21.310Z,,,,,,23.9,52
2017-11-21T01:48:51.310Z,,,,,,23.9,52
2017-11-21T01:49:01.310Z,,,,,,23.9,52
2017-11-21T01:49:21.311Z,,,,,,23.9,52
2017-11-21T01:49:51.310Z,,,,,,23.9,52
2017-11-21T01:50:11.309Z,,,,,,23.9,52
