Time,HwTSet,HwActive,ChActive,PrimTSet,ActPow,HwTOutlet,PrimT
2018-01-13T00:59:01.382Z,50,,,,,29.1,
2018-01-13T00:59:11.389Z,50,,,,,29.1,25.7
2018-01-13T00:59:21.386Z,50,,,,,29.1,
2018-01-13T00:59:31.382Z,50,,,,,29.1,
2018-01-13T00:59:41.400Z,50,,,,,29,
2018-01-13T00:59:51.382Z,50,,,,,29,
2018-01-13T01:00:01.382Z,50,,,,,29,25.5
2018-01-13T01:00:11.382Z,50,,,,,29,25.5
2018-01-13T01:00:21.382Z,50,,,,,29,25.7
2018-01-13T01:00:31.382Z,50,,,,,29,
2018-01-13T01:00:41.382Z,50,,,,,28.9,
2018-01-13T01:00:51.382Z,50,,,,,28.9,
2018-01-13T01:01:01.391Z,50,,,,,28.9,
2018-01-13T01:01:11.382Z,50,,,,,28.9,
2018-01-13T01:01:21.388Z,50,,,,,28.9,
2018-01-13T01:01:31.382Z,50,,,,,28.7,
2018-01-13T01:01:41.382Z,50,,,,,28.7,
2018-01-13T01:01:51.382Z,50,,,,,28.7,
2018-01-13T01:02:01.382Z,50,,,,,28.7,25.8
2018-01-13T01:02:11.382Z,50,,,,,28.6,
2018-01-13T01:02:21.382Z,50,,,,,28.6,
2018-01-13T01:02:31.381Z,50,,,,,28.6,
2018-01-13T01:02:41.388Z,50,,,,,28.6,
2018-01-13T01:02:51.389Z,50,,,,,28.6,
2018-01-13T01:03:01.382Z,50,,,,,28.6,25.9
2018-01-13T01:03:11.381Z,50,,,,,28.5,26
2018-01-13T01:03:21.382Z,50,,,,,28.5,
2018-01-13T01:03:31.382Z,50,,,,,28.5,26.1
2018-01-13T01:03:41.381Z,50,,,,,28.5,26.3
2018-01-13T01:03:51.406Z,50,,,,,28.5,26.4
2018-01-13T01:04:01.381Z,50,,,,,28.4,
2018-01-13T01:04:11.382Z,50,,,,,28.4,26.5
2018-01-13T01:04:21.382Z,50,,,,,28.4,26.6
2018-01-13T01:04:31.383Z,50,,,,,28.4,26.7
2018-01-13T01:04:41.382Z,50,,,,,28.4,26.9
2018-01-13T01:04:51.382Z,50,,,,,28.4,27
2018-01-13T01:05:01.387Z,50,,,,,28.3,27.1
2018-01-13T01:05:11.381Z,50,,,,,28.3,27.2
2018-01-13T01:05:21.382Z,50,0,2,,41,28.3,29.3
2018-01-13T01:05:31.387Z,50,,,,31,28.3,33.4
2018-01-13T01:05:41.383Z,50,,,,29,28.3,32.6
2018-01-13T01:05:51.383Z,50,,,,,28.1,31.8
2018-01-13T01:06:01.382Z,50,,,,,28.1,31.2
2018-01-13T01:06:11.387Z,50,,,,,28.1,30.9
2018-01-13T01:06:21.387Z,50,,,,,28.1,
2018-01-13T01:06:31.384Z,50,,,,,28.1,31.2
