Time,HwActive,HwTSet,ActPow,PrimT,HwTOutlet,PrimTSet,ChActive
2018-02-01T01:10:28.889Z,,50,,36.8,36,,
2018-02-01T01:10:38.885Z,,50,,,36,,
2018-02-01T01:10:58.912Z,,50,,36.9,35.9,,
2018-02-01T01:11:08.879Z,,50,,,35.8,,
2018-02-01T01:11:28.886Z,,50,,36.9,35.7,,
2018-02-01T01:11:38.879Z,,,,37.1,,,
2018-02-01T01:11:48.888Z,,50,,,35.7,,
2018-02-01T01:11:58.884Z,,50,,,35.6,,
2018-02-01T01:12:08.879Z,,50,,37.2,35.6,,
2018-02-01T01:12:18.878Z,0,,,,,5,0
2018-02-01T01:12:28.879Z,,50,,,35.5,,
2018-02-01T01:12:38.885Z,0,,,37.3,,59,2
2018-02-01T01:12:48.880Z,,50,,,35.4,,
2018-02-01T01:12:58.879Z,,50,,,35.4,,
2018-02-01T01:13:08.879Z,,50,,,35.3,,
2018-02-01T01:13:18.882Z,,,,37.4,,,
2018-02-01T01:13:28.880Z,,50,,,35.2,,
2018-02-01T01:13:38.882Z,,50,,,35.2,,
2018-02-01T01:13:48.880Z,,,,37.5,,,
2018-02-01T01:13:58.879Z,,50,,,35.1,,
2018-02-01T01:14:08.879Z,,50,,,35.1,,
2018-02-01T01:14:28.879Z,,50,,37.6,34.9,,
2018-02-01T01:14:38.879Z,,50,,,34.9,,
2018-02-01T01:14:58.885Z,,50,,37.7,34.8,,
2018-02-01T01:15:08.879Z,,50,,,34.8,,
2018-02-01T01:15:28.883Z,,50,,,34.7,,
2018-02-01T01:15:38.889Z,,50,,,34.6,,
2018-02-01T01:15:48.879Z,,,,37.8,,,
2018-02-01T01:15:58.894Z,,50,,,34.6,,
2018-02-01T01:16:08.879Z,,50,,,34.5,,
2018-02-01T01:16:18.879Z,,,,37.9,,,
2018-02-01T01:16:28.890Z,,50,,,34.5,,
2018-02-01T01:16:38.892Z,,50,,,34.4,,
2018-02-01T01:16:48.879Z,,50,,38,34.4,,
2018-02-01T01:16:58.879Z,,50,,,34.3,,
2018-02-01T01:17:18.887Z,,50,,,34.3,,
2018-02-01T01:17:28.879Z,,50,,,34.3,,
2018-02-01T01:17:48.903Z,,50,,,34.2,,
2018-02-01T01:17:58.879Z,,50,,,34.2,,
2018-02-01T01:18:08.879Z,,50,,,34.1,,
2018-02-01T01:18:28.879Z,,50,,,34.1,,
2018-02-01T01:18:38.881Z,,50,,,34,,
2018-02-01T01:18:58.879Z,,50,,,34,,
2018-02-01T01:19:08.879Z,,50,,,33.9,,
2018-02-01T01:19:28.878Z,,50,,,33.9,,
2018-02-01T01:19:38.879Z,,50,,,33.8,,
2018-02-01T01:19:58.946Z,,50,,,33.8,,
2018-02-01T01:20:08.879Z,,50,,,33.7,,
2018-02-01T01:20:18.931Z,,50,,38,33.7,,
2018-02-01T01:20:28.918Z,,,,37.9,,,
2018-02-01T01:20:38.879Z,,50,,,33.7,,
