Time,HwTOutlet,PrimT,HwTSet,PrimTSet,ChActive,HwActive,ActPow
2018-01-21T01:15:49.160Z,29.2,,50,,,,
2018-01-21T01:15:59.160Z,29.2,,50,,,,
2018-01-21T01:16:09.160Z,29.2,,50,,,,
2018-01-21T01:16:19.160Z,29.2,,50,,,,
2018-01-21T01:16:29.160Z,29.2,,50,,,,
2018-01-21T01:16:39.160Z,29.2,,50,,,,
2018-01-21T01:16:49.160Z,29.2,,50,,,,
2018-01-21T01:16:59.160Z,29.2,,50,,,,
2018-01-21T01:17:09.225Z,29.2,,50,,,,
2018-01-21T01:17:19.219Z,29.2,,50,,,,
2018-01-21T01:17:29.205Z,29.2,,50,,,,
2018-01-21T01:17:39.195Z,29.2,,50,,,,
2018-01-21T01:17:49.161Z,29.2,,50,,,,
2018-01-21T01:17:59.160Z,29.2,35.4,50,,,,
2018-01-21T01:18:09.163Z,29.2,,50,,,,
2018-01-21T01:18:19.160Z,29.2,,50,,,,
2018-01-21T01:18:29.160Z,29.2,,50,,,,
